County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_household_income,native_american_population,health_insurance_rate,unemployment_rate,gini_index,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income,Year
Cumberland County,Kentucky,21,57,15.9,13.2,437.0,31.9,52.0,6276.0,6744.0,26.8,20.7,35449.0,0.0,86.4,5.1,0.4734,90300.0,21.7,200.0,6744.0,6276.0,18669.0,2017
Cumberland County,Maine,23,5,11.4,45.0,1029.0,37.9,3591.0,266351.0,289173.0,23.5,10.7,65702.0,631.0,93.1,4.0,0.4608,259400.0,19.4,8311.0,289173.0,266351.0,36780.0,2017
Cumberland County,New Jersey,34,11,14.3,14.4,1003.0,40.5,1679.0,102628.0,154952.0,19.5,18.8,50000.0,1229.0,87.9,9.0,0.451,160500.0,23.8,29732.0,154952.0,102628.0,23012.0,2017
Cumberland County,North Carolina,37,51,16.6,24.3,887.0,46.3,5693.0,169835.0,332766.0,15.7,18.2,44737.0,4649.0,88.8,10.0,0.4445,131200.0,25.0,121699.0,332766.0,169835.0,23627.0,2017
Cumberland County,Pennsylvania,42,41,11.3,34.7,940.0,38.6,2446.0,218227.0,245801.0,23.6,7.8,65544.0,239.0,93.9,4.2,0.4217,194100.0,20.4,9105.0,245801.0,218227.0,34246.0,2017
Cumberland County,Tennessee,47,35,22.9,18.6,666.0,28.9,581.0,56417.0,58178.0,36.5,16.0,40994.0,345.0,88.2,7.6,0.4344,140800.0,18.0,383.0,58178.0,56417.0,23668.0,2017
Cumberland County,Virginia,51,49,18.3,16.7,818.0,34.3,152.0,6199.0,9797.0,26.4,21.8,43020.0,88.0,86.5,7.0,0.4345,146600.0,20.5,3181.0,9797.0,6199.0,23488.0,2017
Cuming County,Nebraska,31,39,11.7,21.2,652.0,31.6,71.0,8429.0,9039.0,27.3,8.0,50734.0,35.0,91.4,2.6,0.4228,113200.0,24.5,10.0,9039.0,8429.0,28762.0,2017
Currituck County,North Carolina,37,53,14.7,22.9,947.0,34.2,105.0,22780.0,25247.0,22.5,9.1,65758.0,109.0,87.1,4.8,0.3795,244500.0,22.2,1369.0,25247.0,22780.0,29340.0,2017
Curry County,New Mexico,35,9,15.9,19.9,836.0,45.0,798.0,34262.0,50283.0,16.6,22.5,41941.0,542.0,85.9,7.8,0.4665,131200.0,26.9,2958.0,50283.0,34262.0,22628.0,2017
Curry County,Oregon,41,15,23.4,23.5,856.0,25.0,439.0,20499.0,22377.0,42.3,15.5,42519.0,528.0,92.6,9.9,0.442,221300.0,15.2,74.0,22377.0,20499.0,26925.0,2017
Custer County,Colorado,8,27,20.6,33.3,660.0,19.3,41.0,4199.0,4505.0,46.4,15.7,41330.0,43.0,88.0,8.7,0.4331,248300.0,15.4,112.0,4505.0,4199.0,26032.0,2017
Custer County,Idaho,16,37,20.0,22.6,624.0,26.9,2.0,3939.0,4141.0,39.6,18.9,37976.0,50.0,86.5,4.7,0.437,173300.0,16.1,1.0,4141.0,3939.0,23290.0,2017
Custer County,Montana,30,17,16.9,22.4,723.0,35.6,64.0,11235.0,11895.0,25.5,9.8,53050.0,230.0,91.6,1.7,0.4236,157000.0,21.7,60.0,11895.0,11235.0,28501.0,2017
Custer County,Nebraska,31,41,13.1,21.7,608.0,32.1,109.0,10482.0,10836.0,28.2,11.9,48836.0,8.0,88.9,2.5,0.5047,92800.0,23.3,86.0,10836.0,10482.0,32605.0,2017
Custer County,Oklahoma,40,39,14.3,26.5,697.0,44.2,172.0,23690.0,29169.0,18.3,15.8,48520.0,634.0,84.4,3.6,0.4471,127600.0,24.9,891.0,29169.0,23690.0,24621.0,2017
Custer County,South Dakota,46,33,15.5,24.5,849.0,25.8,31.0,7933.0,8519.0,36.9,13.2,56449.0,321.0,89.6,4.0,0.4285,202600.0,16.6,17.0,8519.0,7933.0,31015.0,2017
Cuyahoga County,Ohio,39,35,15.0,31.5,766.0,37.8,17369.0,791566.0,1257401.0,23.7,18.3,46720.0,3394.0,93.0,8.9,0.5095,123900.0,21.3,372047.0,1257401.0,791566.0,30441.0,2017
Dade County,Georgia,13,83,16.3,13.9,665.0,39.2,46.0,15484.0,16282.0,25.1,17.5,43163.0,109.0,84.7,4.8,0.4522,122500.0,19.2,113.0,16282.0,15484.0,23184.0,2017
Dade County,Missouri,29,57,19.5,15.1,612.0,30.9,45.0,7251.0,7581.0,29.7,22.9,38880.0,53.0,84.9,9.3,0.4095,75700.0,21.1,30.0,7581.0,7251.0,20468.0,2017
Daggett County,Utah,49,9,9.8,9.3,-666666666.0,29.2,0.0,677.0,702.0,22.2,4.0,85000.0,6.0,96.0,1.0,0.342,202900.0,21.5,1.0,702.0,677.0,28533.0,2017
Dakota County,Minnesota,27,37,8.7,41.1,1063.0,38.8,3465.0,344459.0,414655.0,18.4,6.9,79995.0,1056.0,95.4,4.0,0.4148,238000.0,24.8,23507.0,414655.0,344459.0,38863.0,2017
Dakota County,Nebraska,31,43,9.8,12.6,686.0,39.6,116.0,14604.0,20529.0,18.2,16.8,52401.0,581.0,84.4,7.3,0.4239,116400.0,29.0,898.0,20529.0,14604.0,22463.0,2017
Dale County,Alabama,1,45,20.3,16.8,672.0,39.6,773.0,36202.0,49393.0,21.3,19.6,44711.0,257.0,87.7,10.4,0.4561,108000.0,23.5,9606.0,49393.0,36202.0,23194.0,2017
Dallam County,Texas,48,111,13.1,12.4,693.0,41.0,12.0,6552.0,7207.0,15.8,15.9,45580.0,93.0,70.7,3.7,0.4878,77000.0,30.6,128.0,7207.0,6552.0,25221.0,2017
Dallas County,Alabama,1,47,17.6,14.2,599.0,36.6,597.0,11497.0,40755.0,23.2,31.9,30065.0,16.0,87.9,13.7,0.4974,80800.0,24.7,28677.0,40755.0,11497.0,18248.0,2017
Dallas County,Arkansas,5,39,23.4,14.1,655.0,33.2,118.0,4169.0,7585.0,29.1,13.2,35794.0,32.0,89.3,6.4,0.3893,64500.0,23.0,3060.0,7585.0,4169.0,18309.0,2017
Dallas County,Iowa,19,49,7.6,49.1,939.0,41.3,720.0,73860.0,80864.0,16.0,5.4,82719.0,51.0,96.6,2.4,0.4332,218000.0,28.4,1077.0,80864.0,73860.0,42417.0,2017
Dallas County,Missouri,29,59,24.2,12.1,593.0,32.5,31.0,15759.0,16441.0,26.3,15.7,41441.0,158.0,79.6,7.8,0.4356,107400.0,23.7,14.0,16441.0,15759.0,19647.0,2017
Dallas County,Texas,48,113,9.7,30.1,984.0,44.0,38717.0,1565175.0,2552213.0,14.8,17.7,53626.0,8310.0,77.9,5.9,0.5031,148300.0,26.8,572491.0,2552213.0,1565175.0,29810.0,2017
Dane County,Wisconsin,55,25,8.7,50.0,983.0,45.7,7583.0,438930.0,522837.0,18.0,12.4,67631.0,1420.0,95.0,3.8,0.4475,242700.0,21.0,26715.0,522837.0,438930.0,37193.0,2017
Daniels County,Montana,30,19,12.8,23.0,677.0,30.4,14.0,1768.0,1788.0,29.6,4.6,53591.0,10.0,94.0,1.7,0.4625,123500.0,21.3,0.0,1788.0,1768.0,36108.0,2017
Danville City,Virginia,51,590,19.7,18.9,628.0,35.2,681.0,19162.0,41911.0,27.1,21.5,34951.0,40.0,88.7,10.1,0.4771,90900.0,22.0,20614.0,41911.0,19162.0,21882.0,2017
Dare County,North Carolina,37,55,13.9,29.8,1056.0,32.7,408.0,32418.0,35412.0,27.9,8.9,55640.0,122.0,84.0,5.2,0.4119,285000.0,19.4,756.0,35412.0,32418.0,30898.0,2017
Darke County,Ohio,39,37,14.2,14.2,645.0,33.9,435.0,50608.0,51919.0,25.5,11.6,50064.0,112.0,93.4,5.1,0.4008,113200.0,24.2,407.0,51919.0,50608.0,24768.0,2017
Darlington County,South Carolina,45,31,20.3,17.8,647.0,36.1,826.0,38254.0,67572.0,24.0,22.7,36217.0,225.0,87.1,13.1,0.4778,84800.0,22.8,27512.0,67572.0,38254.0,21225.0,2017
Dauphin County,Pennsylvania,42,43,13.2,29.8,893.0,37.9,3395.0,195064.0,273329.0,22.3,13.2,57071.0,540.0,92.9,5.7,0.4473,163300.0,22.5,51184.0,273329.0,195064.0,31152.0,2017
Davidson County,North Carolina,37,57,16.6,18.1,687.0,35.5,1224.0,141165.0,164118.0,23.0,15.8,45806.0,542.0,88.5,8.2,0.4358,134800.0,22.6,14998.0,164118.0,141165.0,24231.0,2017
Davidson County,Tennessee,47,37,11.8,39.1,971.0,46.4,11343.0,431649.0,678322.0,16.7,16.9,53419.0,2033.0,86.6,5.3,0.4837,194800.0,21.4,185732.0,678322.0,431649.0,32347.0,2017
Davie County,North Carolina,37,59,14.5,23.0,693.0,33.0,251.0,37189.0,41766.0,26.5,14.0,53493.0,58.0,88.7,6.5,0.4747,170000.0,21.8,2554.0,41766.0,37189.0,29234.0,2017
Daviess County,Indiana,18,27,14.2,14.2,641.0,36.8,183.0,31215.0,32777.0,20.2,13.0,48355.0,11.0,77.4,5.4,0.4232,115400.0,29.1,603.0,32777.0,31215.0,21794.0,2017
Daviess County,Kentucky,21,59,15.9,21.6,698.0,37.1,1209.0,90620.0,99258.0,22.3,15.8,48371.0,188.0,94.5,6.0,0.4574,123200.0,24.4,4467.0,99258.0,90620.0,26501.0,2017
Daviess County,Missouri,29,61,15.8,17.3,539.0,33.2,25.0,8078.0,8300.0,26.3,13.2,45707.0,58.0,81.9,3.5,0.4216,101100.0,25.6,65.0,8300.0,8078.0,22642.0,2017
Davis County,Iowa,19,51,12.8,17.8,658.0,33.4,57.0,8658.0,8834.0,23.9,13.7,52390.0,0.0,74.9,3.5,0.425,109100.0,29.2,11.0,8834.0,8658.0,25747.0,2017
Davis County,Utah,49,11,9.4,36.2,986.0,42.9,2232.0,300506.0,334977.0,13.6,6.2,75961.0,1385.0,92.9,3.3,0.3827,246500.0,33.1,4372.0,334977.0,300506.0,28293.0,2017
Davison County,South Dakota,46,35,15.8,24.0,711.0,38.4,159.0,18346.0,19753.0,24.8,12.6,48665.0,605.0,92.9,3.9,0.4336,141000.0,22.7,118.0,19753.0,18346.0,28086.0,2017
Dawes County,Nebraska,31,45,10.3,37.0,632.0,46.0,52.0,7954.0,8972.0,24.3,14.3,46146.0,258.0,87.4,1.0,0.4287,107500.0,18.2,145.0,8972.0,7954.0,24811.0,2017
Dawson County,Georgia,13,85,15.0,31.1,874.0,35.2,165.0,22609.0,23397.0,26.5,11.8,62284.0,18.0,88.4,6.1,0.4638,202300.0,21.3,276.0,23397.0,22609.0,31954.0,2017
Dawson County,Montana,30,21,14.0,19.8,650.0,35.7,0.0,8821.0,9324.0,24.9,12.3,59622.0,204.0,91.5,1.1,0.4038,154300.0,22.4,48.0,9324.0,8821.0,29130.0,2017
Dawson County,Nebraska,31,47,12.4,15.8,699.0,37.6,231.0,21474.0,23925.0,20.1,13.7,51238.0,149.0,87.2,4.2,0.425,101000.0,27.7,1415.0,23925.0,21474.0,24912.0,2017
Dawson County,Texas,48,115,18.0,12.7,571.0,43.8,34.0,10239.0,13095.0,19.2,18.5,43201.0,243.0,83.5,6.7,0.4934,66400.0,24.9,785.0,13095.0,10239.0,21360.0,2017
Day County,South Dakota,46,37,12.1,18.6,530.0,29.2,10.0,4849.0,5524.0,31.9,16.5,43902.0,570.0,89.2,1.5,0.515,86000.0,21.4,0.0,5524.0,4849.0,30841.0,2017
De Baca County,New Mexico,35,11,24.2,10.4,671.0,34.5,35.0,1497.0,2016.0,23.8,22.7,31439.0,0.0,90.9,6.6,0.4473,67700.0,24.1,30.0,2016.0,1497.0,24571.0,2017
De Soto Parish,Louisiana,22,31,17.4,13.5,608.0,36.2,266.0,16252.0,27164.0,23.2,26.3,41443.0,299.0,87.1,10.6,0.4928,110000.0,24.4,10017.0,27164.0,16252.0,23471.0,2017
