County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_household_income,native_american_population,health_insurance_rate,unemployment_rate,gini_index,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income,Year
Mathews County,Virginia,51,115,16.8,26.9,924.0,27.9,35.0,7585.0,8830.0,37.3,10.6,63622.0,28.0,91.4,1.4,0.4279,227200.0,15.4,927.0,8830.0,7585.0,35252.0,2017
Maui County,Hawaii,15,9,10.5,26.3,1336.0,36.9,2124.0,58275.0,164094.0,23.1,10.0,72762.0,279.0,94.0,4.9,0.4454,569100.0,22.2,933.0,164094.0,58275.0,32379.0,2017
Maury County,Tennessee,47,119,14.6,20.7,796.0,37.7,1246.0,73618.0,87606.0,21.4,13.0,52080.0,358.0,89.2,6.2,0.4297,156000.0,23.6,10146.0,87606.0,73618.0,25872.0,2017
Maverick County,Texas,48,323,16.1,11.8,628.0,42.2,159.0,53649.0,57471.0,15.4,24.5,37734.0,743.0,70.8,12.9,0.472,95100.0,32.0,212.0,57471.0,53649.0,16658.0,2017
Mayes County,Oklahoma,40,97,22.3,15.4,691.0,36.1,308.0,27623.0,40929.0,24.4,19.2,45302.0,5957.0,84.2,5.3,0.4294,106700.0,24.0,220.0,40929.0,27623.0,22575.0,2017
McClain County,Oklahoma,40,87,13.3,24.1,704.0,37.8,160.0,31939.0,37919.0,20.8,9.5,62081.0,2174.0,87.6,3.8,0.4155,166400.0,25.8,419.0,37919.0,31939.0,28353.0,2017
McCone County,Montana,30,55,13.9,17.4,600.0,26.7,5.0,1582.0,1728.0,31.8,7.7,46193.0,122.0,94.4,1.2,0.4385,111900.0,24.1,0.0,1728.0,1582.0,28230.0,2017
McCook County,South Dakota,46,87,11.9,21.5,586.0,31.9,19.0,5276.0,5515.0,25.8,9.3,60808.0,47.0,92.9,2.5,0.3891,120700.0,27.2,45.0,5515.0,5276.0,29254.0,2017
McCormick County,South Carolina,45,65,22.3,19.3,660.0,29.4,63.0,4850.0,9694.0,40.3,20.1,40622.0,16.0,91.1,15.3,0.4575,116600.0,12.7,4605.0,9694.0,4850.0,22836.0,2017
McCracken County,Kentucky,21,145,15.7,24.2,640.0,35.2,688.0,55686.0,65285.0,25.5,17.1,42894.0,162.0,93.2,4.9,0.5237,134100.0,22.0,7247.0,65285.0,55686.0,29881.0,2017
McCreary County,Kentucky,21,147,23.7,7.6,574.0,40.1,68.0,16098.0,17748.0,20.6,41.0,19264.0,137.0,91.9,15.8,0.4984,61300.0,22.7,982.0,17748.0,16098.0,11492.0,2017
McCulloch County,Texas,48,307,17.9,16.0,721.0,33.0,46.0,6969.0,8145.0,30.1,16.3,42367.0,1.0,81.6,3.2,0.4495,82000.0,23.8,161.0,8145.0,6969.0,23398.0,2017
McCurtain County,Oklahoma,40,89,20.0,13.5,582.0,35.8,291.0,21327.0,33026.0,23.5,23.6,34250.0,4455.0,78.8,5.7,0.4558,78000.0,25.3,2649.0,33026.0,21327.0,19040.0,2017
McDonald County,Missouri,29,119,17.1,12.7,600.0,37.4,109.0,19988.0,22753.0,21.6,19.0,41207.0,584.0,80.6,6.2,0.4248,97000.0,26.0,418.0,22753.0,19988.0,19577.0,2017
McDonough County,Illinois,17,109,13.1,32.6,630.0,48.6,172.0,28522.0,31597.0,22.5,22.3,42911.0,68.0,93.7,8.6,0.4661,94600.0,16.6,1547.0,31597.0,28522.0,22527.0,2017
McDowell County,North Carolina,37,111,21.2,15.9,613.0,35.4,298.0,41132.0,45069.0,25.5,19.3,38776.0,181.0,87.6,7.4,0.4271,110400.0,20.8,1735.0,45069.0,41132.0,20439.0,2017
McDowell County,West Virginia,54,47,31.3,4.9,529.0,34.3,112.0,17575.0,19707.0,26.8,34.9,25595.0,24.0,88.3,11.2,0.4615,34800.0,20.2,1630.0,19707.0,17575.0,13985.0,2017
McDuffie County,Georgia,13,189,13.0,15.3,625.0,36.1,144.0,11772.0,21488.0,22.6,26.0,40469.0,0.0,84.8,8.1,0.4627,102500.0,26.4,8697.0,21488.0,11772.0,20436.0,2017
McHenry County,Illinois,17,111,9.1,33.2,1146.0,37.3,2028.0,284614.0,308043.0,19.1,7.3,82230.0,267.0,93.9,5.4,0.4028,212600.0,24.6,4108.0,308043.0,284614.0,36208.0,2017
McHenry County,North Dakota,38,49,10.9,19.6,522.0,32.9,29.0,5773.0,5951.0,27.0,7.9,61788.0,95.0,94.6,2.2,0.4718,116700.0,23.5,10.0,5951.0,5773.0,36874.0,2017
McIntosh County,Georgia,13,191,27.1,14.0,754.0,31.2,157.0,8756.0,14061.0,31.8,20.3,43285.0,19.0,83.7,9.2,0.481,112700.0,17.7,4945.0,14061.0,8756.0,25226.0,2017
McIntosh County,North Dakota,38,51,15.8,17.2,530.0,24.4,6.0,2608.0,2680.0,39.4,9.9,46012.0,8.0,96.4,1.7,0.4591,72300.0,17.4,0.0,2680.0,2608.0,31133.0,2017
McIntosh County,Oklahoma,40,91,24.2,13.6,576.0,31.0,113.0,13922.0,19874.0,32.7,18.5,38163.0,3283.0,82.2,8.5,0.4466,95300.0,20.4,549.0,19874.0,13922.0,22241.0,2017
McKean County,Pennsylvania,42,83,18.6,17.4,623.0,37.2,228.0,39798.0,42070.0,24.8,17.3,45866.0,62.0,93.8,7.5,0.4484,77100.0,20.0,1111.0,42070.0,39798.0,24868.0,2017
McKenzie County,North Dakota,38,53,8.2,25.3,1037.0,43.1,121.0,9670.0,11679.0,14.2,11.7,79316.0,1555.0,82.2,3.9,0.4618,213600.0,29.1,65.0,11679.0,9670.0,38324.0,2017
McKinley County,New Mexico,35,31,15.8,10.8,651.0,41.1,289.0,11841.0,72849.0,16.4,37.5,30336.0,55150.0,76.0,16.1,0.518,62800.0,29.6,397.0,72849.0,11841.0,14077.0,2017
McLean County,Illinois,17,113,9.5,44.7,811.0,46.6,1191.0,144451.0,173231.0,17.2,14.5,64573.0,308.0,95.6,3.9,0.4588,163800.0,22.0,14214.0,173231.0,144451.0,32943.0,2017
McLean County,Kentucky,21,149,17.6,10.8,567.0,33.4,40.0,9123.0,9361.0,25.0,19.2,44242.0,16.0,91.9,7.1,0.4124,96800.0,23.9,31.0,9361.0,9123.0,22884.0,2017
McLean County,North Dakota,38,55,10.7,18.7,595.0,30.8,13.0,8744.0,9607.0,31.1,8.9,63926.0,635.0,93.6,1.6,0.4481,159300.0,20.8,68.0,9607.0,8744.0,36953.0,2017
McLennan County,Texas,48,309,12.9,22.9,805.0,43.1,3023.0,189707.0,245720.0,19.0,19.3,46262.0,1199.0,84.3,5.1,0.4778,125200.0,24.8,35493.0,245720.0,189707.0,24273.0,2017
McLeod County,Minnesota,27,85,11.2,18.0,777.0,35.9,298.0,34129.0,35816.0,24.0,8.4,59869.0,62.0,95.2,3.0,0.4,150400.0,23.5,118.0,35816.0,34129.0,30145.0,2017
McMinn County,Tennessee,47,107,18.8,15.4,624.0,35.4,382.0,48627.0,52569.0,25.0,19.7,39990.0,117.0,89.6,8.3,0.4538,123700.0,21.5,1875.0,52569.0,48627.0,21583.0,2017
McNairy County,Tennessee,47,109,19.0,12.2,574.0,34.6,252.0,23851.0,25945.0,26.9,21.6,34353.0,42.0,86.9,13.6,0.4783,87500.0,22.3,1486.0,25945.0,23851.0,19745.0,2017
McPherson County,Kansas,20,113,11.6,28.6,706.0,35.8,276.0,27306.0,28792.0,26.2,7.6,56946.0,184.0,93.7,2.5,0.4042,140300.0,23.3,300.0,28792.0,27306.0,29508.0,2017
McPherson County,South Dakota,46,89,18.6,15.3,548.0,25.3,12.0,2174.0,2366.0,34.7,17.0,41674.0,157.0,88.3,6.7,0.4689,54500.0,19.5,3.0,2366.0,2174.0,25975.0,2017
Meade County,Kansas,20,119,9.4,20.7,620.0,34.9,8.0,3750.0,4295.0,23.7,12.2,54167.0,0.0,86.4,2.8,0.3867,88700.0,26.6,31.0,4295.0,3750.0,25173.0,2017
Meade County,Kentucky,21,163,19.0,17.4,818.0,39.7,236.0,26198.0,28452.0,18.1,13.1,53732.0,220.0,92.2,8.2,0.4016,140800.0,24.1,946.0,28452.0,26198.0,25119.0,2017
Meade County,South Dakota,46,93,13.2,24.7,837.0,40.7,367.0,24572.0,27066.0,20.4,8.8,54286.0,700.0,89.2,1.3,0.3989,168400.0,23.9,521.0,27066.0,24572.0,26896.0,2017
Meagher County,Montana,30,59,15.5,19.6,600.0,29.1,9.0,1916.0,2000.0,28.9,15.8,41343.0,24.0,87.6,3.5,0.3663,136300.0,26.1,0.0,2000.0,1916.0,20095.0,2017
Mecklenburg County,North Carolina,37,119,8.7,44.1,1032.0,44.8,14254.0,569985.0,1034290.0,15.1,13.4,61695.0,3080.0,86.9,6.8,0.49,203900.0,24.3,322495.0,1034290.0,569985.0,35669.0,2017
Mecklenburg County,Virginia,51,117,19.9,18.2,690.0,31.1,248.0,19103.0,30959.0,32.2,16.9,41126.0,81.0,88.0,5.0,0.458,125300.0,19.0,11053.0,30959.0,19103.0,22970.0,2017
Mecosta County,Michigan,26,107,15.3,21.7,647.0,42.9,229.0,40256.0,43181.0,23.8,22.5,43470.0,185.0,93.1,8.7,0.4572,114700.0,18.9,1098.0,43181.0,40256.0,21978.0,2017
Medina County,Ohio,39,103,10.7,32.1,846.0,35.5,1253.0,168584.0,176362.0,22.8,6.2,71595.0,242.0,94.8,3.6,0.4058,185800.0,23.3,2682.0,176362.0,168584.0,34174.0,2017
Medina County,Texas,48,325,15.2,20.0,732.0,37.8,131.0,43920.0,48548.0,22.0,12.7,59305.0,269.0,87.3,5.3,0.4465,134400.0,23.6,1220.0,48548.0,43920.0,25572.0,2017
Meeker County,Minnesota,27,93,11.2,19.1,714.0,33.0,131.0,22485.0,23105.0,26.0,8.3,59611.0,34.0,94.2,2.9,0.4136,161600.0,24.5,173.0,23105.0,22485.0,29216.0,2017
Meigs County,Ohio,39,105,22.7,13.0,584.0,34.7,84.0,22636.0,23234.0,25.7,22.5,42105.0,33.0,91.7,10.4,0.4493,87400.0,21.9,270.0,23234.0,22636.0,22396.0,2017
Meigs County,Tennessee,47,121,20.7,9.8,651.0,33.5,66.0,11353.0,11830.0,28.3,16.6,39786.0,34.0,89.6,9.9,0.4431,118400.0,20.9,161.0,11830.0,11353.0,22542.0,2017
Mellette County,South Dakota,46,95,12.4,15.2,475.0,31.8,6.0,853.0,2062.0,22.2,42.6,31165.0,1191.0,67.0,6.6,0.4809,45300.0,30.6,0.0,2062.0,853.0,14264.0,2017
Menard County,Illinois,17,129,13.7,24.6,702.0,33.6,74.0,12057.0,12416.0,25.4,11.4,62368.0,14.0,96.8,4.6,0.4238,132500.0,22.4,63.0,12416.0,12057.0,32839.0,2017
Menard County,Texas,48,327,19.8,15.8,604.0,27.2,7.0,1705.0,2123.0,33.3,9.8,37917.0,31.0,69.6,5.1,0.4319,60800.0,17.9,14.0,2123.0,1705.0,23613.0,2017
Mendocino County,California,6,45,16.7,24.8,1048.0,34.6,1012.0,72378.0,87497.0,27.8,19.1,46528.0,3703.0,88.8,10.4,0.4942,338000.0,21.8,620.0,87497.0,72378.0,27093.0,2017
Menifee County,Kentucky,21,165,20.3,11.4,573.0,32.6,40.0,6294.0,6381.0,26.5,20.1,39688.0,0.0,94.0,5.4,0.3973,77800.0,20.9,4.0,6381.0,6294.0,19744.0,2017
Menominee County,Michigan,26,109,18.4,15.8,550.0,30.9,242.0,22067.0,23389.0,30.7,13.5,44480.0,580.0,93.7,5.9,0.4366,95900.0,19.1,77.0,23389.0,22067.0,26151.0,2017
Menominee County,Wisconsin,55,78,14.8,15.9,465.0,36.9,33.0,421.0,4506.0,18.1,35.8,38080.0,3921.0,75.1,8.1,0.4761,85400.0,32.4,22.0,4506.0,421.0,17197.0,2017
Merced County,California,6,47,14.7,13.8,934.0,43.1,3198.0,153649.0,267390.0,15.1,23.3,46338.0,1826.0,88.9,14.6,0.4653,196200.0,29.9,8621.0,267390.0,153649.0,20120.0,2017
Mercer County,Illinois,17,131,12.0,18.7,622.0,32.6,89.0,15344.0,15794.0,27.8,11.4,55649.0,10.0,96.7,6.5,0.3947,105100.0,21.7,88.0,15794.0,15344.0,27844.0,2017
Mercer County,Kentucky,21,167,19.1,17.0,619.0,34.0,235.0,19752.0,21378.0,25.1,16.7,47574.0,46.0,92.4,9.1,0.4324,139900.0,22.3,877.0,21378.0,19752.0,24981.0,2017
Mercer County,Missouri,29,129,14.2,17.6,527.0,32.1,13.0,3553.0,3669.0,28.3,17.7,43314.0,0.0,79.0,3.5,0.3964,82500.0,25.0,15.0,3669.0,3553.0,20374.0,2017
Mercer County,New Jersey,34,21,10.3,41.5,1191.0,41.0,4006.0,236826.0,373362.0,20.2,11.3,77027.0,322.0,90.6,7.5,0.4966,281900.0,21.5,76559.0,373362.0,236826.0,40064.0,2017
Mercer County,North Dakota,38,57,10.4,22.7,692.0,31.8,39.0,8157.0,8637.0,25.6,7.3,80337.0,231.0,87.1,1.3,0.3914,166200.0,22.1,81.0,8637.0,8157.0,36720.0,2017
Mercer County,Ohio,39,107,10.2,16.6,646.0,34.7,266.0,39541.0,40723.0,23.4,7.4,57052.0,3.0,95.2,3.9,0.4102,137900.0,25.7,278.0,40723.0,39541.0,27540.0,2017
Mercer County,Pennsylvania,42,85,16.6,22.3,667.0,34.9,1053.0,103680.0,113623.0,27.4,13.7,47340.0,103.0,92.6,5.8,0.4334,114100.0,20.1,6567.0,113623.0,103680.0,25499.0,2017
Mercer County,West Virginia,54,55,25.6,19.8,614.0,35.4,513.0,55599.0,60963.0,27.9,21.4,37763.0,179.0,92.8,6.2,0.4553,89400.0,20.6,3741.0,60963.0,55599.0,21698.0,2017
Meriwether County,Georgia,13,199,20.9,10.7,749.0,34.9,95.0,12215.0,21152.0,24.9,22.7,36368.0,36.0,85.5,8.1,0.4562,91300.0,22.0,8128.0,21152.0,12215.0,19679.0,2017
Merrick County,Nebraska,31,121,13.7,17.6,601.0,32.9,39.0,7477.0,7829.0,27.4,10.0,53536.0,13.0,91.4,3.3,0.4142,90900.0,22.5,47.0,7829.0,7477.0,27223.0,2017
Merrimack County,New Hampshire,33,13,13.8,35.2,1007.0,36.8,1431.0,139920.0,147958.0,23.5,7.7,69856.0,198.0,93.0,4.0,0.4216,226700.0,19.8,1813.0,147958.0,139920.0,34475.0,2017
Mesa County,Colorado,8,77,14.7,27.2,907.0,38.4,1915.0,139913.0,148798.0,24.0,16.0,51971.0,1136.0,88.4,8.0,0.4473,207900.0,22.1,1096.0,148798.0,139913.0,27612.0,2017
Metcalfe County,Kentucky,21,169,24.9,12.1,534.0,34.1,53.0,9622.0,9990.0,25.2,23.1,35594.0,17.0,90.1,5.8,0.433,75200.0,23.7,71.0,9990.0,9622.0,18449.0,2017
Miami County,Indiana,18,103,16.2,12.6,706.0,38.7,342.0,32758.0,36035.0,22.1,16.0,46666.0,289.0,90.2,7.8,0.4251,85500.0,21.8,1833.0,36035.0,32758.0,22890.0,2017
Miami County,Kansas,20,121,11.9,25.9,797.0,33.7,268.0,31562.0,32976.0,22.9,7.7,63501.0,251.0,93.2,4.4,0.4206,181100.0,25.3,502.0,32976.0,31562.0,31611.0,2017
Miami County,Ohio,39,109,13.8,21.0,756.0,35.5,841.0,97929.0,104081.0,24.5,9.9,54568.0,140.0,93.6,5.5,0.4116,138900.0,23.1,2204.0,104081.0,97929.0,28051.0,2017
Miami-Dade County,Florida,12,86,10.2,27.8,1195.0,40.9,36502.0,2043272.0,2702602.0,20.9,19.0,46338.0,4040.0,79.3,7.4,0.5256,242800.0,20.5,485602.0,2702602.0,2043272.0,25481.0,2017
Middlesex County,Connecticut,9,7,10.6,40.8,1132.0,34.9,1826.0,145791.0,164110.0,25.2,7.2,81673.0,265.0,95.9,5.1,0.4442,283700.0,18.8,8442.0,164110.0,145791.0,43695.0,2017
Middlesex County,Massachusetts,25,17,9.2,54.1,1455.0,41.8,20282.0,1233520.0,1582857.0,20.2,8.2,92878.0,2498.0,97.2,4.8,0.4704,453300.0,20.3,81673.0,1582857.0,1233520.0,47616.0,2017
Middlesex County,New Jersey,34,23,9.1,42.0,1384.0,41.3,8379.0,497816.0,837288.0,19.7,8.6,83133.0,1582.0,91.1,6.4,0.4329,329000.0,21.9,84015.0,837288.0,497816.0,36558.0,2017
Middlesex County,Virginia,51,119,17.7,22.1,793.0,26.8,46.0,8348.0,10710.0,39.9,10.2,50483.0,41.0,89.8,6.3,0.4689,248400.0,15.6,1977.0,10710.0,8348.0,29871.0,2017
Midland County,Michigan,26,111,13.6,34.1,744.0,36.7,646.0,78044.0,83489.0,23.0,11.3,57117.0,387.0,94.5,7.0,0.4722,133000.0,21.8,1220.0,83489.0,78044.0,33013.0,2017
Midland County,Texas,48,329,9.3,26.8,1180.0,43.6,1799.0,132316.0,159883.0,15.4,8.7,75815.0,744.0,80.7,3.5,0.4756,187400.0,27.9,9948.0,159883.0,132316.0,38545.0,2017
Mifflin County,Pennsylvania,42,87,17.3,12.2,655.0,33.2,517.0,45107.0,46452.0,27.1,13.5,46286.0,39.0,87.4,4.2,0.4101,103700.0,22.6,306.0,46452.0,45107.0,23568.0,2017
Milam County,Texas,48,331,19.1,15.0,642.0,33.8,195.0,20629.0,24479.0,27.1,16.0,41768.0,46.0,87.3,5.5,0.4488,88500.0,25.0,2192.0,24479.0,20629.0,22911.0,2017
Millard County,Utah,49,27,11.7,21.4,678.0,33.6,70.0,11182.0,12651.0,21.8,11.6,59312.0,132.0,86.3,2.9,0.3777,150300.0,31.4,45.0,12651.0,11182.0,23283.0,2017
Mille Lacs County,Minnesota,27,95,15.8,15.5,735.0,34.9,193.0,23261.0,25635.0,23.9,11.5,53737.0,1259.0,93.4,6.6,0.4011,151400.0,24.4,113.0,25635.0,23261.0,25732.0,2017
Miller County,Arkansas,5,91,18.7,15.8,710.0,38.1,416.0,30876.0,43760.0,22.4,21.0,41862.0,502.0,87.0,8.0,0.4507,108500.0,24.0,10790.0,43760.0,30876.0,22227.0,2017
Miller County,Georgia,13,201,12.5,11.4,665.0,34.7,14.0,4034.0,5884.0,26.5,23.3,37255.0,49.0,86.4,5.7,0.4857,88500.0,23.1,1788.0,5884.0,4034.0,21002.0,2017
Miller County,Missouri,29,131,16.4,16.0,638.0,34.8,237.0,24041.0,24947.0,24.7,16.5,41461.0,305.0,88.7,7.1,0.4596,126500.0,23.8,95.0,24947.0,24041.0,23346.0,2017
Mills County,Iowa,19,129,16.0,22.8,724.0,33.6,81.0,14433.0,14933.0,24.0,9.1,67949.0,107.0,95.3,3.2,0.4011,157000.0,23.8,118.0,14933.0,14433.0,31309.0,2017
Mills County,Texas,48,333,20.6,23.0,534.0,27.4,35.0,4789.0,4887.0,35.1,14.9,46318.0,0.0,83.2,2.9,0.449,111200.0,22.8,11.0,4887.0,4789.0,24858.0,2017
Milwaukee County,Wisconsin,55,79,13.0,30.1,844.0,42.8,16227.0,579582.0,956586.0,18.1,20.5,46784.0,5291.0,91.2,7.1,0.4789,150300.0,24.3,252712.0,956586.0,579582.0,26933.0,2017
Miner County,South Dakota,46,97,13.0,20.1,497.0,30.6,0.0,2169.0,2255.0,26.9,11.6,50658.0,8.0,90.9,2.0,0.4558,82000.0,25.9,23.0,2255.0,2169.0,28633.0,2017
Mineral County,Montana,30,61,21.1,15.2,564.0,26.4,92.0,4094.0,4194.0,36.8,20.1,40117.0,14.0,88.1,7.4,0.4534,159800.0,18.4,7.0,4194.0,4094.0,22894.0,2017
Mineral County,Nevada,32,21,21.3,14.0,518.0,31.4,63.0,2764.0,4471.0,30.0,20.3,39375.0,1179.0,84.7,20.6,0.4399,90900.0,20.6,35.0,4471.0,2764.0,22791.0,2017
Mineral County,West Virginia,54,57,21.9,12.7,586.0,34.9,440.0,26031.0,27421.0,27.0,14.8,40749.0,4.0,91.2,6.9,0.4067,129800.0,20.5,937.0,27421.0,26031.0,21888.0,2017
Mingo County,West Virginia,54,59,30.4,9.2,600.0,35.3,112.0,24166.0,25150.0,24.5,28.9,31227.0,18.0,93.3,15.6,0.4828,71000.0,22.3,478.0,25150.0,24166.0,19272.0,2017
Minidoka County,Idaho,16,67,13.4,14.2,622.0,37.0,35.0,19286.0,20448.0,21.6,17.9,48021.0,129.0,78.6,3.9,0.4268,121800.0,28.7,52.0,20448.0,19286.0,21887.0,2017
Minnehaha County,South Dakota,46,99,10.4,30.9,757.0,41.6,2329.0,158397.0,183660.0,17.7,11.0,57322.0,4436.0,92.1,3.4,0.4245,166600.0,25.2,8845.0,183660.0,158397.0,29551.0,2017
Missaukee County,Michigan,26,113,19.1,13.4,730.0,32.5,40.0,14470.0,14982.0,26.9,15.9,42370.0,91.0,90.6,7.0,0.4038,107100.0,23.2,68.0,14982.0,14470.0,21805.0,2017
Mississippi County,Arkansas,5,93,19.8,12.2,619.0,38.8,491.0,26522.0,43534.0,20.0,25.6,36417.0,18.0,89.3,11.6,0.4755,81400.0,26.7,15294.0,43534.0,26522.0,20378.0,2017
Mississippi County,Missouri,29,133,19.6,11.4,586.0,38.5,88.0,10195.0,13916.0,22.0,31.7,32212.0,124.0,83.3,10.0,0.494,73400.0,22.1,3357.0,13916.0,10195.0,17918.0,2017
Missoula County,Montana,30,63,12.6,42.6,792.0,45.4,1507.0,105007.0,114231.0,19.9,15.9,49412.0,3003.0,90.3,6.0,0.4782,259600.0,19.3,435.0,114231.0,105007.0,29681.0,2017
Mitchell County,Georgia,13,205,17.0,12.3,614.0,39.0,215.0,11125.0,22574.0,21.8,27.1,34122.0,32.0,80.4,15.2,0.4422,82500.0,23.5,10754.0,22574.0,11125.0,16088.0,2017
Mitchell County,Iowa,19,131,11.2,17.1,576.0,31.5,31.0,10438.0,10663.0,28.0,8.3,53675.0,28.0,90.8,3.6,0.4038,112300.0,24.1,14.0,10663.0,10438.0,27407.0,2017
Mitchell County,Kansas,20,123,15.3,24.1,561.0,33.7,68.0,6067.0,6230.0,28.5,14.8,44591.0,26.0,93.8,3.8,0.434,85700.0,21.8,42.0,6230.0,6067.0,26108.0,2017
Mitchell County,North Carolina,37,121,21.7,18.1,559.0,31.7,129.0,14627.0,15155.0,32.0,15.4,42534.0,91.0,86.8,4.7,0.4133,140600.0,18.4,48.0,15155.0,14627.0,22302.0,2017
Mitchell County,Texas,48,335,17.6,11.8,634.0,47.7,43.0,6886.0,8774.0,18.8,7.9,52194.0,49.0,81.3,6.4,0.395,65700.0,19.1,964.0,8774.0,6886.0,19741.0,2017
Mobile County,Alabama,1,97,14.5,23.0,828.0,39.3,4276.0,245542.0,414328.0,21.3,19.3,45802.0,2545.0,87.9,7.5,0.4729,124500.0,23.9,146423.0,414328.0,245542.0,24347.0,2017
Modoc County,California,6,49,19.0,16.6,739.0,29.8,57.0,8244.0,9017.0,34.4,18.1,39296.0,368.0,84.0,7.5,0.4354,143100.0,19.5,65.0,9017.0,8244.0,22052.0,2017
Moffat County,Colorado,8,81,10.8,17.2,732.0,37.8,223.0,12386.0,13056.0,21.3,10.1,53010.0,78.0,85.3,3.6,0.424,169200.0,25.8,126.0,13056.0,12386.0,27331.0,2017
Mohave County,Arizona,4,15,21.5,12.3,786.0,29.1,2101.0,185042.0,204691.0,35.9,18.6,41567.0,4830.0,87.7,10.1,0.4451,138700.0,18.2,2208.0,204691.0,185042.0,23527.0,2017
Moniteau County,Missouri,29,135,13.2,17.5,564.0,38.0,97.0,14744.0,15904.0,21.8,11.9,50897.0,118.0,85.1,5.7,0.3927,118400.0,25.0,545.0,15904.0,14744.0,21305.0,2017
Monmouth County,New Jersey,34,25,10.0,44.0,1315.0,35.2,4847.0,515213.0,627551.0,22.7,7.6,91807.0,967.0,92.6,6.0,0.4714,396200.0,22.0,45144.0,627551.0,515213.0,46736.0,2017
Mono County,California,6,51,7.3,31.5,1103.0,40.1,271.0,11987.0,14058.0,19.4,9.9,60595.0,374.0,83.2,3.6,0.3525,311700.0,19.5,74.0,14058.0,11987.0,30888.0,2017
Monona County,Iowa,19,133,13.9,16.2,572.0,31.6,211.0,8494.0,8865.0,32.1,14.9,41598.0,231.0,94.3,3.2,0.4627,84300.0,20.0,10.0,8865.0,8494.0,26829.0,2017
Monongalia County,West Virginia,54,61,12.0,39.8,788.0,53.4,1056.0,93291.0,103715.0,16.1,21.3,49624.0,127.0,93.0,6.1,0.5158,178200.0,16.3,3850.0,103715.0,93291.0,29285.0,2017
Monroe County,Alabama,1,99,15.2,12.5,499.0,34.6,118.0,11973.0,21745.0,25.5,33.7,26036.0,274.0,85.0,21.6,0.5568,88000.0,23.3,9029.0,21745.0,11973.0,17264.0,2017
Monroe County,Arkansas,5,95,25.3,9.3,492.0,32.0,160.0,4142.0,7420.0,30.4,28.6,31584.0,0.0,89.0,9.1,0.4757,54500.0,20.9,3026.0,7420.0,4142.0,20486.0,2017
Monroe County,Florida,12,87,11.7,31.8,1507.0,34.4,1365.0,68025.0,76745.0,29.1,12.7,63030.0,112.0,80.7,3.7,0.4996,429000.0,15.1,5529.0,76745.0,68025.0,39176.0,2017
Monroe County,Georgia,13,207,14.9,22.7,692.0,36.0,101.0,19732.0,26795.0,24.6,13.3,50666.0,34.0,87.7,9.4,0.538,159900.0,20.8,6311.0,26795.0,19732.0,30359.0,2017
Monroe County,Illinois,17,133,9.8,30.6,827.0,34.4,193.0,32999.0,33739.0,22.7,5.3,74410.0,17.0,96.8,4.4,0.4193,195500.0,22.9,141.0,33739.0,32999.0,37043.0,2017
Monroe County,Indiana,18,105,11.4,45.8,869.0,54.8,1937.0,124980.0,144436.0,16.5,24.7,45689.0,287.0,91.6,6.3,0.5107,163900.0,16.0,4502.0,144436.0,124980.0,26738.0,2017
Monroe County,Iowa,19,135,12.8,15.8,613.0,33.7,45.0,7614.0,7912.0,25.3,10.9,50179.0,0.0,92.4,5.6,0.3887,99100.0,24.4,6.0,7912.0,7614.0,25929.0,2017
Monroe County,Kentucky,21,171,22.0,14.8,508.0,34.5,94.0,10201.0,10645.0,24.2,23.5,35665.0,3.0,90.2,7.7,0.5167,74500.0,22.6,274.0,10645.0,10201.0,21985.0,2017
Monroe County,Michigan,26,115,13.4,18.6,790.0,35.7,1040.0,141412.0,149619.0,23.5,11.2,59479.0,591.0,94.2,5.9,0.4174,149500.0,22.2,3442.0,149619.0,141412.0,29245.0,2017
Monroe County,Mississippi,28,95,16.7,16.5,601.0,35.7,318.0,24441.0,35967.0,25.9,19.2,39444.0,9.0,88.8,7.4,0.4621,87100.0,23.0,10846.0,35967.0,24441.0,21643.0,2017
Monroe County,Missouri,29,137,17.8,14.4,556.0,32.1,93.0,8228.0,8676.0,29.0,13.0,42011.0,15.0,87.5,4.5,0.3762,103100.0,22.3,299.0,8676.0,8228.0,22255.0,2017
Monroe County,New York,36,55,13.3,37.1,872.0,39.5,9362.0,568281.0,748680.0,22.2,14.8,55272.0,3106.0,95.5,6.6,0.4658,142300.0,21.3,114344.0,748680.0,568281.0,31291.0,2017
Monroe County,Ohio,39,111,19.5,11.4,570.0,32.0,64.0,14146.0,14239.0,29.0,19.7,43299.0,2.0,89.8,5.9,0.4361,97400.0,21.1,8.0,14239.0,14146.0,23154.0,2017
Monroe County,Pennsylvania,42,89,14.7,24.0,1071.0,37.0,1267.0,128746.0,167306.0,22.5,11.1,61430.0,720.0,91.4,9.2,0.4112,167200.0,20.6,23629.0,167306.0,128746.0,27439.0,2017
Monroe County,Tennessee,47,123,19.3,11.7,627.0,34.7,384.0,43205.0,45698.0,26.8,20.4,36931.0,421.0,89.1,9.3,0.4449,115200.0,21.9,900.0,45698.0,43205.0,20353.0,2017
