County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,asian_population,per_capita_income,total_population_race,median_home_value,black_population,age_18_and_under_percentage,Year
Antelope County,Nebraska,31,3,6564.0,6655.0,18.6,43.0,495.0,78.6,0.4111,5.0,40397.0,6564.0,22257.0,6655.0,69800.0,10.0,7.0,2012
Antrim County,Michigan,26,9,22799.0,23634.0,21.6,102.0,710.0,82.0,0.4394,183.0,43171.0,22799.0,24054.0,23634.0,148100.0,69.0,6.3,2012
Apache County,Arizona,4,1,17177.0,71618.0,10.8,173.0,524.0,72.2,0.4845,52153.0,31615.0,17177.0,12845.0,71618.0,85200.0,207.0,10.8,2012
Appanoose County,Iowa,19,7,12500.0,12858.0,18.5,110.0,534.0,78.9,0.4053,3.0,37866.0,12500.0,20463.0,12858.0,76300.0,61.0,7.2,2012
Appling County,Georgia,13,1,13655.0,18279.0,11.5,187.0,497.0,75.3,0.4401,25.0,35875.0,13655.0,19664.0,18279.0,83700.0,3563.0,7.5,2012
Appomattox County,Virginia,51,11,11468.0,14952.0,16.0,97.0,562.0,79.2,0.4009,12.0,50092.0,11468.0,23021.0,14952.0,145200.0,3206.0,7.9,2012
Aransas County,Texas,48,7,21591.0,23391.0,24.2,97.0,830.0,81.6,0.4722,69.0,44769.0,21591.0,26218.0,23391.0,121500.0,207.0,7.5,2012
Arapahoe County,Colorado,8,5,432797.0,574357.0,8.9,7721.0,950.0,76.2,0.4654,4743.0,60400.0,432797.0,32845.0,574357.0,230900.0,57554.0,8.9,2012
Archer County,Texas,48,9,8596.0,8944.0,15.1,73.0,648.0,79.4,0.4212,60.0,56250.0,8596.0,27057.0,8944.0,101400.0,58.0,9.0,2012
Archuleta County,Colorado,8,7,10827.0,12109.0,16.0,134.0,897.0,80.8,0.456,85.0,54007.0,10827.0,29771.0,12109.0,291300.0,58.0,8.3,2012
Arenac County,Michigan,26,11,15371.0,15952.0,19.3,100.0,554.0,83.1,0.432,83.0,36937.0,15371.0,20048.0,15952.0,90900.0,252.0,7.3,2012
Arkansas County,Arkansas,5,1,13791.0,19029.0,14.9,260.0,597.0,77.8,0.4681,27.0,39883.0,13791.0,23570.0,19029.0,76700.0,4656.0,8.2,2012
Arlington County,Virginia,51,13,149199.0,209077.0,7.7,4120.0,1678.0,85.2,0.4301,824.0,102459.0,149199.0,61312.0,209077.0,577300.0,17742.0,9.0,2012
Armstrong County,Pennsylvania,42,5,67494.0,68942.0,16.1,432.0,571.0,81.4,0.4116,25.0,44478.0,67494.0,23315.0,68942.0,92300.0,635.0,7.6,2012
Armstrong County,Texas,48,11,1717.0,1820.0,21.5,8.0,780.0,81.9,0.3762,11.0,56974.0,1717.0,24234.0,1820.0,91800.0,19.0,8.2,2012
Aroostook County,Maine,23,3,68595.0,71757.0,17.2,893.0,534.0,81.9,0.4267,998.0,37434.0,68595.0,21024.0,71757.0,89900.0,430.0,8.4,2012
Ascension Parish,Louisiana,22,5,80220.0,107647.0,8.0,627.0,836.0,73.1,0.4044,281.0,67688.0,80220.0,28160.0,107647.0,167600.0,24118.0,8.6,2012
Ashe County,North Carolina,37,9,25561.0,27099.0,18.2,170.0,594.0,82.7,0.4407,136.0,35670.0,25561.0,20679.0,27099.0,152900.0,109.0,7.5,2012
Ashland County,Ohio,39,5,51720.0,53203.0,14.4,364.0,668.0,78.8,0.4226,105.0,44996.0,51720.0,21740.0,53203.0,124500.0,407.0,10.6,2012
Ashland County,Wisconsin,55,3,13632.0,16113.0,14.7,168.0,536.0,79.1,0.4078,1637.0,39157.0,13632.0,20528.0,16113.0,110400.0,59.0,10.2,2012
Ashley County,Arkansas,5,3,15143.0,21811.0,15.0,33.0,521.0,77.7,0.4505,49.0,38069.0,15143.0,20300.0,21811.0,63600.0,5613.0,7.8,2012
Ashtabula County,Ohio,39,7,94328.0,101262.0,13.8,926.0,624.0,78.7,0.4224,172.0,41075.0,94328.0,20135.0,101262.0,113800.0,3683.0,8.2,2012
Asotin County,Washington,53,3,20330.0,21658.0,18.3,351.0,659.0,80.4,0.443,234.0,42305.0,20330.0,24353.0,21658.0,172300.0,104.0,8.0,2012
Assumption Parish,Louisiana,22,7,15742.0,23321.0,12.5,80.0,578.0,78.5,0.4419,68.0,46410.0,15742.0,22073.0,23321.0,88900.0,7147.0,9.4,2012
Atascosa County,Texas,48,13,36395.0,45091.0,12.0,262.0,699.0,73.4,0.4395,273.0,45702.0,36395.0,19937.0,45091.0,83300.0,290.0,9.0,2012
Atchison County,Kansas,20,5,15402.0,16854.0,13.0,137.0,570.0,76.7,0.4192,78.0,45666.0,15402.0,21952.0,16854.0,87800.0,886.0,14.7,2012
Atchison County,Missouri,29,5,5539.0,5664.0,19.0,27.0,557.0,81.1,0.4195,9.0,46059.0,5539.0,25699.0,5664.0,76900.0,62.0,7.5,2012
Athens County,Ohio,39,9,59315.0,64592.0,8.8,436.0,674.0,85.1,0.4955,67.0,33836.0,59315.0,17055.0,64592.0,118700.0,1888.0,32.5,2012
Atkinson County,Georgia,13,3,5499.0,8355.0,8.5,66.0,421.0,73.5,0.4758,2.0,28682.0,5499.0,14696.0,8355.0,73100.0,1418.0,8.3,2012
Atlantic County,New Jersey,34,1,180960.0,274402.0,12.6,3034.0,1017.0,78.6,0.4433,867.0,54559.0,180960.0,27227.0,274402.0,248100.0,44727.0,9.6,2012
Atoka County,Oklahoma,40,5,10572.0,14133.0,14.0,111.0,533.0,80.4,0.4367,1371.0,36755.0,10572.0,17412.0,14133.0,73700.0,595.0,9.1,2012
Attala County,Mississippi,28,7,10891.0,19454.0,15.6,95.0,532.0,76.6,0.4891,0.0,31102.0,10891.0,17955.0,19454.0,73200.0,8200.0,9.3,2012
Audrain County,Missouri,29,7,22984.0,25617.0,14.2,102.0,631.0,76.6,0.3972,87.0,41387.0,22984.0,18995.0,25617.0,85300.0,1633.0,7.4,2012
Audubon County,Iowa,19,9,5978.0,6077.0,19.9,15.0,553.0,81.4,0.4231,33.0,47630.0,5978.0,26855.0,6077.0,69900.0,4.0,5.8,2012
Auglaize County,Ohio,39,11,44926.0,45934.0,13.4,202.0,648.0,76.8,0.4041,70.0,52267.0,44926.0,25901.0,45934.0,127200.0,142.0,7.8,2012
Augusta County,Virginia,51,15,68529.0,73662.0,14.9,347.0,734.0,81.2,0.3955,231.0,50971.0,68529.0,23882.0,73662.0,195200.0,2990.0,8.1,2012
Aurora County,South Dakota,46,3,2579.0,2726.0,16.8,5.0,578.0,76.5,0.4053,30.0,46071.0,2579.0,21777.0,2726.0,70200.0,60.0,5.7,2012
Austin County,Texas,48,15,24187.0,28372.0,14.7,121.0,763.0,75.8,0.4502,13.0,51340.0,24187.0,26206.0,28372.0,153200.0,2757.0,8.3,2012
Autauga County,Alabama,1,1,43084.0,54590.0,10.6,482.0,836.0,75.3,0.4122,169.0,53773.0,43084.0,25253.0,54590.0,137900.0,9880.0,9.3,2012
