County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,white_population,total_population,age_60_and_over,poverty_rate,housing_cost_burden,median_household_income,gini_index,native_american_population,health_insurance_rate,unemployment_rate,total_population_race,median_home_value,black_population,age_18_and_under_percentage,asian_population,per_capita_income,Year
Dougherty County,Georgia,13,95,15.1,17.5,697.0,75.6,27277.0,93890.0,10.9,32.4,1468.0,31458.0,0.5197,113.0,20.8,18.4,93890.0,100800.0,63429.0,12.8,27277.0,18770.0,2014
Douglas County,Colorado,8,35,6.2,59.4,1353.0,72.7,272630.0,299794.0,8.0,4.1,1573.0,102626.0,0.3934,779.0,5.9,4.7,299794.0,340300.0,2985.0,6.5,272630.0,44105.0,2014
Douglas County,Georgia,13,97,11.6,21.6,945.0,74.3,70973.0,135037.0,8.6,16.2,1591.0,52997.0,0.4079,151.0,17.8,11.5,135037.0,125500.0,55739.0,9.3,70973.0,23356.0,2014
Douglas County,Illinois,17,41,10.3,14.1,677.0,76.4,19080.0,19867.0,13.9,11.2,102.0,51701.0,0.4029,20.0,19.3,6.0,19867.0,99100.0,92.0,8.2,19080.0,24330.0,2014
Douglas County,Kansas,20,45,9.6,47.8,860.0,82.6,96047.0,113703.0,8.4,18.5,1555.0,50732.0,0.4653,2432.0,12.5,6.7,113703.0,181300.0,4463.0,24.8,96047.0,26790.0,2014
Douglas County,Minnesota,27,41,11.5,24.3,685.0,80.1,35590.0,36413.0,18.7,10.0,326.0,52485.0,0.4286,100.0,7.3,5.2,36413.0,189800.0,191.0,8.7,35590.0,28755.0,2014
Douglas County,Missouri,29,67,20.3,7.2,602.0,80.9,13358.0,13575.0,19.9,21.5,133.0,30879.0,0.4275,56.0,18.5,9.6,13575.0,97300.0,0.0,7.5,13358.0,16780.0,2014
Douglas County,Nebraska,31,55,10.3,36.6,808.0,75.8,420226.0,531057.0,9.5,14.7,6523.0,53444.0,0.4637,3481.0,12.4,6.5,531057.0,143300.0,59848.0,9.8,420226.0,29123.0,2014
Douglas County,Nevada,32,5,15.1,26.3,1035.0,83.1,42185.0,47135.0,22.4,10.5,436.0,58940.0,0.4579,1100.0,14.4,9.5,47135.0,267200.0,203.0,7.1,42185.0,34090.0,2014
Douglas County,Oregon,41,19,21.1,16.1,776.0,81.7,99464.0,107156.0,21.3,19.7,1360.0,40820.0,0.4231,1650.0,14.3,13.7,107156.0,170700.0,331.0,7.7,99464.0,22074.0,2014
Douglas County,South Dakota,46,43,13.5,15.4,550.0,79.8,2864.0,2990.0,22.2,13.4,17.0,49360.0,0.4498,99.0,13.1,1.0,2990.0,71800.0,0.0,6.5,2864.0,27978.0,2014
Douglas County,Washington,53,17,16.2,19.1,782.0,75.9,28836.0,39183.0,13.9,15.7,240.0,53235.0,0.385,392.0,19.9,7.9,39183.0,200800.0,139.0,8.8,28836.0,23116.0,2014
Douglas County,Wisconsin,55,31,13.6,20.8,691.0,80.7,40817.0,43901.0,14.0,15.5,609.0,44956.0,0.4187,826.0,10.7,8.2,43901.0,130500.0,509.0,9.7,40817.0,24821.0,2014
Drew County,Arkansas,5,43,19.1,18.8,600.0,79.4,12961.0,18705.0,14.1,29.3,170.0,32351.0,0.484,31.0,16.3,14.4,18705.0,87400.0,5377.0,15.6,12961.0,17433.0,2014
DuPage County,Illinois,17,43,7.9,48.3,1127.0,78.1,741208.0,926485.0,11.0,7.1,8450.0,79016.0,0.4501,1699.0,9.1,8.0,926485.0,279700.0,43163.0,9.1,741208.0,38931.0,2014
Dubois County,Indiana,18,37,9.8,17.6,614.0,78.3,40688.0,42170.0,13.2,8.8,469.0,54186.0,0.4042,69.0,8.6,4.2,42170.0,132900.0,147.0,7.1,40688.0,25841.0,2014
Dubuque County,Iowa,19,61,11.0,26.1,690.0,78.8,89409.0,95166.0,13.5,11.5,940.0,53410.0,0.4156,75.0,5.6,4.7,95166.0,146500.0,1503.0,10.8,89409.0,26791.0,2014
Duchesne County,Utah,49,13,9.5,15.9,803.0,69.7,17617.0,19378.0,10.5,10.1,102.0,60700.0,0.394,948.0,15.1,5.2,19378.0,172300.0,36.0,8.7,17617.0,24162.0,2014
Dukes County,Massachusetts,25,7,7.5,38.1,1461.0,82.6,15975.0,16915.0,16.5,11.3,70.0,65518.0,0.4654,110.0,7.8,5.1,16915.0,641100.0,305.0,6.6,15975.0,33738.0,2014
Dundy County,Nebraska,31,57,12.7,25.5,453.0,82.2,1941.0,1966.0,19.1,9.3,15.0,47636.0,0.4706,1.0,14.9,4.2,1966.0,70000.0,1.0,6.6,1941.0,29111.0,2014
Dunklin County,Missouri,29,69,21.7,9.9,512.0,75.8,27422.0,31778.0,14.8,26.7,391.0,31777.0,0.4634,87.0,16.7,9.8,31778.0,69900.0,3334.0,8.8,27422.0,18158.0,2014
Dunn County,North Dakota,38,25,12.9,16.0,750.0,82.5,3316.0,3965.0,14.7,11.5,11.0,69063.0,0.5058,392.0,15.3,3.8,3965.0,118700.0,7.0,8.8,3316.0,38216.0,2014
Dunn County,Wisconsin,55,33,10.0,25.7,732.0,82.0,41690.0,44045.0,11.9,15.1,296.0,49897.0,0.4096,186.0,8.8,6.3,44045.0,154900.0,243.0,19.5,41690.0,23324.0,2014
