County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,age_15_to_44_percentage,median_gross_rent,housing_cost_burden,poverty_rate,age_60_and_over,total_population,white_population,median_household_income,unemployment_rate,health_insurance_rate,native_american_population,gini_index,age_18_and_under_percentage,black_population,median_home_value,total_population_race,per_capita_income,asian_population,Year
Kerr County,Texas,48,265,19.4,26.2,81.9,783.0,512.0,16.7,25.3,50505.0,46452.0,44261.0,8.2,82.7,370.0,0.4625,8.9,770.0,162600.0,50505.0,26210.0,46452.0,2016
Kershaw County,South Carolina,45,55,15.0,20.6,77.6,727.0,348.0,15.9,15.1,63090.0,45206.0,46328.0,8.3,87.7,142.0,0.4393,8.4,15435.0,120600.0,63090.0,23149.0,45206.0,2016
Ketchikan Gateway Borough,Alaska,2,130,13.9,23.8,80.1,1078.0,158.0,10.8,12.6,13715.0,9264.0,64162.0,7.6,84.5,1834.0,0.4158,9.2,68.0,257100.0,13715.0,32694.0,9264.0,2016
Kewaunee County,Wisconsin,55,61,12.9,16.9,80.7,609.0,48.0,9.0,17.1,20459.0,19838.0,58152.0,4.6,95.6,58.0,0.3855,7.8,74.0,151200.0,20459.0,27539.0,19838.0,2016
Keweenaw County,Michigan,26,83,19.9,24.9,85.2,552.0,9.0,17.0,31.5,2195.0,2161.0,41472.0,6.6,89.3,9.0,0.4564,6.7,20.0,98800.0,2195.0,26328.0,2161.0,2016
Kidder County,North Dakota,38,43,12.8,19.7,85.5,509.0,36.0,7.0,19.8,2419.0,2362.0,58527.0,1.6,91.7,3.0,0.4741,9.8,0.0,100100.0,2419.0,36779.0,2362.0,2016
Kimball County,Nebraska,31,105,15.7,15.6,82.1,684.0,23.0,10.3,23.5,3713.0,3554.0,40344.0,5.4,84.9,13.0,0.42,8.0,1.0,83000.0,3713.0,23727.0,3554.0,2016
Kimble County,Texas,48,267,19.9,17.0,84.1,618.0,85.0,19.0,28.8,4453.0,4146.0,41263.0,6.0,75.6,11.0,0.5001,5.6,1.0,114900.0,4453.0,26969.0,4146.0,2016
King County,Washington,53,33,9.6,49.1,80.9,1273.0,32339.0,10.7,10.7,2079550.0,1397436.0,78800.0,5.5,91.7,14581.0,0.4682,8.8,127902.0,407400.0,2079550.0,43629.0,1397436.0,2016
King George County,Virginia,51,99,11.3,34.5,76.8,1079.0,80.0,5.6,11.0,25260.0,19389.0,84342.0,6.5,92.4,62.0,0.3748,8.8,4272.0,288000.0,25260.0,35201.0,19389.0,2016
King William County,Virginia,51,101,9.8,18.6,77.4,1070.0,18.0,12.1,13.2,16156.0,12384.0,64297.0,3.9,91.8,215.0,0.376,6.5,3030.0,200100.0,16156.0,29311.0,12384.0,2016
King and Queen County,Virginia,51,97,12.3,19.2,79.4,841.0,17.0,14.2,18.1,7140.0,4901.0,48852.0,6.0,87.1,46.0,0.3827,7.7,1891.0,170000.0,7140.0,25392.0,4901.0,2016
Kingfisher County,Oklahoma,40,73,17.0,22.0,74.6,728.0,37.0,8.4,13.5,15392.0,12760.0,62912.0,3.6,87.3,604.0,0.4293,8.2,136.0,126100.0,15392.0,30011.0,12760.0,2016
Kingman County,Kansas,20,95,16.1,23.5,78.7,593.0,42.0,8.8,19.3,7697.0,7468.0,56142.0,5.5,91.8,47.0,0.4239,7.5,33.0,90200.0,7697.0,28911.0,7468.0,2016
Kings County,California,6,31,11.6,12.8,77.2,889.0,1906.0,21.6,7.5,150261.0,100728.0,47241.0,11.7,87.3,2054.0,0.4502,11.9,9596.0,172000.0,150261.0,19123.0,100728.0,2016
Kings County,New York,36,47,10.1,34.1,77.5,1262.0,58549.0,22.7,10.4,2606852.0,1128927.0,50640.0,9.0,89.3,8730.0,0.5201,9.7,871223.0,590500.0,2606852.0,28134.0,1128927.0,2016
Kingsbury County,South Dakota,46,77,14.0,22.7,80.2,457.0,7.0,9.3,20.1,5070.0,4881.0,54568.0,2.1,93.6,11.0,0.4458,6.5,0.0,93800.0,5070.0,31524.0,4881.0,2016
Kinney County,Texas,48,271,12.6,13.2,81.3,515.0,22.0,20.5,15.9,3578.0,3499.0,34398.0,14.4,77.2,3.0,0.4398,9.3,3.0,72700.0,3578.0,17818.0,3499.0,2016
Kiowa County,Colorado,8,61,17.3,20.2,75.4,589.0,6.0,10.7,18.7,1465.0,1401.0,38385.0,4.1,88.6,3.0,0.4226,4.7,7.0,82700.0,1465.0,21602.0,1401.0,2016
Kiowa County,Kansas,20,97,14.8,27.3,81.8,542.0,40.0,10.9,17.7,2520.0,2383.0,44896.0,3.9,91.1,4.0,0.4416,12.1,35.0,118400.0,2520.0,24895.0,2383.0,2016
Kiowa County,Oklahoma,40,75,20.5,17.6,78.3,545.0,38.0,21.6,17.3,9239.0,7300.0,38853.0,5.9,83.0,505.0,0.4774,7.5,351.0,59600.0,9239.0,22857.0,7300.0,2016
Kit Carson County,Colorado,8,63,16.5,13.8,81.2,760.0,51.0,14.2,14.1,8174.0,7538.0,44449.0,5.0,84.3,28.0,0.4838,7.4,306.0,123400.0,8174.0,24327.0,7538.0,2016
Kitsap County,Washington,53,35,15.7,31.2,81.4,1081.0,3199.0,10.4,14.4,257488.0,210358.0,65017.0,7.0,92.3,2996.0,0.4267,12.2,6273.0,262400.0,257488.0,32801.0,210358.0,2016
Kittitas County,Washington,53,37,13.2,34.7,83.7,857.0,672.0,20.9,14.0,42785.0,38315.0,47898.0,6.7,88.6,341.0,0.4564,22.5,484.0,246300.0,42785.0,25147.0,38315.0,2016
Kittson County,Minnesota,27,69,14.5,20.7,81.6,497.0,31.0,11.2,20.9,4436.0,4347.0,51484.0,2.7,93.5,9.0,0.4322,7.7,28.0,72400.0,4436.0,29939.0,4347.0,2016
Klamath County,Oregon,41,35,19.9,18.9,80.3,728.0,774.0,18.6,18.6,65946.0,58193.0,41951.0,11.3,88.4,2222.0,0.4415,9.3,407.0,148100.0,65946.0,23071.0,58193.0,2016
Kleberg County,Texas,48,273,15.2,25.3,78.3,782.0,337.0,23.8,11.0,31877.0,27520.0,41469.0,10.5,79.3,170.0,0.459,21.1,1240.0,86600.0,31877.0,19700.0,27520.0,2016
Klickitat County,Washington,53,39,19.0,24.4,81.6,787.0,289.0,15.7,20.9,20930.0,19093.0,49633.0,5.4,90.5,560.0,0.3857,7.2,142.0,197500.0,20930.0,23227.0,19093.0,2016
Knott County,Kentucky,21,119,31.5,12.9,81.3,474.0,65.0,31.6,14.0,15884.0,15478.0,28165.0,14.8,89.1,0.0,0.484,10.5,152.0,50900.0,15884.0,17761.0,15478.0,2016
Knox County,Illinois,17,95,16.4,18.1,81.8,593.0,671.0,17.6,17.0,51752.0,44825.0,40605.0,6.8,91.3,119.0,0.4467,10.6,4400.0,80100.0,51752.0,22939.0,44825.0,2016
Knox County,Indiana,18,83,16.4,15.2,81.1,653.0,342.0,14.1,13.5,37956.0,35803.0,44624.0,5.3,88.9,29.0,0.4242,16.1,1141.0,85100.0,37956.0,22976.0,35803.0,2016
Knox County,Kentucky,21,121,17.6,10.9,77.3,540.0,352.0,34.4,15.1,31740.0,30820.0,26553.0,13.3,87.2,106.0,0.4815,10.0,461.0,77000.0,31740.0,15479.0,30820.0,2016
Knox County,Maine,23,13,16.2,30.2,83.1,778.0,367.0,11.9,20.3,39717.0,38340.0,52239.0,5.6,87.6,195.0,0.413,7.1,247.0,198100.0,39717.0,28413.0,38340.0,2016
Knox County,Missouri,29,103,19.8,15.5,77.5,510.0,35.0,20.1,17.8,3997.0,3857.0,38816.0,6.1,79.9,0.0,0.4426,8.9,14.0,72200.0,3997.0,21471.0,3857.0,2016
Knox County,Nebraska,31,107,13.2,20.2,79.4,474.0,58.0,12.5,21.1,8551.0,7448.0,47692.0,3.0,89.0,817.0,0.4419,6.8,16.0,84500.0,8551.0,26675.0,7448.0,2016
Knox County,Ohio,39,83,14.1,21.9,78.4,692.0,659.0,15.6,14.9,60878.0,58773.0,48619.0,6.1,89.1,74.0,0.4176,12.0,626.0,135600.0,60878.0,23426.0,58773.0,2016
Knox County,Tennessee,47,93,13.0,35.7,80.1,808.0,5525.0,16.2,12.7,448164.0,383763.0,50366.0,6.2,90.1,1372.0,0.4823,12.7,40132.0,164700.0,448164.0,28980.0,383763.0,2016
Knox County,Texas,48,275,19.8,18.3,75.6,426.0,28.0,14.7,17.3,3807.0,3302.0,42188.0,5.4,82.4,26.0,0.4079,8.1,271.0,43300.0,3807.0,19673.0,3302.0,2016
Kodiak Island Borough,Alaska,2,150,11.8,24.8,76.1,1254.0,79.0,9.2,7.8,13918.0,7516.0,73068.0,3.6,77.3,1908.0,0.3845,9.1,20.0,266700.0,13918.0,32066.0,7516.0,2016
Koochiching County,Minnesota,27,71,16.3,18.4,82.8,585.0,141.0,16.9,20.1,12930.0,12106.0,44929.0,7.5,93.1,471.0,0.445,7.6,119.0,105500.0,12930.0,26814.0,12106.0,2016
Kootenai County,Idaho,16,55,13.5,24.0,78.1,878.0,1311.0,12.6,16.0,147716.0,139060.0,50924.0,7.1,86.7,2175.0,0.4379,8.7,570.0,193300.0,147716.0,26514.0,139060.0,2016
Kosciusko County,Indiana,18,85,13.2,21.2,77.9,737.0,446.0,11.0,13.7,78461.0,73563.0,54482.0,5.3,87.6,233.0,0.4231,9.4,729.0,136700.0,78461.0,26854.0,73563.0,2016
Kossuth County,Iowa,19,109,12.9,19.5,79.7,616.0,60.0,9.7,19.8,15226.0,14818.0,54231.0,1.8,95.5,27.0,0.4184,7.7,69.0,95800.0,15226.0,29086.0,14818.0,2016
La Crosse County,Wisconsin,55,63,11.3,32.5,80.7,761.0,1123.0,14.8,13.2,117538.0,107415.0,51477.0,4.8,94.1,400.0,0.4492,15.5,1446.0,158700.0,117538.0,28240.0,107415.0,2016
La Paz County,Arizona,4,12,21.7,10.4,84.4,562.0,57.0,21.1,36.7,20304.0,15274.0,36321.0,10.6,87.8,2683.0,0.4389,7.3,77.0,71200.0,20304.0,21447.0,15274.0,2016
La Plata County,Colorado,8,67,8.7,43.0,82.7,1021.0,761.0,10.7,13.8,53994.0,47916.0,61910.0,5.1,87.1,3151.0,0.4293,10.6,242.0,340500.0,53994.0,32953.0,47916.0,2016
La Salle County,Texas,48,283,21.4,14.6,78.9,384.0,14.0,13.2,13.4,7319.0,5798.0,40094.0,8.4,74.6,0.0,0.604,9.9,94.0,63500.0,7319.0,23939.0,5798.0,2016
LaGrange County,Indiana,18,87,10.4,11.2,68.4,697.0,118.0,12.5,11.5,38395.0,37605.0,53947.0,4.1,59.7,15.0,0.4165,9.8,86.0,170600.0,38395.0,21774.0,37605.0,2016
LaMoure County,North Dakota,38,45,11.8,22.5,79.2,569.0,12.0,9.6,22.0,4111.0,4037.0,55900.0,1.8,93.9,13.0,0.502,6.9,6.0,87300.0,4111.0,36493.0,4037.0,2016
LaPorte County,Indiana,18,91,13.6,17.6,81.1,709.0,962.0,17.3,13.4,110993.0,92765.0,48165.0,8.8,89.5,316.0,0.4392,9.3,12162.0,123700.0,110993.0,24340.0,92765.0,2016
LaSalle County,Illinois,17,99,13.2,17.0,80.6,700.0,905.0,13.9,15.3,111935.0,105539.0,51684.0,9.6,92.1,265.0,0.4253,9.0,2732.0,123200.0,111935.0,26228.0,105539.0,2016
LaSalle Parish,Louisiana,22,59,15.4,11.0,81.1,539.0,30.0,23.1,13.5,14927.0,12779.0,35339.0,5.2,85.7,148.0,0.4879,10.3,1844.0,69100.0,14927.0,19434.0,12779.0,2016
Labette County,Kansas,20,99,18.3,18.0,77.1,572.0,367.0,18.2,15.7,20833.0,18433.0,41851.0,5.3,87.9,200.0,0.4172,9.0,691.0,75300.0,20833.0,21648.0,18433.0,2016
