County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate,white_population,total_population,age_60_and_over,poverty_rate,housing_cost_burden,bachelors_and_above_percentage,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,median_household_income,asian_population,per_capita_income,total_population_race,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,Year
Adams County,Iowa,78.5568813594229,19,3,13.8,3944,4027,20.6,11.2,25,15.6,443,81.7,0.4564,6,4.0,7.9,4.3,45099,0,25709,4027,45.7,88100,12,6.6,2012
Adams County,Mississippi,73.6887819471518,28,1,17.2,12794,32391,12.9,28.6,250,14.2,606,80.3,0.5047,66,8.1,19.1,10.4,27486,116,17585,32391,36.4,81800,18739,8.3,2012
Adams County,Nebraska,79.4740321918779,31,1,11.4,29659,31299,12.9,12.4,199,20.7,616,78.1,0.4312,126,4.1,12.8,5.4,49017,412,24866,31299,32.7,96900,204,12.6,2012
Adams County,North Dakota,79.0355115576984,38,1,13.9,2269,2325,24.1,10.5,14,18.9,417,85.2,0.4312,31,8.8,14.0,2.5,42830,1,26655,2325,39.5,89000,1,8.6,2012
Adams County,Ohio,74.2240039979635,39,1,20.8,27875,28524,13.9,23.1,251,9.5,522,76.7,0.4554,70,10.6,18.3,16.1,34282,6,18238,28524,50.0,94600,89,7.9,2012
Adams County,Pennsylvania,79.6490113694166,42,1,13.2,93884,101352,14.5,8.5,733,19.1,798,80.1,0.3994,134,6.6,9.0,5.7,58465,744,26986,101352,43.0,204000,1607,10.2,2012
Adams County,Washington,79.2124919038911,53,1,11.4,11632,18575,9.5,23.1,273,12.5,582,68.0,0.4038,167,27.7,23.7,12.3,41798,123,16539,18575,25.0,131600,24,10.5,2012
Adams County,Wisconsin,78.1968645278439,55,1,19.2,19488,20898,21.8,11.6,113,11.0,656,86.6,0.3823,124,4.1,9.3,10.6,42781,87,21683,20898,42.3,135900,665,6.0,2012
Addison County,Vermont,80.7161961576866,50,1,12.3,35217,36814,12.7,11.1,369,31.5,877,81.9,0.4142,114,3.5,8.3,6.9,57785,554,28550,36814,35.0,235500,320,13.2,2012
Aiken County,South Carolina,77.0462405096629,45,3,13.6,111591,160169,14.2,18.9,1076,24.6,684,78.8,0.4639,413,5.5,15.6,9.6,44399,1086,24677,160169,31.3,124900,39908,9.2,2012
Aitkin County,Minnesota,79.5257601624011,27,1,18.6,15432,16166,27.0,12.6,105,15.0,613,84.3,0.4277,262,3.5,9.8,10.1,41191,72,24593,16166,40.8,173400,76,5.2,2012
Alachua County,Florida,78.8298810026242,12,1,10.3,174623,247973,9.6,23.8,3489,42.4,895,83.3,0.5101,570,3.6,16.2,7.9,42818,13354,25287,247973,21.3,176300,49795,22.8,2012
Alamance County,North Carolina,77.4616564859463,37,1,14.1,105718,151170,12.7,17.3,1363,22.9,724,77.6,0.4427,374,7.2,16.4,9.4,44155,1910,23517,151170,29.7,136500,27279,10.5,2012
Alameda County,California,81.5917114810884,6,1,9.2,695847,1515136,9.8,12.0,21987,41.1,1265,79.2,0.4634,8456,7.2,12.4,9.9,71516,400465,35434,1515136,19.8,514900,185614,10.2,2012
