County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate,median_gross_rent,age_15_to_44_percentage,bachelors_and_above_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_household_income,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,gini_index,high_school_only_percentage,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income,Year
Gallatin County,Kentucky,72.2162006881891,21,77,14.1,678.0,36.8,11.9,45.0,8144.0,8652.0,19.6,13.4,50250.0,0.0,6.4,89.9,6.0,0.3904,45.8,109900.0,25.0,131.0,8652.0,8144.0,22508.0,2017
Gallatin County,Montana,81.9656480162457,30,31,7.6,948.0,48.3,48.8,1619.0,95345.0,100733.0,17.0,13.0,59397.0,995.0,1.0,91.2,4.3,0.4662,18.9,303700.0,20.4,318.0,100733.0,95345.0,33181.0,2017
Gallia County,Ohio,73.7101214496601,39,53,19.8,646.0,35.7,16.2,150.0,28535.0,30203.0,24.0,20.9,42002.0,139.0,6.9,88.9,5.8,0.4419,40.0,103200.0,23.1,851.0,30203.0,28535.0,22293.0,2017
Galveston County,Texas,77.4399750017816,48,167,13.5,971.0,39.3,29.5,3687.0,250913.0,321184.0,19.4,13.9,65702.0,1459.0,4.9,85.4,6.5,0.4713,25.2,171600.0,24.6,41271.0,321184.0,250913.0,33870.0,2017
Garden County,Nebraska,78.0725405394994,31,69,16.4,581.0,26.6,24.2,0.0,1872.0,1913.0,34.0,11.7,48125.0,4.0,1.4,92.2,1.4,0.533,29.8,81800.0,18.8,3.0,1913.0,1872.0,35602.0,2017
Garfield County,Colorado,80.4969076123098,8,45,8.3,1169.0,40.3,30.2,650.0,50863.0,57945.0,17.6,9.6,66503.0,564.0,6.1,80.2,5.4,0.4135,28.5,323800.0,25.8,236.0,57945.0,50863.0,31483.0,2017
Garfield County,Montana,78.2814610146612,30,33,11.4,500.0,34.1,17.5,4.0,1085.0,1086.0,28.5,5.1,47188.0,0.0,3.1,86.7,0.0,0.4856,41.2,116300.0,20.7,0.0,1086.0,1085.0,29896.0,2017
Garfield County,Nebraska,79.0751942683576,31,71,15.1,369.0,28.3,19.5,17.0,1921.0,1958.0,37.5,7.2,46509.0,0.0,2.1,93.8,1.9,0.4181,34.4,96100.0,19.7,4.0,1958.0,1921.0,25856.0,2017
Garfield County,Oklahoma,75.3107605953969,40,47,14.5,806.0,38.2,22.5,615.0,51170.0,62421.0,21.0,13.6,50724.0,1280.0,4.0,86.7,5.3,0.4315,36.0,104000.0,26.0,1969.0,62421.0,51170.0,25787.0,2017
Garfield County,Utah,79.1835886896775,49,17,15.1,788.0,35.4,21.1,17.0,4722.0,5020.0,26.2,13.1,51700.0,137.0,2.1,81.4,4.6,0.422,33.4,166300.0,23.7,9.0,5020.0,4722.0,23228.0,2017
Garfield County,Washington,80.630047731898,53,23,21.1,598.0,29.3,23.0,16.0,2096.0,2226.0,32.7,11.7,51399.0,5.0,0.9,91.2,7.2,0.3661,32.3,143800.0,22.9,0.0,2226.0,2096.0,24781.0,2017
Garland County,Arkansas,74.6309366391751,5,51,19.9,721.0,33.5,20.1,1091.0,83955.0,97994.0,29.3,19.1,41672.0,758.0,3.5,86.9,9.0,0.4887,30.9,131500.0,20.5,8001.0,97994.0,83955.0,25690.0,2017
Garrard County,Kentucky,76.9282776445789,21,79,20.7,680.0,34.0,15.7,80.0,16568.0,17226.0,23.7,18.2,47906.0,30.0,7.3,91.1,8.9,0.4434,38.2,131000.0,22.2,161.0,17226.0,16568.0,24874.0,2017
Garrett County,Maryland,78.0071575169985,24,23,15.4,646.0,34.0,19.6,157.0,28689.0,29516.0,28.6,11.4,48174.0,62.0,3.4,92.5,4.8,0.438,43.6,167100.0,19.3,170.0,29516.0,28689.0,26303.0,2017
Garvin County,Oklahoma,72.9175393439696,40,49,14.5,631.0,36.9,15.5,157.0,23031.0,27751.0,23.8,17.1,42567.0,1519.0,4.7,84.5,3.5,0.4538,44.0,93400.0,25.1,665.0,27751.0,23031.0,22433.0,2017
Garza County,Texas,76.3887657834274,48,169,12.2,741.0,48.5,10.2,37.0,5716.0,6739.0,15.4,13.5,53832.0,20.0,22.6,85.7,2.0,0.4476,27.6,77500.0,17.7,307.0,6739.0,5716.0,20635.0,2017
Gasconade County,Missouri,76.5619519775557,29,73,18.9,624.0,31.2,17.1,100.0,14396.0,14769.0,30.1,12.0,50687.0,57.0,4.6,93.6,3.4,0.4301,42.4,123000.0,21.1,91.0,14769.0,14396.0,25963.0,2017
Gaston County,North Carolina,75.1949527552766,37,71,16.0,768.0,38.0,20.5,2144.0,164616.0,214049.0,21.6,16.5,46626.0,844.0,5.3,87.7,8.3,0.4619,30.7,130700.0,23.0,33624.0,214049.0,164616.0,24937.0,2017
Gates County,North Carolina,76.695093945821,37,73,19.8,798.0,33.3,15.7,94.0,7311.0,11601.0,25.0,12.4,52481.0,107.0,3.9,89.6,8.8,0.4003,35.7,142500.0,21.0,3820.0,11601.0,7311.0,24335.0,2017
Geary County,Kansas,75.7325989254904,20,61,12.6,1052.0,51.8,21.4,593.0,24965.0,35796.0,11.1,14.9,46096.0,291.0,2.0,91.5,8.0,0.383,25.7,141900.0,31.0,6195.0,35796.0,24965.0,21583.0,2017
Geauga County,Ohio,81.0334659229989,39,55,10.3,813.0,31.6,38.0,455.0,90792.0,93895.0,25.2,6.5,77104.0,105.0,5.9,89.7,3.5,0.4601,25.5,228000.0,23.8,1170.0,93895.0,90792.0,39513.0,2017
