County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,age_60_and_over,total_population,white_population,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,per_capita_income,asian_population,Year
Lee County,Alabama,1,81,80.0,792.0,9.0,150982.0,105518.0,1336.0,44570.0,0.4976,231.0,150982.0,35095.0,20.7,154300.0,24356.0,105518.0,2015
Lee County,Arkansas,5,77,84.7,533.0,13.4,9966.0,4258.0,128.0,28393.0,0.4897,14.0,9966.0,5622.0,12.1,59500.0,14298.0,4258.0,2015
Lee County,Florida,12,71,82.4,951.0,24.9,663675.0,561079.0,6740.0,48537.0,0.4755,1983.0,663675.0,57315.0,7.6,157400.0,28010.0,561079.0,2015
Lee County,Georgia,13,177,75.5,931.0,9.3,28946.0,21721.0,362.0,61537.0,0.4278,18.0,28946.0,5760.0,8.1,157100.0,27999.0,21721.0,2015
Lee County,Illinois,17,103,82.5,672.0,14.9,35027.0,31940.0,218.0,52379.0,0.4157,72.0,35027.0,1782.0,9.0,113600.0,25363.0,31940.0,2015
Lee County,Iowa,19,111,80.4,577.0,15.6,35369.0,33033.0,287.0,43312.0,0.4068,35.0,35369.0,1068.0,8.4,85400.0,22746.0,33033.0,2015
Lee County,Kentucky,21,129,81.2,435.0,13.2,7119.0,6902.0,31.0,22698.0,0.4832,33.0,7119.0,67.0,8.0,67700.0,13688.0,6902.0,2015
Lee County,Mississippi,28,81,75.2,664.0,12.2,85036.0,58614.0,972.0,42784.0,0.4581,157.0,85036.0,23782.0,9.0,117000.0,22282.0,58614.0,2015
Lee County,North Carolina,37,105,76.2,711.0,12.5,59418.0,41119.0,525.0,45608.0,0.4294,376.0,59418.0,11330.0,9.4,136900.0,21743.0,41119.0,2015
Lee County,South Carolina,45,61,80.3,596.0,12.4,18461.0,6080.0,172.0,30954.0,0.4672,24.0,18461.0,11966.0,12.8,69800.0,15662.0,6080.0,2015
Lee County,Texas,48,287,80.0,760.0,15.2,16664.0,13347.0,134.0,53902.0,0.4477,11.0,16664.0,1911.0,10.5,115800.0,25006.0,13347.0,2015
Lee County,Virginia,51,105,82.6,497.0,15.8,25206.0,23677.0,133.0,31086.0,0.4601,51.0,25206.0,964.0,7.5,78400.0,17899.0,23677.0,2015
Leelanau County,Michigan,26,89,84.7,805.0,26.3,21772.0,20169.0,73.0,56189.0,0.4735,754.0,21772.0,125.0,7.1,241900.0,34322.0,20169.0,2015
Leflore County,Mississippi,28,83,74.7,551.0,10.3,31516.0,8004.0,206.0,24233.0,0.5325,0.0,31516.0,22748.0,12.3,70000.0,14563.0,8004.0,2015
Lehigh County,Pennsylvania,42,77,78.6,929.0,13.6,356756.0,282920.0,3940.0,56117.0,0.4498,675.0,356756.0,23299.0,9.2,191700.0,28688.0,282920.0,2015
Lemhi County,Idaho,16,59,84.9,556.0,26.5,7790.0,7462.0,115.0,34329.0,0.436,64.0,7790.0,27.0,5.9,172700.0,22134.0,7462.0,2015
Lenawee County,Michigan,26,91,80.0,731.0,14.0,98902.0,91364.0,592.0,48043.0,0.4074,467.0,98902.0,2616.0,10.4,114900.0,23252.0,91364.0,2015
Lenoir County,North Carolina,37,107,78.2,668.0,14.8,58782.0,32450.0,589.0,34717.0,0.4785,177.0,58782.0,23657.0,9.4,92500.0,20191.0,32450.0,2015
Leon County,Florida,12,73,82.0,925.0,9.8,282940.0,176063.0,4689.0,46745.0,0.4874,914.0,282940.0,88071.0,22.5,180900.0,26522.0,176063.0,2015
