County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,Year
Adams County,Pennsylvania,42,1,15.0,101496,94086,655,80.6,820,0.3968,183,59492,27284,94086,101496,1575,10.1,198200,2013
Adams County,Washington,53,1,9.4,18802,12045,213,68.1,628,0.4089,182,43926,16940,12045,18802,13,10.6,133600,2013
Adams County,Wisconsin,55,1,22.9,20741,19354,89,87.0,670,0.3818,152,44897,22196,19354,20741,691,6.1,135600,2013
Addison County,Vermont,50,1,13.5,36811,35166,361,82.3,877,0.4268,93,57565,28722,35166,36811,317,13.4,234500,2013
Aiken County,South Carolina,45,3,14.7,161710,112436,1182,78.8,705,0.4654,269,44509,24769,112436,161710,40272,9.2,124600,2013
Aitkin County,Minnesota,27,1,27.5,16032,15306,104,84.6,625,0.4289,296,41617,24939,15306,16032,63,5.8,168700,2013
Alachua County,Florida,12,1,10.0,249848,174974,3623,83.2,886,0.517,563,42149,24857,174974,249848,50198,22.6,167900,2013
Alamance County,North Carolina,37,1,13.0,152472,106388,1457,77.7,731,0.4475,481,43043,23166,106388,152472,27504,10.5,137000,2013
Alameda County,California,6,1,10.1,1535248,700110,23438,79.4,1289,0.4664,8919,72112,35763,700110,1535248,185467,10.1,493800,2013
Alamosa County,Colorado,8,3,10.8,15933,13052,307,77.8,586,0.5129,250,34520,19487,13052,15933,219,17.8,137300,2013
Albany County,New York,36,1,12.2,305279,237732,4044,82.0,904,0.4489,488,59394,32328,237732,305279,39097,14.1,209300,2013
Albany County,Wyoming,56,1,7.8,36745,32727,465,85.7,726,0.4845,233,42774,24758,32727,36745,542,29.6,201500,2013
Albemarle County,Virginia,51,3,13.3,100636,82359,959,80.0,1106,0.4857,357,67725,37239,82359,100636,9607,12.3,319200,2013
Alcona County,Michigan,26,1,32.4,10785,10545,14,87.5,585,0.4264,41,37189,22719,10545,10785,13,5.1,102800,2013
Alcorn County,Mississippi,28,3,14.0,37159,31756,327,77.2,597,0.463,64,33600,19145,31756,37159,4336,8.4,84300,2013
Aleutians East Borough,Alaska,2,13,3.2,3141,720,6,93.3,888,0.3727,671,61250,26535,720,3141,383,13.6,118500,2013
Aleutians West Census Area,Alaska,2,16,5.7,5538,1826,40,89.0,1246,0.3827,781,81853,31790,1826,5538,362,12.7,218400,2013
Alexander County,Illinois,17,3,16.0,7980,4886,48,77.9,338,0.4416,20,26972,13619,4886,7980,2814,9.8,54400,2013
Alexander County,North Carolina,37,3,14.3,37071,32954,159,80.4,579,0.4259,64,40637,20440,32954,37071,2048,7.7,121300,2013
Alexandria City,Virginia,51,510,8.3,143684,92041,3970,83.4,1501,0.446,509,85706,54608,92041,143684,31291,6.6,476700,2013
Alfalfa County,Oklahoma,40,3,16.5,5674,4747,24,85.3,544,0.4276,92,44811,22488,4747,5674,114,5.2,62600,2013
Alger County,Michigan,26,3,19.1,9497,8232,69,86.4,603,0.4025,312,37586,19717,8232,9497,672,7.6,117100,2013
Allamakee County,Iowa,19,5,18.5,14242,13663,29,80.2,529,0.3961,66,48831,24926,13663,14242,63,7.4,114400,2013
Allegan County,Michigan,26,5,12.5,111742,105033,477,76.8,728,0.4118,744,52061,24140,105033,111742,1373,7.9,140200,2013
Allegany County,Maryland,24,1,14.9,74394,66134,646,84.4,610,0.4579,114,39293,21211,66134,74394,6001,13.1,121300,2013
Allegany County,New York,36,3,14.4,48618,46716,379,81.7,595,0.4227,146,42445,20978,46716,48618,725,17.0,69600,2013
Alleghany County,North Carolina,37,5,19.2,11046,10175,42,82.6,552,0.4322,166,35170,19510,10175,11046,118,8.8,156100,2013
Alleghany County,Virginia,51,5,20.0,16240,15174,115,80.2,521,0.4211,10,44848,24162,15174,16240,845,6.7,114600,2013
Allegheny County,Pennsylvania,42,3,14.2,1226933,998456,14588,81.8,751,0.4826,1515,51366,31593,998456,1226933,159750,10.3,122400,2013
Allen County,Indiana,18,3,10.6,358324,286171,2965,75.2,668,0.4426,1137,49370,25279,286171,358324,42734,9.6,112700,2013
Allen County,Kansas,20,1,16.2,13318,12429,150,78.9,551,0.4069,75,40554,20552,12429,13318,230,9.6,63300,2013
Allen County,Kentucky,21,3,14.1,20123,19471,69,78.7,583,0.4228,54,40008,19086,19471,20123,254,9.1,96800,2013
Allen County,Ohio,39,3,12.6,105895,88393,955,78.9,647,0.4477,288,42823,22295,88393,105895,12309,12.4,105000,2013
Allen Parish,Louisiana,22,3,9.9,25674,18691,159,82.5,553,0.4509,649,38429,18857,18691,25674,5075,10.3,79600,2013
Allendale County,South Carolina,45,5,11.3,10214,2467,54,82.0,564,0.5321,3,25252,13334,2467,10214,7552,10.4,65400,2013
Alpena County,Michigan,26,7,18.1,29399,28503,287,81.6,545,0.4353,168,38016,21948,28503,29399,179,7.9,96400,2013
Alpine County,California,6,3,19.9,1165,848,3,79.8,1018,0.4288,204,58636,25527,848,1165,7,7.8,333600,2013
