County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,Year
Fayette County,Indiana,18,41,15.7,24112,23385,128,78.9,638,0.4279,10,37391,18757,23385,24112,333,7.6,81700,2013
Fayette County,Iowa,19,65,16.7,20822,20118,155,80.3,523,0.3974,111,45542,23391,20118,20822,156,10.9,85400,2013
Fayette County,Kentucky,21,67,9.1,300843,229229,3993,80.1,756,0.4932,810,48398,29251,229229,300843,43137,14.4,165800,2013
Fayette County,Ohio,39,47,13.9,28902,27304,461,77.8,696,0.4324,20,37619,20603,27304,28902,551,7.9,107000,2013
Fayette County,Pennsylvania,42,51,15.6,136145,126802,929,82.0,570,0.4308,168,39115,20884,126802,136145,5713,8.4,84200,2013
Fayette County,Tennessee,47,47,14.9,38502,26494,191,78.8,649,0.4535,45,56618,28201,26494,38502,10834,7.0,175100,2013
Fayette County,Texas,48,149,20.6,24662,22387,103,80.3,658,0.4687,3,48015,27032,22387,24662,1750,6.6,130300,2013
Fayette County,West Virginia,54,19,14.9,45889,42902,226,81.7,561,0.4342,94,33771,18685,42902,45889,2286,8.5,72000,2013
Fentress County,Tennessee,47,49,16.8,17943,17611,130,79.0,510,0.4639,52,29192,16454,17611,17943,38,7.9,93300,2013
Fergus County,Montana,30,27,20.9,11517,11116,123,82.9,623,0.4295,256,38344,24429,11116,11517,1,6.3,113800,2013
Ferry County,Washington,53,19,19.0,7623,5758,96,84.0,573,0.4482,1352,37571,20052,5758,7623,35,11.5,156300,2013
Fillmore County,Minnesota,27,45,17.4,20870,20520,176,77.9,589,0.4079,38,50657,25249,20520,20870,42,7.1,135200,2013
Fillmore County,Nebraska,31,59,20.1,5818,5656,25,80.2,526,0.3973,13,48464,25460,5656,5818,58,6.8,73300,2013
Finney County,Kansas,20,55,7.9,36920,30265,262,70.9,670,0.4154,265,47945,21629,30265,36920,818,11.4,109700,2013
Fisher County,Texas,48,151,20.3,3924,3347,15,82.8,550,0.4471,29,42125,22709,3347,3924,133,11.9,62200,2013
Flagler County,Florida,12,35,25.4,97301,78444,725,82.0,1039,0.4387,114,47233,24497,78444,97301,10906,7.0,169300,2013
Flathead County,Montana,30,29,14.4,91536,87406,1035,78.6,750,0.4558,1473,46581,25790,87406,91536,205,7.7,228100,2013
Fleming County,Kentucky,21,69,13.8,14435,13989,123,77.3,499,0.4861,11,32495,19304,13989,14435,210,7.8,78700,2013
Florence County,South Carolina,45,41,11.9,137393,76201,1752,76.6,647,0.4687,216,41910,22432,76201,137393,56755,9.6,114900,2013
Florence County,Wisconsin,55,37,19.3,4477,4268,9,82.8,635,0.3863,71,47960,22434,4268,4477,0,4.6,131100,2013
Floyd County,Georgia,13,115,12.7,96147,75261,1343,77.6,697,0.4571,554,40821,20500,75261,96147,13823,10.3,114800,2013
Floyd County,Indiana,18,43,11.7,75120,68313,773,78.2,718,0.4381,124,53961,27185,68313,75120,3500,9.2,150400,2013
Floyd County,Iowa,19,67,18.0,16177,15511,101,78.4,530,0.428,0,43826,24590,15511,16177,395,7.3,90200,2013
Floyd County,Kentucky,21,71,12.4,39448,38609,240,78.7,562,0.4819,56,30476,17716,38609,39448,370,8.9,70000,2013
Floyd County,Texas,48,153,16.1,6371,5803,52,73.0,579,0.4576,5,42279,21655,5803,6371,156,6.7,61200,2013
Floyd County,Virginia,51,63,17.0,15371,14691,104,81.4,540,0.3957,75,44618,21816,14691,15371,222,6.1,144700,2013
Fluvanna County,Virginia,51,65,17.5,25860,20984,131,77.1,1254,0.4127,49,68288,30881,20984,25860,3916,6.5,225700,2013
Foard County,Texas,48,155,23.0,1133,1072,12,81.1,480,0.3803,0,33750,20202,1072,1133,10,0.0,37500,2013
Fond du Lac County,Wisconsin,55,39,13.2,101666,95439,904,79.4,683,0.3982,435,53820,26368,95439,101666,1135,8.9,145800,2013
Ford County,Illinois,17,53,15.4,13991,13690,63,77.9,598,0.4319,26,48866,25448,13690,13991,68,7.6,89600,2013
Ford County,Kansas,20,57,8.3,34217,30122,108,71.8,589,0.3893,206,51178,19994,30122,34217,636,11.2,88800,2013
Forest County,Pennsylvania,42,53,14.9,7696,5888,21,93.8,501,0.3867,46,36556,13646,5888,7696,1466,15.4,83600,2013
Forest County,Wisconsin,55,41,20.1,9255,7633,31,80.2,456,0.408,1302,39963,20462,7633,9255,79,8.3,122400,2013
Forrest County,Mississippi,28,35,10.2,75991,45549,1154,77.7,694,0.497,169,36726,19736,45549,75991,27816,15.6,117500,2013
Forsyth County,Georgia,13,117,8.8,182916,156889,599,72.3,1141,0.414,321,86569,34582,156889,182916,5053,7.1,258200,2013
Forsyth County,North Carolina,37,67,11.7,354656,234728,4312,77.0,714,0.4845,801,45724,26541,234728,354656,92612,10.0,150600,2013
Fort Bend County,Texas,48,157,7.3,608939,324701,2788,73.2,1167,0.4239,1396,85297,34084,324701,608939,129926,8.7,183600,2013
Foster County,North Dakota,38,31,19.4,3355,3314,20,82.2,465,0.5034,12,50677,33063,3314,3355,1,7.9,88700,2013
Fountain County,Indiana,18,45,15.8,17108,16628,124,78.9,617,0.3872,71,45884,23063,16628,17108,65,8.6,88800,2013
Franklin City,Virginia,51,620,15.0,8539,3375,317,74.8,746,0.4713,0,31928,19588,3375,8539,4871,10.3,186700,2013
Franklin County,Alabama,1,59,13.4,31666,27962,233,77.0,527,0.4482,194,36415,18888,27962,31666,1485,10.1,82300,2013
Franklin County,Arkansas,5,47,15.4,18063,17165,82,77.8,572,0.4409,255,36766,19135,17165,18063,188,9.6,93000,2013
Franklin County,Florida,12,37,15.6,11554,9444,65,85.9,694,0.4701,34,38328,19843,9444,11554,1810,8.3,143900,2013
Franklin County,Georgia,13,119,15.1,21998,19094,173,79.3,597,0.4286,17,34830,18234,19094,21998,1929,9.3,114800,2013
Franklin County,Idaho,16,41,11.9,12801,12352,80,68.0,638,0.3619,45,44962,17620,12352,12801,17,8.0,156800,2013
Franklin County,Illinois,17,55,16.3,39470,38568,365,79.4,572,0.4269,41,36273,20394,38568,39470,64,8.4,64300,2013
Franklin County,Indiana,18,47,12.9,23042,22645,221,76.8,626,0.4145,29,49516,24085,22645,23042,42,7.8,150100,2013
Franklin County,Iowa,19,69,16.7,10623,9889,24,80.2,525,0.4282,3,48355,26102,9889,10623,45,7.5,87500,2013
Franklin County,Kansas,20,59,12.9,25870,24141,386,75.7,721,0.3952,187,49543,22979,24141,25870,261,8.7,119700,2013
Franklin County,Kentucky,21,73,12.7,49390,41019,478,79.9,682,0.4293,128,46071,26243,41019,49390,5253,10.7,139300,2013
Franklin County,Maine,23,7,16.9,30660,29783,218,81.9,630,0.4188,56,41626,22083,29783,30660,91,10.8,132400,2013
Franklin County,Massachusetts,25,11,14.4,71408,67306,915,82.3,847,0.42,167,53663,29259,67306,71408,654,8.8,219500,2013
Franklin County,Mississippi,28,37,14.8,8013,5115,21,76.7,539,0.5726,25,32372,24234,5115,8013,2832,6.9,63700,2013
Franklin County,Missouri,29,71,12.6,101569,98340,537,77.4,664,0.43,228,48857,24742,98340,101569,1271,8.7,150500,2013
Franklin County,Nebraska,31,61,22.6,3181,3123,12,81.2,543,0.4536,4,43011,26095,3123,3181,8,6.5,56200,2013
Franklin County,New York,36,33,11.3,51676,43316,378,83.1,664,0.434,3582,45667,21575,43316,51676,3087,11.2,97100,2013
Franklin County,North Carolina,37,69,11.6,61154,41160,625,77.9,702,0.4238,358,41696,21399,41160,61154,15802,9.3,123300,2013
Franklin County,Ohio,39,49,8.6,1181824,823640,17137,77.5,819,0.4702,2307,50877,28283,823640,1181824,250334,11.7,150800,2013
Franklin County,Pennsylvania,42,55,15.4,150594,140494,1299,78.3,772,0.399,353,52637,25741,140494,150594,5320,8.0,177500,2013
Franklin County,Tennessee,47,51,16.5,40985,37073,155,80.8,632,0.4449,36,42904,22398,37073,40985,1812,11.0,104800,2013
Franklin County,Texas,48,159,17.7,10611,9880,55,75.4,581,0.5038,47,45523,28189,9880,10611,486,7.8,92800,2013
Franklin County,Vermont,50,11,11.7,48019,45784,392,78.0,861,0.4166,371,56240,27398,45784,48019,218,8.0,204400,2013
Franklin County,Virginia,51,67,17.7,56195,50438,467,81.8,655,0.4309,70,45624,24557,50438,56195,4700,8.7,163700,2013
Franklin County,Washington,53,21,6.8,81835,50764,471,69.7,737,0.4049,522,55177,19503,50764,81835,1553,10.3,161600,2013
Franklin Parish,Louisiana,22,41,14.0,20699,13856,151,74.8,522,0.4749,0,31214,17752,13856,20699,6758,8.8,75200,2013
Frederick County,Maryland,24,21,10.2,236668,194610,1835,77.1,1243,0.3914,960,84570,36917,194610,236668,20403,8.9,307000,2013
Frederick County,Virginia,51,69,12.4,79453,72029,483,77.6,1084,0.395,115,68424,30112,72029,79453,3357,7.8,226900,2013
Fredericksburg City,Virginia,51,630,8.2,25931,16893,424,78.4,1045,0.4776,110,47040,27222,16893,25931,6095,19.1,314300,2013
Freeborn County,Minnesota,27,47,18.0,31129,29591,314,79.6,546,0.4297,118,44683,25668,29591,31129,285,8.0,104000,2013
Freestone County,Texas,48,161,14.5,19657,15563,122,79.0,642,0.4558,172,44502,22876,15563,19657,3271,6.5,76900,2013
Fremont County,Colorado,8,43,14.9,46850,40171,512,87.3,713,0.4306,909,39943,18954,40171,46850,2984,7.6,159500,2013
Fremont County,Idaho,16,43,14.0,13088,12404,33,73.9,651,0.3806,114,44520,19475,12404,13088,6,7.7,147600,2013
Fremont County,Iowa,19,71,17.8,7291,7111,66,79.5,575,0.4401,12,50520,26930,7111,7291,38,7.5,94100,2013
Fremont County,Wyoming,56,13,13.8,40517,30017,229,76.7,663,0.4069,8561,50418,24037,30017,40517,157,8.8,181000,2013
Fresno County,California,6,19,9.1,939605,560516,11314,73.2,875,0.4686,9678,45563,20208,560516,939605,47790,11.9,195400,2013
Frio County,Texas,48,163,10.4,17522,14883,138,80.8,649,0.4849,8,35849,15863,14883,17522,532,15.3,62900,2013
Frontier County,Nebraska,31,63,18.7,2568,2527,4,81.7,527,0.4026,12,50227,25262,2527,2568,0,9.2,74200,2013
Fulton County,Arkansas,5,49,23.3,12266,11915,83,81.0,469,0.4142,51,35522,19326,11915,12266,22,6.7,88200,2013
Fulton County,Georgia,13,121,7.9,948554,432915,14213,78.0,971,0.5388,1953,56857,36757,432915,948554,418997,11.2,238200,2013
Fulton County,Illinois,17,57,15.5,36829,34855,333,82.0,608,0.4005,74,45130,22318,34855,36829,991,8.7,80600,2013
Fulton County,Indiana,18,49,14.5,20698,19856,145,77.1,608,0.4324,66,40168,21226,19856,20698,219,7.8,95600,2013
Fulton County,Kentucky,21,75,15.4,6650,4863,76,79.9,491,0.4503,6,33582,18602,4863,6650,1553,9.5,60400,2013
Fulton County,New York,36,35,14.3,55165,52620,596,80.3,699,0.4256,109,44276,23839,52620,55165,866,8.4,106000,2013
Fulton County,Ohio,39,51,13.1,42601,40607,195,76.5,668,0.4087,49,52856,24771,40607,42601,211,7.8,128900,2013
Fulton County,Pennsylvania,42,57,16.5,14779,14391,89,80.4,611,0.3858,40,48461,23201,14391,14779,194,7.5,159300,2013
Furnas County,Nebraska,31,65,20.3,4920,4792,16,79.4,488,0.4172,62,39603,22068,4792,4920,1,5.8,56400,2013
Gadsden County,Florida,12,39,12.1,46860,17902,174,79.7,690,0.4588,48,35380,17615,17902,46860,25952,9.4,111200,2013
Gage County,Nebraska,31,67,17.1,22055,21422,131,78.8,610,0.4163,32,47654,24555,21422,22055,31,7.9,101600,2013
Gaines County,Texas,48,165,8.4,18019,16429,130,69.5,657,0.4682,205,52910,21572,16429,18019,258,10.5,93000,2013
Galax City,Virginia,51,640,18.5,6977,6532,100,77.5,520,0.5368,32,30325,21769,6532,6977,218,3.4,112900,2013
Gallatin County,Illinois,17,59,19.9,5516,5347,36,81.8,432,0.475,21,40330,23862,5347,5516,26,7.9,61100,2013
Gallatin County,Kentucky,21,77,10.7,8525,7902,64,74.7,657,0.396,0,43793,19020,7902,8525,62,8.0,98400,2013
Gallatin County,Montana,30,31,9.0,91499,87156,1200,82.2,829,0.453,965,52833,28939,87156,91499,319,17.5,261900,2013
Gallia County,Ohio,39,53,14.3,30859,29191,105,78.2,580,0.4546,31,39226,21168,29191,30859,807,8.9,95500,2013
Galveston County,Texas,48,167,10.6,296669,232601,2427,76.8,900,0.4561,989,61877,30926,232601,296669,40236,9.2,148600,2013
Garden County,Nebraska,31,69,28.7,1966,1910,7,83.1,545,0.4602,0,39400,26715,1910,1966,0,4.1,61800,2013
Garfield County,Colorado,8,45,8.2,56687,51193,605,76.3,1129,0.4027,393,57022,26603,51193,56687,594,8.5,302700,2013
Garfield County,Montana,30,33,22.8,1145,1125,0,78.3,513,0.4373,11,45096,25921,1125,1145,0,4.6,113300,2013
Garfield County,Nebraska,31,71,25.2,1947,1926,4,81.5,338,0.3742,0,41892,22092,1926,1947,13,4.9,86100,2013
Garfield County,Oklahoma,40,47,13.5,60956,50725,550,77.5,647,0.4415,1302,44530,24177,50725,60956,1761,10.4,89400,2013
Garfield County,Utah,49,17,15.2,5123,4895,13,77.8,580,0.4129,115,45357,21989,4895,5123,32,10.3,154300,2013
Garfield County,Washington,53,23,23.0,2249,2142,19,84.2,717,0.3774,0,51548,26954,2142,2249,0,4.5,139500,2013
Garland County,Arkansas,5,51,19.5,96547,82093,1031,80.9,717,0.4677,579,39162,23170,82093,96547,7978,8.2,130500,2013
Garrard County,Kentucky,21,79,13.5,16896,16153,111,79.3,629,0.4084,5,44652,21341,16153,16896,471,7.3,121400,2013
Garrett County,Maryland,24,23,16.6,30014,29276,193,81.1,663,0.4538,44,45206,24932,29276,30014,238,8.9,168600,2013
Garvin County,Oklahoma,40,49,15.0,27410,22597,200,77.9,597,0.4842,2059,38245,21285,22597,27410,620,8.4,83800,2013
Garza County,Texas,48,169,8.1,6356,5508,24,89.8,540,0.4665,13,47540,16175,5508,6356,365,7.5,72000,2013
Gasconade County,Missouri,29,73,18.2,15083,14769,53,80.2,563,0.4174,54,41392,21830,14769,15083,71,6.9,116000,2013
Gaston County,North Carolina,37,71,11.9,207263,160707,2136,77.9,714,0.4634,809,42017,22658,160707,207263,31323,9.1,123600,2013
Gates County,North Carolina,37,73,14.5,11982,7671,65,78.4,803,0.4032,23,46592,21187,7671,11982,4075,8.0,150200,2013
Geary County,Kansas,20,61,6.5,35583,24746,409,70.7,975,0.3923,172,46908,21408,24746,35583,5764,15.2,136500,2013
Geauga County,Ohio,39,55,14.8,93610,90771,481,77.1,802,0.4518,41,67663,34455,90771,93610,1021,7.6,224700,2013
Gem County,Idaho,16,45,18.6,16722,15879,168,77.4,757,0.4109,116,44432,20250,15879,16722,4,6.9,150400,2013
Genesee County,Michigan,26,49,12.6,421575,315032,4030,77.0,711,0.4506,2032,42089,22380,315032,421575,86003,9.4,91700,2013
Genesee County,New York,36,37,14.1,59872,55502,688,80.8,716,0.4162,513,49922,25403,55502,59872,1817,9.6,105000,2013
Geneva County,Alabama,1,61,15.8,26791,23304,251,79.2,573,0.4572,32,35625,20199,23304,26791,2554,7.8,78100,2013
Gentry County,Missouri,29,75,17.6,6774,6649,44,78.3,501,0.4134,23,39192,20534,6649,6774,40,8.3,80400,2013
George County,Mississippi,28,39,11.5,22757,20178,111,75.9,675,0.4277,17,43958,20217,20178,22757,1858,9.4,94400,2013
Georgetown County,South Carolina,45,43,20.2,60280,38144,335,80.0,803,0.5006,39,40131,24437,38144,60280,20209,7.7,158800,2013
Gibson County,Indiana,18,51,13.3,33514,31857,170,76.8,615,0.4033,33,49329,24258,31857,33514,640,8.0,104400,2013
Gibson County,Tennessee,47,53,14.8,49664,39224,321,77.0,585,0.4459,116,38343,20402,39224,49664,9162,7.9,87700,2013
Gila County,Arizona,4,7,23.1,53335,42459,383,80.9,743,0.4215,7910,39954,20792,42459,53335,306,7.6,134000,2013
Gilchrist County,Florida,12,41,15.2,16917,15531,132,82.6,793,0.4715,45,38406,20180,15531,16917,969,16.0,102300,2013
Giles County,Tennessee,47,55,15.7,29214,25284,274,80.3,576,0.4397,14,38495,19998,25284,29214,3111,8.8,100000,2013
Giles County,Virginia,51,71,16.9,17111,16513,85,79.9,578,0.4315,60,45141,23485,16513,17111,199,8.1,105300,2013
Gillespie County,Texas,48,171,25.4,25003,24047,179,81.8,867,0.4472,73,53668,30117,24047,25003,85,7.6,216600,2013
Gilliam County,Oregon,41,21,15.8,1915,1830,23,81.2,691,0.4016,16,44743,25320,1830,1915,10,5.6,116400,2013
Gilmer County,Georgia,13,123,17.9,28308,26093,318,80.0,699,0.4563,42,39140,21317,26093,28308,211,8.2,142200,2013
Gilmer County,West Virginia,54,21,11.5,8678,7094,39,89.3,549,0.4639,45,38442,17870,7094,8678,987,14.3,72500,2013
Gilpin County,Colorado,8,47,12.4,5477,5049,82,85.0,1029,0.4275,21,63885,38022,5049,5477,26,2.9,281700,2013
Glacier County,Montana,30,35,10.2,13528,4336,65,69.9,414,0.4717,8815,33519,15604,4336,13528,8,10.7,80200,2013
Glades County,Florida,12,43,21.3,13080,10261,88,81.8,720,0.4151,565,34694,16011,10261,13080,1654,10.5,87700,2013
Gladwin County,Michigan,26,51,22.2,25664,25016,193,82.0,572,0.4286,136,37626,20368,25016,25664,114,7.2,103300,2013
Glascock County,Georgia,13,125,13.6,3094,2773,26,75.6,474,0.4026,0,37760,17984,2773,3094,221,7.3,70000,2013
Glasscock County,Texas,48,173,16.1,1176,1115,0,79.0,1016,0.4292,0,69107,31135,1115,1176,36,10.3,119100,2013
Glenn County,California,6,21,12.4,28054,23178,277,74.3,720,0.4896,626,43023,22148,23178,28054,220,9.3,217700,2013
Gloucester County,New Jersey,34,15,11.3,289098,239442,1647,77.9,1049,0.4023,387,74524,32600,239442,289098,28956,9.9,224700,2013
Gloucester County,Virginia,51,73,14.2,36868,32296,139,81.2,817,0.3944,148,60519,28673,32296,36868,3380,8.3,228700,2013
Glynn County,Georgia,13,127,14.5,80280,53870,926,77.8,823,0.4822,184,46407,26724,53870,80280,20513,8.9,162900,2013
Gogebic County,Michigan,26,53,19.1,16179,14740,111,86.3,594,0.4423,440,34252,20330,14740,16179,643,8.8,66800,2013
Golden Valley County,North Dakota,38,33,18.8,1698,1630,16,76.0,475,0.4871,27,36100,26113,1630,1698,1,9.3,83800,2013
Goliad County,Texas,48,175,18.5,7281,5425,56,80.2,643,0.4795,8,50923,30031,5425,7281,252,9.3,111600,2013
Gonzales County,Texas,48,177,14.3,19920,11735,176,75.8,545,0.472,16,39248,20288,11735,19920,1439,10.0,77500,2013
Goochland County,Virginia,51,75,15.7,21565,16790,70,81.8,982,0.4995,20,80976,45039,16790,21565,4409,6.2,338500,2013
Goodhue County,Minnesota,27,49,15.0,46259,44081,508,78.7,681,0.4312,487,56836,29932,44081,46259,555,7.6,181800,2013
Gooding County,Idaho,16,47,15.1,15278,12986,120,73.8,643,0.4309,287,37050,18373,12986,15278,5,8.9,123800,2013
Gordon County,Georgia,13,129,10.3,55409,48398,651,75.5,664,0.4454,217,40926,19177,48398,55409,2469,9.0,116100,2013
Goshen County,Wyoming,56,15,17.0,13458,12561,33,81.6,611,0.4061,73,43257,23475,12561,13458,25,10.7,139700,2013
Gosper County,Nebraska,31,73,17.5,2005,1942,8,82.5,583,0.3729,25,45893,23266,1942,2005,0,10.1,104100,2013
Gove County,Kansas,20,63,22.0,2835,2768,17,77.4,496,0.4497,4,44866,26233,2768,2835,18,4.2,71500,2013
Grady County,Georgia,13,131,13.1,25143,15955,209,76.1,713,0.4737,82,30571,15734,15955,25143,7269,9.0,110800,2013
Grady County,Oklahoma,40,51,12.6,52855,45272,298,77.1,633,0.4208,2758,49637,23500,45272,52855,1033,9.0,108400,2013
Grafton County,New Hampshire,33,9,15.0,89166,83322,911,83.8,912,0.4498,347,54912,30738,83322,89166,649,14.8,212000,2013
Graham County,Arizona,4,9,10.0,37168,28395,142,76.2,711,0.4205,5216,44943,17168,28395,37168,760,12.0,122200,2013
Graham County,Kansas,20,65,23.9,2604,2403,15,82.8,508,0.4587,11,47500,28146,2403,2604,90,5.8,63800,2013
Graham County,North Carolina,37,75,18.2,8762,7848,54,78.1,549,0.452,546,33903,19780,7848,8762,39,8.3,125700,2013
Grainger County,Tennessee,47,57,15.5,22653,22103,130,79.8,556,0.4531,9,32364,17933,22103,22653,190,7.9,91400,2013
Grand County,Colorado,8,49,11.8,14535,13439,116,81.9,957,0.381,13,64664,31684,13439,14535,87,7.5,282000,2013
Grand County,Utah,49,19,12.3,9269,8617,61,78.3,749,0.4106,402,45888,23558,8617,9269,25,7.8,218800,2013
Grand Forks County,North Dakota,38,35,8.9,67357,60654,882,82.4,682,0.4728,1703,46745,27026,60654,67357,1627,23.9,152100,2013
Grand Isle County,Vermont,50,13,15.2,6984,6656,36,83.1,871,0.4207,49,59509,33159,6656,6984,22,7.2,254300,2013
Grand Traverse County,Michigan,26,55,13.3,88182,83545,511,79.9,847,0.4421,984,51766,27660,83545,88182,1104,8.6,168300,2013
Granite County,Montana,30,39,26.3,3105,3024,8,86.7,617,0.4028,27,45236,26277,3024,3105,4,3.6,200500,2013
Grant County,Arkansas,5,53,13.6,17922,17098,16,78.3,715,0.4094,68,49004,23239,17098,17922,433,8.1,100800,2013
Grant County,Indiana,18,53,14.8,69671,62025,716,80.0,610,0.4301,70,39747,20516,62025,69671,4732,13.1,80100,2013
Grant County,Kansas,20,67,8.1,7869,6771,104,71.0,534,0.4486,95,53213,26370,6771,7869,1,8.9,90900,2013
Grant County,Kentucky,21,81,10.2,24685,23703,148,74.7,719,0.4031,7,46159,19829,23703,24685,174,9.3,124300,2013
Grant County,Minnesota,27,51,21.4,5990,5867,48,80.7,542,0.4098,13,50030,26665,5867,5990,12,6.5,98600,2013
Grant County,New Mexico,35,17,21.4,29471,23971,246,79.4,612,0.4683,582,37899,22755,23971,29471,154,9.5,125300,2013
Grant County,North Dakota,38,37,27.6,2372,2229,11,87.6,434,0.4999,47,41694,28129,2229,2372,7,5.7,67200,2013
Grant County,Oklahoma,40,53,18.9,4522,4148,23,79.5,578,0.4253,38,46625,27469,4148,4522,25,6.7,62800,2013
Grant County,Oregon,41,23,25.1,7359,7010,78,83.5,619,0.4647,38,35051,23828,7010,7359,24,6.3,136400,2013
Grant County,South Dakota,46,51,16.5,7307,7093,29,80.5,463,0.4029,115,48896,24554,7093,7307,39,9.5,100500,2013
Grant County,Washington,53,25,11.4,90202,63332,934,72.8,672,0.4133,1161,45949,19738,63332,90202,1037,10.2,154700,2013
Grant County,West Virginia,54,23,18.2,11869,11569,43,80.3,555,0.3816,3,41368,20193,11569,11869,145,7.1,112900,2013
Grant County,Wisconsin,55,43,13.1,51080,49545,409,81.5,642,0.3985,108,46963,21705,49545,51080,621,19.8,124800,2013
Grant Parish,Louisiana,22,43,10.3,22113,17705,146,81.6,711,0.4432,203,39654,19018,17705,22113,3451,8.7,78300,2013
Granville County,North Carolina,37,77,11.4,58188,35788,336,80.4,739,0.405,353,49852,22295,35788,58188,18270,11.4,137100,2013
Gratiot County,Michigan,26,57,12.5,42148,38509,351,82.5,593,0.4208,149,40359,18836,38509,42148,2332,12.6,86600,2013
Graves County,Kentucky,21,83,14.9,37329,34473,201,77.7,561,0.4504,71,38394,20746,34473,37329,1560,8.3,85900,2013
Gray County,Kansas,20,69,12.7,6012,5805,38,73.5,577,0.3906,0,57808,25537,5805,6012,0,7.7,105900,2013
Gray County,Texas,48,179,13.0,22777,19656,174,77.4,615,0.43,211,43504,21738,19656,22777,983,7.8,68000,2013
Grays Harbor County,Washington,53,27,15.5,72092,62382,759,81.7,707,0.4322,3070,42405,21828,62382,72092,885,8.9,157600,2013
Grayson County,Kentucky,21,85,14.0,25833,24955,182,78.5,515,0.4787,4,32399,19115,24955,25833,302,7.9,87700,2013
Grayson County,Texas,48,181,14.5,121292,104034,1070,77.7,768,0.4414,1547,46429,24003,104034,121292,6980,9.6,104500,2013
Grayson County,Virginia,51,77,19.9,15377,14791,92,83.6,555,0.4653,0,30710,20591,14791,15377,313,6.3,97900,2013
Greeley County,Kansas,20,71,21.0,1202,1146,0,80.1,440,0.4746,0,52847,32650,1146,1202,9,5.9,78500,2013
Greeley County,Nebraska,31,77,22.0,2507,2493,4,77.9,493,0.4402,2,44950,23833,2493,2507,7,6.6,57500,2013
Green County,Kentucky,21,87,16.0,11252,10692,99,79.6,510,0.4537,19,34406,17984,10692,11252,279,7.1,70100,2013
Green County,Wisconsin,55,45,13.7,36901,36011,362,78.1,674,0.406,34,55584,27060,36011,36901,121,7.2,158300,2013
Green Lake County,Wisconsin,55,47,17.3,19042,18398,106,78.2,575,0.4109,55,46994,25275,18398,19042,74,6.4,140500,2013
Greenbrier County,West Virginia,54,25,18.1,35588,33604,289,81.2,625,0.4553,71,37895,21720,33604,35588,891,8.6,96700,2013
Greene County,Alabama,1,63,14.9,8934,1583,65,78.6,428,0.4939,39,24226,14930,1583,8934,7217,10.3,72700,2013
Greene County,Arkansas,5,55,12.6,42580,41228,380,76.9,634,0.4303,165,38413,19652,41228,42580,299,9.4,99100,2013
Greene County,Georgia,13,133,21.7,16091,9276,43,81.3,660,0.5546,16,42565,27828,9276,16091,6120,7.9,145200,2013
Greene County,Illinois,17,61,15.5,13778,13463,42,80.0,586,0.4007,2,43502,22307,13463,13778,145,8.2,75200,2013
Greene County,Indiana,18,55,14.9,33001,32386,227,78.9,577,0.4253,36,43980,22235,32386,33001,87,8.3,88800,2013
Greene County,Iowa,19,73,17.4,9255,9084,64,77.6,610,0.4386,3,45865,26205,9084,9255,8,6.9,78200,2013
Greene County,Mississippi,28,41,8.8,14337,10259,12,83.9,493,0.4168,5,36888,14463,10259,14337,3734,8.5,83200,2013
Greene County,Missouri,29,77,12.3,278231,254054,3704,80.1,679,0.4625,1411,40337,23520,254054,278231,7794,13.7,128100,2013
Greene County,New York,36,39,16.6,48928,44074,437,84.2,841,0.4402,39,49655,25700,44074,48928,3007,12.0,183300,2013
Greene County,North Carolina,37,79,10.1,21382,10980,94,80.5,608,0.4268,111,40853,18441,10980,21382,7647,10.0,88500,2013
Greene County,Ohio,39,57,12.9,162588,140546,1528,80.1,834,0.4489,271,58080,30040,140546,162588,11820,13.9,158000,2013
Greene County,Pennsylvania,42,59,13.4,38362,35438,360,83.2,597,0.4248,110,44388,21819,35438,38362,2016,9.8,89400,2013
Greene County,Tennessee,47,59,16.4,68679,65586,703,80.7,558,0.4407,86,35545,19801,65586,68679,1568,8.4,110800,2013
Greene County,Virginia,51,79,12.7,18577,16382,156,77.8,1007,0.3563,0,59358,26998,16382,18577,1170,7.3,237500,2013
Greenlee County,Arizona,4,11,10.4,8679,7589,68,72.7,381,0.3722,199,47992,20516,7589,8679,79,8.1,81000,2013
Greensville County,Virginia,51,81,9.4,12078,4605,47,87.9,720,0.488,38,39697,16380,4605,12078,7254,10.6,99600,2013
Greenup County,Kentucky,21,89,15.8,36822,35784,203,79.4,616,0.4427,109,44060,22035,35784,36822,272,7.9,92000,2013
Greenville County,South Carolina,45,45,11.6,459857,352043,4332,77.6,747,0.4721,1135,49022,26643,352043,459857,83218,9.6,153600,2013
Greenwood County,Kansas,20,73,20.3,6582,6357,49,79.3,503,0.4337,22,38346,22280,6357,6582,14,6.1,56800,2013
Greenwood County,South Carolina,45,47,13.6,69727,44612,929,77.0,637,0.4685,38,36540,21053,44612,69727,21407,10.4,104900,2013
Greer County,Oklahoma,40,55,13.1,6178,4956,0,86.4,609,0.4176,215,39900,17969,4956,6178,439,10.8,63000,2013
Gregg County,Texas,48,183,11.6,122258,90188,1152,75.8,748,0.4687,565,45525,24064,90188,122258,24733,11.0,121300,2013
