County,State,mean_life_expectancy,State_FIPS,County_FIPS,per_capita_income,asian_population,black_population,age_18_and_under_percentage,median_home_value,high_school_only_percentage,total_population_race,unemployment_rate,health_insurance_rate,less_than_9th_grade_percentage,native_american_population,gini_index,median_household_income,housing_cost_burden,poverty_rate,age_60_and_over,total_population,white_population,age_15_to_44_percentage,median_gross_rent,bachelors_and_above_percentage,disability_rate,Year
Teton County,Montana,80.2975263112203,30,99,28022.0,5746.0,33.0,24.1,172700.0,31.8,6086.0,1.7,89.4,3.1,60.0,0.4167,55000.0,77.0,13.3,29.1,6086.0,5746.0,30.7,777.0,24.9,14.4,2019
Teton County,Wyoming,85.6381494929132,56,39,54051.0,20785.0,290.0,19.1,866600.0,14.9,23280.0,1.1,87.3,2.1,77.0,0.5003,84678.0,358.0,6.1,20.7,23280.0,20785.0,43.9,1376.0,57.0,6.9,2019
Texas County,Missouri,76.4172738887422,29,215,19973.0,23769.0,559.0,21.6,111700.0,38.6,25604.0,7.5,83.9,4.3,438.0,0.4769,35067.0,113.0,25.3,28.2,25604.0,23769.0,33.6,591.0,13.5,24.3,2019
Texas County,Oklahoma,76.4580524123029,40,139,22003.0,13182.0,514.0,28.7,115100.0,25.7,20805.0,2.7,81.1,17.0,268.0,0.3852,52282.0,234.0,19.6,16.3,20805.0,13182.0,41.1,771.0,22.1,7.5,2019
Thayer County,Nebraska,78.4429326284462,31,169,29632.0,4890.0,25.0,22.8,71400.0,35.6,5057.0,1.6,95.1,2.4,17.0,0.4085,51821.0,6.0,9.7,34.6,5057.0,4890.0,28.7,591.0,18.8,14.7,2019
Thomas County,Georgia,75.3560942395986,13,275,27454.0,26765.0,16240.0,23.9,146800.0,31.5,44630.0,7.4,85.1,4.8,60.0,0.5001,43740.0,356.0,19.2,24.4,44630.0,26765.0,36.0,861.0,24.7,17.2,2019
Thomas County,Kansas,78.1227494048539,20,193,30442.0,7328.0,177.0,22.7,129700.0,26.4,7810.0,2.2,91.6,1.7,28.0,0.4769,60124.0,89.0,12.0,23.6,7810.0,7328.0,39.7,638.0,22.6,14.0,2019
Throckmorton County,Texas,77.0923226481654,48,447,30463.0,1404.0,14.0,16.0,56300.0,35.7,1436.0,4.7,84.1,7.2,0.0,0.5012,40000.0,5.0,16.8,37.4,1436.0,1404.0,29.6,429.0,21.7,23.0,2019
Thurston County,Nebraska,73.5461119898307,31,173,20141.0,2753.0,14.0,35.9,79800.0,32.9,7181.0,13.3,74.7,2.6,4210.0,0.451,51034.0,54.0,25.5,16.7,7181.0,2753.0,37.4,611.0,16.4,12.8,2019
Thurston County,Washington,80.3478259560282,53,67,35169.0,227952.0,8826.0,21.6,287900.0,21.3,279711.0,6.4,95.2,2.1,3810.0,0.4136,72003.0,3809.0,10.4,23.4,279711.0,227952.0,39.6,1218.0,35.7,13.4,2019
Tift County,Georgia,74.5373875864907,13,277,22974.0,26142.0,12007.0,24.9,118100.0,34.7,40541.0,2.7,81.2,5.6,105.0,0.4571,45639.0,495.0,23.3,19.9,40541.0,26142.0,41.0,689.0,18.1,14.0,2019
Tillamook County,Oregon,79.3558713626066,41,57,27659.0,24561.0,110.0,19.1,254300.0,28.7,26389.0,5.1,93.0,3.6,236.0,0.4248,49895.0,366.0,13.1,34.3,26389.0,24561.0,30.1,910.0,21.8,22.1,2019
Tillman County,Oklahoma,75.1648382387661,40,141,21974.0,4846.0,562.0,23.7,56800.0,33.4,7413.0,3.6,84.7,10.8,202.0,0.443,42280.0,17.0,19.8,26.3,7413.0,4846.0,32.2,616.0,17.3,20.8,2019
Tioga County,New York,80.2122507529728,36,107,31822.0,46870.0,327.0,21.1,119700.0,35.9,48686.0,6.1,95.8,1.7,107.0,0.4177,62999.0,356.0,10.2,26.5,48686.0,46870.0,33.4,751.0,26.0,15.2,2019
Tioga County,Pennsylvania,78.6382435648615,42,117,26301.0,39659.0,297.0,19.9,142100.0,45.3,40944.0,5.2,92.6,2.1,31.0,0.4185,51324.0,364.0,13.2,28.6,40944.0,39659.0,34.2,728.0,19.1,17.3,2019
Tippah County,Mississippi,73.6114460928828,28,139,19501.0,17041.0,3686.0,24.4,86900.0,36.2,22018.0,4.4,87.7,7.8,16.0,0.4395,39246.0,170.0,20.0,21.3,22018.0,17041.0,37.9,564.0,15.2,20.0,2019
Tippecanoe County,Indiana,79.3086801306452,18,157,27451.0,156081.0,10168.0,20.6,153000.0,25.4,191553.0,4.1,92.1,2.7,561.0,0.4703,53130.0,2759.0,18.7,16.1,191553.0,156081.0,52.2,851.0,38.7,10.3,2019
Tipton County,Indiana,78.2844543105133,18,159,31025.0,14586.0,16.0,20.8,116000.0,40.8,15162.0,3.2,92.7,3.1,2.0,0.4001,58118.0,245.0,8.5,26.2,15162.0,14586.0,33.3,798.0,24.7,14.9,2019
Tipton County,Tennessee,75.1372630946807,47,167,28457.0,47750.0,11313.0,24.6,150000.0,37.6,61447.0,6.1,90.9,3.6,194.0,0.4398,61291.0,555.0,12.4,19.9,61447.0,47750.0,38.4,825.0,17.3,16.4,2019
