County,State,State_FIPS,County_FIPS,asian_population,per_capita_income,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,total_population_race,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,gini_index,median_household_income,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_gross_rent,age_15_to_44_percentage,bachelors_and_above_percentage,disability_rate,Year
Colusa County,California,6,11,18854.0,27336.0,23.7,249800.0,362.0,27.4,21464.0,201.0,19.7,89.7,5.1,0.4982,56704.0,153.0,18854.0,21464.0,19.1,13.8,877.0,38.6,15.4,12.3,2018
Comal County,Texas,48,91,122339.0,36899.0,26.0,262400.0,2588.0,22.9,135097.0,294.0,3.4,87.7,3.7,0.4408,75356.0,1273.0,122339.0,135097.0,25.5,8.2,1109.0,34.9,35.3,13.9,2018
Comanche County,Kansas,20,33,1739.0,30171.0,32.8,78800.0,0.0,22.9,1780.0,0.0,2.9,90.7,2.3,0.4109,56912.0,4.0,1739.0,1780.0,34.3,6.2,519.0,28.7,18.6,12.6,2018
Comanche County,Oklahoma,40,31,77455.0,26149.0,32.1,125400.0,20654.0,23.9,122561.0,6389.0,2.8,86.9,7.4,0.45,52227.0,1498.0,77455.0,122561.0,17.1,15.4,831.0,45.3,22.5,19.1,2018
Comanche County,Texas,48,93,12741.0,25127.0,36.2,101400.0,170.0,22.4,13495.0,63.0,10.8,81.9,3.0,0.4356,47893.0,96.0,12741.0,13495.0,31.4,16.2,546.0,31.9,19.8,19.3,2018
Concho County,Texas,48,95,3999.0,17684.0,28.1,93500.0,94.0,12.8,4233.0,10.0,23.7,82.9,1.2,0.4888,43355.0,15.0,3999.0,4233.0,23.5,7.3,710.0,44.7,11.9,9.6,2018
Concordia Parish,Louisiana,22,29,11579.0,19172.0,41.4,84000.0,8230.0,24.1,20021.0,15.0,8.1,81.0,6.3,0.5174,31813.0,204.0,11579.0,20021.0,23.0,27.5,573.0,38.1,12.8,12.6,2018
Conecuh County,Alabama,1,35,6369.0,17542.0,48.8,76600.0,5971.0,21.2,12514.0,56.0,7.0,85.5,11.5,0.4354,33177.0,17.0,6369.0,12514.0,28.2,22.2,568.0,33.0,10.7,22.8,2018
Conejos County,Colorado,8,21,7349.0,19545.0,32.4,117600.0,36.0,27.1,8142.0,207.0,6.8,86.5,11.5,0.4614,34746.0,63.0,7349.0,8142.0,25.3,22.4,533.0,34.0,20.2,19.8,2018
Contra Costa County,California,6,13,648325.0,45524.0,17.6,582400.0,97333.0,23.1,1133247.0,5529.0,5.8,94.3,6.1,0.4703,93712.0,11233.0,648325.0,1133247.0,21.1,9.1,1702.0,38.5,41.7,11.2,2018
Converse County,Wyoming,56,9,13417.0,32069.0,38.2,207900.0,1.0,24.7,13997.0,8.0,3.6,91.5,4.7,0.3973,63923.0,173.0,13417.0,13997.0,22.4,8.2,704.0,34.6,17.2,16.5,2018
Conway County,Arkansas,5,29,17805.0,23750.0,43.4,101400.0,2282.0,22.9,20906.0,64.0,5.0,92.6,5.9,0.4675,41196.0,179.0,17805.0,20906.0,25.4,18.2,638.0,34.7,16.0,23.3,2018
