County,State,State_FIPS,County_FIPS,gini_index
Crowley County,Colorado,08,025,0.4411
Custer County,Colorado,08,027,0.4323
Delta County,Colorado,08,029,0.4739
Dolores County,Colorado,08,033,0.4678
Douglas County,Colorado,08,035,0.4016
Eagle County,Colorado,08,037,0.432
Elbert County,Colorado,08,039,0.4052
El Paso County,Colorado,08,041,0.436
Fremont County,Colorado,08,043,0.4313
Garfield County,Colorado,08,045,0.4183
Gilpin County,Colorado,08,047,0.421
Grand County,Colorado,08,049,0.3877
Gunnison County,Colorado,08,051,0.4056
Huerfano County,Colorado,08,055,0.485
Jackson County,Colorado,08,057,0.4204
Kiowa County,Colorado,08,061,0.4226
Kit Carson County,Colorado,08,063,0.4838
Lake County,Colorado,08,065,0.3909
La Plata County,Colorado,08,067,0.4293
Larimer County,Colorado,08,069,0.4525
Las Animas County,Colorado,08,071,0.4368
Lincoln County,Colorado,08,073,0.4558
Logan County,Colorado,08,075,0.4509
Mesa County,Colorado,08,077,0.4526
Moffat County,Colorado,08,081,0.4275
Montezuma County,Colorado,08,083,0.4242
Montrose County,Colorado,08,085,0.4195
Morgan County,Colorado,08,087,0.4133
Otero County,Colorado,08,089,0.4647
Ouray County,Colorado,08,091,0.418
Park County,Colorado,08,093,0.3972
Phillips County,Colorado,08,095,0.4526
Pitkin County,Colorado,08,097,0.5607
Prowers County,Colorado,08,099,0.4415
Pueblo County,Colorado,08,101,0.4445
Rio Blanco County,Colorado,08,103,0.4127
Rio Grande County,Colorado,08,105,0.4644
Routt County,Colorado,08,107,0.4678
Saguache County,Colorado,08,109,0.5002
San Miguel County,Colorado,08,113,0.4701
Sedgwick County,Colorado,08,115,0.4308
Summit County,Colorado,08,117,0.4406
Teller County,Colorado,08,119,0.4128
Washington County,Colorado,08,121,0.4322
Yuma County,Colorado,08,125,0.4437
Adams County,Colorado,08,001,0.4046
Arapahoe County,Colorado,08,005,0.4621
Boulder County,Colorado,08,013,0.4781
Broomfield County,Colorado,08,014,0.4274
Denver County,Colorado,08,031,0.5008
Jefferson County,Colorado,08,059,0.436
Weld County,Colorado,08,123,0.4234
Fairfield County,Connecticut,09,001,0.5444
Hartford County,Connecticut,09,003,0.4712
Litchfield County,Connecticut,09,005,0.4397
Middlesex County,Connecticut,09,007,0.4417
New Haven County,Connecticut,09,009,0.4677
New London County,Connecticut,09,011,0.4413
Tolland County,Connecticut,09,013,0.418
Windham County,Connecticut,09,015,0.4111
