County,State,State_FIPS,County_FIPS,per_capita_income
Tulare County,California,06,107,18962.0
Tuolumne County,California,06,109,31570.0
Ventura County,California,06,111,35771.0
Yolo County,California,06,113,30615.0
Yuba County,California,06,115,22814.0
Alamosa County,Colorado,08,003,19217.0
Archuleta County,Colorado,08,007,29344.0
Baca County,Colorado,08,009,22853.0
Bent County,Colorado,08,011,14028.0
Chaffee County,Colorado,08,015,28907.0
Cheyenne County,Colorado,08,017,23698.0
Clear Creek County,Colorado,08,019,41257.0
Conejos County,Colorado,08,021,19047.0
Costilla County,Colorado,08,023,20737.0
Crowley County,Colorado,08,025,14393.0
Custer County,Colorado,08,027,26032.0
Delta County,Colorado,08,029,25546.0
Dolores County,Colorado,08,033,23190.0
Douglas County,Colorado,08,035,48725.0
Eagle County,Colorado,08,037,40450.0
Elbert County,Colorado,08,039,42522.0
El Paso County,Colorado,08,041,31217.0
Fremont County,Colorado,08,043,20919.0
Garfield County,Colorado,08,045,31483.0
Gilpin County,Colorado,08,047,45110.0
Grand County,Colorado,08,049,32919.0
Gunnison County,Colorado,08,051,27669.0
Huerfano County,Colorado,08,055,25547.0
Jackson County,Colorado,08,057,24299.0
Kiowa County,Colorado,08,061,23621.0
Kit Carson County,Colorado,08,063,26125.0
Lake County,Colorado,08,065,28492.0
La Plata County,Colorado,08,067,34501.0
Larimer County,Colorado,08,069,34087.0
Las Animas County,Colorado,08,071,24268.0
Lincoln County,Colorado,08,073,14765.0
Logan County,Colorado,08,075,24595.0
Mesa County,Colorado,08,077,27612.0
Moffat County,Colorado,08,081,27331.0
Montezuma County,Colorado,08,083,24440.0
Montrose County,Colorado,08,085,24308.0
Morgan County,Colorado,08,087,24077.0
Otero County,Colorado,08,089,20358.0
Ouray County,Colorado,08,091,35544.0
Park County,Colorado,08,093,34377.0
Phillips County,Colorado,08,095,27790.0
Pitkin County,Colorado,08,097,65800.0
Prowers County,Colorado,08,099,22033.0
Pueblo County,Colorado,08,101,23110.0
Rio Blanco County,Colorado,08,103,28185.0
Rio Grande County,Colorado,08,105,22412.0
Routt County,Colorado,08,107,38111.0
Saguache County,Colorado,08,109,22267.0
San Miguel County,Colorado,08,113,42015.0
Sedgwick County,Colorado,08,115,24666.0
Summit County,Colorado,08,117,37192.0
Teller County,Colorado,08,119,34974.0
Washington County,Colorado,08,121,26279.0
Yuma County,Colorado,08,125,24789.0
Adams County,Colorado,08,001,27487.0
Arapahoe County,Colorado,08,005,36951.0
Boulder County,Colorado,08,013,42119.0
Broomfield County,Colorado,08,014,43736.0
Denver County,Colorado,08,031,38991.0
Jefferson County,Colorado,08,059,40187.0
Weld County,Colorado,08,123,29226.0
Fairfield County,Connecticut,09,001,53433.0
Hartford County,Connecticut,09,003,37817.0
Litchfield County,Connecticut,09,005,40619.0
Middlesex County,Connecticut,09,007,43695.0
New Haven County,Connecticut,09,009,35085.0
New London County,Connecticut,09,011,36881.0
Tolland County,Connecticut,09,013,37830.0
Windham County,Connecticut,09,015,29993.0
Kent County,Delaware,10,001,27420.0
New Castle County,Delaware,10,003,34541.0
Sussex County,Delaware,10,005,31874.0
Alachua County,Florida,12,001,26431.0
Baker County,Florida,12,003,22440.0
Bay County,Florida,12,005,26742.0
Bradford County,Florida,12,007,19656.0
Brevard County,Florida,12,009,29405.0
Broward County,Florida,12,011,30109.0
