County,State,State_FIPS,County_FIPS,median_home_value
San Mateo County,California,06,081,722200
Santa Barbara County,California,06,083,453000
Santa Clara County,California,06,085,645600
Santa Cruz County,California,06,087,557500
Shasta County,California,06,089,220000
Sierra County,California,06,091,231400
Siskiyou County,California,06,093,200800
Solano County,California,06,095,262400
Sonoma County,California,06,097,407400
Stanislaus County,California,06,099,172900
Sutter County,California,06,101,188500
Tehama County,California,06,103,177100
Trinity County,California,06,105,257400
Tulare County,California,06,107,163100
Tuolumne County,California,06,109,269400
Ventura County,California,06,111,442200
Yolo County,California,06,113,314300
Yuba County,California,06,115,171000
Alamosa County,Colorado,08,003,137300
Archuleta County,Colorado,08,007,279700
Baca County,Colorado,08,009,73500
Bent County,Colorado,08,011,75500
Chaffee County,Colorado,08,015,262300
Cheyenne County,Colorado,08,017,81700
Clear Creek County,Colorado,08,019,268500
Conejos County,Colorado,08,021,109700
Costilla County,Colorado,08,023,93800
Crowley County,Colorado,08,025,78800
Custer County,Colorado,08,027,216200
Delta County,Colorado,08,029,191200
Dolores County,Colorado,08,033,121800
Douglas County,Colorado,08,035,335600
Eagle County,Colorado,08,037,453300
Elbert County,Colorado,08,039,333600
El Paso County,Colorado,08,041,213500
Fremont County,Colorado,08,043,159500
Garfield County,Colorado,08,045,302700
Gilpin County,Colorado,08,047,281700
Grand County,Colorado,08,049,282000
Gunnison County,Colorado,08,051,329500
Huerfano County,Colorado,08,055,152400
Jackson County,Colorado,08,057,123200
Kiowa County,Colorado,08,061,79400
Kit Carson County,Colorado,08,063,121600
Lake County,Colorado,08,065,164400
La Plata County,Colorado,08,067,339400
Larimer County,Colorado,08,069,247100
Las Animas County,Colorado,08,071,151500
Lincoln County,Colorado,08,073,115000
Logan County,Colorado,08,075,119800
Mesa County,Colorado,08,077,210100
Moffat County,Colorado,08,081,176500
Montezuma County,Colorado,08,083,189400
Montrose County,Colorado,08,085,193700
Morgan County,Colorado,08,087,137000
Otero County,Colorado,08,089,91800
Ouray County,Colorado,08,091,383900
Park County,Colorado,08,093,247300
Phillips County,Colorado,08,095,132700
Pitkin County,Colorado,08,097,611200
Prowers County,Colorado,08,099,86100
Pueblo County,Colorado,08,101,138700
Rio Blanco County,Colorado,08,103,200400
Rio Grande County,Colorado,08,105,129500
Routt County,Colorado,08,107,390100
Saguache County,Colorado,08,109,135400
San Miguel County,Colorado,08,113,448000
Sedgwick County,Colorado,08,115,81400
Summit County,Colorado,08,117,460000
Teller County,Colorado,08,119,226900
Washington County,Colorado,08,121,110500
Yuma County,Colorado,08,125,136600
Adams County,Colorado,08,001,186600
Arapahoe County,Colorado,08,005,230700
Boulder County,Colorado,08,013,350900
Broomfield County,Colorado,08,014,275900
Denver County,Colorado,08,031,249100
Jefferson County,Colorado,08,059,262400
Weld County,Colorado,08,123,191500
Fairfield County,Connecticut,09,001,432100
Hartford County,Connecticut,09,003,241500
Litchfield County,Connecticut,09,005,263600
Middlesex County,Connecticut,09,007,292000
New Haven County,Connecticut,09,009,256900
New London County,Connecticut,09,011,252900
Tolland County,Connecticut,09,013,254800
Windham County,Connecticut,09,015,211100
Kent County,Delaware,10,001,199500
New Castle County,Delaware,10,003,246300
Sussex County,Delaware,10,005,236600
Alachua County,Florida,12,001,167900
Baker County,Florida,12,003,124300
