County,State,State_FIPS,County_FIPS,median_household_income
McDuffie County,Georgia,13,189,36841
McIntosh County,Georgia,13,191,37194
Macon County,Georgia,13,193,28726
Madison County,Georgia,13,195,41407
Marion County,Georgia,13,197,32610
Meriwether County,Georgia,13,199,37028
Miller County,Georgia,13,201,33248
Mitchell County,Georgia,13,205,37597
Monroe County,Georgia,13,207,48632
Montgomery County,Georgia,13,209,34933
Morgan County,Georgia,13,211,46918
Murray County,Georgia,13,213,37004
Muscogee County,Georgia,13,215,41088
Newton County,Georgia,13,217,51691
Oconee County,Georgia,13,219,75136
Oglethorpe County,Georgia,13,221,43255
Paulding County,Georgia,13,223,63023
Peach County,Georgia,13,225,41333
Pickens County,Georgia,13,227,50582
Pierce County,Georgia,13,229,37489
Pike County,Georgia,13,231,56433
Polk County,Georgia,13,233,38514
Pulaski County,Georgia,13,235,32424
Putnam County,Georgia,13,237,41756
Quitman County,Georgia,13,239,32656
Rabun County,Georgia,13,241,33533
Randolph County,Georgia,13,243,29071
Richmond County,Georgia,13,245,39090
Rockdale County,Georgia,13,247,55819
Schley County,Georgia,13,249,34691
Screven County,Georgia,13,251,31963
Seminole County,Georgia,13,253,29639
Spalding County,Georgia,13,255,41163
Stephens County,Georgia,13,257,37502
Stewart County,Georgia,13,259,30417
Sumter County,Georgia,13,261,34416
Talbot County,Georgia,13,263,33404
Taliaferro County,Georgia,13,265,24125
Tattnall County,Georgia,13,267,33863
Taylor County,Georgia,13,269,27479
Telfair County,Georgia,13,271,23777
Terrell County,Georgia,13,273,30953
Thomas County,Georgia,13,275,34419
Tift County,Georgia,13,277,37414
Toombs County,Georgia,13,279,32462
Towns County,Georgia,13,281,39309
Treutlen County,Georgia,13,283,31848
Troup County,Georgia,13,285,41961
Turner County,Georgia,13,287,29851
Twiggs County,Georgia,13,289,27715
Union County,Georgia,13,291,43146
Upson County,Georgia,13,293,34068
Walker County,Georgia,13,295,39578
Walton County,Georgia,13,297,51347
Ware County,Georgia,13,299,35431
Warren County,Georgia,13,301,33330
Washington County,Georgia,13,303,31784
Wayne County,Georgia,13,305,39470
Webster County,Georgia,13,307,29583
Wheeler County,Georgia,13,309,31456
White County,Georgia,13,311,39666
Whitfield County,Georgia,13,313,42379
Wilcox County,Georgia,13,315,31712
Wilkes County,Georgia,13,317,28989
Wilkinson County,Georgia,13,319,37500
Worth County,Georgia,13,321,38336
Hawaii County,Hawaii,15,001,53591
Honolulu County,Hawaii,15,003,71263
Kauai County,Hawaii,15,007,64422
Kalawao County,Hawaii,15,005,56875
Maui County,Hawaii,15,009,64583
Ada County,Idaho,16,001,55304
Adams County,Idaho,16,003,36845
Bannock County,Idaho,16,005,45347
Bear Lake County,Idaho,16,007,43897
Benewah County,Idaho,16,009,37508
Bingham County,Idaho,16,011,46169
Blaine County,Idaho,16,013,62906
Boise County,Idaho,16,015,47128
Bonner County,Idaho,16,017,42989
Bonneville County,Idaho,16,019,51311
Boundary County,Idaho,16,021,35324
Butte County,Idaho,16,023,37821
Camas County,Idaho,16,025,41184
Canyon County,Idaho,16,027,42943
Caribou County,Idaho,16,029,49740
Cassia County,Idaho,16,031,39551
Clearwater County,Idaho,16,035,42043
Custer County,Idaho,16,037,43445
Elmore County,Idaho,16,039,43691
Franklin County,Idaho,16,041,46344
Fremont County,Idaho,16,043,42178
Gem County,Idaho,16,045,44442
Gooding County,Idaho,16,047,40854
Idaho County,Idaho,16,049,36706
Jefferson County,Idaho,16,051,52799
Jerome County,Idaho,16,053,39232
Kootenai County,Idaho,16,055,48075
Latah County,Idaho,16,057,39578
Lemhi County,Idaho,16,059,40270
Lewis County,Idaho,16,061,35344
Lincoln County,Idaho,16,063,45077
Madison County,Idaho,16,065,33791
Minidoka County,Idaho,16,067,43194
Nez Perce County,Idaho,16,069,44540
Oneida County,Idaho,16,071,44435
Owyhee County,Idaho,16,073,32169
Payette County,Idaho,16,075,44943
Power County,Idaho,16,077,41797
Shoshone County,Idaho,16,079,37934
Teton County,Idaho,16,081,52444
Twin Falls County,Idaho,16,083,43146
Valley County,Idaho,16,085,52675
Washington County,Idaho,16,087,37878
Adams County,Illinois,17,001,45792
Alexander County,Illinois,17,003,27727
Bond County,Illinois,17,005,50672
Boone County,Illinois,17,007,61613
Brown County,Illinois,17,009,42014
Bureau County,Illinois,17,011,48046
Calhoun County,Illinois,17,013,48958
Carroll County,Illinois,17,015,45433
Cass County,Illinois,17,017,41139
Champaign County,Illinois,17,019,44462
Christian County,Illinois,17,021,43964
Clark County,Illinois,17,023,47933
Clay County,Illinois,17,025,38905
Clinton County,Illinois,17,027,57246
Coles County,Illinois,17,029,38294
Cook County,Illinois,17,031,54598
Crawford County,Illinois,17,033,43923
Cumberland County,Illinois,17,035,43255
DeKalb County,Illinois,17,037,54436
De Witt County,Illinois,17,039,48750
Douglas County,Illinois,17,041,47921
DuPage County,Illinois,17,043,77598
Edgar County,Illinois,17,045,42947
Edwards County,Illinois,17,047,39071
Effingham County,Illinois,17,049,50938
Fayette County,Illinois,17,051,43081
Ford County,Illinois,17,053,50332
Franklin County,Illinois,17,055,36383
Fulton County,Illinois,17,057,42963
Gallatin County,Illinois,17,059,38577
Greene County,Illinois,17,061,42193
Grundy County,Illinois,17,063,64592
Hamilton County,Illinois,17,065,39000
Hancock County,Illinois,17,067,43567
Hardin County,Illinois,17,069,30875
Henderson County,Illinois,17,071,47944
Henry County,Illinois,17,073,50698
Iroquois County,Illinois,17,075,48248
Jackson County,Illinois,17,077,32896
Jasper County,Illinois,17,079,47731
Jefferson County,Illinois,17,081,42679
Jersey County,Illinois,17,083,54469
Jo Daviess County,Illinois,17,085,52487
Johnson County,Illinois,17,087,42172
Kane County,Illinois,17,089,69496
Kankakee County,Illinois,17,091,49266
Kendall County,Illinois,17,093,82649
Knox County,Illinois,17,095,40112
Lake County,Illinois,17,097,79666
LaSalle County,Illinois,17,099,52469
Lawrence County,Illinois,17,101,38326
Lee County,Illinois,17,103,49451
Livingston County,Illinois,17,105,52835
Logan County,Illinois,17,107,48714
McDonough County,Illinois,17,109,34186
McHenry County,Illinois,17,111,76909
McLean County,Illinois,17,113,59410
Macon County,Illinois,17,115,45987
Macoupin County,Illinois,17,117,48739
Madison County,Illinois,17,119,53143
Marion County,Illinois,17,121,40097
Marshall County,Illinois,17,123,51642
Mason County,Illinois,17,125,42929
Massac County,Illinois,17,127,40885
Menard County,Illinois,17,129,56943
Mercer County,Illinois,17,131,51216
Monroe County,Illinois,17,133,69291
Montgomery County,Illinois,17,135,41925
Morgan County,Illinois,17,137,44731
Moultrie County,Illinois,17,139,48982
Ogle County,Illinois,17,141,57094
Peoria County,Illinois,17,143,50689
Perry County,Illinois,17,145,41333
Piatt County,Illinois,17,147,58837
Pike County,Illinois,17,149,40668
Pope County,Illinois,17,151,38651
Pulaski County,Illinois,17,153,31712
Putnam County,Illinois,17,155,52409
Randolph County,Illinois,17,157,46148
Richland County,Illinois,17,159,42305
Rock Island County,Illinois,17,161,46726
Saint Clair County,Illinois,17,163,50109
Saline County,Illinois,17,165,36083
Sangamon County,Illinois,17,167,53508
Schuyler County,Illinois,17,169,43902
Scott County,Illinois,17,171,50702
Shelby County,Illinois,17,173,44689
Stark County,Illinois,17,175,49693
Stephenson County,Illinois,17,177,43410
Tazewell County,Illinois,17,179,54617
Union County,Illinois,17,181,40696
Vermilion County,Illinois,17,183,40463
Wabash County,Illinois,17,185,47426
Warren County,Illinois,17,187,42773
Washington County,Illinois,17,189,53036
Wayne County,Illinois,17,191,40654
White County,Illinois,17,193,43639
Whiteside County,Illinois,17,195,46444
Will County,Illinois,17,197,76453
Williamson County,Illinois,17,199,41319
Winnebago County,Illinois,17,201,47597
Woodford County,Illinois,17,203,66198
