County,State,State_FIPS,County_FIPS,total_population
Cheyenne County,Colorado,08,017,2026.0
Clear Creek County,Colorado,08,019,9495.0
Conejos County,Colorado,08,021,8128.0
Costilla County,Colorado,08,023,3745.0
Crowley County,Colorado,08,025,5754.0
Custer County,Colorado,08,027,4776.0
Delta County,Colorado,08,029,30565.0
Dolores County,Colorado,08,033,1857.0
Douglas County,Colorado,08,035,336041.0
Eagle County,Colorado,08,037,54681.0
Elbert County,Colorado,08,039,25717.0
El Paso County,Colorado,08,041,698974.0
Fremont County,Colorado,08,043,47321.0
Garfield County,Colorado,08,045,59055.0
Gilpin County,Colorado,08,047,6018.0
Grand County,Colorado,08,049,15303.0
Gunnison County,Colorado,08,051,16802.0
Huerfano County,Colorado,08,055,6679.0
Jackson County,Colorado,08,057,1261.0
Kiowa County,Colorado,08,061,1489.0
Kit Carson County,Colorado,08,063,7447.0
Lake County,Colorado,08,065,7751.0
La Plata County,Colorado,08,067,55617.0
Larimer County,Colorado,08,069,344786.0
Las Animas County,Colorado,08,071,14266.0
Lincoln County,Colorado,08,073,5585.0
Logan County,Colorado,08,075,22380.0
Mesa County,Colorado,08,077,151218.0
Moffat County,Colorado,08,081,13127.0
Montezuma County,Colorado,08,083,26031.0
Montrose County,Colorado,08,085,41686.0
Morgan County,Colorado,08,087,28517.0
Otero County,Colorado,08,089,18282.0
Ouray County,Colorado,08,091,4796.0
Park County,Colorado,08,093,17867.0
Phillips County,Colorado,08,095,4290.0
Pitkin County,Colorado,08,097,17926.0
Prowers County,Colorado,08,099,12022.0
Pueblo County,Colorado,08,101,165982.0
Rio Blanco County,Colorado,08,103,6384.0
Rio Grande County,Colorado,08,105,11305.0
Routt County,Colorado,08,107,25072.0
Saguache County,Colorado,08,109,6592.0
San Miguel County,Colorado,08,113,8049.0
Sedgwick County,Colorado,08,115,2322.0
Summit County,Colorado,08,117,30649.0
Teller County,Colorado,08,119,24524.0
Washington County,Colorado,08,121,4868.0
Yuma County,Colorado,08,125,10003.0
Adams County,Colorado,08,001,504108.0
Arapahoe County,Colorado,08,005,644560.0
Boulder County,Colorado,08,013,322510.0
Broomfield County,Colorado,08,014,67886.0
Denver County,Colorado,08,031,705576.0
Jefferson County,Colorado,08,059,574798.0
Weld County,Colorado,08,123,305345.0
Fairfield County,Connecticut,09,001,943926.0
