County,State,State_FIPS,County_FIPS,gini_index
Stanislaus County,California,06,099,0.4483
Sutter County,California,06,101,0.4542
Tehama County,California,06,103,0.4367
Trinity County,California,06,105,0.472
Tulare County,California,06,107,0.4632
Tuolumne County,California,06,109,0.4402
Ventura County,California,06,111,0.4433
Yolo County,California,06,113,0.4834
Yuba County,California,06,115,0.4233
Alamosa County,Colorado,08,003,0.5118
Archuleta County,Colorado,08,007,0.4521
Baca County,Colorado,08,009,0.4335
Bent County,Colorado,08,011,0.4515
Chaffee County,Colorado,08,015,0.4132
Cheyenne County,Colorado,08,017,0.3938
Clear Creek County,Colorado,08,019,0.4744
Conejos County,Colorado,08,021,0.4495
Costilla County,Colorado,08,023,0.5138
Crowley County,Colorado,08,025,0.4501
Custer County,Colorado,08,027,0.447
Delta County,Colorado,08,029,0.4732
Dolores County,Colorado,08,033,0.478
Douglas County,Colorado,08,035,0.3996
Eagle County,Colorado,08,037,0.4505
Elbert County,Colorado,08,039,0.4095
El Paso County,Colorado,08,041,0.4409
Fremont County,Colorado,08,043,0.4324
Garfield County,Colorado,08,045,0.4185
Gilpin County,Colorado,08,047,0.4218
Grand County,Colorado,08,049,0.401
Gunnison County,Colorado,08,051,0.4159
Huerfano County,Colorado,08,055,0.4857
Jackson County,Colorado,08,057,0.3958
Kiowa County,Colorado,08,061,0.4476
Kit Carson County,Colorado,08,063,0.4658
Lake County,Colorado,08,065,0.3792
La Plata County,Colorado,08,067,0.4264
Larimer County,Colorado,08,069,0.4513
Las Animas County,Colorado,08,071,0.4299
Lincoln County,Colorado,08,073,0.4559
Logan County,Colorado,08,075,0.4572
Mesa County,Colorado,08,077,0.4526
Moffat County,Colorado,08,081,0.4129
Montezuma County,Colorado,08,083,0.4255
Montrose County,Colorado,08,085,0.4206
Morgan County,Colorado,08,087,0.4031
Otero County,Colorado,08,089,0.4692
Ouray County,Colorado,08,091,0.41
Park County,Colorado,08,093,0.3905
Phillips County,Colorado,08,095,0.4786
Pitkin County,Colorado,08,097,0.5527
Prowers County,Colorado,08,099,0.4326
Pueblo County,Colorado,08,101,0.4471
Rio Blanco County,Colorado,08,103,0.4041
Rio Grande County,Colorado,08,105,0.4484
Routt County,Colorado,08,107,0.4634
Saguache County,Colorado,08,109,0.4978
San Miguel County,Colorado,08,113,0.5306
Sedgwick County,Colorado,08,115,0.4213
Summit County,Colorado,08,117,0.4366
Teller County,Colorado,08,119,0.4102
Washington County,Colorado,08,121,0.4281
Yuma County,Colorado,08,125,0.4328
Adams County,Colorado,08,001,0.404
Arapahoe County,Colorado,08,005,0.4649
Boulder County,Colorado,08,013,0.4754
Broomfield County,Colorado,08,014,0.4246
Denver County,Colorado,08,031,0.502
Jefferson County,Colorado,08,059,0.4337
Weld County,Colorado,08,123,0.4208
Fairfield County,Connecticut,09,001,0.5427
Hartford County,Connecticut,09,003,0.4721
Litchfield County,Connecticut,09,005,0.4485
