County,State,State_FIPS,County_FIPS,per_capita_income
San Miguel County,Colorado,08,113,38247.0
Sedgwick County,Colorado,08,115,21652.0
Summit County,Colorado,08,117,35770.0
Teller County,Colorado,08,119,28726.0
Washington County,Colorado,08,121,23125.0
Yuma County,Colorado,08,125,21872.0
Adams County,Colorado,08,001,23999.0
Arapahoe County,Colorado,08,005,31898.0
Boulder County,Colorado,08,013,36947.0
Broomfield County,Colorado,08,014,35836.0
Denver County,Colorado,08,031,30806.0
Jefferson County,Colorado,08,059,34714.0
Weld County,Colorado,08,123,24732.0
Fairfield County,Connecticut,09,001,48295.0
Hartford County,Connecticut,09,003,33151.0
Litchfield County,Connecticut,09,005,35848.0
Middlesex County,Connecticut,09,007,37519.0
New Haven County,Connecticut,09,009,31720.0
New London County,Connecticut,09,011,32888.0
Tolland County,Connecticut,09,013,33108.0
Windham County,Connecticut,09,015,26457.0
Kent County,Delaware,10,001,24194.0
New Castle County,Delaware,10,003,31220.0
Sussex County,Delaware,10,005,26779.0
Alachua County,Florida,12,001,24741.0
Baker County,Florida,12,003,19593.0
Bay County,Florida,12,005,25033.0
Bradford County,Florida,12,007,16997.0
Brevard County,Florida,12,009,27606.0
Broward County,Florida,12,011,28631.0
Calhoun County,Florida,12,013,15091.0
Charlotte County,Florida,12,015,26938.0
Citrus County,Florida,12,017,22551.0
Clay County,Florida,12,019,26872.0
Collier County,Florida,12,021,37046.0
Columbia County,Florida,12,023,19366.0
Miami-Dade County,Florida,12,086,22957.0
DeSoto County,Florida,12,027,15989.0
Dixie County,Florida,12,029,17066.0
Duval County,Florida,12,031,25854.0
Escambia County,Florida,12,033,23474.0
Flagler County,Florida,12,035,24939.0
Franklin County,Florida,12,037,21005.0
Gadsden County,Florida,12,039,16843.0
Gilchrist County,Florida,12,041,18309.0
Glades County,Florida,12,043,17872.0
Gulf County,Florida,12,045,17968.0
Hamilton County,Florida,12,047,15794.0
Hardee County,Florida,12,049,14668.0
Hendry County,Florida,12,051,14734.0
Hernando County,Florida,12,053,22775.0
Highlands County,Florida,12,055,19579.0
Hillsborough County,Florida,12,057,27062.0
Holmes County,Florida,12,059,15285.0
Indian River County,Florida,12,061,31918.0
Jackson County,Florida,12,063,17177.0
Jefferson County,Florida,12,065,19647.0
Lafayette County,Florida,12,067,18069.0
Lake County,Florida,12,069,25323.0
Lee County,Florida,12,071,29445.0
Leon County,Florida,12,073,25803.0
Levy County,Florida,12,075,18703.0
Liberty County,Florida,12,077,17003.0
Madison County,Florida,12,079,16346.0
Manatee County,Florida,12,081,28072.0
Marion County,Florida,12,083,22384.0
Martin County,Florida,12,085,35772.0
Monroe County,Florida,12,087,35516.0
Nassau County,Florida,12,089,29089.0
Okaloosa County,Florida,12,091,28621.0
Okeechobee County,Florida,12,093,19664.0
Orange County,Florida,12,095,25490.0
Osceola County,Florida,12,097,20536.0
Palm Beach County,Florida,12,099,33610.0
Pasco County,Florida,12,101,24164.0
Pinellas County,Florida,12,103,28742.0
Polk County,Florida,12,105,21881.0
Putnam County,Florida,12,107,18402.0
Saint Johns County,Florida,12,109,36027.0
Saint Lucie County,Florida,12,111,23296.0
Santa Rosa County,Florida,12,113,25384.0
Sarasota County,Florida,12,115,33045.0
Seminole County,Florida,12,117,29795.0
Sumter County,Florida,12,119,24180.0
Suwannee County,Florida,12,121,18782.0
Taylor County,Florida,12,123,18649.0
Union County,Florida,12,125,13657.0
Volusia County,Florida,12,127,24768.0
Wakulla County,Florida,12,129,21892.0
Walton County,Florida,12,131,27746.0
Washington County,Florida,12,133,18470.0
Appling County,Georgia,13,001,18977.0
Atkinson County,Georgia,13,003,15456.0
Bacon County,Georgia,13,005,17110.0
Baker County,Georgia,13,007,16379.0
Baldwin County,Georgia,13,009,17488.0
Banks County,Georgia,13,011,19497.0
Barrow County,Georgia,13,013,20882.0
Bartow County,Georgia,13,015,22241.0
Ben Hill County,Georgia,13,017,15529.0
Berrien County,Georgia,13,019,16049.0
Bibb County,Georgia,13,021,21436.0
Bleckley County,Georgia,13,023,18960.0
Brantley County,Georgia,13,025,18905.0
Brooks County,Georgia,13,027,20346.0
Bryan County,Georgia,13,029,28365.0
Bulloch County,Georgia,13,031,17812.0
Burke County,Georgia,13,033,15934.0
Butts County,Georgia,13,035,20963.0
Calhoun County,Georgia,13,037,12452.0
Camden County,Georgia,13,039,22022.0
Candler County,Georgia,13,043,16068.0
Carroll County,Georgia,13,045,20523.0
Catoosa County,Georgia,13,047,22563.0
Charlton County,Georgia,13,049,16652.0
Chatham County,Georgia,13,051,25397.0
Chattahoochee County,Georgia,13,053,22202.0
Chattooga County,Georgia,13,055,15158.0
Cherokee County,Georgia,13,057,30217.0
Clarke County,Georgia,13,059,19839.0
Clay County,Georgia,13,061,13353.0
Clayton County,Georgia,13,063,18958.0
Clinch County,Georgia,13,065,16709.0
Cobb County,Georgia,13,067,33110.0
Coffee County,Georgia,13,069,16664.0
Colquitt County,Georgia,13,071,17362.0
Columbia County,Georgia,13,073,29479.0
Cook County,Georgia,13,075,16528.0
Coweta County,Georgia,13,077,26161.0
Crawford County,Georgia,13,079,20692.0
Crisp County,Georgia,13,081,17187.0
Dade County,Georgia,13,083,20168.0
Dawson County,Georgia,13,085,25557.0
Decatur County,Georgia,13,087,17833.0
DeKalb County,Georgia,13,089,28412.0
Dodge County,Georgia,13,091,16288.0
Dooly County,Georgia,13,093,14871.0
Dougherty County,Georgia,13,095,19210.0
Douglas County,Georgia,13,097,24515.0
Early County,Georgia,13,099,16330.0
Echols County,Georgia,13,101,14201.0
Effingham County,Georgia,13,103,23465.0
Elbert County,Georgia,13,105,17100.0
Emanuel County,Georgia,13,107,16076.0
Evans County,Georgia,13,109,19072.0
Fannin County,Georgia,13,111,21103.0
Fayette County,Georgia,13,113,35076.0
Floyd County,Georgia,13,115,20640.0
Forsyth County,Georgia,13,117,35385.0
Franklin County,Georgia,13,119,19276.0
Fulton County,Georgia,13,121,37211.0
Gilmer County,Georgia,13,123,20439.0
Glascock County,Georgia,13,125,16844.0
Glynn County,Georgia,13,127,28040.0
Gordon County,Georgia,13,129,18285.0
Grady County,Georgia,13,131,17785.0
Greene County,Georgia,13,133,24943.0
Gwinnett County,Georgia,13,135,26901.0
Habersham County,Georgia,13,137,19286.0
Hall County,Georgia,13,139,23675.0
Hancock County,Georgia,13,141,10925.0
Haralson County,Georgia,13,143,19033.0
Harris County,Georgia,13,145,31073.0
Hart County,Georgia,13,147,19124.0
Heard County,Georgia,13,149,18077.0
Henry County,Georgia,13,151,25773.0
Houston County,Georgia,13,153,25206.0
Irwin County,Georgia,13,155,16561.0
Jackson County,Georgia,13,157,22473.0
Jasper County,Georgia,13,159,20263.0
Jeff Davis County,Georgia,13,161,15730.0
Jefferson County,Georgia,13,163,15165.0
Jenkins County,Georgia,13,165,17629.0
Johnson County,Georgia,13,167,15659.0
Jones County,Georgia,13,169,21598.0
Lamar County,Georgia,13,171,17725.0
Lanier County,Georgia,13,173,16894.0
Laurens County,Georgia,13,175,19387.0
Lee County,Georgia,13,177,23867.0
Liberty County,Georgia,13,179,18662.0
Lincoln County,Georgia,13,181,19627.0
Long County,Georgia,13,183,15068.0
Lowndes County,Georgia,13,185,20041.0
Lumpkin County,Georgia,13,187,20088.0
McDuffie County,Georgia,13,189,17261.0
McIntosh County,Georgia,13,191,20964.0
Macon County,Georgia,13,193,12902.0
Madison County,Georgia,13,195,18975.0
Marion County,Georgia,13,197,17729.0
Meriwether County,Georgia,13,199,18295.0
Miller County,Georgia,13,201,19895.0
Mitchell County,Georgia,13,205,16322.0
Monroe County,Georgia,13,207,23656.0
Montgomery County,Georgia,13,209,17168.0
Morgan County,Georgia,13,211,27732.0
Murray County,Georgia,13,213,16925.0
Muscogee County,Georgia,13,215,22514.0
Newton County,Georgia,13,217,21583.0
Oconee County,Georgia,13,219,34271.0
Oglethorpe County,Georgia,13,221,17572.0
Paulding County,Georgia,13,223,23450.0
Peach County,Georgia,13,225,18681.0
Pickens County,Georgia,13,227,25892.0
Pierce County,Georgia,13,229,18283.0
Pike County,Georgia,13,231,21051.0
Polk County,Georgia,13,233,18214.0
Pulaski County,Georgia,13,235,16621.0
Putnam County,Georgia,13,237,25576.0
Quitman County,Georgia,13,239,13642.0
Rabun County,Georgia,13,241,22471.0
Randolph County,Georgia,13,243,17632.0
Richmond County,Georgia,13,245,20604.0
Rockdale County,Georgia,13,247,24367.0
Schley County,Georgia,13,249,16122.0
Screven County,Georgia,13,251,16189.0
Seminole County,Georgia,13,253,19263.0
Spalding County,Georgia,13,255,19607.0
Stephens County,Georgia,13,257,18285.0
Stewart County,Georgia,13,259,15612.0
Sumter County,Georgia,13,261,17436.0
Talbot County,Georgia,13,263,18007.0
Taliaferro County,Georgia,13,265,13955.0
Tattnall County,Georgia,13,267,16742.0
Taylor County,Georgia,13,269,14693.0
Telfair County,Georgia,13,271,13420.0
Terrell County,Georgia,13,273,15553.0
Thomas County,Georgia,13,275,21261.0
Tift County,Georgia,13,277,18394.0
Toombs County,Georgia,13,279,17974.0
Towns County,Georgia,13,281,21527.0
Treutlen County,Georgia,13,283,16710.0
Troup County,Georgia,13,285,19699.0
Turner County,Georgia,13,287,15973.0
Twiggs County,Georgia,13,289,15904.0
Union County,Georgia,13,291,24182.0
Upson County,Georgia,13,293,17398.0
Walker County,Georgia,13,295,19440.0
Walton County,Georgia,13,297,22521.0
Ware County,Georgia,13,299,18295.0
Warren County,Georgia,13,301,15987.0
Washington County,Georgia,13,303,15033.0
Wayne County,Georgia,13,305,18393.0
Webster County,Georgia,13,307,16295.0
Wheeler County,Georgia,13,309,10043.0
White County,Georgia,13,311,23680.0
Whitfield County,Georgia,13,313,19780.0
Wilcox County,Georgia,13,315,12692.0
Wilkes County,Georgia,13,317,16993.0
Wilkinson County,Georgia,13,319,17929.0
Worth County,Georgia,13,321,18348.0
Hawaii County,Hawaii,15,001,26194.0
Honolulu County,Hawaii,15,003,29516.0
Kauai County,Hawaii,15,007,26513.0
Kalawao County,Hawaii,15,005,43308.0
Maui County,Hawaii,15,009,29180.0
Ada County,Idaho,16,001,27915.0
Adams County,Idaho,16,003,22730.0
Bannock County,Idaho,16,005,21275.0
Bear Lake County,Idaho,16,007,19284.0
Benewah County,Idaho,16,009,18312.0
Bingham County,Idaho,16,011,18633.0
Blaine County,Idaho,16,013,32656.0
Boise County,Idaho,16,015,24288.0
Bonner County,Idaho,16,017,24745.0
Bonneville County,Idaho,16,019,23218.0
Boundary County,Idaho,16,021,18011.0
Butte County,Idaho,16,023,20414.0
Camas County,Idaho,16,025,19659.0
Canyon County,Idaho,16,027,18366.0
Caribou County,Idaho,16,029,20637.0
Cassia County,Idaho,16,031,17782.0
Clearwater County,Idaho,16,035,20507.0
Custer County,Idaho,16,037,22625.0
Elmore County,Idaho,16,039,20388.0
Franklin County,Idaho,16,041,17967.0
Fremont County,Idaho,16,043,18616.0
Gem County,Idaho,16,045,20431.0
Gooding County,Idaho,16,047,17694.0
Idaho County,Idaho,16,049,18980.0
Jefferson County,Idaho,16,051,19019.0
Jerome County,Idaho,16,053,16947.0
Kootenai County,Idaho,16,055,24418.0
Latah County,Idaho,16,057,20218.0
Lemhi County,Idaho,16,059,21699.0
Lewis County,Idaho,16,061,18580.0
Lincoln County,Idaho,16,063,19011.0
Madison County,Idaho,16,065,13735.0
Minidoka County,Idaho,16,067,17747.0
Nez Perce County,Idaho,16,069,23899.0
Oneida County,Idaho,16,071,17950.0
Owyhee County,Idaho,16,073,17373.0
Payette County,Idaho,16,075,18814.0
Power County,Idaho,16,077,18412.0
Shoshone County,Idaho,16,079,19020.0
Teton County,Idaho,16,081,23633.0
Twin Falls County,Idaho,16,083,19892.0
Valley County,Idaho,16,085,27577.0
Washington County,Idaho,16,087,20015.0
Adams County,Illinois,17,001,24308.0
Alexander County,Illinois,17,003,15858.0
Bond County,Illinois,17,005,24341.0
Boone County,Illinois,17,007,26105.0
Brown County,Illinois,17,009,17133.0
Bureau County,Illinois,17,011,24103.0
Calhoun County,Illinois,17,013,23109.0
Carroll County,Illinois,17,015,25914.0
Cass County,Illinois,17,017,19825.0
Champaign County,Illinois,17,019,24553.0
Christian County,Illinois,17,021,21519.0
Clark County,Illinois,17,023,23173.0
Clay County,Illinois,17,025,20802.0
Clinton County,Illinois,17,027,25392.0
Coles County,Illinois,17,029,20601.0
Cook County,Illinois,17,031,29335.0
Crawford County,Illinois,17,033,21545.0
Cumberland County,Illinois,17,035,21262.0
DeKalb County,Illinois,17,037,24179.0
De Witt County,Illinois,17,039,24320.0
Douglas County,Illinois,17,041,21438.0
DuPage County,Illinois,17,043,37849.0
Edgar County,Illinois,17,045,22175.0
Edwards County,Illinois,17,047,21113.0
Effingham County,Illinois,17,049,24843.0
Fayette County,Illinois,17,051,21663.0
Ford County,Illinois,17,053,23401.0
Franklin County,Illinois,17,055,18504.0
Fulton County,Illinois,17,057,20309.0
Gallatin County,Illinois,17,059,21537.0
Greene County,Illinois,17,061,22107.0
Grundy County,Illinois,17,063,27895.0
Hamilton County,Illinois,17,065,21602.0
Hancock County,Illinois,17,067,22885.0
Hardin County,Illinois,17,069,18515.0
Henderson County,Illinois,17,071,22492.0
Henry County,Illinois,17,073,24915.0
Iroquois County,Illinois,17,075,23400.0
Jackson County,Illinois,17,077,19294.0
Jasper County,Illinois,17,079,21467.0
Jefferson County,Illinois,17,081,21370.0
Jersey County,Illinois,17,083,24368.0
Jo Daviess County,Illinois,17,085,26819.0
Johnson County,Illinois,17,087,16402.0
Kane County,Illinois,17,089,29480.0
Kankakee County,Illinois,17,091,22888.0
Kendall County,Illinois,17,093,30565.0
Knox County,Illinois,17,095,20908.0
Lake County,Illinois,17,097,38120.0
LaSalle County,Illinois,17,099,24982.0
Lawrence County,Illinois,17,101,19297.0
Lee County,Illinois,17,103,24440.0
Livingston County,Illinois,17,105,23259.0
Logan County,Illinois,17,107,22063.0
McDonough County,Illinois,17,109,18344.0
McHenry County,Illinois,17,111,31838.0
McLean County,Illinois,17,113,28167.0
Macon County,Illinois,17,115,24726.0
Macoupin County,Illinois,17,117,23222.0
Madison County,Illinois,17,119,26127.0
Marion County,Illinois,17,121,20493.0
Marshall County,Illinois,17,123,24991.0
Mason County,Illinois,17,125,23427.0
Massac County,Illinois,17,127,20216.0
Menard County,Illinois,17,129,26281.0
Mercer County,Illinois,17,131,25332.0
Monroe County,Illinois,17,133,31091.0
Montgomery County,Illinois,17,135,21700.0
Morgan County,Illinois,17,137,23244.0
Moultrie County,Illinois,17,139,22954.0
Ogle County,Illinois,17,141,24959.0
Peoria County,Illinois,17,143,28157.0
Perry County,Illinois,17,145,17926.0
Piatt County,Illinois,17,147,26492.0
Pike County,Illinois,17,149,19996.0
Pope County,Illinois,17,151,20134.0
Pulaski County,Illinois,17,153,18444.0
Putnam County,Illinois,17,155,27004.0
Randolph County,Illinois,17,157,19950.0
Richland County,Illinois,17,159,22874.0
Rock Island County,Illinois,17,161,25071.0
Saint Clair County,Illinois,17,163,24770.0
Saline County,Illinois,17,165,20903.0
Sangamon County,Illinois,17,167,28394.0
Schuyler County,Illinois,17,169,20649.0
Scott County,Illinois,17,171,27530.0
Shelby County,Illinois,17,173,21891.0
Stark County,Illinois,17,175,25311.0
Stephenson County,Illinois,17,177,22608.0
Tazewell County,Illinois,17,179,27036.0
Union County,Illinois,17,181,19512.0
Vermilion County,Illinois,17,183,20218.0
Wabash County,Illinois,17,185,23350.0
Warren County,Illinois,17,187,20047.0
Washington County,Illinois,17,189,24846.0
Wayne County,Illinois,17,191,21493.0
White County,Illinois,17,193,22081.0
Whiteside County,Illinois,17,195,23405.0
Will County,Illinois,17,197,29811.0
Williamson County,Illinois,17,199,22164.0
Winnebago County,Illinois,17,201,24008.0
Woodford County,Illinois,17,203,29475.0
Adams County,Indiana,18,001,19089.0
Allen County,Indiana,18,003,24532.0
