County,State,State_FIPS,County_FIPS,median_household_income
Windham County,Connecticut,09,015,59333
Kent County,Delaware,10,001,55149
New Castle County,Delaware,10,003,64537
Sussex County,Delaware,10,005,52710
Alachua County,Florida,12,001,42149
Baker County,Florida,12,003,49236
Bay County,Florida,12,005,47461
Bradford County,Florida,12,007,40259
Brevard County,Florida,12,009,48039
Broward County,Florida,12,011,51251
Calhoun County,Florida,12,013,32780
Charlotte County,Florida,12,015,44378
Citrus County,Florida,12,017,39100
Clay County,Florida,12,019,59482
Collier County,Florida,12,021,55843
Columbia County,Florida,12,023,38070
Miami-Dade County,Florida,12,086,43100
DeSoto County,Florida,12,027,34963
Dixie County,Florida,12,029,33981
Duval County,Florida,12,031,48323
Escambia County,Florida,12,033,43918
Flagler County,Florida,12,035,47233
Franklin County,Florida,12,037,38328
Gadsden County,Florida,12,039,35380
Gilchrist County,Florida,12,041,38406
Glades County,Florida,12,043,34694
Gulf County,Florida,12,045,40455
Hamilton County,Florida,12,047,37716
Hardee County,Florida,12,049,37125
Hendry County,Florida,12,051,35425
Hernando County,Florida,12,053,41024
Highlands County,Florida,12,055,35560
Hillsborough County,Florida,12,057,49596
Holmes County,Florida,12,059,35511
Indian River County,Florida,12,061,44772
Jackson County,Florida,12,063,36809
Jefferson County,Florida,12,065,44170
Lafayette County,Florida,12,067,39722
Lake County,Florida,12,069,45035
Lee County,Florida,12,071,47439
Leon County,Florida,12,073,46369
Levy County,Florida,12,075,34348
Liberty County,Florida,12,077,39681
Madison County,Florida,12,079,33833
Manatee County,Florida,12,081,47876
Marion County,Florida,12,083,39453
Martin County,Florida,12,085,49846
Monroe County,Florida,12,087,53607
Nassau County,Florida,12,089,55315
Okaloosa County,Florida,12,091,54684
Okeechobee County,Florida,12,093,34570
Orange County,Florida,12,095,47581
Osceola County,Florida,12,097,43891
Palm Beach County,Florida,12,099,52432
Pasco County,Florida,12,101,43888
Pinellas County,Florida,12,103,45535
Polk County,Florida,12,105,43113
Putnam County,Florida,12,107,32497
Saint Johns County,Florida,12,109,64876
Saint Lucie County,Florida,12,111,43413
Santa Rosa County,Florida,12,113,57703
Sarasota County,Florida,12,115,49052
Seminole County,Florida,12,117,58175
Sumter County,Florida,12,119,48493
Suwannee County,Florida,12,121,35698
Taylor County,Florida,12,123,36356
Union County,Florida,12,125,42660
Volusia County,Florida,12,127,42457
Wakulla County,Florida,12,129,52691
Walton County,Florida,12,131,43640
Washington County,Florida,12,133,38501
Appling County,Georgia,13,001,36786
Atkinson County,Georgia,13,003,30049
Bacon County,Georgia,13,005,33757
Baker County,Georgia,13,007,27353
Baldwin County,Georgia,13,009,32751
Banks County,Georgia,13,011,41141
Barrow County,Georgia,13,013,53274
Bartow County,Georgia,13,015,47197
Ben Hill County,Georgia,13,017,28547
Berrien County,Georgia,13,019,32258
Bibb County,Georgia,13,021,37550
Bleckley County,Georgia,13,023,36073
Brantley County,Georgia,13,025,36070
Brooks County,Georgia,13,027,34419
Bryan County,Georgia,13,029,64707
Bulloch County,Georgia,13,031,35840
Burke County,Georgia,13,033,31494
Butts County,Georgia,13,035,49754
Calhoun County,Georgia,13,037,26986
Camden County,Georgia,13,039,51990
Candler County,Georgia,13,043,35070
Carroll County,Georgia,13,045,46147
Catoosa County,Georgia,13,047,47087
Charlton County,Georgia,13,049,40111
Chatham County,Georgia,13,051,45794
Chattahoochee County,Georgia,13,053,48758
Chattooga County,Georgia,13,055,33228
Cherokee County,Georgia,13,057,67261
Clarke County,Georgia,13,059,33060
Clay County,Georgia,13,061,21192
Clayton County,Georgia,13,063,40606
Clinch County,Georgia,13,065,30345
Cobb County,Georgia,13,067,63920
Coffee County,Georgia,13,069,35693
Colquitt County,Georgia,13,071,32484
Columbia County,Georgia,13,073,69306
Cook County,Georgia,13,075,34985
Coweta County,Georgia,13,077,60813
Crawford County,Georgia,13,079,41586
Crisp County,Georgia,13,081,35240
Dade County,Georgia,13,083,43205
Dawson County,Georgia,13,085,53525
Decatur County,Georgia,13,087,30619
DeKalb County,Georgia,13,089,50856
Dodge County,Georgia,13,091,37292
Dooly County,Georgia,13,093,29012
Dougherty County,Georgia,13,095,31671
Douglas County,Georgia,13,097,52691
Early County,Georgia,13,099,28853
Echols County,Georgia,13,101,31375
Effingham County,Georgia,13,103,63030
Elbert County,Georgia,13,105,35817
Emanuel County,Georgia,13,107,32046
Evans County,Georgia,13,109,36788
Fannin County,Georgia,13,111,34239
Fayette County,Georgia,13,113,79977
Floyd County,Georgia,13,115,40821
Forsyth County,Georgia,13,117,86569
Franklin County,Georgia,13,119,34830
Fulton County,Georgia,13,121,56857
Gilmer County,Georgia,13,123,39140
Glascock County,Georgia,13,125,37760
Glynn County,Georgia,13,127,46407
Gordon County,Georgia,13,129,40926
Grady County,Georgia,13,131,30571
Greene County,Georgia,13,133,42565
Gwinnett County,Georgia,13,135,60445
Habersham County,Georgia,13,137,39306
Hall County,Georgia,13,139,50853
Hancock County,Georgia,13,141,25000
Haralson County,Georgia,13,143,39993
Harris County,Georgia,13,145,69223
Hart County,Georgia,13,147,35615
Heard County,Georgia,13,149,39909
Henry County,Georgia,13,151,60781
Houston County,Georgia,13,153,54893
Irwin County,Georgia,13,155,40771
Jackson County,Georgia,13,157,53179
Jasper County,Georgia,13,159,42192
Jeff Davis County,Georgia,13,161,36296
Jefferson County,Georgia,13,163,26968
Jenkins County,Georgia,13,165,26104
Johnson County,Georgia,13,167,36722
Jones County,Georgia,13,169,51497
Lamar County,Georgia,13,171,41016
Lanier County,Georgia,13,173,39452
Laurens County,Georgia,13,175,34793
Lee County,Georgia,13,177,60104
Liberty County,Georgia,13,179,43832
Lincoln County,Georgia,13,181,35625
Long County,Georgia,13,183,42651
Lowndes County,Georgia,13,185,37365
Lumpkin County,Georgia,13,187,43775
McDuffie County,Georgia,13,189,37487
McIntosh County,Georgia,13,191,39068
Macon County,Georgia,13,193,30240
Madison County,Georgia,13,195,42549
Marion County,Georgia,13,197,33301
Meriwether County,Georgia,13,199,37333
Miller County,Georgia,13,201,32260
Mitchell County,Georgia,13,205,32054
Monroe County,Georgia,13,207,48630
Montgomery County,Georgia,13,209,32702
Morgan County,Georgia,13,211,47729
Murray County,Georgia,13,213,34888
Muscogee County,Georgia,13,215,41339
Newton County,Georgia,13,217,50580
Oconee County,Georgia,13,219,75004
Oglethorpe County,Georgia,13,221,45729
Paulding County,Georgia,13,223,61837
Peach County,Georgia,13,225,39844
Pickens County,Georgia,13,227,51383
Pierce County,Georgia,13,229,39067
Pike County,Georgia,13,231,53865
Polk County,Georgia,13,233,39208
Pulaski County,Georgia,13,235,41550
Putnam County,Georgia,13,237,44764
Quitman County,Georgia,13,239,31068
Rabun County,Georgia,13,241,35423
Randolph County,Georgia,13,243,30023
Richmond County,Georgia,13,245,37749
Rockdale County,Georgia,13,247,52579
Schley County,Georgia,13,249,38425
Screven County,Georgia,13,251,34848
Seminole County,Georgia,13,253,30521
Spalding County,Georgia,13,255,41534
Stephens County,Georgia,13,257,37898
Stewart County,Georgia,13,259,23451
Sumter County,Georgia,13,261,33796
Talbot County,Georgia,13,263,32424
Taliaferro County,Georgia,13,265,25465
Tattnall County,Georgia,13,267,37587
Taylor County,Georgia,13,269,27455
Telfair County,Georgia,13,271,26634
Terrell County,Georgia,13,273,32628
Thomas County,Georgia,13,275,34035
Tift County,Georgia,13,277,34591
Toombs County,Georgia,13,279,31189
Towns County,Georgia,13,281,36570
Treutlen County,Georgia,13,283,37894
Troup County,Georgia,13,285,41161
Turner County,Georgia,13,287,28326
Twiggs County,Georgia,13,289,31234
Union County,Georgia,13,291,40009
Upson County,Georgia,13,293,35329
Walker County,Georgia,13,295,39963
Walton County,Georgia,13,297,52369
Ware County,Georgia,13,299,34572
Warren County,Georgia,13,301,27796
Washington County,Georgia,13,303,33652
Wayne County,Georgia,13,305,35830
Webster County,Georgia,13,307,35718
Wheeler County,Georgia,13,309,24382
White County,Georgia,13,311,40670
Whitfield County,Georgia,13,313,40471
Wilcox County,Georgia,13,315,32928
Wilkes County,Georgia,13,317,28983
Wilkinson County,Georgia,13,319,36173
Worth County,Georgia,13,321,35792
Hawaii County,Hawaii,15,001,51250
Honolulu County,Hawaii,15,003,72764
Kauai County,Hawaii,15,007,62052
Kalawao County,Hawaii,15,005,59375
Maui County,Hawaii,15,009,63512
Ada County,Idaho,16,001,55210
Adams County,Idaho,16,003,35434
Bannock County,Idaho,16,005,43534
Bear Lake County,Idaho,16,007,44964
Benewah County,Idaho,16,009,39049
Bingham County,Idaho,16,011,47941
Blaine County,Idaho,16,013,64042
Boise County,Idaho,16,015,41056
Bonner County,Idaho,16,017,41414
Bonneville County,Idaho,16,019,50872
Boundary County,Idaho,16,021,37003
Butte County,Idaho,16,023,41131
Camas County,Idaho,16,025,41154
Canyon County,Idaho,16,027,42105
Caribou County,Idaho,16,029,53586
Cassia County,Idaho,16,031,42039
Clearwater County,Idaho,16,035,40134
Custer County,Idaho,16,037,39541
Elmore County,Idaho,16,039,42842
Franklin County,Idaho,16,041,44962
Fremont County,Idaho,16,043,44520
Gem County,Idaho,16,045,44432
Gooding County,Idaho,16,047,37050
Idaho County,Idaho,16,049,37349
Jefferson County,Idaho,16,051,52023
Jerome County,Idaho,16,053,40126
Kootenai County,Idaho,16,055,49002
Latah County,Idaho,16,057,41735
Lemhi County,Idaho,16,059,34122
Lewis County,Idaho,16,061,36000
Lincoln County,Idaho,16,063,42433
Madison County,Idaho,16,065,32059
