County,State,State_FIPS,County_FIPS,median_home_value
Sierra County,California,06,091,173200.0
Siskiyou County,California,06,093,186300.0
Solano County,California,06,095,377500.0
Sonoma County,California,06,097,568700.0
Stanislaus County,California,06,099,272400.0
Sutter County,California,06,101,260300.0
Tehama County,California,06,103,203400.0
Trinity County,California,06,105,284600.0
Tulare County,California,06,107,191200.0
Tuolumne County,California,06,109,278900.0
Ventura County,California,06,111,559700.0
Yolo County,California,06,113,395500.0
Yuba County,California,06,115,231900.0
Alamosa County,Colorado,08,003,157500.0
Archuleta County,Colorado,08,007,295500.0
Baca County,Colorado,08,009,82200.0
Bent County,Colorado,08,011,80600.0
Chaffee County,Colorado,08,015,335900.0
Cheyenne County,Colorado,08,017,104000.0
Clear Creek County,Colorado,08,019,357000.0
Conejos County,Colorado,08,021,117600.0
Costilla County,Colorado,08,023,113200.0
Crowley County,Colorado,08,025,71700.0
Custer County,Colorado,08,027,262200.0
Delta County,Colorado,08,029,219000.0
Dolores County,Colorado,08,033,115900.0
Douglas County,Colorado,08,035,441100.0
Eagle County,Colorado,08,037,538600.0
Elbert County,Colorado,08,039,425500.0
El Paso County,Colorado,08,041,254300.0
Fremont County,Colorado,08,043,163300.0
Garfield County,Colorado,08,045,337900.0
Gilpin County,Colorado,08,047,337400.0
Grand County,Colorado,08,049,295800.0
Gunnison County,Colorado,08,051,339400.0
Huerfano County,Colorado,08,055,157200.0
Jackson County,Colorado,08,057,195400.0
Kiowa County,Colorado,08,061,80100.0
Kit Carson County,Colorado,08,063,140800.0
Lake County,Colorado,08,065,214000.0
La Plata County,Colorado,08,067,375400.0
Larimer County,Colorado,08,069,336200.0
Las Animas County,Colorado,08,071,147100.0
Lincoln County,Colorado,08,073,135700.0
Logan County,Colorado,08,075,154500.0
Mesa County,Colorado,08,077,214400.0
Moffat County,Colorado,08,081,170700.0
Montezuma County,Colorado,08,083,208300.0
Montrose County,Colorado,08,085,212900.0
Morgan County,Colorado,08,087,183900.0
Otero County,Colorado,08,089,91900.0
Ouray County,Colorado,08,091,419900.0
Park County,Colorado,08,093,284800.0
Phillips County,Colorado,08,095,155500.0
Pitkin County,Colorado,08,097,623400.0
Prowers County,Colorado,08,099,94100.0
Pueblo County,Colorado,08,101,155400.0
Rio Blanco County,Colorado,08,103,203100.0
Rio Grande County,Colorado,08,105,161300.0
Routt County,Colorado,08,107,510600.0
Saguache County,Colorado,08,109,149500.0
San Miguel County,Colorado,08,113,491100.0
Sedgwick County,Colorado,08,115,87300.0
Summit County,Colorado,08,117,563000.0
Teller County,Colorado,08,119,279100.0
Washington County,Colorado,08,121,138700.0
Yuma County,Colorado,08,125,171600.0
Adams County,Colorado,08,001,273000.0
Arapahoe County,Colorado,08,005,327800.0
Boulder County,Colorado,08,013,462200.0
Broomfield County,Colorado,08,014,382800.0
Denver County,Colorado,08,031,357300.0
Jefferson County,Colorado,08,059,366800.0
Weld County,Colorado,08,123,269400.0
Fairfield County,Connecticut,09,001,422300.0
Hartford County,Connecticut,09,003,237700.0
Litchfield County,Connecticut,09,005,251500.0
Middlesex County,Connecticut,09,007,284900.0
New Haven County,Connecticut,09,009,246700.0
New London County,Connecticut,09,011,239000.0
Tolland County,Connecticut,09,013,251300.0
Windham County,Connecticut,09,015,198000.0
Kent County,Delaware,10,001,213900.0
New Castle County,Delaware,10,003,254500.0
Sussex County,Delaware,10,005,248900.0
Alachua County,Florida,12,001,173900.0
Baker County,Florida,12,003,120900.0
Bay County,Florida,12,005,172600.0
Bradford County,Florida,12,007,97200.0
Brevard County,Florida,12,009,177400.0
Broward County,Florida,12,011,243100.0
Calhoun County,Florida,12,013,81300.0
Charlotte County,Florida,12,015,176500.0
Citrus County,Florida,12,017,123800.0
Clay County,Florida,12,019,174400.0
Collier County,Florida,12,021,340100.0
Columbia County,Florida,12,023,117800.0
Miami-Dade County,Florida,12,086,268200.0
DeSoto County,Florida,12,027,84400.0
Dixie County,Florida,12,029,74500.0
Duval County,Florida,12,031,166900.0
Escambia County,Florida,12,033,133600.0
Flagler County,Florida,12,035,200000.0
Franklin County,Florida,12,037,139500.0
Gadsden County,Florida,12,039,99000.0
Gilchrist County,Florida,12,041,97800.0
Glades County,Florida,12,043,76400.0
Gulf County,Florida,12,045,150300.0
Hamilton County,Florida,12,047,71100.0
Hardee County,Florida,12,049,81800.0
Hendry County,Florida,12,051,82000.0
Hernando County,Florida,12,053,130300.0
Highlands County,Florida,12,055,93800.0
Hillsborough County,Florida,12,057,198000.0
Holmes County,Florida,12,059,93200.0
Indian River County,Florida,12,061,185800.0
Jackson County,Florida,12,063,98800.0
Jefferson County,Florida,12,065,117900.0
Lafayette County,Florida,12,067,105900.0
Lake County,Florida,12,069,167200.0
Lee County,Florida,12,071,207700.0
Leon County,Florida,12,073,195000.0
Levy County,Florida,12,075,99400.0
Liberty County,Florida,12,077,66600.0
Madison County,Florida,12,079,87400.0
Manatee County,Florida,12,081,218900.0
Marion County,Florida,12,083,127100.0
Martin County,Florida,12,085,255000.0
