County,State,State_FIPS,County_FIPS,total_population_for_poverty
Montgomery County,Georgia,13,209,8290
Morgan County,Georgia,13,211,17632
Murray County,Georgia,13,213,39330
Muscogee County,Georgia,13,215,176127
Newton County,Georgia,13,217,97154
Oconee County,Georgia,13,219,32093
Oglethorpe County,Georgia,13,221,14563
Paulding County,Georgia,13,223,138287
Peach County,Georgia,13,225,25041
Pickens County,Georgia,13,227,28998
Pierce County,Georgia,13,229,18190
Pike County,Georgia,13,231,17263
Polk County,Georgia,13,233,40367
Pulaski County,Georgia,13,235,10411
Putnam County,Georgia,13,237,20887
Quitman County,Georgia,13,239,2489
Rabun County,Georgia,13,241,16148
Randolph County,Georgia,13,243,7150
Richmond County,Georgia,13,245,190330
Rockdale County,Georgia,13,247,83394
Schley County,Georgia,13,249,4850
Screven County,Georgia,13,251,14441
Seminole County,Georgia,13,253,8660
Spalding County,Georgia,13,255,62725
Stephens County,Georgia,13,257,24607
Stewart County,Georgia,13,259,5479
Sumter County,Georgia,13,261,30985
Talbot County,Georgia,13,263,6854
Taliaferro County,Georgia,13,265,1773
Tattnall County,Georgia,13,267,20983
Taylor County,Georgia,13,269,8501
Telfair County,Georgia,13,271,12736
Terrell County,Georgia,13,273,9119
Thomas County,Georgia,13,275,43574
Tift County,Georgia,13,277,38899
Toombs County,Georgia,13,279,26836
Towns County,Georgia,13,281,9782
Treutlen County,Georgia,13,283,6399
Troup County,Georgia,13,285,64478
Turner County,Georgia,13,287,8693
Twiggs County,Georgia,13,289,9078
Union County,Georgia,13,291,20833
Upson County,Georgia,13,293,26642
Walker County,Georgia,13,295,66791
Walton County,Georgia,13,297,82095
Ware County,Georgia,13,299,33383
Warren County,Georgia,13,301,5800
Washington County,Georgia,13,303,19654
Wayne County,Georgia,13,305,27638
Webster County,Georgia,13,307,2755
Wheeler County,Georgia,13,309,4702
White County,Georgia,13,311,26304
Whitfield County,Georgia,13,313,99983
Wilcox County,Georgia,13,315,7145
Wilkes County,Georgia,13,317,10302
Wilkinson County,Georgia,13,319,9531
Worth County,Georgia,13,321,21503
Hawaii County,Hawaii,15,001,179850
Honolulu County,Hawaii,15,003,915611
Kauai County,Hawaii,15,007,65227
Kalawao County,Hawaii,15,005,56
Maui County,Hawaii,15,009,151146
Ada County,Idaho,16,001,379885
Adams County,Idaho,16,003,3897
Bannock County,Idaho,16,005,79773
Bear Lake County,Idaho,16,007,5956
Benewah County,Idaho,16,009,9171
Bingham County,Idaho,16,011,44661
Blaine County,Idaho,16,013,21181
Boise County,Idaho,16,015,7033
Bonner County,Idaho,16,017,40432
Bonneville County,Idaho,16,019,101556
Boundary County,Idaho,16,021,10511
Butte County,Idaho,16,023,2785
Camas County,Idaho,16,025,1222
Canyon County,Idaho,16,027,183185
Caribou County,Idaho,16,029,6780
Cassia County,Idaho,16,031,22080
Clearwater County,Idaho,16,035,7998
Custer County,Idaho,16,037,4263
Elmore County,Idaho,16,039,25827
Franklin County,Idaho,16,041,12559
Fremont County,Idaho,16,043,12680
Gem County,Idaho,16,045,16471
Gooding County,Idaho,16,047,15038
Idaho County,Idaho,16,049,15563
Jefferson County,Idaho,16,051,25108
Jerome County,Idaho,16,053,21616
Kootenai County,Idaho,16,055,135659
Latah County,Idaho,16,057,33842
Lemhi County,Idaho,16,059,7749
Lewis County,Idaho,16,061,3723
Lincoln County,Idaho,16,063,4994
Madison County,Idaho,16,065,35613
Minidoka County,Idaho,16,067,19548
Nez Perce County,Idaho,16,069,38251
Oneida County,Idaho,16,071,4194
Owyhee County,Idaho,16,073,11296
Payette County,Idaho,16,075,22420
Power County,Idaho,16,077,7609
Shoshone County,Idaho,16,079,12226
Teton County,Idaho,16,081,9602
Twin Falls County,Idaho,16,083,74504
Valley County,Idaho,16,085,9714
Washington County,Idaho,16,087,10048
Adams County,Illinois,17,001,64878
Alexander County,Illinois,17,003,7788
Bond County,Illinois,17,005,16831
Boone County,Illinois,17,007,53511
Brown County,Illinois,17,009,5009
Bureau County,Illinois,17,011,34543
Calhoun County,Illinois,17,013,5019
Carroll County,Illinois,17,015,15179
Cass County,Illinois,17,017,13371
Champaign County,Illinois,17,019,182546
Christian County,Illinois,17,021,32909
Clark County,Illinois,17,023,16058
