County,State,State_FIPS,County_FIPS,people_below_poverty
San Francisco County,California,06,075,104180.0
San Joaquin County,California,06,077,124587.0
San Luis Obispo County,California,06,079,37208.0
San Mateo County,California,06,081,57490.0
Santa Barbara County,California,06,083,66880.0
Santa Clara County,California,06,085,172213.0
Santa Cruz County,California,06,087,39211.0
Shasta County,California,06,089,30945.0
Sierra County,California,06,091,329.0
Siskiyou County,California,06,093,9524.0
Solano County,California,06,095,53265.0
Sonoma County,California,06,097,55095.0
Stanislaus County,California,06,099,95739.0
Sutter County,California,06,101,16535.0
Tehama County,California,06,103,13363.0
Trinity County,California,06,105,2607.0
Tulare County,California,06,107,127130.0
Tuolumne County,California,06,109,7176.0
Ventura County,California,06,111,88486.0
Yolo County,California,06,113,38898.0
Yuba County,California,06,115,15080.0
Alamosa County,Colorado,08,003,4786.0
Archuleta County,Colorado,08,007,1369.0
Baca County,Colorado,08,009,634.0
Bent County,Colorado,08,011,943.0
Chaffee County,Colorado,08,015,1673.0
Cheyenne County,Colorado,08,017,229.0
Clear Creek County,Colorado,08,019,677.0
Conejos County,Colorado,08,021,1805.0
Costilla County,Colorado,08,023,1092.0
Crowley County,Colorado,08,025,1479.0
Custer County,Colorado,08,027,772.0
Delta County,Colorado,08,029,4890.0
Dolores County,Colorado,08,033,346.0
Douglas County,Colorado,08,035,11807.0
Eagle County,Colorado,08,037,4237.0
Elbert County,Colorado,08,039,1221.0
El Paso County,Colorado,08,041,73012.0
Fremont County,Colorado,08,043,6012.0
Garfield County,Colorado,08,045,6274.0
Gilpin County,Colorado,08,047,392.0
Grand County,Colorado,08,049,1523.0
Gunnison County,Colorado,08,051,2319.0
Huerfano County,Colorado,08,055,1086.0
Jackson County,Colorado,08,057,179.0
Kiowa County,Colorado,08,061,154.0
Kit Carson County,Colorado,08,063,1033.0
Lake County,Colorado,08,065,836.0
La Plata County,Colorado,08,067,5569.0
Larimer County,Colorado,08,069,41640.0
Las Animas County,Colorado,08,071,1926.0
Lincoln County,Colorado,08,073,597.0
Logan County,Colorado,08,075,3394.0
Mesa County,Colorado,08,077,23633.0
Moffat County,Colorado,08,081,1419.0
Montezuma County,Colorado,08,083,4811.0
Montrose County,Colorado,08,085,7278.0
Morgan County,Colorado,08,087,2986.0
Otero County,Colorado,08,089,4154.0
Ouray County,Colorado,08,091,425.0
Park County,Colorado,08,093,1022.0
Phillips County,Colorado,08,095,509.0
Pitkin County,Colorado,08,097,1507.0
Prowers County,Colorado,08,099,2422.0
Pueblo County,Colorado,08,101,31907.0
Rio Blanco County,Colorado,08,103,788.0
Rio Grande County,Colorado,08,105,2174.0
Routt County,Colorado,08,107,2408.0
Saguache County,Colorado,08,109,1409.0
San Miguel County,Colorado,08,113,923.0
Sedgwick County,Colorado,08,115,342.0
Summit County,Colorado,08,117,3522.0
Teller County,Colorado,08,119,1752.0
Washington County,Colorado,08,121,529.0
Yuma County,Colorado,08,125,1459.0
Adams County,Colorado,08,001,61265.0
Arapahoe County,Colorado,08,005,65383.0
Boulder County,Colorado,08,013,40732.0
Broomfield County,Colorado,08,014,3667.0
Denver County,Colorado,08,031,106745.0
Jefferson County,Colorado,08,059,44629.0
Weld County,Colorado,08,123,34050.0
Fairfield County,Connecticut,09,001,81553.0
Hartford County,Connecticut,09,003,100830.0
Litchfield County,Connecticut,09,005,12706.0
Middlesex County,Connecticut,09,007,11193.0
New Haven County,Connecticut,09,009,106796.0
New London County,Connecticut,09,011,25645.0
Tolland County,Connecticut,09,013,9223.0
Windham County,Connecticut,09,015,12518.0
Kent County,Delaware,10,001,21866.0
New Castle County,Delaware,10,003,60817.0
Sussex County,Delaware,10,005,26765.0
Alachua County,Florida,12,001,58387.0
Baker County,Florida,12,003,4522.0
Bay County,Florida,12,005,27363.0
Bradford County,Florida,12,007,4559.0
Brevard County,Florida,12,009,77357.0
Broward County,Florida,12,011,265521.0
Calhoun County,Florida,12,013,1623.0
Charlotte County,Florida,12,015,20511.0
Citrus County,Florida,12,017,24409.0
Clay County,Florida,12,019,20243.0
Collier County,Florida,12,021,45375.0
Columbia County,Florida,12,023,12229.0
Miami-Dade County,Florida,12,086,522143.0
DeSoto County,Florida,12,027,9920.0
Dixie County,Florida,12,029,3109.0
Duval County,Florida,12,031,146252.0
Escambia County,Florida,12,033,42672.0
Flagler County,Florida,12,035,13453.0
Franklin County,Florida,12,037,2060.0
Gadsden County,Florida,12,039,11042.0
Gilchrist County,Florida,12,041,3730.0
Glades County,Florida,12,043,2500.0
Gulf County,Florida,12,045,2068.0
Hamilton County,Florida,12,047,2963.0
Hardee County,Florida,12,049,6716.0
Hendry County,Florida,12,051,9776.0
Hernando County,Florida,12,053,27175.0
Highlands County,Florida,12,055,18889.0
Hillsborough County,Florida,12,057,213566.0
Holmes County,Florida,12,059,4571.0
Indian River County,Florida,12,061,20302.0
Jackson County,Florida,12,063,9325.0
Jefferson County,Florida,12,065,1825.0
Lafayette County,Florida,12,067,1272.0
Lake County,Florida,12,069,42342.0
Lee County,Florida,12,071,104219.0
Leon County,Florida,12,073,58148.0
Levy County,Florida,12,075,8652.0
Liberty County,Florida,12,077,1147.0
Madison County,Florida,12,079,4703.0
Manatee County,Florida,12,081,50094.0
Marion County,Florida,12,083,60266.0
Martin County,Florida,12,085,17758.0
Monroe County,Florida,12,087,9815.0
Nassau County,Florida,12,089,9702.0
Okaloosa County,Florida,12,091,22821.0
Okeechobee County,Florida,12,093,9105.0
Orange County,Florida,12,095,212105.0
Osceola County,Florida,12,097,60243.0
Palm Beach County,Florida,12,099,191207.0
Pasco County,Florida,12,101,65101.0
Pinellas County,Florida,12,103,130727.0
Polk County,Florida,12,105,110225.0
Putnam County,Florida,12,107,19120.0
Saint Johns County,Florida,12,109,19372.0
Saint Lucie County,Florida,12,111,51945.0
Santa Rosa County,Florida,12,113,19331.0
Sarasota County,Florida,12,115,43281.0
Seminole County,Florida,12,117,53025.0
Sumter County,Florida,12,119,10343.0
Suwannee County,Florida,12,121,9536.0
Taylor County,Florida,12,123,2746.0
Union County,Florida,12,125,2232.0
Volusia County,Florida,12,127,83660.0
Wakulla County,Florida,12,129,3970.0
Walton County,Florida,12,131,10357.0
Washington County,Florida,12,133,4532.0
Appling County,Georgia,13,001,3694.0
Atkinson County,Georgia,13,003,2270.0
Bacon County,Georgia,13,005,1949.0
Baker County,Georgia,13,007,509.0
Baldwin County,Georgia,13,009,12503.0
Banks County,Georgia,13,011,2837.0
Barrow County,Georgia,13,013,10548.0
Bartow County,Georgia,13,015,14899.0
Ben Hill County,Georgia,13,017,5948.0
Berrien County,Georgia,13,019,4811.0
Bibb County,Georgia,13,021,41075.0
Bleckley County,Georgia,13,023,2593.0
Brantley County,Georgia,13,025,3846.0
Brooks County,Georgia,13,027,3819.0
Bryan County,Georgia,13,029,4509.0
Bulloch County,Georgia,13,031,20922.0
Burke County,Georgia,13,033,6862.0
Butts County,Georgia,13,035,4255.0
Calhoun County,Georgia,13,037,1489.0
Camden County,Georgia,13,039,7029.0
Candler County,Georgia,13,043,3155.0
Carroll County,Georgia,13,045,21157.0
Catoosa County,Georgia,13,047,7700.0
Charlton County,Georgia,13,049,2420.0
Chatham County,Georgia,13,051,48550.0
Chattahoochee County,Georgia,13,053,1174.0
Chattooga County,Georgia,13,055,5182.0
Cherokee County,Georgia,13,057,22891.0
Clarke County,Georgia,13,059,39327.0
Clay County,Georgia,13,061,1199.0
Clayton County,Georgia,13,063,64326.0
Clinch County,Georgia,13,065,2368.0
Cobb County,Georgia,13,067,83479.0
Coffee County,Georgia,13,069,9618.0
Colquitt County,Georgia,13,071,11305.0
Columbia County,Georgia,13,073,13225.0
Cook County,Georgia,13,075,4429.0
Coweta County,Georgia,13,077,16138.0
Crawford County,Georgia,13,079,2343.0
Crisp County,Georgia,13,081,7439.0
Dade County,Georgia,13,083,2502.0
Dawson County,Georgia,13,085,3028.0
Decatur County,Georgia,13,087,6885.0
DeKalb County,Georgia,13,089,134830.0
Dodge County,Georgia,13,091,4219.0
Dooly County,Georgia,13,093,3013.0
Dougherty County,Georgia,13,095,26982.0
Douglas County,Georgia,13,097,20805.0
Early County,Georgia,13,099,3216.0
Echols County,Georgia,13,101,1214.0
Effingham County,Georgia,13,103,5985.0
Elbert County,Georgia,13,105,3768.0
Emanuel County,Georgia,13,107,6465.0
Evans County,Georgia,13,109,2673.0
Fannin County,Georgia,13,111,4262.0
Fayette County,Georgia,13,113,7774.0
Floyd County,Georgia,13,115,18192.0
Forsyth County,Georgia,13,117,13024.0
Franklin County,Georgia,13,119,5426.0
Fulton County,Georgia,13,121,163674.0
Gilmer County,Georgia,13,123,5556.0
Glascock County,Georgia,13,125,450.0
Glynn County,Georgia,13,127,15177.0
Gordon County,Georgia,13,129,11388.0
Grady County,Georgia,13,131,7337.0
Greene County,Georgia,13,133,3983.0
Gwinnett County,Georgia,13,135,112999.0
Habersham County,Georgia,13,137,7471.0
Hall County,Georgia,13,139,33350.0
Hancock County,Georgia,13,141,2111.0
Haralson County,Georgia,13,143,5721.0
Harris County,Georgia,13,145,2722.0
Hart County,Georgia,13,147,5228.0
Heard County,Georgia,13,149,1930.0
Henry County,Georgia,13,151,25657.0
Houston County,Georgia,13,153,26411.0
Irwin County,Georgia,13,155,2217.0
Jackson County,Georgia,13,157,8330.0
Jasper County,Georgia,13,159,2685.0
