County,State,State_FIPS,County_FIPS,per_capita_income,asian_population,black_population,age_18_and_under_percentage,median_home_value,total_population_race,native_american_population,gini_index,median_household_income,housing_cost_burden,age_60_and_over,total_population,white_population,age_15_to_44_percentage,median_gross_rent
Lafayette County,Arkansas,5,73,25876.0,,,,,,,,,,,,,,
Lawrence County,Arkansas,5,75,21473.0,,,,,,,,,,,,,,
Lee County,Arkansas,5,77,16968.0,,,,,,,,,,,,,,
Lincoln County,Arkansas,5,79,14764.0,,,,,,,,,,,,,,
Little River County,Arkansas,5,81,25759.0,,,,,,,,,,,,,,
Logan County,Arkansas,5,83,21491.0,,,,,,,,,,,,,,
Lonoke County,Arkansas,5,85,27293.0,,,,,,,,,,,,,,
Madison County,Arkansas,5,87,24356.0,,,,,,,,,,,,,,
Marion County,Arkansas,5,89,21395.0,,,,,,,,,,,,,,
Miller County,Arkansas,5,91,23729.0,,,,,,,,,,,,,,
Mississippi County,Arkansas,5,93,22750.0,,,,,,,,,,,,,,
Monroe County,Arkansas,5,95,23538.0,,,,,,,,,,,,,,
Montgomery County,Arkansas,5,97,22631.0,,,,,,,,,,,,,,
Nevada County,Arkansas,5,99,19912.0,,,,,,,,,,,,,,
Newton County,Arkansas,5,101,19735.0,,,,,,,,,,,,,,
Ouachita County,Arkansas,5,103,21562.0,,,,,,,,,,,,,,
Perry County,Arkansas,5,105,23164.0,,,,,,,,,,,,,,
Phillips County,Arkansas,5,107,18651.0,,,,,,,,,,,,,,
Pike County,Arkansas,5,109,23362.0,,,,,,,,,,,,,,
Poinsett County,Arkansas,5,111,20963.0,,,,,,,,,,,,,,
Polk County,Arkansas,5,113,23103.0,,,,,,,,,,,,,,
Pope County,Arkansas,5,115,23391.0,,,,,,,,,,,,,,
Prairie County,Arkansas,5,117,25789.0,,,,,,,,,,,,,,
Pulaski County,Arkansas,5,119,32692.0,,,,,,,,,,,,,,
Randolph County,Arkansas,5,121,23248.0,,,,,,,,,,,,,,
Saint Francis County,Arkansas,5,123,18447.0,,,,,,,,,,,,,,
Saline County,Arkansas,5,125,30553.0,,,,,,,,,,,,,,
Scott County,Arkansas,5,127,18281.0,,,,,,,,,,,,,,
Searcy County,Arkansas,5,129,20410.0,,,,,,,,,,,,,,
Sebastian County,Arkansas,5,131,25961.0,,,,,,,,,,,,,,
Sevier County,Arkansas,5,133,22320.0,,,,,,,,,,,,,,
Sharp County,Arkansas,5,135,21423.0,,,,,,,,,,,,,,
Stone County,Arkansas,5,137,20695.0,,,,,,,,,,,,,,
Union County,Arkansas,5,139,25193.0,,,,,,,,,,,,,,
Van Buren County,Arkansas,5,141,22168.0,,,,,,,,,,,,,,
Washington County,Arkansas,5,143,27790.0,,,,,,,,,,,,,,
White County,Arkansas,5,145,23702.0,,,,,,,,,,,,,,
Woodruff County,Arkansas,5,147,23423.0,,,,,,,,,,,,,,
Yell County,Arkansas,5,149,22015.0,,,,,,,,,,,,,,
Alameda County,California,6,1,47314.0,,,,,,,,,,,,,,
Alpine County,California,6,3,36739.0,,,,,,,,,,,,,,
Amador County,California,6,5,31987.0,,,,,,,,,,,,,,
Butte County,California,6,7,29506.0,,,,,,,,,,,,,,
Calaveras County,California,6,9,33456.0,,,,,,,,,,,,,,
Colusa County,California,6,11,26932.0,,,,,,,,,,,,,,
Contra Costa County,California,6,13,48178.0,,,,,,,,,,,,,,
Del Norte County,California,6,15,23674.0,,,,,,,,,,,,,,
El Dorado County,California,6,17,42749.0,,,,,,,,,,,,,,
Fresno County,California,6,19,24422.0,,,,,,,,,,,,,,
Glenn County,California,6,21,22668.0,,,,,,,,,,,,,,
Humboldt County,California,6,23,28769.0,,,,,,,,,,,,,,
Imperial County,California,6,25,18018.0,,,,,,,,,,,,,,
Inyo County,California,6,27,32590.0,,,,,,,,,,,,,,
Kern County,California,6,29,23326.0,,,,,,,,,,,,,,
Kings County,California,6,31,22373.0,,,,,,,,,,,,,,
Lake County,California,6,33,27362.0,,,,,,,,,,,,,,
Lassen County,California,6,35,22134.0,,,,,,,,,,,,,,
Los Angeles County,California,6,37,34156.0,,,,,,,,,,,,,,
Madera County,California,6,39,22853.0,,,,,,,,,,,,,,
Marin County,California,6,41,72466.0,,,,,,,,,,,,,,
Mariposa County,California,6,43,28757.0,,,,,,,,,,,,,,
Mendocino County,California,6,45,29035.0,,,,,,,,,,,,,,
Merced County,California,6,47,23011.0,,,,,,,,,,,,,,
Modoc County,California,6,49,22843.0,,,,,,,,,,,,,,
Mono County,California,6,51,34552.0,,,,,,,,,,,,,,
Monterey County,California,6,53,30073.0,,,,,,,,,,,,,,
Napa County,California,6,55,45195.0,,,,,,,,,,,,,,
Nevada County,California,6,57,39233.0,,,,,,,,,,,,,,
Orange County,California,6,59,41514.0,,,,,,,,,,,,,,
Placer County,California,6,61,43759.0,,,,,,,,,,,,,,
Plumas County,California,6,63,35198.0,,,,,,,,,,,,,,
Riverside County,California,6,65,28596.0,,,,,,,,,,,,,,
Sacramento County,California,6,67,32751.0,,,,,,,,,,,,,,
San Benito County,California,6,69,33174.0,,,,,,,,,,,,,,
San Bernardino County,California,6,71,25215.0,,,,,,,,,,,,,,
San Diego County,California,6,73,38073.0,,,,,,,,,,,,,,
San Francisco County,California,6,75,68883.0,,,,,,,,,,,,,,
San Joaquin County,California,6,77,27521.0,,,,,,,,,,,,,,
San Luis Obispo County,California,6,79,37233.0,,,,,,,,,,,,,,
San Mateo County,California,6,81,61545.0,,,,,,,,,,,,,,
Santa Barbara County,California,6,83,36039.0,,,,,,,,,,,,,,
Santa Clara County,California,6,85,56248.0,,,,,,,,,,,,,,
Santa Cruz County,California,6,87,41312.0,,,,,,,,,,,,,,
Shasta County,California,6,89,29720.0,,,,,,,,,,,,,,
Sierra County,California,6,91,33747.0,,,,,,,,,,,,,,
Siskiyou County,California,6,93,28615.0,,,,,,,,,,,,,,
Solano County,California,6,95,35400.0,,,,,,,,,,,,,,
Sonoma County,California,6,97,42178.0,,,,,,,,,,,,,,
Stanislaus County,California,6,99,26258.0,,,,,,,,,,,,,,
Sutter County,California,6,101,27371.0,,,,,,,,,,,,,,
Tehama County,California,6,103,24301.0,,,,,,,,,,,,,,
Trinity County,California,6,105,26523.0,,,,,,,,,,,,,,
Tulare County,California,6,107,21380.0,,,,,,,,,,,,,,
Tuolumne County,California,6,109,34702.0,,,,,,,,,,,,,,
Ventura County,California,6,111,38595.0,,,,,,,,,,,,,,
Yolo County,California,6,113,34515.0,,,,,,,,,,,,,,
Yuba County,California,6,115,25583.0,,,,,,,,,,,,,,
Alamosa County,Colorado,8,3,22131.0,,,,,,,,,,,,,,
Archuleta County,Colorado,8,7,31629.0,,,,,,,,,,,,,,
Baca County,Colorado,8,9,24061.0,,,,,,,,,,,,,,
Bent County,Colorado,8,11,13930.0,,,,,,,,,,,,,,
Chaffee County,Colorado,8,15,29827.0,,,,,,,,,,,,,,
Cheyenne County,Colorado,8,17,29081.0,,,,,,,,,,,,,,
Clear Creek County,Colorado,8,19,39203.0,,,,,,,,,,,,,,
Conejos County,Colorado,8,21,20640.0,,,,,,,,,,,,,,
Costilla County,Colorado,8,23,21732.0,,,,,,,,,,,,,,
Crowley County,Colorado,8,25,15517.0,,,,,,,,,,,,,,
Custer County,Colorado,8,27,29258.0,,,,,,,,,,,,,,
Delta County,Colorado,8,29,26499.0,,,,,,,,,,,,,,
Dolores County,Colorado,8,33,26323.0,,,,,,,,,,,,,,
Douglas County,Colorado,8,35,53313.0,,,,,,,,,,,,,,
Eagle County,Colorado,8,37,44391.0,,,,,,,,,,,,,,
Elbert County,Colorado,8,39,44690.0,,,,,,,,,,,,,,
El Paso County,Colorado,8,41,33728.0,,,,,,,,,,,,,,
Fremont County,Colorado,8,43,22692.0,,,,,,,,,,,,,,
Garfield County,Colorado,8,45,33393.0,,,,,,,,,,,,,,
Gilpin County,Colorado,8,47,49641.0,,,,,,,,,,,,,,
Grand County,Colorado,8,49,37876.0,,,,,,,,,,,,,,
Gunnison County,Colorado,8,51,32191.0,,,,,,,,,,,,,,
Huerfano County,Colorado,8,55,25140.0,,,,,,,,,,,,,,
Jackson County,Colorado,8,57,28199.0,,,,,,,,,,,,,,
Kiowa County,Colorado,8,61,25937.0,,,,,,,,,,,,,,
Kit Carson County,Colorado,8,63,27797.0,,,,,,,,,,,,,,
Lake County,Colorado,8,65,29122.0,,,,,,,,,,,,,,
