County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,housing_cost_burden,age_60_and_over,total_population,white_population,median_household_income,native_american_population,gini_index,age_18_and_under_percentage,black_population,median_home_value,total_population_race,per_capita_income,asian_population
Clear Creek County,Colorado,8,19,85.6,,,,,,,,,,,,,,
Conejos County,Colorado,8,21,76.1,,,,,,,,,,,,,,
Costilla County,Colorado,8,23,82.3,,,,,,,,,,,,,,
Crowley County,Colorado,8,25,90.5,,,,,,,,,,,,,,
Custer County,Colorado,8,27,88.1,,,,,,,,,,,,,,
Delta County,Colorado,8,29,82.2,,,,,,,,,,,,,,
Dolores County,Colorado,8,33,78.8,,,,,,,,,,,,,,
Douglas County,Colorado,8,35,73.7,,,,,,,,,,,,,,
Eagle County,Colorado,8,37,79.6,,,,,,,,,,,,,,
Elbert County,Colorado,8,39,79.4,,,,,,,,,,,,,,
El Paso County,Colorado,8,41,77.2,,,,,,,,,,,,,,
Fremont County,Colorado,8,43,87.9,,,,,,,,,,,,,,
Garfield County,Colorado,8,45,76.8,,,,,,,,,,,,,,
Gilpin County,Colorado,8,47,77.8,,,,,,,,,,,,,,
Grand County,Colorado,8,49,83.7,,,,,,,,,,,,,,
Gunnison County,Colorado,8,51,84.2,,,,,,,,,,,,,,
Huerfano County,Colorado,8,55,84.8,,,,,,,,,,,,,,
Jackson County,Colorado,8,57,83.8,,,,,,,,,,,,,,
Kiowa County,Colorado,8,61,75.4,,,,,,,,,,,,,,
Kit Carson County,Colorado,8,63,81.2,,,,,,,,,,,,,,
Lake County,Colorado,8,65,83.1,,,,,,,,,,,,,,
La Plata County,Colorado,8,67,82.7,,,,,,,,,,,,,,
Larimer County,Colorado,8,69,81.5,,,,,,,,,,,,,,
Las Animas County,Colorado,8,71,83.1,,,,,,,,,,,,,,
Lincoln County,Colorado,8,73,85.7,,,,,,,,,,,,,,
Logan County,Colorado,8,75,85.0,,,,,,,,,,,,,,
Mesa County,Colorado,8,77,79.3,,,,,,,,,,,,,,
Moffat County,Colorado,8,81,75.2,,,,,,,,,,,,,,
Montezuma County,Colorado,8,83,79.6,,,,,,,,,,,,,,
Montrose County,Colorado,8,85,79.3,,,,,,,,,,,,,,
Morgan County,Colorado,8,87,75.9,,,,,,,,,,,,,,
Otero County,Colorado,8,89,79.0,,,,,,,,,,,,,,
