County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,housing_cost_burden,age_60_and_over,total_population,white_population,median_household_income,native_american_population,gini_index,age_18_and_under_percentage,black_population,median_home_value,total_population_race,per_capita_income,asian_population
Sarasota County,Florida,12,115,,,,,,,52796.0,,,,,,,,
Seminole County,Florida,12,117,,,,,,,58538.0,,,,,,,,
Sumter County,Florida,12,119,,,,,,,52594.0,,,,,,,,
Suwannee County,Florida,12,121,,,,,,,37796.0,,,,,,,,
Taylor County,Florida,12,123,,,,,,,36195.0,,,,,,,,
Union County,Florida,12,125,,,,,,,37778.0,,,,,,,,
Volusia County,Florida,12,127,,,,,,,42240.0,,,,,,,,
Wakulla County,Florida,12,129,,,,,,,54078.0,,,,,,,,
Walton County,Florida,12,131,,,,,,,46910.0,,,,,,,,
Washington County,Florida,12,133,,,,,,,38330.0,,,,,,,,
Appling County,Georgia,13,1,,,,,,,37388.0,,,,,,,,
Atkinson County,Georgia,13,3,,,,,,,31296.0,,,,,,,,
Bacon County,Georgia,13,5,,,,,,,37303.0,,,,,,,,
Baker County,Georgia,13,7,,,,,,,45903.0,,,,,,,,
Baldwin County,Georgia,13,9,,,,,,,34595.0,,,,,,,,
Banks County,Georgia,13,11,,,,,,,40721.0,,,,,,,,
Barrow County,Georgia,13,13,,,,,,,53133.0,,,,,,,,
Bartow County,Georgia,13,15,,,,,,,50565.0,,,,,,,,
Ben Hill County,Georgia,13,17,,,,,,,29510.0,,,,,,,,
Berrien County,Georgia,13,19,,,,,,,35740.0,,,,,,,,
Bibb County,Georgia,13,21,,,,,,,37108.0,,,,,,,,
Bleckley County,Georgia,13,23,,,,,,,37060.0,,,,,,,,
Brantley County,Georgia,13,25,,,,,,,36837.0,,,,,,,,
Brooks County,Georgia,13,27,,,,,,,34547.0,,,,,,,,
Bryan County,Georgia,13,29,,,,,,,65862.0,,,,,,,,
Bulloch County,Georgia,13,31,,,,,,,37125.0,,,,,,,,
Burke County,Georgia,13,33,,,,,,,34589.0,,,,,,,,
Butts County,Georgia,13,35,,,,,,,40753.0,,,,,,,,
Calhoun County,Georgia,13,37,,,,,,,28200.0,,,,,,,,
Camden County,Georgia,13,39,,,,,,,53327.0,,,,,,,,
Candler County,Georgia,13,43,,,,,,,33379.0,,,,,,,,
Carroll County,Georgia,13,45,,,,,,,45486.0,,,,,,,,
Catoosa County,Georgia,13,47,,,,,,,52265.0,,,,,,,,
Charlton County,Georgia,13,49,,,,,,,43871.0,,,,,,,,
Chatham County,Georgia,13,51,,,,,,,49596.0,,,,,,,,
Chattahoochee County,Georgia,13,53,,,,,,,43929.0,,,,,,,,
Chattooga County,Georgia,13,55,,,,,,,35245.0,,,,,,,,
Cherokee County,Georgia,13,57,,,,,,,72586.0,,,,,,,,
Clarke County,Georgia,13,59,,,,,,,33116.0,,,,,,,,
Clay County,Georgia,13,61,,,,,,,22120.0,,,,,,,,
Clayton County,Georgia,13,63,,,,,,,42470.0,,,,,,,,
Clinch County,Georgia,13,65,,,,,,,24848.0,,,,,,,,
Cobb County,Georgia,13,67,,,,,,,68818.0,,,,,,,,
Coffee County,Georgia,13,69,,,,,,,34536.0,,,,,,,,
Colquitt County,Georgia,13,71,,,,,,,33968.0,,,,,,,,
Columbia County,Georgia,13,73,,,,,,,71962.0,,,,,,,,
Cook County,Georgia,13,75,,,,,,,35199.0,,,,,,,,
Coweta County,Georgia,13,77,,,,,,,65244.0,,,,,,,,
Crawford County,Georgia,13,79,,,,,,,40459.0,,,,,,,,
Crisp County,Georgia,13,81,,,,,,,31672.0,,,,,,,,
Dade County,Georgia,13,83,,,,,,,43463.0,,,,,,,,
Dawson County,Georgia,13,85,,,,,,,59265.0,,,,,,,,
Decatur County,Georgia,13,87,,,,,,,33514.0,,,,,,,,
DeKalb County,Georgia,13,89,,,,,,,52623.0,,,,,,,,
Dodge County,Georgia,13,91,,,,,,,35544.0,,,,,,,,
Dooly County,Georgia,13,93,,,,,,,33319.0,,,,,,,,
Dougherty County,Georgia,13,95,,,,,,,33605.0,,,,,,,,
Douglas County,Georgia,13,97,,,,,,,57384.0,,,,,,,,
Early County,Georgia,13,99,,,,,,,28599.0,,,,,,,,
Echols County,Georgia,13,101,,,,,,,35354.0,,,,,,,,
Effingham County,Georgia,13,103,,,,,,,62820.0,,,,,,,,
Elbert County,Georgia,13,105,,,,,,,35739.0,,,,,,,,
Emanuel County,Georgia,13,107,,,,,,,31522.0,,,,,,,,
Evans County,Georgia,13,109,,,,,,,40594.0,,,,,,,,
Fannin County,Georgia,13,111,,,,,,,39011.0,,,,,,,,
Fayette County,Georgia,13,113,,,,,,,81689.0,,,,,,,,
Floyd County,Georgia,13,115,,,,,,,42955.0,,,,,,,,
Forsyth County,Georgia,13,117,,,,,,,91842.0,,,,,,,,
Franklin County,Georgia,13,119,,,,,,,37298.0,,,,,,,,
Fulton County,Georgia,13,121,,,,,,,58851.0,,,,,,,,
Gilmer County,Georgia,13,123,,,,,,,43775.0,,,,,,,,
Glascock County,Georgia,13,125,,,,,,,43884.0,,,,,,,,
Glynn County,Georgia,13,127,,,,,,,46475.0,,,,,,,,
Gordon County,Georgia,13,129,,,,,,,41390.0,,,,,,,,
Grady County,Georgia,13,131,,,,,,,35518.0,,,,,,,,
Greene County,Georgia,13,133,,,,,,,44299.0,,,,,,,,
Gwinnett County,Georgia,13,135,,,,,,,61865.0,,,,,,,,
Habersham County,Georgia,13,137,,,,,,,41600.0,,,,,,,,
Hall County,Georgia,13,139,,,,,,,51902.0,,,,,,,,
Hancock County,Georgia,13,141,,,,,,,26386.0,,,,,,,,
Haralson County,Georgia,13,143,,,,,,,42281.0,,,,,,,,
Harris County,Georgia,13,145,,,,,,,65336.0,,,,,,,,
Hart County,Georgia,13,147,,,,,,,37983.0,,,,,,,,
Heard County,Georgia,13,149,,,,,,,44185.0,,,,,,,,
Henry County,Georgia,13,151,,,,,,,62561.0,,,,,,,,
Houston County,Georgia,13,153,,,,,,,55480.0,,,,,,,,
Irwin County,Georgia,13,155,,,,,,,29846.0,,,,,,,,
Jackson County,Georgia,13,157,,,,,,,54246.0,,,,,,,,
Jasper County,Georgia,13,159,,,,,,,41434.0,,,,,,,,
Jeff Davis County,Georgia,13,161,,,,,,,36566.0,,,,,,,,
Jefferson County,Georgia,13,163,,,,,,,28417.0,,,,,,,,
Jenkins County,Georgia,13,165,,,,,,,27398.0,,,,,,,,
Johnson County,Georgia,13,167,,,,,,,32685.0,,,,,,,,
Jones County,Georgia,13,169,,,,,,,54020.0,,,,,,,,
Lamar County,Georgia,13,171,,,,,,,40364.0,,,,,,,,
Lanier County,Georgia,13,173,,,,,,,31682.0,,,,,,,,
Laurens County,Georgia,13,175,,,,,,,33632.0,,,,,,,,
Lee County,Georgia,13,177,,,,,,,62797.0,,,,,,,,
Liberty County,Georgia,13,179,,,,,,,42484.0,,,,,,,,
Lincoln County,Georgia,13,181,,,,,,,34720.0,,,,,,,,
Long County,Georgia,13,183,,,,,,,50848.0,,,,,,,,
Lowndes County,Georgia,13,185,,,,,,,38915.0,,,,,,,,
Lumpkin County,Georgia,13,187,,,,,,,40634.0,,,,,,,,
McDuffie County,Georgia,13,189,,,,,,,37021.0,,,,,,,,
McIntosh County,Georgia,13,191,,,,,,,45248.0,,,,,,,,
Macon County,Georgia,13,193,,,,,,,28285.0,,,,,,,,
Madison County,Georgia,13,195,,,,,,,45063.0,,,,,,,,
Marion County,Georgia,13,197,,,,,,,35484.0,,,,,,,,
Meriwether County,Georgia,13,199,,,,,,,34989.0,,,,,,,,
Miller County,Georgia,13,201,,,,,,,36463.0,,,,,,,,
Mitchell County,Georgia,13,205,,,,,,,31111.0,,,,,,,,
Monroe County,Georgia,13,207,,,,,,,50625.0,,,,,,,,
Montgomery County,Georgia,13,209,,,,,,,38111.0,,,,,,,,
Morgan County,Georgia,13,211,,,,,,,54506.0,,,,,,,,
Murray County,Georgia,13,213,,,,,,,38136.0,,,,,,,,
Muscogee County,Georgia,13,215,,,,,,,42661.0,,,,,,,,
Newton County,Georgia,13,217,,,,,,,51068.0,,,,,,,,
Oconee County,Georgia,13,219,,,,,,,75946.0,,,,,,,,
Oglethorpe County,Georgia,13,221,,,,,,,44403.0,,,,,,,,
Paulding County,Georgia,13,223,,,,,,,60971.0,,,,,,,,
Peach County,Georgia,13,225,,,,,,,41128.0,,,,,,,,
Pickens County,Georgia,13,227,,,,,,,56769.0,,,,,,,,
Pierce County,Georgia,13,229,,,,,,,42730.0,,,,,,,,
Pike County,Georgia,13,231,,,,,,,50819.0,,,,,,,,
Polk County,Georgia,13,233,,,,,,,39356.0,,,,,,,,
Pulaski County,Georgia,13,235,,,,,,,38880.0,,,,,,,,
Putnam County,Georgia,13,237,,,,,,,45762.0,,,,,,,,
Quitman County,Georgia,13,239,,,,,,,29773.0,,,,,,,,
Rabun County,Georgia,13,241,,,,,,,38277.0,,,,,,,,
Randolph County,Georgia,13,243,,,,,,,30358.0,,,,,,,,
Richmond County,Georgia,13,245,,,,,,,38595.0,,,,,,,,
Rockdale County,Georgia,13,247,,,,,,,51072.0,,,,,,,,
Schley County,Georgia,13,249,,,,,,,41227.0,,,,,,,,
Screven County,Georgia,13,251,,,,,,,35047.0,,,,,,,,
Seminole County,Georgia,13,253,,,,,,,35410.0,,,,,,,,
Spalding County,Georgia,13,255,,,,,,,40548.0,,,,,,,,
Stephens County,Georgia,13,257,,,,,,,37088.0,,,,,,,,
Stewart County,Georgia,13,259,,,,,,,20882.0,,,,,,,,
Sumter County,Georgia,13,261,,,,,,,33534.0,,,,,,,,
Talbot County,Georgia,13,263,,,,,,,36957.0,,,,,,,,
Taliaferro County,Georgia,13,265,,,,,,,28152.0,,,,,,,,
Tattnall County,Georgia,13,267,,,,,,,35578.0,,,,,,,,
Taylor County,Georgia,13,269,,,,,,,27114.0,,,,,,,,
Telfair County,Georgia,13,271,,,,,,,27657.0,,,,,,,,
Terrell County,Georgia,13,273,,,,,,,30438.0,,,,,,,,
Thomas County,Georgia,13,275,,,,,,,38241.0,,,,,,,,
Tift County,Georgia,13,277,,,,,,,37613.0,,,,,,,,
Toombs County,Georgia,13,279,,,,,,,33081.0,,,,,,,,
Towns County,Georgia,13,281,,,,,,,39321.0,,,,,,,,
Treutlen County,Georgia,13,283,,,,,,,40204.0,,,,,,,,
Troup County,Georgia,13,285,,,,,,,42545.0,,,,,,,,
Turner County,Georgia,13,287,,,,,,,34667.0,,,,,,,,
Twiggs County,Georgia,13,289,,,,,,,31625.0,,,,,,,,
Union County,Georgia,13,291,,,,,,,41686.0,,,,,,,,
Upson County,Georgia,13,293,,,,,,,35699.0,,,,,,,,
Walker County,Georgia,13,295,,,,,,,41539.0,,,,,,,,
Walton County,Georgia,13,297,,,,,,,54459.0,,,,,,,,
Ware County,Georgia,13,299,,,,,,,34705.0,,,,,,,,
Warren County,Georgia,13,301,,,,,,,31875.0,,,,,,,,
Washington County,Georgia,13,303,,,,,,,37417.0,,,,,,,,
Wayne County,Georgia,13,305,,,,,,,39908.0,,,,,,,,
Webster County,Georgia,13,307,,,,,,,37072.0,,,,,,,,
Wheeler County,Georgia,13,309,,,,,,,27779.0,,,,,,,,
White County,Georgia,13,311,,,,,,,42264.0,,,,,,,,
Whitfield County,Georgia,13,313,,,,,,,41764.0,,,,,,,,
Wilcox County,Georgia,13,315,,,,,,,34071.0,,,,,,,,
Wilkes County,Georgia,13,317,,,,,,,33462.0,,,,,,,,
Wilkinson County,Georgia,13,319,,,,,,,38827.0,,,,,,,,
Worth County,Georgia,13,321,,,,,,,38684.0,,,,,,,,
Hawaii County,Hawaii,15,1,,,,,,,53936.0,,,,,,,,
Honolulu County,Hawaii,15,3,,,,,,,77161.0,,,,,,,,
Kauai County,Hawaii,15,7,,,,,,,68224.0,,,,,,,,
Kalawao County,Hawaii,15,5,,,,,,,65625.0,,,,,,,,
Maui County,Hawaii,15,9,,,,,,,68777.0,,,,,,,,
Ada County,Idaho,16,1,,,,,,,58099.0,,,,,,,,
Adams County,Idaho,16,3,,,,,,,41335.0,,,,,,,,
Bannock County,Idaho,16,5,,,,,,,45216.0,,,,,,,,
Bear Lake County,Idaho,16,7,,,,,,,46863.0,,,,,,,,
Benewah County,Idaho,16,9,,,,,,,42600.0,,,,,,,,
Bingham County,Idaho,16,11,,,,,,,49943.0,,,,,,,,
Blaine County,Idaho,16,13,,,,,,,58086.0,,,,,,,,
Boise County,Idaho,16,15,,,,,,,44591.0,,,,,,,,
Bonner County,Idaho,16,17,,,,,,,43697.0,,,,,,,,
Bonneville County,Idaho,16,19,,,,,,,52831.0,,,,,,,,
Boundary County,Idaho,16,21,,,,,,,39279.0,,,,,,,,
Butte County,Idaho,16,23,,,,,,,39653.0,,,,,,,,
Camas County,Idaho,16,25,,,,,,,42708.0,,,,,,,,
Canyon County,Idaho,16,27,,,,,,,44860.0,,,,,,,,
Caribou County,Idaho,16,29,,,,,,,57957.0,,,,,,,,
Cassia County,Idaho,16,31,,,,,,,46215.0,,,,,,,,
Clearwater County,Idaho,16,35,,,,,,,40266.0,,,,,,,,
Custer County,Idaho,16,37,,,,,,,39497.0,,,,,,,,
Elmore County,Idaho,16,39,,,,,,,44444.0,,,,,,,,
Franklin County,Idaho,16,41,,,,,,,50500.0,,,,,,,,
Fremont County,Idaho,16,43,,,,,,,49973.0,,,,,,,,
Gem County,Idaho,16,45,,,,,,,40767.0,,,,,,,,
Gooding County,Idaho,16,47,,,,,,,40704.0,,,,,,,,
Idaho County,Idaho,16,49,,,,,,,38597.0,,,,,,,,
Jefferson County,Idaho,16,51,,,,,,,54646.0,,,,,,,,
Jerome County,Idaho,16,53,,,,,,,44447.0,,,,,,,,
Kootenai County,Idaho,16,55,,,,,,,50924.0,,,,,,,,
Latah County,Idaho,16,57,,,,,,,42133.0,,,,,,,,
Lemhi County,Idaho,16,59,,,,,,,34762.0,,,,,,,,
Lewis County,Idaho,16,61,,,,,,,38068.0,,,,,,,,
Lincoln County,Idaho,16,63,,,,,,,44500.0,,,,,,,,
Madison County,Idaho,16,65,,,,,,,33856.0,,,,,,,,
Minidoka County,Idaho,16,67,,,,,,,46147.0,,,,,,,,
Nez Perce County,Idaho,16,69,,,,,,,49541.0,,,,,,,,
Oneida County,Idaho,16,71,,,,,,,40564.0,,,,,,,,
Owyhee County,Idaho,16,73,,,,,,,34785.0,,,,,,,,
Payette County,Idaho,16,75,,,,,,,45670.0,,,,,,,,
Power County,Idaho,16,77,,,,,,,46318.0,,,,,,,,
Shoshone County,Idaho,16,79,,,,,,,37449.0,,,,,,,,
Teton County,Idaho,16,81,,,,,,,58173.0,,,,,,,,
Twin Falls County,Idaho,16,83,,,,,,,45500.0,,,,,,,,
Valley County,Idaho,16,85,,,,,,,53630.0,,,,,,,,
Washington County,Idaho,16,87,,,,,,,37525.0,,,,,,,,
Adams County,Illinois,17,1,,,,,,,48065.0,,,,,,,,
Alexander County,Illinois,17,3,,,,,,,29071.0,,,,,,,,
Bond County,Illinois,17,5,,,,,,,52159.0,,,,,,,,
Boone County,Illinois,17,7,,,,,,,60063.0,,,,,,,,
Brown County,Illinois,17,9,,,,,,,52500.0,,,,,,,,
Bureau County,Illinois,17,11,,,,,,,51425.0,,,,,,,,
Calhoun County,Illinois,17,13,,,,,,,52949.0,,,,,,,,
Carroll County,Illinois,17,15,,,,,,,50052.0,,,,,,,,
Cass County,Illinois,17,17,,,,,,,48887.0,,,,,,,,
Champaign County,Illinois,17,19,,,,,,,48899.0,,,,,,,,
Christian County,Illinois,17,21,,,,,,,47417.0,,,,,,,,
Clark County,Illinois,17,23,,,,,,,48693.0,,,,,,,,
Clay County,Illinois,17,25,,,,,,,45984.0,,,,,,,,
Clinton County,Illinois,17,27,,,,,,,63929.0,,,,,,,,
Coles County,Illinois,17,29,,,,,,,38800.0,,,,,,,,
Cook County,Illinois,17,31,,,,,,,56902.0,,,,,,,,
Crawford County,Illinois,17,33,,,,,,,47364.0,,,,,,,,
Cumberland County,Illinois,17,35,,,,,,,44281.0,,,,,,,,
DeKalb County,Illinois,17,37,,,,,,,56076.0,,,,,,,,
De Witt County,Illinois,17,39,,,,,,,53510.0,,,,,,,,
Douglas County,Illinois,17,41,,,,,,,52984.0,,,,,,,,
DuPage County,Illinois,17,43,,,,,,,81521.0,,,,,,,,
Edgar County,Illinois,17,45,,,,,,,46440.0,,,,,,,,
Edwards County,Illinois,17,47,,,,,,,47035.0,,,,,,,,
Effingham County,Illinois,17,49,,,,,,,52977.0,,,,,,,,
Fayette County,Illinois,17,51,,,,,,,44745.0,,,,,,,,
Ford County,Illinois,17,53,,,,,,,49257.0,,,,,,,,
Franklin County,Illinois,17,55,,,,,,,39507.0,,,,,,,,
Fulton County,Illinois,17,57,,,,,,,46183.0,,,,,,,,
Gallatin County,Illinois,17,59,,,,,,,41269.0,,,,,,,,
Greene County,Illinois,17,61,,,,,,,42880.0,,,,,,,,
Grundy County,Illinois,17,63,,,,,,,67162.0,,,,,,,,
Hamilton County,Illinois,17,65,,,,,,,45076.0,,,,,,,,
Hancock County,Illinois,17,67,,,,,,,50077.0,,,,,,,,
Hardin County,Illinois,17,69,,,,,,,39926.0,,,,,,,,
Henderson County,Illinois,17,71,,,,,,,46216.0,,,,,,,,
Henry County,Illinois,17,73,,,,,,,54757.0,,,,,,,,
Iroquois County,Illinois,17,75,,,,,,,47823.0,,,,,,,,
Jackson County,Illinois,17,77,,,,,,,33845.0,,,,,,,,
Jasper County,Illinois,17,79,,,,,,,56305.0,,,,,,,,
Jefferson County,Illinois,17,81,,,,,,,43467.0,,,,,,,,
Jersey County,Illinois,17,83,,,,,,,52738.0,,,,,,,,
Jo Daviess County,Illinois,17,85,,,,,,,54702.0,,,,,,,,
Johnson County,Illinois,17,87,,,,,,,44179.0,,,,,,,,
Kane County,Illinois,17,89,,,,,,,71602.0,,,,,,,,
Kankakee County,Illinois,17,91,,,,,,,54697.0,,,,,,,,
Kendall County,Illinois,17,93,,,,,,,85736.0,,,,,,,,
Knox County,Illinois,17,95,,,,,,,40605.0,,,,,,,,
Lake County,Illinois,17,97,,,,,,,79886.0,,,,,,,,
LaSalle County,Illinois,17,99,,,,,,,51684.0,,,,,,,,
Lawrence County,Illinois,17,101,,,,,,,42650.0,,,,,,,,
Lee County,Illinois,17,103,,,,,,,55067.0,,,,,,,,
Livingston County,Illinois,17,105,,,,,,,54074.0,,,,,,,,
Logan County,Illinois,17,107,,,,,,,52676.0,,,,,,,,
McDonough County,Illinois,17,109,,,,,,,41484.0,,,,,,,,
McHenry County,Illinois,17,111,,,,,,,79836.0,,,,,,,,
McLean County,Illinois,17,113,,,,,,,63420.0,,,,,,,,
Macon County,Illinois,17,115,,,,,,,47477.0,,,,,,,,
Macoupin County,Illinois,17,117,,,,,,,52337.0,,,,,,,,
Madison County,Illinois,17,119,,,,,,,54573.0,,,,,,,,
Marion County,Illinois,17,121,,,,,,,43427.0,,,,,,,,
Marshall County,Illinois,17,123,,,,,,,54189.0,,,,,,,,
Mason County,Illinois,17,125,,,,,,,43125.0,,,,,,,,
Massac County,Illinois,17,127,,,,,,,42706.0,,,,,,,,
Menard County,Illinois,17,129,,,,,,,60420.0,,,,,,,,
Mercer County,Illinois,17,131,,,,,,,55750.0,,,,,,,,
Monroe County,Illinois,17,133,,,,,,,72956.0,,,,,,,,
Montgomery County,Illinois,17,135,,,,,,,45173.0,,,,,,,,
Morgan County,Illinois,17,137,,,,,,,47760.0,,,,,,,,
Moultrie County,Illinois,17,139,,,,,,,51432.0,,,,,,,,
Ogle County,Illinois,17,141,,,,,,,55832.0,,,,,,,,
Peoria County,Illinois,17,143,,,,,,,51632.0,,,,,,,,
Perry County,Illinois,17,145,,,,,,,43308.0,,,,,,,,
Piatt County,Illinois,17,147,,,,,,,69160.0,,,,,,,,
Pike County,Illinois,17,149,,,,,,,40157.0,,,,,,,,
Pope County,Illinois,17,151,,,,,,,39243.0,,,,,,,,
Pulaski County,Illinois,17,153,,,,,,,32538.0,,,,,,,,
Putnam County,Illinois,17,155,,,,,,,64085.0,,,,,,,,
Randolph County,Illinois,17,157,,,,,,,48343.0,,,,,,,,
Richland County,Illinois,17,159,,,,,,,45597.0,,,,,,,,
Rock Island County,Illinois,17,161,,,,,,,50208.0,,,,,,,,
Saint Clair County,Illinois,17,163,,,,,,,50006.0,,,,,,,,
Saline County,Illinois,17,165,,,,,,,40290.0,,,,,,,,
Sangamon County,Illinois,17,167,,,,,,,56742.0,,,,,,,,
Schuyler County,Illinois,17,169,,,,,,,48396.0,,,,,,,,
Scott County,Illinois,17,171,,,,,,,46210.0,,,,,,,,
Shelby County,Illinois,17,173,,,,,,,48572.0,,,,,,,,
Stark County,Illinois,17,175,,,,,,,52058.0,,,,,,,,
Stephenson County,Illinois,17,177,,,,,,,45624.0,,,,,,,,
Tazewell County,Illinois,17,179,,,,,,,60178.0,,,,,,,,
Union County,Illinois,17,181,,,,,,,45464.0,,,,,,,,
Vermilion County,Illinois,17,183,,,,,,,43552.0,,,,,,,,
Wabash County,Illinois,17,185,,,,,,,46871.0,,,,,,,,
Warren County,Illinois,17,187,,,,,,,44067.0,,,,,,,,
Washington County,Illinois,17,189,,,,,,,54936.0,,,,,,,,
Wayne County,Illinois,17,191,,,,,,,46903.0,,,,,,,,
White County,Illinois,17,193,,,,,,,43678.0,,,,,,,,
Whiteside County,Illinois,17,195,,,,,,,49151.0,,,,,,,,
Will County,Illinois,17,197,,,,,,,77507.0,,,,,,,,
Williamson County,Illinois,17,199,,,,,,,45902.0,,,,,,,,
Winnebago County,Illinois,17,201,,,,,,,49468.0,,,,,,,,
Woodford County,Illinois,17,203,,,,,,,68040.0,,,,,,,,
Adams County,Indiana,18,1,,,,,,,47572.0,,,,,,,,
Allen County,Indiana,18,3,,,,,,,49574.0,,,,,,,,
Bartholomew County,Indiana,18,5,,,,,,,55874.0,,,,,,,,
Benton County,Indiana,18,7,,,,,,,48069.0,,,,,,,,
Blackford County,Indiana,18,9,,,,,,,38791.0,,,,,,,,
Boone County,Indiana,18,11,,,,,,,72774.0,,,,,,,,
Brown County,Indiana,18,13,,,,,,,56323.0,,,,,,,,
Carroll County,Indiana,18,15,,,,,,,54140.0,,,,,,,,
Cass County,Indiana,18,17,,,,,,,43918.0,,,,,,,,
Clark County,Indiana,18,19,,,,,,,51844.0,,,,,,,,
Clay County,Indiana,18,21,,,,,,,49735.0,,,,,,,,
Clinton County,Indiana,18,23,,,,,,,50096.0,,,,,,,,
Crawford County,Indiana,18,25,,,,,,,41173.0,,,,,,,,
Daviess County,Indiana,18,27,,,,,,,47939.0,,,,,,,,
Dearborn County,Indiana,18,29,,,,,,,60834.0,,,,,,,,
Decatur County,Indiana,18,31,,,,,,,51185.0,,,,,,,,
DeKalb County,Indiana,18,33,,,,,,,50398.0,,,,,,,,
Delaware County,Indiana,18,35,,,,,,,39537.0,,,,,,,,
Dubois County,Indiana,18,37,,,,,,,55154.0,,,,,,,,
Elkhart County,Indiana,18,39,,,,,,,49692.0,,,,,,,,
Fayette County,Indiana,18,41,,,,,,,40851.0,,,,,,,,
Floyd County,Indiana,18,43,,,,,,,57494.0,,,,,,,,
Fountain County,Indiana,18,45,,,,,,,45924.0,,,,,,,,
Franklin County,Indiana,18,47,,,,,,,52128.0,,,,,,,,
Fulton County,Indiana,18,49,,,,,,,46310.0,,,,,,,,
Gibson County,Indiana,18,51,,,,,,,49669.0,,,,,,,,
Grant County,Indiana,18,53,,,,,,,40272.0,,,,,,,,
Greene County,Indiana,18,55,,,,,,,45153.0,,,,,,,,
Hamilton County,Indiana,18,57,,,,,,,87782.0,,,,,,,,
Hancock County,Indiana,18,59,,,,,,,68449.0,,,,,,,,
Harrison County,Indiana,18,61,,,,,,,52926.0,,,,,,,,
Hendricks County,Indiana,18,63,,,,,,,73042.0,,,,,,,,
Henry County,Indiana,18,65,,,,,,,44509.0,,,,,,,,
Howard County,Indiana,18,67,,,,,,,45928.0,,,,,,,,
Huntington County,Indiana,18,69,,,,,,,47042.0,,,,,,,,
Jackson County,Indiana,18,71,,,,,,,48546.0,,,,,,,,
Jasper County,Indiana,18,73,,,,,,,55485.0,,,,,,,,
Jay County,Indiana,18,75,,,,,,,42322.0,,,,,,,,
Jefferson County,Indiana,18,77,,,,,,,47065.0,,,,,,,,
Jennings County,Indiana,18,79,,,,,,,47236.0,,,,,,,,
Johnson County,Indiana,18,81,,,,,,,63023.0,,,,,,,,
Knox County,Indiana,18,83,,,,,,,44624.0,,,,,,,,
Kosciusko County,Indiana,18,85,,,,,,,54482.0,,,,,,,,
LaGrange County,Indiana,18,87,,,,,,,53947.0,,,,,,,,
Lake County,Indiana,18,89,,,,,,,50905.0,,,,,,,,
LaPorte County,Indiana,18,91,,,,,,,48165.0,,,,,,,,
Lawrence County,Indiana,18,93,,,,,,,46044.0,,,,,,,,
Madison County,Indiana,18,95,,,,,,,44795.0,,,,,,,,
Marion County,Indiana,18,97,,,,,,,43369.0,,,,,,,,
Marshall County,Indiana,18,99,,,,,,,49725.0,,,,,,,,
Martin County,Indiana,18,101,,,,,,,47457.0,,,,,,,,
Miami County,Indiana,18,103,,,,,,,45646.0,,,,,,,,
Monroe County,Indiana,18,105,,,,,,,43389.0,,,,,,,,
Montgomery County,Indiana,18,107,,,,,,,50253.0,,,,,,,,
Morgan County,Indiana,18,109,,,,,,,57521.0,,,,,,,,
Newton County,Indiana,18,111,,,,,,,50058.0,,,,,,,,
Noble County,Indiana,18,113,,,,,,,49657.0,,,,,,,,
Ohio County,Indiana,18,115,,,,,,,54653.0,,,,,,,,
Orange County,Indiana,18,117,,,,,,,41438.0,,,,,,,,
Owen County,Indiana,18,119,,,,,,,45388.0,,,,,,,,
Parke County,Indiana,18,121,,,,,,,42664.0,,,,,,,,
Perry County,Indiana,18,123,,,,,,,47396.0,,,,,,,,
Pike County,Indiana,18,125,,,,,,,48076.0,,,,,,,,
Porter County,Indiana,18,127,,,,,,,64874.0,,,,,,,,
Posey County,Indiana,18,129,,,,,,,59918.0,,,,,,,,
Pulaski County,Indiana,18,131,,,,,,,44884.0,,,,,,,,
Putnam County,Indiana,18,133,,,,,,,52465.0,,,,,,,,
Randolph County,Indiana,18,135,,,,,,,42418.0,,,,,,,,
Ripley County,Indiana,18,137,,,,,,,52372.0,,,,,,,,
Rush County,Indiana,18,139,,,,,,,46380.0,,,,,,,,
Saint Joseph County,Indiana,18,141,,,,,,,46174.0,,,,,,,,
Scott County,Indiana,18,143,,,,,,,46368.0,,,,,,,,
Shelby County,Indiana,18,145,,,,,,,52651.0,,,,,,,,
Spencer County,Indiana,18,147,,,,,,,54870.0,,,,,,,,
Starke County,Indiana,18,149,,,,,,,43401.0,,,,,,,,
Steuben County,Indiana,18,151,,,,,,,50418.0,,,,,,,,
Sullivan County,Indiana,18,153,,,,,,,43786.0,,,,,,,,
Switzerland County,Indiana,18,155,,,,,,,43456.0,,,,,,,,
Tippecanoe County,Indiana,18,157,,,,,,,47406.0,,,,,,,,
Tipton County,Indiana,18,159,,,,,,,54023.0,,,,,,,,
Union County,Indiana,18,161,,,,,,,45104.0,,,,,,,,
Vanderburgh County,Indiana,18,163,,,,,,,43311.0,,,,,,,,
Vermillion County,Indiana,18,165,,,,,,,44409.0,,,,,,,,
Vigo County,Indiana,18,167,,,,,,,41221.0,,,,,,,,
Wabash County,Indiana,18,169,,,,,,,47473.0,,,,,,,,
Warren County,Indiana,18,171,,,,,,,58623.0,,,,,,,,
Warrick County,Indiana,18,173,,,,,,,61542.0,,,,,,,,
Washington County,Indiana,18,175,,,,,,,44883.0,,,,,,,,
Wayne County,Indiana,18,177,,,,,,,39691.0,,,,,,,,
Wells County,Indiana,18,179,,,,,,,51568.0,,,,,,,,
