County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,asian_population,per_capita_income,total_population_race,median_home_value,black_population,age_18_and_under_percentage
Crawford County,Arkansas,5,33,56227.0,,,,,,,,,,,,,,
Crittenden County,Arkansas,5,35,23299.0,,,,,,,,,,,,,,
Cross County,Arkansas,5,37,13350.0,,,,,,,,,,,,,,
Dallas County,Arkansas,5,39,4504.0,,,,,,,,,,,,,,
Desha County,Arkansas,5,41,6203.0,,,,,,,,,,,,,,
Drew County,Arkansas,5,43,12943.0,,,,,,,,,,,,,,
Faulkner County,Arkansas,5,45,97018.0,,,,,,,,,,,,,,
Franklin County,Arkansas,5,47,17262.0,,,,,,,,,,,,,,
Fulton County,Arkansas,5,49,11946.0,,,,,,,,,,,,,,
Garland County,Arkansas,5,51,82114.0,,,,,,,,,,,,,,
Grant County,Arkansas,5,53,17058.0,,,,,,,,,,,,,,
Greene County,Arkansas,5,55,40966.0,,,,,,,,,,,,,,
Hempstead County,Arkansas,5,57,14623.0,,,,,,,,,,,,,,
Hot Spring County,Arkansas,5,59,28582.0,,,,,,,,,,,,,,
Howard County,Arkansas,5,61,9609.0,,,,,,,,,,,,,,
Independence County,Arkansas,5,63,34681.0,,,,,,,,,,,,,,
Izard County,Arkansas,5,65,13053.0,,,,,,,,,,,,,,
Jackson County,Arkansas,5,67,14355.0,,,,,,,,,,,,,,
Jefferson County,Arkansas,5,69,32332.0,,,,,,,,,,,,,,
Johnson County,Arkansas,5,71,24127.0,,,,,,,,,,,,,,
Lafayette County,Arkansas,5,73,4683.0,,,,,,,,,,,,,,
Lawrence County,Arkansas,5,75,16894.0,,,,,,,,,,,,,,
Lee County,Arkansas,5,77,4408.0,,,,,,,,,,,,,,
Lincoln County,Arkansas,5,79,9410.0,,,,,,,,,,,,,,
Little River County,Arkansas,5,81,9722.0,,,,,,,,,,,,,,
Logan County,Arkansas,5,83,20969.0,,,,,,,,,,,,,,
Lonoke County,Arkansas,5,85,61297.0,,,,,,,,,,,,,,
Madison County,Arkansas,5,87,14975.0,,,,,,,,,,,,,,
Marion County,Arkansas,5,89,16183.0,,,,,,,,,,,,,,
Miller County,Arkansas,5,91,31577.0,,,,,,,,,,,,,,
Mississippi County,Arkansas,5,93,29435.0,,,,,,,,,,,,,,
Monroe County,Arkansas,5,95,4612.0,,,,,,,,,,,,,,
Montgomery County,Arkansas,5,97,8996.0,,,,,,,,,,,,,,
Nevada County,Arkansas,5,99,6034.0,,,,,,,,,,,,,,
Newton County,Arkansas,5,101,7862.0,,,,,,,,,,,,,,
Ouachita County,Arkansas,5,103,14835.0,,,,,,,,,,,,,,
Perry County,Arkansas,5,105,9893.0,,,,,,,,,,,,,,
Phillips County,Arkansas,5,107,7776.0,,,,,,,,,,,,,,
Pike County,Arkansas,5,109,10126.0,,,,,,,,,,,,,,
Poinsett County,Arkansas,5,111,22270.0,,,,,,,,,,,,,,
Polk County,Arkansas,5,113,19127.0,,,,,,,,,,,,,,
Pope County,Arkansas,5,115,55942.0,,,,,,,,,,,,,,
Prairie County,Arkansas,5,117,7455.0,,,,,,,,,,,,,,
Pulaski County,Arkansas,5,119,227501.0,,,,,,,,,,,,,,
Randolph County,Arkansas,5,121,17475.0,,,,,,,,,,,,,,
Saint Francis County,Arkansas,5,123,12627.0,,,,,,,,,,,,,,
Saline County,Arkansas,5,125,98384.0,,,,,,,,,,,,,,
Scott County,Arkansas,5,127,10037.0,,,,,,,,,,,,,,
Searcy County,Arkansas,5,129,7858.0,,,,,,,,,,,,,,
Sebastian County,Arkansas,5,131,104479.0,,,,,,,,,,,,,,
Sevier County,Arkansas,5,133,11668.0,,,,,,,,,,,,,,
Sharp County,Arkansas,5,135,16633.0,,,,,,,,,,,,,,
Stone County,Arkansas,5,137,12119.0,,,,,,,,,,,,,,
Union County,Arkansas,5,139,26841.0,,,,,,,,,,,,,,
Van Buren County,Arkansas,5,141,16554.0,,,,,,,,,,,,,,
Washington County,Arkansas,5,143,163956.0,,,,,,,,,,,,,,
White County,Arkansas,5,145,70618.0,,,,,,,,,,,,,,
Woodruff County,Arkansas,5,147,5034.0,,,,,,,,,,,,,,
Yell County,Arkansas,5,149,18553.0,,,,,,,,,,,,,,
Alameda County,California,6,1,695847.0,,,,,,,,,,,,,,
Alpine County,California,6,3,852.0,,,,,,,,,,,,,,
Amador County,California,6,5,33302.0,,,,,,,,,,,,,,
Butte County,California,6,7,184653.0,,,,,,,,,,,,,,
Calaveras County,California,6,9,41343.0,,,,,,,,,,,,,,
Colusa County,California,6,11,15448.0,,,,,,,,,,,,,,
Contra Costa County,California,6,13,670524.0,,,,,,,,,,,,,,
Del Norte County,California,6,15,21248.0,,,,,,,,,,,,,,
El Dorado County,California,6,17,157401.0,,,,,,,,,,,,,,
Fresno County,California,6,19,546915.0,,,,,,,,,,,,,,
Glenn County,California,6,21,22848.0,,,,,,,,,,,,,,
Humboldt County,California,6,23,111415.0,,,,,,,,,,,,,,
Imperial County,California,6,25,120511.0,,,,,,,,,,,,,,
Inyo County,California,6,27,14805.0,,,,,,,,,,,,,,
Kern County,California,6,29,599768.0,,,,,,,,,,,,,,
Kings County,California,6,31,110937.0,,,,,,,,,,,,,,
Lake County,California,6,33,53781.0,,,,,,,,,,,,,,
Lassen County,California,6,35,24395.0,,,,,,,,,,,,,,
Los Angeles County,California,6,37,5229697.0,,,,,,,,,,,,,,
Madera County,California,6,39,121838.0,,,,,,,,,,,,,,
Marin County,California,6,41,201272.0,,,,,,,,,,,,,,
Mariposa County,California,6,43,16132.0,,,,,,,,,,,,,,
Mendocino County,California,6,45,72842.0,,,,,,,,,,,,,,
Merced County,California,6,47,173461.0,,,,,,,,,,,,,,
Modoc County,California,6,49,8417.0,,,,,,,,,,,,,,
Mono County,California,6,51,11856.0,,,,,,,,,,,,,,
Monterey County,California,6,53,309794.0,,,,,,,,,,,,,,
Napa County,California,6,55,109393.0,,,,,,,,,,,,,,
Nevada County,California,6,57,91584.0,,,,,,,,,,,,,,
Orange County,California,6,59,1886224.0,,,,,,,,,,,,,,
Placer County,California,6,61,295714.0,,,,,,,,,,,,,,
Plumas County,California,6,63,18139.0,,,,,,,,,,,,,,
Riverside County,California,6,65,1455085.0,,,,,,,,,,,,,,
Sacramento County,California,6,67,853146.0,,,,,,,,,,,,,,
San Benito County,California,6,69,46065.0,,,,,,,,,,,,,,
San Bernardino County,California,6,71,1272922.0,,,,,,,,,,,,,,
San Diego County,California,6,73,2217577.0,,,,,,,,,,,,,,
San Francisco County,California,6,75,409445.0,,,,,,,,,,,,,,
San Joaquin County,California,6,77,410319.0,,,,,,,,,,,,,,
San Luis Obispo County,California,6,79,227208.0,,,,,,,,,,,,,,
San Mateo County,California,6,81,425330.0,,,,,,,,,,,,,,
Santa Barbara County,California,6,83,324705.0,,,,,,,,,,,,,,
Santa Clara County,California,6,85,901689.0,,,,,,,,,,,,,,
Santa Cruz County,California,6,87,215815.0,,,,,,,,,,,,,,
Shasta County,California,6,89,155637.0,,,,,,,,,,,,,,
Sierra County,California,6,91,2949.0,,,,,,,,,,,,,,
Siskiyou County,California,6,93,38804.0,,,,,,,,,,,,,,
Solano County,California,6,95,218264.0,,,,,,,,,,,,,,
Sonoma County,California,6,97,391986.0,,,,,,,,,,,,,,
Stanislaus County,California,6,99,398065.0,,,,,,,,,,,,,,
Sutter County,California,6,101,63070.0,,,,,,,,,,,,,,
Tehama County,California,6,103,54624.0,,,,,,,,,,,,,,
Trinity County,California,6,105,12130.0,,,,,,,,,,,,,,
Tulare County,California,6,107,351770.0,,,,,,,,,,,,,,
Tuolumne County,California,6,109,48178.0,,,,,,,,,,,,,,
Ventura County,California,6,111,600242.0,,,,,,,,,,,,,,
