County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,age_60_and_over,total_population,white_population,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,per_capita_income,asian_population
Highlands County,Florida,12,55,83.0,,,,,,,,,,,,,,
Hillsborough County,Florida,12,57,78.4,,,,,,,,,,,,,,
Holmes County,Florida,12,59,82.5,,,,,,,,,,,,,,
Indian River County,Florida,12,61,83.4,,,,,,,,,,,,,,
Jackson County,Florida,12,63,84.2,,,,,,,,,,,,,,
Jefferson County,Florida,12,65,85.4,,,,,,,,,,,,,,
Lafayette County,Florida,12,67,85.1,,,,,,,,,,,,,,
Lake County,Florida,12,69,81.3,,,,,,,,,,,,,,
Lee County,Florida,12,71,82.4,,,,,,,,,,,,,,
Leon County,Florida,12,73,82.0,,,,,,,,,,,,,,
Levy County,Florida,12,75,80.9,,,,,,,,,,,,,,
Liberty County,Florida,12,77,85.4,,,,,,,,,,,,,,
Madison County,Florida,12,79,81.7,,,,,,,,,,,,,,
Manatee County,Florida,12,81,81.6,,,,,,,,,,,,,,
Marion County,Florida,12,83,82.5,,,,,,,,,,,,,,
Martin County,Florida,12,85,84.8,,,,,,,,,,,,,,
Monroe County,Florida,12,87,86.8,,,,,,,,,,,,,,
Nassau County,Florida,12,89,80.9,,,,,,,,,,,,,,
Okaloosa County,Florida,12,91,80.1,,,,,,,,,,,,,,
Okeechobee County,Florida,12,93,80.5,,,,,,,,,,,,,,
Orange County,Florida,12,95,79.0,,,,,,,,,,,,,,
Osceola County,Florida,12,97,77.0,,,,,,,,,,,,,,
Palm Beach County,Florida,12,99,81.6,,,,,,,,,,,,,,
Pasco County,Florida,12,101,80.8,,,,,,,,,,,,,,
Pinellas County,Florida,12,103,84.0,,,,,,,,,,,,,,
Polk County,Florida,12,105,78.7,,,,,,,,,,,,,,
Putnam County,Florida,12,107,79.9,,,,,,,,,,,,,,
Saint Johns County,Florida,12,109,79.7,,,,,,,,,,,,,,
Saint Lucie County,Florida,12,111,80.3,,,,,,,,,,,,,,
Santa Rosa County,Florida,12,113,79.8,,,,,,,,,,,,,,
Sarasota County,Florida,12,115,85.7,,,,,,,,,,,,,,
Seminole County,Florida,12,117,80.0,,,,,,,,,,,,,,
Sumter County,Florida,12,119,93.1,,,,,,,,,,,,,,
Suwannee County,Florida,12,121,81.4,,,,,,,,,,,,,,
Taylor County,Florida,12,123,85.0,,,,,,,,,,,,,,
Union County,Florida,12,125,88.6,,,,,,,,,,,,,,
Volusia County,Florida,12,127,83.3,,,,,,,,,,,,,,
Wakulla County,Florida,12,129,82.7,,,,,,,,,,,,,,
