County,State,State_FIPS,County_FIPS,median_gross_rent,age_15_to_44_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,median_household_income,native_american_population,gini_index,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income
Lassen County,California,6,35,942.0,,,,,,,,,,,,,,
Los Angeles County,California,6,37,1322.0,,,,,,,,,,,,,,
Madera County,California,6,39,980.0,,,,,,,,,,,,,,
Marin County,California,6,41,1863.0,,,,,,,,,,,,,,
Mariposa County,California,6,43,869.0,,,,,,,,,,,,,,
Mendocino County,California,6,45,1048.0,,,,,,,,,,,,,,
Merced County,California,6,47,934.0,,,,,,,,,,,,,,
Modoc County,California,6,49,739.0,,,,,,,,,,,,,,
Mono County,California,6,51,1103.0,,,,,,,,,,,,,,
Monterey County,California,6,53,1338.0,,,,,,,,,,,,,,
Napa County,California,6,55,1541.0,,,,,,,,,,,,,,
Nevada County,California,6,57,1217.0,,,,,,,,,,,,,,
Orange County,California,6,59,1693.0,,,,,,,,,,,,,,
Placer County,California,6,61,1398.0,,,,,,,,,,,,,,
Plumas County,California,6,63,840.0,,,,,,,,,,,,,,
Riverside County,California,6,65,1251.0,,,,,,,,,,,,,,
Sacramento County,California,6,67,1122.0,,,,,,,,,,,,,,
San Benito County,California,6,69,1369.0,,,,,,,,,,,,,,
San Bernardino County,California,6,71,1182.0,,,,,,,,,,,,,,
San Diego County,California,6,73,1467.0,,,,,,,,,,,,,,
San Francisco County,California,6,75,1709.0,,,,,,,,,,,,,,
San Joaquin County,California,6,77,1100.0,,,,,,,,,,,,,,
San Luis Obispo County,California,6,79,1326.0,,,,,,,,,,,,,,
San Mateo County,California,6,81,1973.0,,,,,,,,,,,,,,
Santa Barbara County,California,6,83,1496.0,,,,,,,,,,,,,,
Santa Clara County,California,6,85,1955.0,,,,,,,,,,,,,,
Santa Cruz County,California,6,87,1552.0,,,,,,,,,,,,,,
Shasta County,California,6,89,966.0,,,,,,,,,,,,,,
Sierra County,California,6,91,919.0,,,,,,,,,,,,,,
Siskiyou County,California,6,93,829.0,,,,,,,,,,,,,,
Solano County,California,6,95,1407.0,,,,,,,,,,,,,,
Sonoma County,California,6,97,1456.0,,,,,,,,,,,,,,
Stanislaus County,California,6,99,1049.0,,,,,,,,,,,,,,
Sutter County,California,6,101,980.0,,,,,,,,,,,,,,
Tehama County,California,6,103,812.0,,,,,,,,,,,,,,
Trinity County,California,6,105,803.0,,,,,,,,,,,,,,
Tulare County,California,6,107,877.0,,,,,,,,,,,,,,
Tuolumne County,California,6,109,961.0,,,,,,,,,,,,,,
Ventura County,California,6,111,1643.0,,,,,,,,,,,,,,
Yolo County,California,6,113,1204.0,,,,,,,,,,,,,,
Yuba County,California,6,115,923.0,,,,,,,,,,,,,,
Alamosa County,Colorado,8,3,675.0,,,,,,,,,,,,,,
Archuleta County,Colorado,8,7,904.0,,,,,,,,,,,,,,
Baca County,Colorado,8,9,540.0,,,,,,,,,,,,,,
Bent County,Colorado,8,11,669.0,,,,,,,,,,,,,,
Chaffee County,Colorado,8,15,805.0,,,,,,,,,,,,,,
Cheyenne County,Colorado,8,17,613.0,,,,,,,,,,,,,,
Clear Creek County,Colorado,8,19,810.0,,,,,,,,,,,,,,
Conejos County,Colorado,8,21,533.0,,,,,,,,,,,,,,
Costilla County,Colorado,8,23,614.0,,,,,,,,,,,,,,
Crowley County,Colorado,8,25,827.0,,,,,,,,,,,,,,
Custer County,Colorado,8,27,660.0,,,,,,,,,,,,,,
Delta County,Colorado,8,29,847.0,,,,,,,,,,,,,,
Dolores County,Colorado,8,33,826.0,,,,,,,,,,,,,,
Douglas County,Colorado,8,35,1574.0,,,,,,,,,,,,,,
Eagle County,Colorado,8,37,1370.0,,,,,,,,,,,,,,
Elbert County,Colorado,8,39,1029.0,,,,,,,,,,,,,,
El Paso County,Colorado,8,41,1070.0,,,,,,,,,,,,,,
Fremont County,Colorado,8,43,786.0,,,,,,,,,,,,,,
Garfield County,Colorado,8,45,1169.0,,,,,,,,,,,,,,
Gilpin County,Colorado,8,47,1044.0,,,,,,,,,,,,,,
Grand County,Colorado,8,49,1013.0,,,,,,,,,,,,,,
Gunnison County,Colorado,8,51,908.0,,,,,,,,,,,,,,
Huerfano County,Colorado,8,55,634.0,,,,,,,,,,,,,,
Jackson County,Colorado,8,57,706.0,,,,,,,,,,,,,,
Kiowa County,Colorado,8,61,619.0,,,,,,,,,,,,,,
Kit Carson County,Colorado,8,63,743.0,,,,,,,,,,,,,,
Lake County,Colorado,8,65,889.0,,,,,,,,,,,,,,
La Plata County,Colorado,8,67,1090.0,,,,,,,,,,,,,,
Larimer County,Colorado,8,69,1140.0,,,,,,,,,,,,,,
Las Animas County,Colorado,8,71,702.0,,,,,,,,,,,,,,
Lincoln County,Colorado,8,73,781.0,,,,,,,,,,,,,,
Logan County,Colorado,8,75,712.0,,,,,,,,,,,,,,
Mesa County,Colorado,8,77,907.0,,,,,,,,,,,,,,
Moffat County,Colorado,8,81,732.0,,,,,,,,,,,,,,
Montezuma County,Colorado,8,83,774.0,,,,,,,,,,,,,,
Montrose County,Colorado,8,85,838.0,,,,,,,,,,,,,,
Morgan County,Colorado,8,87,780.0,,,,,,,,,,,,,,
Otero County,Colorado,8,89,703.0,,,,,,,,,,,,,,
Ouray County,Colorado,8,91,1101.0,,,,,,,,,,,,,,
Park County,Colorado,8,93,1098.0,,,,,,,,,,,,,,
Phillips County,Colorado,8,95,634.0,,,,,,,,,,,,,,
Pitkin County,Colorado,8,97,1241.0,,,,,,,,,,,,,,
Prowers County,Colorado,8,99,677.0,,,,,,,,,,,,,,
Pueblo County,Colorado,8,101,788.0,,,,,,,,,,,,,,
Rio Blanco County,Colorado,8,103,731.0,,,,,,,,,,,,,,
Rio Grande County,Colorado,8,105,586.0,,,,,,,,,,,,,,
Routt County,Colorado,8,107,1166.0,,,,,,,,,,,,,,
Saguache County,Colorado,8,109,633.0,,,,,,,,,,,,,,
San Miguel County,Colorado,8,113,1160.0,,,,,,,,,,,,,,
Sedgwick County,Colorado,8,115,534.0,,,,,,,,,,,,,,
Summit County,Colorado,8,117,1343.0,,,,,,,,,,,,,,
Teller County,Colorado,8,119,1057.0,,,,,,,,,,,,,,
Washington County,Colorado,8,121,678.0,,,,,,,,,,,,,,
Yuma County,Colorado,8,125,705.0,,,,,,,,,,,,,,
Adams County,Colorado,8,1,1172.0,,,,,,,,,,,,,,
Arapahoe County,Colorado,8,5,1218.0,,,,,,,,,,,,,,
Boulder County,Colorado,8,13,1334.0,,,,,,,,,,,,,,
Broomfield County,Colorado,8,14,1490.0,,,,,,,,,,,,,,
Denver County,Colorado,8,31,1131.0,,,,,,,,,,,,,,
Jefferson County,Colorado,8,59,1205.0,,,,,,,,,,,,,,
Weld County,Colorado,8,123,955.0,,,,,,,,,,,,,,
Fairfield County,Connecticut,9,1,1439.0,,,,,,,,,,,,,,
Hartford County,Connecticut,9,3,1044.0,,,,,,,,,,,,,,
Litchfield County,Connecticut,9,5,995.0,,,,,,,,,,,,,,
Middlesex County,Connecticut,9,7,1132.0,,,,,,,,,,,,,,
New Haven County,Connecticut,9,9,1100.0,,,,,,,,,,,,,,
New London County,Connecticut,9,11,1071.0,,,,,,,,,,,,,,
Tolland County,Connecticut,9,13,1093.0,,,,,,,,,,,,,,
Windham County,Connecticut,9,15,869.0,,,,,,,,,,,,,,
Kent County,Delaware,10,1,1030.0,,,,,,,,,,,,,,
New Castle County,Delaware,10,3,1104.0,,,,,,,,,,,,,,
