County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value
Delta County,Colorado,8,29,20.2,,,,,,,,,,,,,,
Dolores County,Colorado,8,33,22.6,,,,,,,,,,,,,,
Douglas County,Colorado,8,35,7.5,,,,,,,,,,,,,,
Eagle County,Colorado,8,37,6.1,,,,,,,,,,,,,,
Elbert County,Colorado,8,39,11.0,,,,,,,,,,,,,,
El Paso County,Colorado,8,41,9.1,,,,,,,,,,,,,,
Fremont County,Colorado,8,43,14.9,,,,,,,,,,,,,,
Garfield County,Colorado,8,45,8.2,,,,,,,,,,,,,,
Gilpin County,Colorado,8,47,12.4,,,,,,,,,,,,,,
Grand County,Colorado,8,49,11.8,,,,,,,,,,,,,,
Gunnison County,Colorado,8,51,8.9,,,,,,,,,,,,,,
Huerfano County,Colorado,8,55,25.7,,,,,,,,,,,,,,
Jackson County,Colorado,8,57,23.0,,,,,,,,,,,,,,
Kiowa County,Colorado,8,61,17.6,,,,,,,,,,,,,,
Kit Carson County,Colorado,8,63,13.9,,,,,,,,,,,,,,
Lake County,Colorado,8,65,7.3,,,,,,,,,,,,,,
La Plata County,Colorado,8,67,11.8,,,,,,,,,,,,,,
Larimer County,Colorado,8,69,11.2,,,,,,,,,,,,,,
Las Animas County,Colorado,8,71,17.0,,,,,,,,,,,,,,
Lincoln County,Colorado,8,73,13.2,,,,,,,,,,,,,,
Logan County,Colorado,8,75,12.1,,,,,,,,,,,,,,
Mesa County,Colorado,8,77,13.9,,,,,,,,,,,,,,
Moffat County,Colorado,8,81,9.9,,,,,,,,,,,,,,
Montezuma County,Colorado,8,83,16.4,,,,,,,,,,,,,,
Montrose County,Colorado,8,85,17.3,,,,,,,,,,,,,,
Morgan County,Colorado,8,87,12.7,,,,,,,,,,,,,,
Otero County,Colorado,8,89,16.4,,,,,,,,,,,,,,
Ouray County,Colorado,8,91,23.6,,,,,,,,,,,,,,
Park County,Colorado,8,93,13.4,,,,,,,,,,,,,,
Phillips County,Colorado,8,95,15.8,,,,,,,,,,,,,,
Pitkin County,Colorado,8,97,13.1,,,,,,,,,,,,,,
Prowers County,Colorado,8,99,12.8,,,,,,,,,,,,,,
Pueblo County,Colorado,8,101,14.1,,,,,,,,,,,,,,
Rio Blanco County,Colorado,8,103,12.2,,,,,,,,,,,,,,
Rio Grande County,Colorado,8,105,15.9,,,,,,,,,,,,,,
Routt County,Colorado,8,107,9.1,,,,,,,,,,,,,,
Saguache County,Colorado,8,109,14.7,,,,,,,,,,,,,,
San Miguel County,Colorado,8,113,8.7,,,,,,,,,,,,,,
Sedgwick County,Colorado,8,115,19.2,,,,,,,,,,,,,,
Summit County,Colorado,8,117,8.6,,,,,,,,,,,,,,
Teller County,Colorado,8,119,15.1,,,,,,,,,,,,,,
Washington County,Colorado,8,121,17.8,,,,,,,,,,,,,,
Yuma County,Colorado,8,125,15.0,,,,,,,,,,,,,,
Adams County,Colorado,8,1,7.5,,,,,,,,,,,,,,
Arapahoe County,Colorado,8,5,9.3,,,,,,,,,,,,,,
Boulder County,Colorado,8,13,9.4,,,,,,,,,,,,,,
Broomfield County,Colorado,8,14,8.9,,,,,,,,,,,,,,
Denver County,Colorado,8,31,8.8,,,,,,,,,,,,,,
Jefferson County,Colorado,8,59,11.7,,,,,,,,,,,,,,
Weld County,Colorado,8,123,9.2,,,,,,,,,,,,,,
Fairfield County,Connecticut,9,1,12.0,,,,,,,,,,,,,,
Hartford County,Connecticut,9,3,12.7,,,,,,,,,,,,,,
Litchfield County,Connecticut,9,5,14.9,,,,,,,,,,,,,,
Middlesex County,Connecticut,9,7,14.3,,,,,,,,,,,,,,
New Haven County,Connecticut,9,9,12.7,,,,,,,,,,,,,,
New London County,Connecticut,9,11,12.9,,,,,,,,,,,,,,
Tolland County,Connecticut,9,13,11.3,,,,,,,,,,,,,,
Windham County,Connecticut,9,15,11.7,,,,,,,,,,,,,,
Kent County,Delaware,10,1,12.8,,,,,,,,,,,,,,
New Castle County,Delaware,10,3,11.1,,,,,,,,,,,,,,
Sussex County,Delaware,10,5,20.6,,,,,,,,,,,,,,
Alachua County,Florida,12,1,10.0,,,,,,,,,,,,,,
Baker County,Florida,12,3,9.9,,,,,,,,,,,,,,
Bay County,Florida,12,5,13.6,,,,,,,,,,,,,,
Bradford County,Florida,12,7,12.7,,,,,,,,,,,,,,
Brevard County,Florida,12,9,19.4,,,,,,,,,,,,,,
Broward County,Florida,12,11,12.8,,,,,,,,,,,,,,
Calhoun County,Florida,12,13,13.6,,,,,,,,,,,,,,
Charlotte County,Florida,12,15,34.5,,,,,,,,,,,,,,
Citrus County,Florida,12,17,32.6,,,,,,,,,,,,,,
Clay County,Florida,12,19,11.5,,,,,,,,,,,,,,
Collier County,Florida,12,21,26.4,,,,,,,,,,,,,,
Columbia County,Florida,12,23,14.2,,,,,,,,,,,,,,
Miami-Dade County,Florida,12,86,12.4,,,,,,,,,,,,,,
DeSoto County,Florida,12,27,16.2,,,,,,,,,,,,,,
Dixie County,Florida,12,29,19.3,,,,,,,,,,,,,,
Duval County,Florida,12,31,9.9,,,,,,,,,,,,,,
Escambia County,Florida,12,33,12.9,,,,,,,,,,,,,,
Flagler County,Florida,12,35,25.4,,,,,,,,,,,,,,
Franklin County,Florida,12,37,15.6,,,,,,,,,,,,,,
Gadsden County,Florida,12,39,12.1,,,,,,,,,,,,,,
Gilchrist County,Florida,12,41,15.2,,,,,,,,,,,,,,
Glades County,Florida,12,43,21.3,,,,,,,,,,,,,,
Gulf County,Florida,12,45,13.7,,,,,,,,,,,,,,
Hamilton County,Florida,12,47,10.9,,,,,,,,,,,,,,
Hardee County,Florida,12,49,12.0,,,,,,,,,,,,,,
Hendry County,Florida,12,51,11.3,,,,,,,,,,,,,,
Hernando County,Florida,12,53,25.3,,,,,,,,,,,,,,
Highlands County,Florida,12,55,31.3,,,,,,,,,,,,,,
Hillsborough County,Florida,12,57,10.7,,,,,,,,,,,,,,
Holmes County,Florida,12,59,15.2,,,,,,,,,,,,,,
Indian River County,Florida,12,61,26.3,,,,,,,,,,,,,,
Jackson County,Florida,12,63,12.8,,,,,,,,,,,,,,
Jefferson County,Florida,12,65,14.9,,,,,,,,,,,,,,
Lafayette County,Florida,12,67,10.8,,,,,,,,,,,,,,
Lake County,Florida,12,69,23.6,,,,,,,,,,,,,,
Lee County,Florida,12,71,23.5,,,,,,,,,,,,,,
Leon County,Florida,12,73,8.8,,,,,,,,,,,,,,
Levy County,Florida,12,75,20.7,,,,,,,,,,,,,,
Liberty County,Florida,12,77,7.0,,,,,,,,,,,,,,
Madison County,Florida,12,79,14.0,,,,,,,,,,,,,,
Manatee County,Florida,12,81,22.8,,,,,,,,,,,,,,
Marion County,Florida,12,83,25.5,,,,,,,,,,,,,,
Martin County,Florida,12,85,25.8,,,,,,,,,,,,,,
Monroe County,Florida,12,87,18.0,,,,,,,,,,,,,,
Nassau County,Florida,12,89,16.8,,,,,,,,,,,,,,
Okaloosa County,Florida,12,91,12.5,,,,,,,,,,,,,,
Okeechobee County,Florida,12,93,15.4,,,,,,,,,,,,,,
Orange County,Florida,12,95,8.7,,,,,,,,,,,,,,
Osceola County,Florida,12,97,10.5,,,,,,,,,,,,,,
Palm Beach County,Florida,12,99,19.7,,,,,,,,,,,,,,
Pasco County,Florida,12,101,20.0,,,,,,,,,,,,,,
Pinellas County,Florida,12,103,19.5,,,,,,,,,,,,,,
Polk County,Florida,12,105,17.2,,,,,,,,,,,,,,
Putnam County,Florida,12,107,18.4,,,,,,,,,,,,,,
Saint Johns County,Florida,12,109,15.5,,,,,,,,,,,,,,
Saint Lucie County,Florida,12,111,19.7,,,,,,,,,,,,,,
Santa Rosa County,Florida,12,113,12.0,,,,,,,,,,,,,,
Sarasota County,Florida,12,115,30.4,,,,,,,,,,,,,,
Seminole County,Florida,12,117,11.3,,,,,,,,,,,,,,
Sumter County,Florida,12,119,44.9,,,,,,,,,,,,,,
Suwannee County,Florida,12,121,16.1,,,,,,,,,,,,,,
Taylor County,Florida,12,123,13.2,,,,,,,,,,,,,,
Union County,Florida,12,125,9.6,,,,,,,,,,,,,,
Volusia County,Florida,12,127,19.9,,,,,,,,,,,,,,
Wakulla County,Florida,12,129,10.1,,,,,,,,,,,,,,
Walton County,Florida,12,131,15.5,,,,,,,,,,,,,,
Washington County,Florida,12,133,14.1,,,,,,,,,,,,,,
Appling County,Georgia,13,1,11.9,,,,,,,,,,,,,,
Atkinson County,Georgia,13,3,9.4,,,,,,,,,,,,,,
Bacon County,Georgia,13,5,11.2,,,,,,,,,,,,,,
Baker County,Georgia,13,7,12.9,,,,,,,,,,,,,,
Baldwin County,Georgia,13,9,11.4,,,,,,,,,,,,,,
Banks County,Georgia,13,11,12.8,,,,,,,,,,,,,,
Barrow County,Georgia,13,13,8.2,,,,,,,,,,,,,,
Bartow County,Georgia,13,15,10.0,,,,,,,,,,,,,,
Ben Hill County,Georgia,13,17,12.3,,,,,,,,,,,,,,
Berrien County,Georgia,13,19,13.2,,,,,,,,,,,,,,
Bibb County,Georgia,13,21,10.9,,,,,,,,,,,,,,
Bleckley County,Georgia,13,23,13.2,,,,,,,,,,,,,,
Brantley County,Georgia,13,25,12.0,,,,,,,,,,,,,,
Brooks County,Georgia,13,27,14.7,,,,,,,,,,,,,,
Bryan County,Georgia,13,29,8.4,,,,,,,,,,,,,,
Bulloch County,Georgia,13,31,8.1,,,,,,,,,,,,,,
Burke County,Georgia,13,33,11.1,,,,,,,,,,,,,,
Butts County,Georgia,13,35,10.3,,,,,,,,,,,,,,
Calhoun County,Georgia,13,37,7.7,,,,,,,,,,,,,,
Camden County,Georgia,13,39,8.8,,,,,,,,,,,,,,
Candler County,Georgia,13,43,13.9,,,,,,,,,,,,,,
Carroll County,Georgia,13,45,10.0,,,,,,,,,,,,,,
Catoosa County,Georgia,13,47,12.3,,,,,,,,,,,,,,
Charlton County,Georgia,13,49,10.8,,,,,,,,,,,,,,
Chatham County,Georgia,13,51,11.1,,,,,,,,,,,,,,
Chattahoochee County,Georgia,13,53,2.1,,,,,,,,,,,,,,
Chattooga County,Georgia,13,55,12.2,,,,,,,,,,,,,,
Cherokee County,Georgia,13,57,9.1,,,,,,,,,,,,,,
