County,State,State_FIPS,County_FIPS,median_gross_rent,age_15_to_44_percentage,white_population,total_population,age_60_and_over,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,median_home_value,black_population,age_18_and_under_percentage,asian_population,per_capita_income
Garland County,Arkansas,5,51,709.0,,,,,,,,,,,,,,
Grant County,Arkansas,5,53,700.0,,,,,,,,,,,,,,
Greene County,Arkansas,5,55,662.0,,,,,,,,,,,,,,
Hempstead County,Arkansas,5,57,571.0,,,,,,,,,,,,,,
Hot Spring County,Arkansas,5,59,677.0,,,,,,,,,,,,,,
Howard County,Arkansas,5,61,553.0,,,,,,,,,,,,,,
Independence County,Arkansas,5,63,590.0,,,,,,,,,,,,,,
Izard County,Arkansas,5,65,547.0,,,,,,,,,,,,,,
Jackson County,Arkansas,5,67,537.0,,,,,,,,,,,,,,
Jefferson County,Arkansas,5,69,663.0,,,,,,,,,,,,,,
Johnson County,Arkansas,5,71,615.0,,,,,,,,,,,,,,
Lafayette County,Arkansas,5,73,467.0,,,,,,,,,,,,,,
Lawrence County,Arkansas,5,75,526.0,,,,,,,,,,,,,,
Lee County,Arkansas,5,77,501.0,,,,,,,,,,,,,,
Lincoln County,Arkansas,5,79,598.0,,,,,,,,,,,,,,
Little River County,Arkansas,5,81,524.0,,,,,,,,,,,,,,
Logan County,Arkansas,5,83,530.0,,,,,,,,,,,,,,
Lonoke County,Arkansas,5,85,715.0,,,,,,,,,,,,,,
Madison County,Arkansas,5,87,597.0,,,,,,,,,,,,,,
Marion County,Arkansas,5,89,564.0,,,,,,,,,,,,,,
Miller County,Arkansas,5,91,692.0,,,,,,,,,,,,,,
Mississippi County,Arkansas,5,93,617.0,,,,,,,,,,,,,,
Monroe County,Arkansas,5,95,514.0,,,,,,,,,,,,,,
Montgomery County,Arkansas,5,97,582.0,,,,,,,,,,,,,,
Nevada County,Arkansas,5,99,545.0,,,,,,,,,,,,,,
Newton County,Arkansas,5,101,351.0,,,,,,,,,,,,,,
Ouachita County,Arkansas,5,103,570.0,,,,,,,,,,,,,,
Perry County,Arkansas,5,105,575.0,,,,,,,,,,,,,,
Phillips County,Arkansas,5,107,586.0,,,,,,,,,,,,,,
Pike County,Arkansas,5,109,468.0,,,,,,,,,,,,,,
Poinsett County,Arkansas,5,111,522.0,,,,,,,,,,,,,,
Polk County,Arkansas,5,113,493.0,,,,,,,,,,,,,,
Pope County,Arkansas,5,115,634.0,,,,,,,,,,,,,,
Prairie County,Arkansas,5,117,485.0,,,,,,,,,,,,,,
Pulaski County,Arkansas,5,119,779.0,,,,,,,,,,,,,,
Randolph County,Arkansas,5,121,491.0,,,,,,,,,,,,,,
Saint Francis County,Arkansas,5,123,585.0,,,,,,,,,,,,,,
Saline County,Arkansas,5,125,791.0,,,,,,,,,,,,,,
Scott County,Arkansas,5,127,525.0,,,,,,,,,,,,,,
Searcy County,Arkansas,5,129,421.0,,,,,,,,,,,,,,
Sebastian County,Arkansas,5,131,635.0,,,,,,,,,,,,,,
Sevier County,Arkansas,5,133,534.0,,,,,,,,,,,,,,
Sharp County,Arkansas,5,135,581.0,,,,,,,,,,,,,,
Stone County,Arkansas,5,137,489.0,,,,,,,,,,,,,,
Union County,Arkansas,5,139,646.0,,,,,,,,,,,,,,
Van Buren County,Arkansas,5,141,593.0,,,,,,,,,,,,,,
Washington County,Arkansas,5,143,708.0,,,,,,,,,,,,,,
White County,Arkansas,5,145,635.0,,,,,,,,,,,,,,
Woodruff County,Arkansas,5,147,456.0,,,,,,,,,,,,,,
Yell County,Arkansas,5,149,539.0,,,,,,,,,,,,,,
Alameda County,California,6,1,1325.0,,,,,,,,,,,,,,
Alpine County,California,6,3,775.0,,,,,,,,,,,,,,
Amador County,California,6,5,1029.0,,,,,,,,,,,,,,
Butte County,California,6,7,899.0,,,,,,,,,,,,,,
Calaveras County,California,6,9,1072.0,,,,,,,,,,,,,,
Colusa County,California,6,11,864.0,,,,,,,,,,,,,,
Contra Costa County,California,6,13,1395.0,,,,,,,,,,,,,,
Del Norte County,California,6,15,843.0,,,,,,,,,,,,,,
El Dorado County,California,6,17,1073.0,,,,,,,,,,,,,,
Fresno County,California,6,19,884.0,,,,,,,,,,,,,,
Glenn County,California,6,21,716.0,,,,,,,,,,,,,,
Humboldt County,California,6,23,899.0,,,,,,,,,,,,,,
Imperial County,California,6,25,772.0,,,,,,,,,,,,,,
Inyo County,California,6,27,835.0,,,,,,,,,,,,,,
Kern County,California,6,29,887.0,,,,,,,,,,,,,,
Kings County,California,6,31,875.0,,,,,,,,,,,,,,
Lake County,California,6,33,921.0,,,,,,,,,,,,,,
Lassen County,California,6,35,901.0,,,,,,,,,,,,,,
Los Angeles County,California,6,37,1221.0,,,,,,,,,,,,,,
Madera County,California,6,39,937.0,,,,,,,,,,,,,,
Marin County,California,6,41,1659.0,,,,,,,,,,,,,,
Mariposa County,California,6,43,838.0,,,,,,,,,,,,,,
Mendocino County,California,6,45,972.0,,,,,,,,,,,,,,
Merced County,California,6,47,870.0,,,,,,,,,,,,,,
Modoc County,California,6,49,671.0,,,,,,,,,,,,,,
Mono County,California,6,51,1061.0,,,,,,,,,,,,,,
Monterey County,California,6,53,1228.0,,,,,,,,,,,,,,
Napa County,California,6,55,1376.0,,,,,,,,,,,,,,
Nevada County,California,6,57,1190.0,,,,,,,,,,,,,,
Orange County,California,6,59,1522.0,,,,,,,,,,,,,,
Placer County,California,6,61,1277.0,,,,,,,,,,,,,,
Plumas County,California,6,63,824.0,,,,,,,,,,,,,,
Riverside County,California,6,65,1182.0,,,,,,,,,,,,,,
Sacramento County,California,6,67,1035.0,,,,,,,,,,,,,,
San Benito County,California,6,69,1265.0,,,,,,,,,,,,,,
San Bernardino County,California,6,71,1113.0,,,,,,,,,,,,,,
San Diego County,California,6,73,1328.0,,,,,,,,,,,,,,
San Francisco County,California,6,75,1533.0,,,,,,,,,,,,,,
San Joaquin County,California,6,77,1033.0,,,,,,,,,,,,,,
San Luis Obispo County,California,6,79,1226.0,,,,,,,,,,,,,,
San Mateo County,California,6,81,1664.0,,,,,,,,,,,,,,
Santa Barbara County,California,6,83,1357.0,,,,,,,,,,,,,,
Santa Clara County,California,6,85,1637.0,,,,,,,,,,,,,,
Santa Cruz County,California,6,87,1427.0,,,,,,,,,,,,,,
Shasta County,California,6,89,932.0,,,,,,,,,,,,,,
Sierra County,California,6,91,1010.0,,,,,,,,,,,,,,
Siskiyou County,California,6,93,799.0,,,,,,,,,,,,,,
Solano County,California,6,95,1290.0,,,,,,,,,,,,,,
Sonoma County,California,6,97,1302.0,,,,,,,,,,,,,,
Stanislaus County,California,6,99,993.0,,,,,,,,,,,,,,
Sutter County,California,6,101,898.0,,,,,,,,,,,,,,
Tehama County,California,6,103,833.0,,,,,,,,,,,,,,
Trinity County,California,6,105,802.0,,,,,,,,,,,,,,
Tulare County,California,6,107,826.0,,,,,,,,,,,,,,
Tuolumne County,California,6,109,924.0,,,,,,,,,,,,,,
Ventura County,California,6,111,1494.0,,,,,,,,,,,,,,
Yolo County,California,6,113,1096.0,,,,,,,,,,,,,,
Yuba County,California,6,115,884.0,,,,,,,,,,,,,,
Alamosa County,Colorado,8,3,622.0,,,,,,,,,,,,,,
Archuleta County,Colorado,8,7,914.0,,,,,,,,,,,,,,
Baca County,Colorado,8,9,526.0,,,,,,,,,,,,,,
