County,State,State_FIPS,County_FIPS,asian_population,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,total_population_race,native_american_population,gini_index,median_household_income,housing_cost_burden,white_population,total_population,age_60_and_over,median_gross_rent,age_15_to_44_percentage
Jackson County,Alabama,1,71,47412.0,,,,,,,,,,,,,,
Jefferson County,Alabama,1,73,342591.0,,,,,,,,,,,,,,
Lamar County,Alabama,1,75,12187.0,,,,,,,,,,,,,,
Lauderdale County,Alabama,1,77,80561.0,,,,,,,,,,,,,,
Lawrence County,Alabama,1,79,25942.0,,,,,,,,,,,,,,
Lee County,Alabama,1,81,111986.0,,,,,,,,,,,,,,
Limestone County,Alabama,1,83,75143.0,,,,,,,,,,,,,,
Lowndes County,Alabama,1,85,2546.0,,,,,,,,,,,,,,
Macon County,Alabama,1,87,3025.0,,,,,,,,,,,,,,
Madison County,Alabama,1,89,243835.0,,,,,,,,,,,,,,
Marengo County,Alabama,1,91,8855.0,,,,,,,,,,,,,,
Marion County,Alabama,1,93,27886.0,,,,,,,,,,,,,,
Marshall County,Alabama,1,95,87887.0,,,,,,,,,,,,,,
Mobile County,Alabama,1,97,243658.0,,,,,,,,,,,,,,
Monroe County,Alabama,1,99,11814.0,,,,,,,,,,,,,,
Montgomery County,Alabama,1,101,82862.0,,,,,,,,,,,,,,
Morgan County,Alabama,1,103,95966.0,,,,,,,,,,,,,,
Perry County,Alabama,1,105,2838.0,,,,,,,,,,,,,,
Pickens County,Alabama,1,107,11362.0,,,,,,,,,,,,,,
Pike County,Alabama,1,109,18960.0,,,,,,,,,,,,,,
Randolph County,Alabama,1,111,17443.0,,,,,,,,,,,,,,
Russell County,Alabama,1,113,29256.0,,,,,,,,,,,,,,
Saint Clair County,Alabama,1,115,76224.0,,,,,,,,,,,,,,
Shelby County,Alabama,1,117,169598.0,,,,,,,,,,,,,,
Sumter County,Alabama,1,119,3201.0,,,,,,,,,,,,,,
Talladega County,Alabama,1,121,51720.0,,,,,,,,,,,,,,
Tallapoosa County,Alabama,1,123,28251.0,,,,,,,,,,,,,,
Tuscaloosa County,Alabama,1,125,132877.0,,,,,,,,,,,,,,
Walker County,Alabama,1,127,58547.0,,,,,,,,,,,,,,
Washington County,Alabama,1,129,11003.0,,,,,,,,,,,,,,
Wilcox County,Alabama,1,131,2903.0,,,,,,,,,,,,,,
Winston County,Alabama,1,133,23001.0,,,,,,,,,,,,,,
Anchorage Municipality,Alaska,2,20,186522.0,,,,,,,,,,,,,,
Bethel Census Area,Alaska,2,50,1986.0,,,,,,,,,,,,,,
Bristol Bay Borough,Alaska,2,60,501.0,,,,,,,,,,,,,,
Fairbanks North Star Borough,Alaska,2,90,75281.0,,,,,,,,,,,,,,
Haines Borough,Alaska,2,100,2040.0,,,,,,,,,,,,,,
Juneau City and Borough,Alaska,2,110,22182.0,,,,,,,,,,,,,,
Kenai Peninsula Borough,Alaska,2,122,48489.0,,,,,,,,,,,,,,
Kodiak Island Borough,Alaska,2,150,7284.0,,,,,,,,,,,,,,
Matanuska-Susitna Borough,Alaska,2,170,85927.0,,,,,,,,,,,,,,
Nome Census Area,Alaska,2,180,1601.0,,,,,,,,,,,,,,
North Slope Borough,Alaska,2,185,3099.0,,,,,,,,,,,,,,
Sitka City and Borough,Alaska,2,220,5655.0,,,,,,,,,,,,,,
Southeast Fairbanks Census Area,Alaska,2,240,5269.0,,,,,,,,,,,,,,
Valdez-Cordova Census Area,Alaska,2,261,6803.0,,,,,,,,,,,,,,
Wade Hampton Census Area,Alaska,2,270,,,,,,,,,,,,,,,
Northwest Arctic Borough,Alaska,2,188,859.0,,,,,,,,,,,,,,
Aleutians East Borough,Alaska,2,13,605.0,,,,,,,,,,,,,,
Aleutians West Census Area,Alaska,2,16,1699.0,,,,,,,,,,,,,,
Dillingham Census Area,Alaska,2,70,875.0,,,,,,,,,,,,,,
Lake and Peninsula Borough,Alaska,2,164,314.0,,,,,,,,,,,,,,
