County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,year,asian_population,total_population_race
Madison County,Texas,48,313,10095.0,13843.0,10.6,114.0,779.0,89.6,0.4361,18.0,43209.0,17698.0,103900.0,2564.0,17.6,2016,,
Marion County,Texas,48,315,7567.0,10191.0,22.7,92.0,654.0,82.6,0.4849,33.0,35424.0,22536.0,89600.0,2422.0,6.3,2016,,
Martin County,Texas,48,317,4520.0,5451.0,12.4,41.0,841.0,72.3,0.4849,129.0,63992.0,27692.0,108900.0,38.0,11.2,2016,,
Mason County,Texas,48,319,3645.0,4064.0,22.6,59.0,811.0,82.8,0.472,24.0,38496.0,25834.0,136600.0,1.0,3.4,2016,,
Matagorda County,Texas,48,321,28199.0,36719.0,14.3,297.0,695.0,76.6,0.4801,109.0,41253.0,22939.0,98700.0,3909.0,9.6,2016,,
Maverick County,Texas,48,323,52764.0,56830.0,9.8,163.0,602.0,71.2,0.4656,628.0,37155.0,16086.0,93100.0,112.0,12.7,2016,,
Medina County,Texas,48,325,43402.0,47920.0,13.7,119.0,709.0,79.2,0.4435,217.0,58333.0,24731.0,126000.0,1083.0,11.4,2016,,
Menard County,Texas,48,327,1772.0,2163.0,20.9,26.0,623.0,74.4,0.4823,34.0,37917.0,23331.0,56300.0,28.0,3.7,2016,,
Midland County,Texas,48,329,128996.0,155817.0,8.7,1749.0,1148.0,74.3,0.4773,642.0,71424.0,36869.0,175700.0,9717.0,10.2,2016,,
Milam County,Texas,48,331,20167.0,24372.0,18.5,221.0,594.0,76.6,0.4649,106.0,39213.0,22132.0,82400.0,2078.0,8.0,2016,,
Mills County,Texas,48,333,4808.0,4871.0,27.0,52.0,506.0,76.5,0.4665,0.0,44375.0,24099.0,123100.0,15.0,8.0,2016,,
Mitchell County,Texas,48,335,7123.0,8995.0,10.3,55.0,615.0,85.6,0.4001,47.0,51555.0,19334.0,60800.0,970.0,15.8,2016,,
Montague County,Texas,48,337,18537.0,19384.0,20.7,273.0,731.0,79.9,0.4481,41.0,46383.0,25403.0,93000.0,19.0,6.6,2016,,
Montgomery County,Texas,48,339,448305.0,518849.0,11.0,4310.0,1077.0,75.6,0.4752,2178.0,70805.0,35912.0,190000.0,22986.0,8.7,2016,,
Moore County,Texas,48,341,16984.0,22186.0,8.6,170.0,706.0,71.2,0.3943,118.0,50552.0,20159.0,98200.0,829.0,10.6,2016,,
Morris County,Texas,48,343,8782.0,12653.0,17.3,125.0,645.0,78.4,0.4582,17.0,37902.0,21616.0,77000.0,3060.0,7.6,2016,,
Motley County,Texas,48,345,978.0,1022.0,26.8,0.0,575.0,83.9,0.4369,0.0,35433.0,23131.0,55200.0,3.0,12.0,2016,,
Nacogdoches County,Texas,48,347,49786.0,65556.0,11.7,745.0,745.0,77.9,0.5042,273.0,38915.0,21343.0,114300.0,11851.0,18.5,2016,,
Navarro County,Texas,48,349,36813.0,48177.0,14.7,464.0,738.0,75.5,0.45,897.0,43388.0,21347.0,83800.0,6569.0,8.9,2016,,
Newton County,Texas,48,351,10870.0,14138.0,16.8,49.0,661.0,83.4,0.4341,36.0,36829.0,19293.0,72300.0,2990.0,15.1,2016,,
Nolan County,Texas,48,353,13207.0,15017.0,14.8,109.0,596.0,76.1,0.4793,89.0,38411.0,22240.0,65400.0,829.0,10.9,2016,,
Nueces County,Texas,48,355,310741.0,355667.0,11.6,4954.0,912.0,76.7,0.4611,1613.0,51882.0,25826.0,116600.0,13902.0,10.6,2016,,
Ochiltree County,Texas,48,357,9182.0,10577.0,8.9,129.0,728.0,71.0,0.4642,166.0,50011.0,24997.0,91800.0,23.0,9.7,2016,,
Oldham County,Texas,48,359,1834.0,2069.0,13.9,0.0,818.0,75.2,0.4815,3.0,52292.0,23644.0,81100.0,120.0,11.0,2016,,
Orange County,Texas,48,361,73658.0,83751.0,13.6,394.0,770.0,77.1,0.4512,332.0,51443.0,26611.0,101500.0,6814.0,9.1,2016,,
Palo Pinto County,Texas,48,363,25558.0,27922.0,17.0,159.0,724.0,77.9,0.4879,331.0,42824.0,24891.0,87000.0,638.0,8.8,2016,,
Panola County,Texas,48,365,19162.0,23771.0,15.6,100.0,706.0,77.2,0.4441,16.0,50712.0,25345.0,92900.0,3996.0,8.7,2016,,
Parker County,Texas,48,367,115369.0,123601.0,14.0,678.0,901.0,77.8,0.4437,1059.0,67979.0,32274.0,170100.0,1823.0,8.9,2016,,
Parmer County,Texas,48,369,8417.0,9921.0,11.4,63.0,643.0,74.8,0.4265,93.0,48589.0,21655.0,83600.0,146.0,10.9,2016,,
Pecos County,Texas,48,371,12939.0,15826.0,10.7,90.0,784.0,80.2,0.4099,93.0,51735.0,19738.0,69800.0,694.0,7.7,2016,,
Polk County,Texas,48,373,39248.0,46583.0,18.0,277.0,658.0,82.5,0.4476,667.0,40864.0,21411.0,84600.0,4936.0,8.5,2016,,
Potter County,Texas,48,375,95425.0,121883.0,9.8,1305.0,720.0,75.3,0.4819,527.0,40340.0,20984.0,88700.0,11585.0,9.5,2016,,
Presidio County,Texas,48,377,6628.0,7144.0,18.9,63.0,431.0,72.0,0.4491,99.0,33453.0,16326.0,61600.0,0.0,5.6,2016,,
Rains County,Texas,48,379,9986.0,11087.0,22.6,59.0,645.0,79.2,0.4021,96.0,50405.0,23577.0,95500.0,264.0,5.8,2016,,
Randall County,Texas,48,381,116396.0,128603.0,12.1,1321.0,863.0,77.1,0.4263,757.0,62635.0,31383.0,151800.0,3580.0,10.6,2016,,
Reagan County,Texas,48,383,1809.0,3625.0,9.6,0.0,637.0,75.9,0.4045,0.0,59257.0,25754.0,85000.0,67.0,8.3,2016,,
Real County,Texas,48,385,3308.0,3348.0,35.4,7.0,806.0,87.6,0.4231,0.0,37059.0,21135.0,110600.0,5.0,9.6,2016,,
Red River County,Texas,48,387,9862.0,12455.0,21.2,53.0,575.0,81.5,0.4629,58.0,35016.0,20798.0,62700.0,2168.0,7.8,2016,,
Reeves County,Texas,48,389,11301.0,14438.0,10.1,43.0,787.0,83.6,0.4644,114.0,46464.0,18458.0,44400.0,663.0,11.9,2016,,
Refugio County,Texas,48,391,5940.0,7315.0,19.4,23.0,652.0,80.2,0.4484,13.0,50145.0,24776.0,77100.0,366.0,9.1,2016,,
Robertson County,Texas,48,395,12515.0,16537.0,16.8,132.0,632.0,77.3,0.4246,99.0,49142.0,22980.0,99900.0,3311.0,8.5,2016,,
Rockwall County,Texas,48,397,76141.0,88010.0,10.6,402.0,1262.0,74.7,0.4101,146.0,89161.0,37231.0,206700.0,4850.0,8.3,2016,,
Runnels County,Texas,48,399,9479.0,10411.0,19.0,85.0,564.0,79.9,0.4686,57.0,41339.0,22856.0,75600.0,141.0,10.2,2016,,
Rusk County,Texas,48,401,42064.0,53197.0,13.0,219.0,700.0,79.8,0.4518,138.0,47424.0,22704.0,107800.0,9203.0,10.0,2016,,
Sabine County,Texas,48,403,9328.0,10367.0,28.9,58.0,545.0,80.6,0.4826,6.0,32500.0,20120.0,80700.0,736.0,8.5,2016,,
San Augustine County,Texas,48,405,6338.0,8556.0,23.5,9.0,601.0,81.7,0.5334,159.0,29426.0,19251.0,80200.0,1855.0,7.6,2016,,
San Jacinto County,Texas,48,407,23449.0,27172.0,19.5,132.0,697.0,78.5,0.447,162.0,44878.0,22563.0,88000.0,2847.0,8.2,2016,,
San Patricio County,Texas,48,409,61431.0,66706.0,12.8,709.0,854.0,75.2,0.4246,373.0,52659.0,24008.0,97800.0,1259.0,10.0,2016,,
San Saba County,Texas,48,411,5272.0,5881.0,19.3,49.0,632.0,83.6,0.4482,0.0,40718.0,19583.0,80500.0,199.0,10.4,2016,,
Schleicher County,Texas,48,413,2169.0,3171.0,13.9,17.0,518.0,72.0,0.4495,0.0,59766.0,26408.0,72300.0,8.0,10.3,2016,,
Scurry County,Texas,48,415,15172.0,17314.0,11.5,151.0,751.0,78.7,0.4023,96.0,55661.0,23758.0,89400.0,820.0,10.2,2016,,
Shackelford County,Texas,48,417,3125.0,3323.0,16.4,17.0,595.0,76.4,0.4338,0.0,50285.0,24190.0,76400.0,5.0,7.5,2016,,
Shelby County,Texas,48,419,20426.0,25705.0,14.9,268.0,562.0,76.3,0.4846,38.0,36312.0,20233.0,74900.0,4590.0,9.4,2016,,
Sherman County,Texas,48,421,2826.0,3069.0,11.2,7.0,603.0,75.3,0.4063,24.0,52969.0,23863.0,82900.0,16.0,6.7,2016,,
Smith County,Texas,48,423,168400.0,219745.0,14.0,1989.0,849.0,76.3,0.4632,767.0,48683.0,25299.0,137600.0,39042.0,10.6,2016,,
Somervell County,Texas,48,425,8121.0,8673.0,17.5,33.0,823.0,79.0,0.4431,59.0,50562.0,26547.0,158900.0,45.0,7.1,2016,,
Starr County,Texas,48,427,59500.0,63008.0,10.2,290.0,522.0,69.6,0.4997,37.0,26682.0,12663.0,66600.0,39.0,12.2,2016,,
Stephens County,Texas,48,429,8766.0,9787.0,15.3,98.0,553.0,81.4,0.4539,190.0,45217.0,22307.0,77500.0,246.0,13.5,2016,,
Sterling County,Texas,48,431,1142.0,1233.0,9.1,2.0,817.0,72.4,0.4177,0.0,50156.0,25104.0,95100.0,3.0,8.6,2016,,
Stonewall County,Texas,48,433,1087.0,1233.0,25.8,5.0,407.0,77.1,0.4511,0.0,47969.0,24285.0,53900.0,60.0,3.7,2016,,
Sutton County,Texas,48,435,2960.0,3936.0,18.3,48.0,636.0,74.9,0.4358,8.0,54567.0,28140.0,92100.0,21.0,7.8,2016,,
Swisher County,Texas,48,437,6359.0,7639.0,15.4,7.0,663.0,79.3,0.4615,171.0,35167.0,18699.0,71900.0,450.0,11.2,2016,,
Tarrant County,Texas,48,439,1360100.0,1947529.0,9.0,23227.0,944.0,74.8,0.4627,8629.0,60373.0,29791.0,148100.0,304741.0,9.7,2016,,
Taylor County,Texas,48,441,108142.0,135234.0,12.1,1513.0,814.0,76.9,0.4612,855.0,47044.0,24328.0,107600.0,10374.0,15.4,2016,,
Terry County,Texas,48,445,11083.0,12724.0,11.6,22.0,688.0,76.9,0.4857,59.0,40407.0,21936.0,65900.0,654.0,11.0,2016,,
Throckmorton County,Texas,48,447,1462.0,1520.0,26.0,10.0,439.0,88.7,0.4901,0.0,39438.0,28860.0,64100.0,5.0,9.6,2016,,
Titus County,Texas,48,449,24033.0,32592.0,12.1,349.0,643.0,74.0,0.4453,252.0,45026.0,20043.0,97200.0,3037.0,11.1,2016,,
Tom Green County,Texas,48,451,100440.0,116264.0,12.9,1474.0,806.0,78.5,0.4635,392.0,47637.0,26252.0,116500.0,5038.0,13.9,2016,,
Travis County,Texas,48,453,874352.0,1148176.0,7.5,18285.0,1113.0,78.9,0.4883,5235.0,64422.0,36649.0,253600.0,95335.0,10.1,2016,,
Trinity County,Texas,48,455,12432.0,14360.0,26.2,81.0,707.0,82.0,0.4438,75.0,35865.0,19661.0,78000.0,1426.0,7.7,2016,,
Tyler County,Texas,48,457,17953.0,21371.0,17.3,38.0,696.0,83.5,0.4192,54.0,45427.0,20720.0,81800.0,2333.0,14.0,2016,,
Upshur County,Texas,48,459,34122.0,40295.0,15.6,261.0,741.0,78.1,0.4383,253.0,47724.0,23215.0,96500.0,3498.0,9.1,2016,,
Upton County,Texas,48,461,1733.0,3475.0,12.9,0.0,608.0,74.8,0.4761,3.0,48220.0,24254.0,61300.0,167.0,9.0,2016,,
Uvalde County,Texas,48,463,24350.0,27055.0,14.5,131.0,623.0,75.2,0.4432,308.0,39011.0,18294.0,78200.0,40.0,11.4,2016,,
Val Verde County,Texas,48,465,45209.0,48862.0,12.3,385.0,676.0,73.9,0.4593,106.0,44170.0,19522.0,93900.0,689.0,12.4,2016,,
Van Zandt County,Texas,48,467,49480.0,53070.0,18.9,240.0,734.0,79.1,0.4596,356.0,46555.0,24399.0,105900.0,1379.0,8.3,2016,,
Victoria County,Texas,48,469,78863.0,90989.0,13.1,1246.0,824.0,76.2,0.4566,189.0,54697.0,27509.0,124100.0,6034.0,10.0,2016,,
Walker County,Texas,48,471,51148.0,69926.0,9.4,296.0,809.0,88.1,0.4796,186.0,40090.0,16419.0,123600.0,16100.0,17.1,2016,,
Waller County,Texas,48,473,31581.0,47049.0,10.8,174.0,825.0,77.8,0.4591,138.0,53508.0,23338.0,153800.0,11946.0,21.2,2016,,
Ward County,Texas,48,475,9499.0,11396.0,12.8,37.0,726.0,75.9,0.4627,232.0,56796.0,26091.0,82000.0,608.0,10.3,2016,,
Washington County,Texas,48,477,26919.0,34544.0,17.5,52.0,806.0,79.3,0.4509,242.0,52718.0,25976.0,156000.0,5851.0,11.5,2016,,
Webb County,Texas,48,479,252215.0,266006.0,7.4,2009.0,758.0,68.0,0.4912,547.0,38711.0,15691.0,110500.0,1045.0,11.8,2016,,
Wharton County,Texas,48,481,33682.0,41377.0,14.1,214.0,699.0,76.7,0.4647,42.0,46445.0,23245.0,107000.0,5834.0,9.4,2016,,
Wheeler County,Texas,48,483,5004.0,5642.0,16.6,31.0,628.0,74.5,0.4182,7.0,51082.0,26736.0,86300.0,159.0,6.3,2016,,
Wichita County,Texas,48,485,105403.0,132148.0,11.3,1707.0,750.0,79.8,0.4602,1136.0,45371.0,23239.0,91700.0,13471.0,15.9,2016,,
Wilbarger County,Texas,48,487,10961.0,13061.0,14.7,164.0,625.0,76.5,0.4213,136.0,43635.0,21638.0,71000.0,1215.0,10.0,2016,,
Willacy County,Texas,48,489,21113.0,21944.0,10.7,66.0,570.0,78.0,0.4931,42.0,28817.0,12564.0,49400.0,151.0,14.7,2016,,
Williamson County,Texas,48,491,400363.0,490619.0,9.8,4807.0,1120.0,74.8,0.3949,1377.0,75935.0,32705.0,209400.0,30836.0,8.1,2016,,
Wilson County,Texas,48,493,43615.0,46444.0,14.1,116.0,889.0,77.7,0.409,118.0,68737.0,28419.0,162300.0,647.0,8.6,2016,,
Winkler County,Texas,48,495,6864.0,7723.0,9.7,29.0,716.0,73.7,0.4243,4.0,54261.0,23051.0,49700.0,300.0,11.0,2016,,
Wise County,Texas,48,497,58788.0,62089.0,13.5,270.0,908.0,77.4,0.4403,343.0,56396.0,27104.0,132700.0,729.0,8.5,2016,,
Wood County,Texas,48,499,38697.0,43198.0,24.8,187.0,758.0,82.5,0.4524,301.0,47814.0,25353.0,113800.0,2259.0,8.6,2016,,
Yoakum County,Texas,48,501,7829.0,8316.0,9.6,46.0,743.0,69.0,0.4129,25.0,56655.0,22871.0,81000.0,53.0,7.5,2016,,
Young County,Texas,48,503,17267.0,18275.0,16.7,40.0,618.0,77.8,0.4494,144.0,46978.0,25837.0,86300.0,230.0,7.8,2016,,
Zapata County,Texas,48,505,13708.0,14335.0,11.1,85.0,495.0,67.3,0.4709,0.0,36976.0,16007.0,60100.0,140.0,10.7,2016,,
Zavala County,Texas,48,507,10878.0,12107.0,10.7,70.0,511.0,73.1,0.4944,10.0,26639.0,13393.0,39800.0,76.0,14.3,2016,,
Beaver County,Utah,49,1,6218.0,6437.0,12.5,5.0,625.0,71.2,0.3999,5.0,48083.0,21394.0,146900.0,9.0,9.8,2016,,
Box Elder County,Utah,49,3,48153.0,51528.0,11.7,377.0,685.0,70.2,0.3815,553.0,55514.0,21854.0,169200.0,185.0,9.5,2016,,
Cache County,Utah,49,5,107139.0,118824.0,8.0,1323.0,708.0,71.4,0.4357,584.0,51935.0,21055.0,197700.0,954.0,18.0,2016,,
Carbon County,Utah,49,7,19159.0,20733.0,14.3,142.0,635.0,76.0,0.4124,151.0,47793.0,21953.0,126800.0,183.0,10.3,2016,,
Daggett County,Utah,49,9,732.0,751.0,18.2,0.0,338.0,88.7,0.3617,6.0,75938.0,27182.0,206700.0,0.0,6.5,2016,,
Davis County,Utah,49,11,294509.0,329292.0,8.3,2328.0,943.0,69.4,0.3869,1544.0,72661.0,27059.0,234300.0,4264.0,9.9,2016,,
Duchesne County,Utah,49,13,18165.0,20078.0,10.4,79.0,853.0,69.0,0.3923,923.0,61244.0,22941.0,174900.0,33.0,8.5,2016,,
Emery County,Utah,49,15,10303.0,10570.0,13.9,41.0,587.0,70.4,0.3664,54.0,51276.0,20280.0,135100.0,17.0,7.9,2016,,
Garfield County,Utah,49,17,4764.0,5020.0,18.1,20.0,756.0,77.2,0.414,51.0,45221.0,21006.0,159100.0,32.0,9.0,2016,,
Grand County,Utah,49,19,9159.0,9428.0,14.6,75.0,729.0,79.7,0.4231,131.0,43529.0,23927.0,223900.0,24.0,6.8,2016,,
Iron County,Utah,49,21,43623.0,47751.0,11.2,432.0,705.0,73.9,0.439,1235.0,43799.0,19085.0,172100.0,342.0,15.3,2016,,
Juab County,Utah,49,23,9928.0,10507.0,10.6,18.0,773.0,66.8,0.3672,71.0,54861.0,19194.0,169900.0,26.0,9.8,2016,,
Kane County,Utah,49,25,6731.0,7216.0,22.4,42.0,911.0,76.6,0.4123,54.0,50517.0,24488.0,187300.0,16.0,6.7,2016,,
Millard County,Utah,49,27,11250.0,12604.0,15.4,82.0,622.0,73.0,0.3807,137.0,53902.0,21643.0,142700.0,46.0,8.1,2016,,
Morgan County,Utah,49,29,10365.0,10645.0,10.8,47.0,1043.0,66.9,0.378,1.0,80865.0,27850.0,283400.0,50.0,8.1,2016,,
Piute County,Utah,49,31,1848.0,1859.0,26.1,3.0,555.0,75.1,0.4002,2.0,37112.0,17416.0,136300.0,1.0,3.9,2016,,
Rich County,Utah,49,33,2214.0,2284.0,16.8,18.0,608.0,68.6,0.4055,0.0,52569.0,19749.0,169800.0,2.0,7.9,2016,,
Salt Lake County,Utah,49,35,886578.0,1092518.0,8.6,10735.0,970.0,74.1,0.437,8065.0,64601.0,28578.0,243700.0,18297.0,10.0,2016,,
San Juan County,Utah,49,37,7669.0,15540.0,10.1,49.0,620.0,70.2,0.4697,7314.0,41108.0,15817.0,137600.0,16.0,10.8,2016,,
Sanpete County,Utah,49,39,25508.0,28551.0,11.7,221.0,685.0,76.6,0.3925,403.0,48866.0,16924.0,164700.0,194.0,15.2,2016,,
Sevier County,Utah,49,41,19894.0,20913.0,14.7,125.0,718.0,71.6,0.41,305.0,48872.0,20074.0,149200.0,72.0,8.7,2016,,
Summit County,Utah,49,43,37016.0,39009.0,10.0,435.0,1262.0,76.4,0.481,134.0,91470.0,49143.0,515500.0,237.0,8.4,2016,,
Tooele County,Utah,49,45,56164.0,61986.0,7.9,369.0,847.0,68.8,0.3569,568.0,64149.0,22978.0,182300.0,402.0,8.9,2016,,
Uintah County,Utah,49,47,31973.0,36308.0,8.3,207.0,978.0,69.3,0.4257,2662.0,67943.0,25488.0,190900.0,175.0,8.9,2016,,
Utah County,Utah,49,49,520064.0,564177.0,6.4,4334.0,919.0,68.0,0.4165,2716.0,64321.0,22088.0,239300.0,3328.0,16.6,2016,,
Wasatch County,Utah,49,51,26750.0,27895.0,9.3,172.0,1152.0,71.4,0.4119,31.0,71337.0,28818.0,336100.0,18.0,7.9,2016,,
Washington County,Utah,49,53,138580.0,151959.0,18.9,1116.0,964.0,73.7,0.4289,2136.0,52865.0,23549.0,221700.0,968.0,9.0,2016,,
Wayne County,Utah,49,55,2637.0,2716.0,17.9,6.0,548.0,75.1,0.4172,11.0,41684.0,21501.0,195900.0,11.0,7.5,2016,,
Weber County,Utah,49,57,215502.0,241328.0,10.1,2008.0,795.0,73.6,0.3986,1839.0,59660.0,24226.0,171200.0,2610.0,9.9,2016,,
Addison County,Vermont,50,1,34962.0,36926.0,16.1,330.0,898.0,83.3,0.419,112.0,61020.0,30154.0,236400.0,411.0,13.2,2016,,
Bennington County,Vermont,50,3,35076.0,36503.0,19.7,487.0,857.0,81.2,0.4557,29.0,51489.0,30197.0,207300.0,236.0,9.2,2016,,
Caledonia County,Vermont,50,5,29773.0,30859.0,16.6,366.0,745.0,81.9,0.4207,116.0,46931.0,24948.0,164200.0,259.0,10.5,2016,,
Chittenden County,Vermont,50,7,146371.0,160510.0,11.5,1999.0,1139.0,82.5,0.442,424.0,66414.0,34658.0,275000.0,4088.0,16.3,2016,,
Essex County,Vermont,50,9,5974.0,6173.0,22.8,54.0,686.0,84.2,0.4056,19.0,39467.0,22191.0,123800.0,43.0,6.3,2016,,
Franklin County,Vermont,50,11,46321.0,48625.0,13.0,441.0,878.0,78.6,0.424,307.0,58884.0,28892.0,206500.0,207.0,8.2,2016,,
Grand Isle County,Vermont,50,13,6569.0,6945.0,17.5,82.0,989.0,85.2,0.4439,69.0,64295.0,35613.0,259600.0,0.0,8.3,2016,,
Lamoille County,Vermont,50,15,24015.0,25136.0,14.6,211.0,873.0,81.6,0.4433,202.0,53316.0,29180.0,220300.0,204.0,10.2,2016,,
Orange County,Vermont,50,17,27912.0,28897.0,16.7,241.0,824.0,81.9,0.4081,141.0,54263.0,28691.0,191700.0,154.0,9.2,2016,,
Orleans County,Vermont,50,19,26137.0,27076.0,19.2,167.0,715.0,82.1,0.4355,134.0,43959.0,24204.0,156800.0,124.0,7.8,2016,,
Rutland County,Vermont,50,21,58201.0,60133.0,17.7,579.0,808.0,83.6,0.4389,175.0,50029.0,27795.0,179200.0,408.0,10.1,2016,,
Washington County,Vermont,50,23,56607.0,58963.0,15.5,786.0,861.0,82.3,0.4346,132.0,58171.0,31464.0,213200.0,482.0,11.1,2016,,
Windham County,Vermont,50,25,41368.0,43609.0,17.9,468.0,849.0,82.8,0.4397,61.0,50917.0,28923.0,209500.0,387.0,8.9,2016,,
Windsor County,Vermont,50,27,53679.0,55894.0,19.6,765.0,886.0,83.0,0.4688,63.0,54763.0,33257.0,215800.0,401.0,7.0,2016,,
Accomack County,Virginia,51,1,22369.0,33060.0,19.5,264.0,749.0,79.8,0.4662,122.0,38503.0,23337.0,151900.0,9573.0,7.7,2016,,
Amelia County,Virginia,51,7,9389.0,12793.0,15.9,81.0,689.0,77.4,0.3772,65.0,58269.0,25335.0,171500.0,3010.0,7.1,2016,,
Amherst County,Virginia,51,9,24609.0,31999.0,17.3,271.0,696.0,81.3,0.4179,117.0,47002.0,23372.0,149400.0,5717.0,9.1,2016,,
Appomattox County,Virginia,51,11,11869.0,15314.0,17.9,55.0,700.0,79.6,0.4293,13.0,52134.0,24902.0,149600.0,3149.0,7.6,2016,,
Arlington County,Virginia,51,13,163181.0,226092.0,8.3,5040.0,1861.0,83.9,0.4377,883.0,108706.0,64746.0,623300.0,19477.0,7.7,2016,,
Bath County,Virginia,51,17,4269.0,4558.0,20.6,0.0,478.0,76.7,0.4293,0.0,44985.0,28210.0,146400.0,96.0,1.7,2016,,
Bland County,Virginia,51,21,6283.0,6612.0,17.3,5.0,584.0,86.7,0.3953,0.0,47800.0,22249.0,102200.0,286.0,6.9,2016,,
Botetourt County,Virginia,51,23,31160.0,33192.0,18.9,156.0,870.0,81.8,0.4382,87.0,61470.0,32518.0,209700.0,1007.0,7.7,2016,,
Brunswick County,Virginia,51,25,6964.0,16573.0,16.1,148.0,697.0,85.0,0.4434,42.0,38858.0,19461.0,109100.0,9091.0,12.1,2016,,
Buchanan County,Virginia,51,27,22117.0,23158.0,17.2,128.0,594.0,84.5,0.468,25.0,30335.0,18160.0,70500.0,650.0,7.8,2016,,
Buckingham County,Virginia,51,29,10513.0,17030.0,13.9,102.0,695.0,83.2,0.4143,23.0,43514.0,19264.0,123800.0,5825.0,8.3,2016,,
Campbell County,Virginia,51,31,44871.0,55061.0,16.3,528.0,722.0,81.2,0.4308,60.0,47005.0,25219.0,152600.0,7716.0,9.1,2016,,
Caroline County,Virginia,51,33,19562.0,29640.0,13.8,83.0,1033.0,79.7,0.3825,138.0,57294.0,26577.0,189000.0,8655.0,10.4,2016,,
Carroll County,Virginia,51,35,28961.0,29733.0,19.7,230.0,540.0,81.3,0.4254,15.0,37048.0,21484.0,109400.0,237.0,7.3,2016,,
Charles City County,Virginia,51,36,2984.0,7086.0,19.8,25.0,883.0,84.6,0.4764,460.0,54167.0,30477.0,163400.0,3346.0,7.3,2016,,
Charlotte County,Virginia,51,37,8292.0,12232.0,18.5,175.0,594.0,79.8,0.4533,21.0,33837.0,18150.0,99900.0,3784.0,10.0,2016,,
Chesterfield County,Virginia,51,41,226791.0,331839.0,11.8,2576.0,1137.0,77.4,0.407,814.0,73869.0,33848.0,218700.0,75210.0,9.4,2016,,
Clarke County,Virginia,51,43,12757.0,14307.0,17.1,123.0,1054.0,80.3,0.4364,58.0,71986.0,37630.0,333000.0,642.0,6.9,2016,,
Craig County,Virginia,51,45,5097.0,5195.0,17.1,39.0,533.0,79.4,0.4323,0.0,40500.0,22371.0,153700.0,8.0,3.5,2016,,
Culpeper County,Virginia,51,47,38196.0,48952.0,12.9,438.0,1066.0,76.7,0.4144,226.0,66160.0,28969.0,255000.0,7073.0,8.4,2016,,
Cumberland County,Virginia,51,49,6144.0,9769.0,18.2,130.0,848.0,80.5,0.4509,67.0,37489.0,22126.0,139900.0,3272.0,9.3,2016,,
Dickenson County,Virginia,51,51,15049.0,15304.0,17.1,112.0,545.0,81.7,0.5195,0.0,31226.0,20757.0,72700.0,117.0,7.8,2016,,
Dinwiddie County,Virginia,51,53,18260.0,28155.0,15.2,111.0,923.0,80.0,0.4303,38.0,51579.0,24001.0,153800.0,9078.0,8.7,2016,,
Essex County,Virginia,51,57,6123.0,11130.0,20.4,79.0,833.0,83.0,0.4357,88.0,47527.0,25477.0,166200.0,4555.0,9.7,2016,,
Fauquier County,Virginia,51,61,59339.0,68025.0,14.1,297.0,1180.0,78.0,0.4302,172.0,91221.0,41921.0,363800.0,5141.0,7.7,2016,,
Floyd County,Virginia,51,63,14926.0,15587.0,19.5,112.0,524.0,82.7,0.411,76.0,47288.0,24121.0,153700.0,356.0,6.2,2016,,
Fluvanna County,Virginia,51,65,21128.0,26046.0,19.0,96.0,1263.0,78.1,0.395,15.0,66425.0,30230.0,222500.0,3615.0,7.6,2016,,
Franklin County,Virginia,51,67,50007.0,56230.0,20.0,416.0,667.0,82.5,0.4373,103.0,48720.0,26188.0,167900.0,4646.0,8.5,2016,,
Frederick County,Virginia,51,69,75113.0,82321.0,13.9,454.0,1106.0,78.3,0.3967,236.0,68929.0,31555.0,231400.0,3343.0,8.5,2016,,
Giles County,Virginia,51,71,16306.0,16871.0,18.6,189.0,650.0,80.7,0.4124,28.0,47675.0,25333.0,105300.0,421.0,7.6,2016,,
Gloucester County,Virginia,51,73,32455.0,37021.0,16.0,236.0,889.0,81.9,0.4056,63.0,62878.0,31072.0,225100.0,3015.0,8.4,2016,,
Goochland County,Virginia,51,75,17434.0,21979.0,18.7,43.0,1069.0,82.0,0.496,26.0,82326.0,45995.0,302600.0,3726.0,6.8,2016,,
Grayson County,Virginia,51,77,14550.0,15180.0,21.5,33.0,525.0,84.3,0.4625,7.0,31002.0,20190.0,91500.0,356.0,7.0,2016,,
Greene County,Virginia,51,79,16884.0,19085.0,14.4,125.0,901.0,78.4,0.3985,0.0,61615.0,28647.0,241000.0,1195.0,6.6,2016,,
Hanover County,Virginia,51,85,88821.0,102199.0,14.1,520.0,1088.0,78.9,0.3908,171.0,81170.0,35881.0,258900.0,9281.0,9.7,2016,,
Henrico County,Virginia,51,87,186820.0,321921.0,11.7,3859.0,1065.0,77.4,0.4546,671.0,63699.0,34993.0,216400.0,95259.0,8.6,2016,,
Henry County,Virginia,51,89,37817.0,52209.0,19.4,530.0,573.0,81.3,0.4521,32.0,34992.0,20645.0,95500.0,11641.0,7.8,2016,,
Highland County,Virginia,51,91,2220.0,2230.0,36.4,0.0,489.0,95.3,0.4211,4.0,44877.0,28736.0,160800.0,0.0,1.9,2016,,
Isle of Wight County,Virginia,51,93,26162.0,36027.0,15.6,285.0,1019.0,80.7,0.405,56.0,66835.0,32090.0,244600.0,8055.0,8.3,2016,,
