County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,year,asian_population,total_population_race
Bristol Bay Borough,Alaska,2,60,507,929,9.3,18,1072,75.2,0.3456,288,79931,37150,182000,2,5.4,2012,,
Fairbanks North Star Borough,Alaska,2,90,75945,97523,6.2,1305,1157,77.5,0.4066,6458,69485,32344,213500,4482,15.0,2012,,
Haines Borough,Alaska,2,100,2053,2500,13.2,27,830,77.0,0.398,183,50208,29141,172400,8,5.0,2012,,
Juneau City and Borough,Alaska,2,110,22095,31636,7.6,502,1184,79.3,0.3869,3560,78947,37917,304100,215,9.2,2012,,
Kenai Peninsula Borough,Alaska,2,122,47050,55474,11.2,306,852,80.3,0.4266,4453,59421,30789,202300,322,8.9,2012,,
Kodiak Island Borough,Alaska,2,150,7799,13710,6.7,102,989,73.4,0.3631,2123,70976,27865,233100,105,12.2,2012,,
Matanuska-Susitna Borough,Alaska,2,170,76133,89319,7.8,488,1003,74.5,0.3955,4273,70728,29465,217700,907,8.7,2012,,
Nome Census Area,Alaska,2,180,1597,9580,6.2,99,1101,70.5,0.4194,6884,51472,19942,135500,126,11.5,2012,,
North Slope Borough,Alaska,2,185,3010,9317,3.4,3,969,81.5,0.3859,4929,76679,41712,151100,46,11.1,2012,,
Sitka City and Borough,Alaska,2,220,5869,8909,9.9,143,1144,80.2,0.3774,1544,66895,32162,319500,70,8.3,2012,,
Southeast Fairbanks Census Area,Alaska,2,240,5694,7039,9.6,40,1141,77.7,0.3898,735,62712,28833,178600,107,8.9,2012,,
Valdez-Cordova Census Area,Alaska,2,261,7090,9614,8.0,96,870,78.4,0.3943,1454,67421,33094,175100,28,7.0,2012,,
Wade Hampton Census Area,Alaska,2,270,235,7556,4.5,10,567,63.1,0.3894,6843,40608,11380,104300,8,14.4,2012,,
Northwest Arctic Borough,Alaska,2,188,868,7601,5.4,23,1101,69.7,0.3982,6146,60870,21902,130100,30,14.2,2012,,
Aleutians East Borough,Alaska,2,13,721,3114,3.3,11,847,94.3,0.392,570,58125,24932,120900,417,14.5,2012,,
Aleutians West Census Area,Alaska,2,16,1860,5507,6.4,37,1210,89.2,0.3772,837,77292,32014,204700,326,13.4,2012,,
Dillingham Census Area,Alaska,2,70,888,4887,7.4,33,999,70.5,0.426,3381,56857,22066,173300,19,12.0,2012,,
Lake and Peninsula Borough,Alaska,2,164,431,1551,6.8,6,746,71.2,0.4412,987,49808,22087,156300,7,8.8,2012,,
Denali Borough,Alaska,2,68,1677,1917,8.0,15,782,86.8,0.3579,75,74044,38621,201900,20,9.5,2012,,
Yukon-Koyukuk Census Area,Alaska,2,290,1235,5637,11.4,22,678,77.0,0.4491,3889,35559,20109,106500,6,10.4,2012,,
Hoonah-Angoon Census Area,Alaska,2,105,1041,2153,16.2,15,746,86.3,0.4445,767,48942,28288,208100,5,5.6,2012,,
Skagway Municipality,Alaska,2,230,799,1050,7.3,14,1038,81.4,0.3779,17,71583,36470,306200,3,8.7,2012,,
Yakutat City and Borough,Alaska,2,282,248,644,9.7,10,1000,83.8,0.342,283,71705,39428,148400,8,7.6,2012,,
Ketchikan Gateway Borough,Alaska,2,130,9154,13525,9.3,210,1009,77.9,0.3929,1824,59736,30610,262200,58,10.0,2012,,
Petersburg Borough,Alaska,2,195,2754,3822,9.7,29,779,78.4,0.4091,470,61696,31836,206000,50,7.5,2012,,
Prince of Wales-Hyder Census Area,Alaska,2,198,2791,5603,10.4,32,699,78.4,0.4278,2311,45774,25369,156300,12,8.5,2012,,
Wrangell City and Borough,Alaska,2,275,1744,2368,20.9,9,759,86.8,0.4049,335,47348,28267,163200,13,5.1,2012,,
Apache County,Arizona,4,1,17177,71618,10.8,173,524,72.2,0.4845,52153,31615,12845,85200,207,10.8,2012,,
Cochise County,Arizona,4,3,105267,131118,16.3,1030,763,79.5,0.44,1454,45505,23330,151800,5164,10.7,2012,,
Coconino County,Arizona,4,5,83919,134011,8.4,1397,950,78.5,0.4508,36501,48320,22664,237200,1774,17.5,2012,,
Gila County,Arizona,4,7,42288,53436,22.3,361,722,80.5,0.4379,7831,38504,20547,140500,238,7.9,2012,,
