County,State,State_FIPS,County_FIPS,age_18_and_under_percentage
Prowers County,Colorado,08,099,10.7
Pueblo County,Colorado,08,101,10.1
Rio Blanco County,Colorado,08,103,11.3
Rio Grande County,Colorado,08,105,8.8
Routt County,Colorado,08,107,9.0
Saguache County,Colorado,08,109,6.6
San Miguel County,Colorado,08,113,6.6
Sedgwick County,Colorado,08,115,10.2
Summit County,Colorado,08,117,8.4
Teller County,Colorado,08,119,7.2
Washington County,Colorado,08,121,7.5
Yuma County,Colorado,08,125,7.8
Adams County,Colorado,08,001,9.1
Arapahoe County,Colorado,08,005,8.9
Boulder County,Colorado,08,013,16.0
Broomfield County,Colorado,08,014,7.6
Denver County,Colorado,08,031,8.5
Jefferson County,Colorado,08,059,8.9
Weld County,Colorado,08,123,10.0
Fairfield County,Connecticut,09,001,9.3
Hartford County,Connecticut,09,003,9.8
Litchfield County,Connecticut,09,005,7.9
Middlesex County,Connecticut,09,007,9.2
New Haven County,Connecticut,09,009,10.6
New London County,Connecticut,09,011,11.8
Tolland County,Connecticut,09,013,18.8
Windham County,Connecticut,09,015,10.8
Kent County,Delaware,10,001,11.4
New Castle County,Delaware,10,003,10.5
Sussex County,Delaware,10,005,7.4
Alachua County,Florida,12,001,22.0
Baker County,Florida,12,003,11.7
Bay County,Florida,12,005,9.5
Bradford County,Florida,12,007,9.3
Brevard County,Florida,12,009,8.5
Broward County,Florida,12,011,8.9
Calhoun County,Florida,12,013,8.1
Charlotte County,Florida,12,015,6.2
Citrus County,Florida,12,017,6.5
Clay County,Florida,12,019,8.9
Collier County,Florida,12,021,7.4
Columbia County,Florida,12,023,11.2
Miami-Dade County,Florida,12,086,9.6
DeSoto County,Florida,12,027,11.3
Dixie County,Florida,12,029,7.5
Duval County,Florida,12,031,10.2
Escambia County,Florida,12,033,14.5
Flagler County,Florida,12,035,7.5
Franklin County,Florida,12,037,8.0
Gadsden County,Florida,12,039,9.4
Gilchrist County,Florida,12,041,17.4
Glades County,Florida,12,043,8.5
Gulf County,Florida,12,045,8.3
Hamilton County,Florida,12,047,17.7
Hardee County,Florida,12,049,11.5
Hendry County,Florida,12,051,10.8
Hernando County,Florida,12,053,7.3
Highlands County,Florida,12,055,7.1
Hillsborough County,Florida,12,057,9.8
Holmes County,Florida,12,059,10.3
Indian River County,Florida,12,061,7.6
Jackson County,Florida,12,063,9.2
Jefferson County,Florida,12,065,6.4
Lafayette County,Florida,12,067,11.9
Lake County,Florida,12,069,7.3
Lee County,Florida,12,071,7.5
Leon County,Florida,12,073,22.4
Levy County,Florida,12,075,8.1
Liberty County,Florida,12,077,15.4
Madison County,Florida,12,079,9.6
Manatee County,Florida,12,081,7.5
Marion County,Florida,12,083,7.6
Martin County,Florida,12,085,7.0
Monroe County,Florida,12,087,7.8
Nassau County,Florida,12,089,7.5
