County,State,State_FIPS,County_FIPS,age_60_and_over
Santa Cruz County,California,06,087,9.2
Shasta County,California,06,089,14.8
Sierra County,California,06,091,18.8
Siskiyou County,California,06,093,18.0
Solano County,California,06,095,9.3
Sonoma County,California,06,097,11.5
Stanislaus County,California,06,099,8.9
Sutter County,California,06,101,10.8
Tehama County,California,06,103,14.5
Trinity County,California,06,105,18.1
Tulare County,California,06,107,8.2
Tuolumne County,California,06,109,16.8
Ventura County,California,06,111,9.9
Yolo County,California,06,113,8.5
Yuba County,California,06,115,8.8
Alamosa County,Colorado,08,003,9.6
Archuleta County,Colorado,08,007,14.8
Baca County,Colorado,08,009,22.5
Bent County,Colorado,08,011,10.2
Chaffee County,Colorado,08,015,17.0
Cheyenne County,Colorado,08,017,16.6
Clear Creek County,Colorado,08,019,10.4
Conejos County,Colorado,08,021,15.0
Costilla County,Colorado,08,023,19.6
Crowley County,Colorado,08,025,7.1
Custer County,Colorado,08,027,21.5
Delta County,Colorado,08,029,18.4
Dolores County,Colorado,08,033,15.9
Douglas County,Colorado,08,035,6.0
Eagle County,Colorado,08,037,4.8
Elbert County,Colorado,08,039,8.7
El Paso County,Colorado,08,041,8.3
Fremont County,Colorado,08,043,13.7
Garfield County,Colorado,08,045,7.3
Gilpin County,Colorado,08,047,8.9
Grand County,Colorado,08,049,10.0
Gunnison County,Colorado,08,051,7.9
Huerfano County,Colorado,08,055,22.0
Jackson County,Colorado,08,057,20.9
Kiowa County,Colorado,08,061,22.7
Kit Carson County,Colorado,08,063,12.8
Lake County,Colorado,08,065,5.7
La Plata County,Colorado,08,067,10.3
Larimer County,Colorado,08,069,9.9
Las Animas County,Colorado,08,071,15.3
Lincoln County,Colorado,08,073,12.5
Logan County,Colorado,08,075,11.6
Mesa County,Colorado,08,077,13.3
Moffat County,Colorado,08,081,8.9
Montezuma County,Colorado,08,083,14.8
Montrose County,Colorado,08,085,15.5
Morgan County,Colorado,08,087,12.0
Otero County,Colorado,08,089,15.6
Ouray County,Colorado,08,091,14.0
Park County,Colorado,08,093,10.0
Phillips County,Colorado,08,095,16.9
Pitkin County,Colorado,08,097,10.9
Prowers County,Colorado,08,099,12.3
Pueblo County,Colorado,08,101,13.4
Rio Blanco County,Colorado,08,103,11.9
Rio Grande County,Colorado,08,105,15.6
Routt County,Colorado,08,107,6.8
Saguache County,Colorado,08,109,12.6
San Miguel County,Colorado,08,113,5.4
Sedgwick County,Colorado,08,115,22.2
Summit County,Colorado,08,117,7.3
Teller County,Colorado,08,119,12.6
Washington County,Colorado,08,121,15.1
Yuma County,Colorado,08,125,14.1
Adams County,Colorado,08,001,6.9
Arapahoe County,Colorado,08,005,8.3
Boulder County,Colorado,08,013,8.1
Broomfield County,Colorado,08,014,7.5
Denver County,Colorado,08,031,8.6
Jefferson County,Colorado,08,059,10.4
Weld County,Colorado,08,123,8.3
Fairfield County,Connecticut,09,001,11.4
Hartford County,Connecticut,09,003,12.1
Litchfield County,Connecticut,09,005,13.4
Middlesex County,Connecticut,09,007,12.9
New Haven County,Connecticut,09,009,12.0
New London County,Connecticut,09,011,11.9
Tolland County,Connecticut,09,013,10.2
Windham County,Connecticut,09,015,10.5
Kent County,Delaware,10,001,11.8
New Castle County,Delaware,10,003,10.4
Sussex County,Delaware,10,005,18.8
Alachua County,Florida,12,001,9.0
Baker County,Florida,12,003,8.6
Bay County,Florida,12,005,12.6
Bradford County,Florida,12,007,11.0
Brevard County,Florida,12,009,18.3
Broward County,Florida,12,011,12.2
Calhoun County,Florida,12,013,13.8
Charlotte County,Florida,12,015,31.9
Citrus County,Florida,12,017,30.8
Clay County,Florida,12,019,10.1
Collier County,Florida,12,021,24.2
Columbia County,Florida,12,023,13.2
Miami-Dade County,Florida,12,086,11.9
DeSoto County,Florida,12,027,15.7
Dixie County,Florida,12,029,16.8
Duval County,Florida,12,031,9.1
Escambia County,Florida,12,033,12.1
Flagler County,Florida,12,035,23.3
Franklin County,Florida,12,037,15.0
Gadsden County,Florida,12,039,11.5
Gilchrist County,Florida,12,041,14.3
Glades County,Florida,12,043,19.4
Gulf County,Florida,12,045,12.7
Hamilton County,Florida,12,047,9.5
Hardee County,Florida,12,049,11.3
Hendry County,Florida,12,051,10.6
Hernando County,Florida,12,053,24.6
Highlands County,Florida,12,055,30.4
Hillsborough County,Florida,12,057,10.2
Holmes County,Florida,12,059,14.2
Indian River County,Florida,12,061,25.0
Jackson County,Florida,12,063,12.0
Jefferson County,Florida,12,065,14.6
Lafayette County,Florida,12,067,12.7
Lake County,Florida,12,069,22.8
Lee County,Florida,12,071,21.6
Leon County,Florida,12,073,7.8
Levy County,Florida,12,075,18.7
Liberty County,Florida,12,077,6.3
Madison County,Florida,12,079,12.4
Manatee County,Florida,12,081,21.4
Marion County,Florida,12,083,24.2
Martin County,Florida,12,085,24.9
Monroe County,Florida,12,087,15.8
Nassau County,Florida,12,089,14.6
Okaloosa County,Florida,12,091,11.8
Okeechobee County,Florida,12,093,15.8
Orange County,Florida,12,095,8.1
Osceola County,Florida,12,097,9.7
Palm Beach County,Florida,12,099,19.3
Pasco County,Florida,12,101,19.3
Pinellas County,Florida,12,103,18.6
Polk County,Florida,12,105,16.4
Putnam County,Florida,12,107,17.2
Saint Johns County,Florida,12,109,14.0
Saint Lucie County,Florida,12,111,18.4
Santa Rosa County,Florida,12,113,11.2
Sarasota County,Florida,12,115,28.7
Seminole County,Florida,12,117,9.9
Sumter County,Florida,12,119,38.7
Suwannee County,Florida,12,121,16.2
Taylor County,Florida,12,123,13.1
