County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Putnam County,Florida,12,107,79.5
Saint Johns County,Florida,12,109,79.4
Saint Lucie County,Florida,12,111,79.8
Santa Rosa County,Florida,12,113,79.4
Sarasota County,Florida,12,115,85.5
Seminole County,Florida,12,117,79.4
Sumter County,Florida,12,119,92.8
Suwannee County,Florida,12,121,80.8
Taylor County,Florida,12,123,83.8
Union County,Florida,12,125,87.9
Volusia County,Florida,12,127,82.9
Wakulla County,Florida,12,129,81.6
Walton County,Florida,12,131,82.3
Washington County,Florida,12,133,83.2
Appling County,Georgia,13,001,77.0
Atkinson County,Georgia,13,003,74.9
Bacon County,Georgia,13,005,78.2
Baker County,Georgia,13,007,81.7
Baldwin County,Georgia,13,009,82.3
Banks County,Georgia,13,011,77.0
Barrow County,Georgia,13,013,73.4
Bartow County,Georgia,13,015,75.6
Ben Hill County,Georgia,13,017,74.3
Berrien County,Georgia,13,019,78.2
Bibb County,Georgia,13,021,75.4
Bleckley County,Georgia,13,023,79.4
Brantley County,Georgia,13,025,75.4
Brooks County,Georgia,13,027,78.6
Bryan County,Georgia,13,029,72.3
Bulloch County,Georgia,13,031,81.3
Burke County,Georgia,13,033,73.4
Butts County,Georgia,13,035,81.9
Calhoun County,Georgia,13,037,85.1
Camden County,Georgia,13,039,76.3
Candler County,Georgia,13,043,74.8
Carroll County,Georgia,13,045,76.4
Catoosa County,Georgia,13,047,77.0
Charlton County,Georgia,13,049,83.9
Chatham County,Georgia,13,051,78.7
Chattahoochee County,Georgia,13,053,81.0
Chattooga County,Georgia,13,055,80.1
Cherokee County,Georgia,13,057,74.7
Clarke County,Georgia,13,059,83.0
Clay County,Georgia,13,061,72.5
Clayton County,Georgia,13,063,72.6
Clinch County,Georgia,13,065,75.7
Cobb County,Georgia,13,067,76.5
Coffee County,Georgia,13,069,77.3
Colquitt County,Georgia,13,071,75.4
Columbia County,Georgia,13,073,75.1
Cook County,Georgia,13,075,75.2
Coweta County,Georgia,13,077,75.2
Crawford County,Georgia,13,079,77.1
Crisp County,Georgia,13,081,73.9
Dade County,Georgia,13,083,80.8
Dawson County,Georgia,13,085,80.1
Decatur County,Georgia,13,087,76.1
DeKalb County,Georgia,13,089,77.0
Dodge County,Georgia,13,091,80.4
Dooly County,Georgia,13,093,82.0
Dougherty County,Georgia,13,095,75.2
Douglas County,Georgia,13,097,74.1
Early County,Georgia,13,099,74.9
Echols County,Georgia,13,101,79.0
Effingham County,Georgia,13,103,74.4
Elbert County,Georgia,13,105,79.2
Emanuel County,Georgia,13,107,76.9
Evans County,Georgia,13,109,76.7
Fannin County,Georgia,13,111,83.6
Fayette County,Georgia,13,113,77.2
Floyd County,Georgia,13,115,77.6
