County,State,State_FIPS,County_FIPS,some_college_1_plus_year
Marin County,California,06,041,27808
Mariposa County,California,06,043,2963
Mendocino County,California,06,045,11981
Merced County,California,06,047,23294
Modoc County,California,06,049,1325
Mono County,California,06,051,1810
Monterey County,California,06,053,37987
Napa County,California,06,055,15958
Nevada County,California,06,057,15913
Orange County,California,06,059,319998
Placer County,California,06,061,47124
Plumas County,California,06,063,3514
Riverside County,California,06,065,250718
Sacramento County,California,06,067,175611
San Benito County,California,06,069,7072
San Bernardino County,California,06,071,221781
San Diego County,California,06,073,343431
San Francisco County,California,06,075,76355
San Joaquin County,California,06,077,72698
San Luis Obispo County,California,06,079,36249
San Mateo County,California,06,081,74669
Santa Barbara County,California,06,083,41978
Santa Clara County,California,06,085,157844
Santa Cruz County,California,06,087,30635
Shasta County,California,06,089,26306
Sierra County,California,06,091,445
Siskiyou County,California,06,093,6547
Solano County,California,06,095,57262
Sonoma County,California,06,097,61184
Stanislaus County,California,06,099,52407
Sutter County,California,06,101,10210
Tehama County,California,06,103,8826
Trinity County,California,06,105,2896
Tulare County,California,06,107,41570
Tuolumne County,California,06,109,8639
Ventura County,California,06,111,93741
Yolo County,California,06,113,17454
Yuba County,California,06,115,9325
Alamosa County,Colorado,08,003,2039
Archuleta County,Colorado,08,007,1487
Baca County,Colorado,08,009,534
Bent County,Colorado,08,011,650
Chaffee County,Colorado,08,015,2329
Cheyenne County,Colorado,08,017,242
Clear Creek County,Colorado,08,019,1499
Conejos County,Colorado,08,021,960
Costilla County,Colorado,08,023,495
Crowley County,Colorado,08,025,594
Custer County,Colorado,08,027,656
Delta County,Colorado,08,029,3971
Dolores County,Colorado,08,033,262
Douglas County,Colorado,08,035,28875
Eagle County,Colorado,08,037,4654
Elbert County,Colorado,08,039,3257
El Paso County,Colorado,08,041,74754
Fremont County,Colorado,08,043,5965
Garfield County,Colorado,08,045,6339
Gilpin County,Colorado,08,047,974
Grand County,Colorado,08,049,1783
Gunnison County,Colorado,08,051,1399
Huerfano County,Colorado,08,055,1009
Jackson County,Colorado,08,057,173
Kiowa County,Colorado,08,061,175
Kit Carson County,Colorado,08,063,1046
Lake County,Colorado,08,065,614
La Plata County,Colorado,08,067,7201
Larimer County,Colorado,08,069,33889
Las Animas County,Colorado,08,071,1848
Lincoln County,Colorado,08,073,476
Logan County,Colorado,08,075,2519
Mesa County,Colorado,08,077,17782
