County,State,State_FIPS,County_FIPS,high_school_grads
Adams County,Colorado,08,001,70092.0
Arapahoe County,Colorado,08,005,71967.0
Boulder County,Colorado,08,013,21780.0
Broomfield County,Colorado,08,014,5297.0
Denver County,Colorado,08,031,65750.0
Jefferson County,Colorado,08,059,68473.0
Weld County,Colorado,08,123,39087.0
Fairfield County,Connecticut,09,001,128390.0
Hartford County,Connecticut,09,003,146351.0
Litchfield County,Connecticut,09,005,34928.0
Middlesex County,Connecticut,09,007,28861.0
New Haven County,Connecticut,09,009,160135.0
New London County,Connecticut,09,011,50598.0
Tolland County,Connecticut,09,013,22211.0
Windham County,Connecticut,09,015,22319.0
Kent County,Delaware,10,001,32512.0
New Castle County,Delaware,10,003,96520.0
Sussex County,Delaware,10,005,47896.0
Alachua County,Florida,12,001,27688.0
Baker County,Florida,12,003,5925.0
Bay County,Florida,12,005,30207.0
Bradford County,Florida,12,007,4904.0
Brevard County,Florida,12,009,100360.0
Broward County,Florida,12,011,312502.0
Calhoun County,Florida,12,013,3088.0
Charlotte County,Florida,12,015,40476.0
Citrus County,Florida,12,017,33946.0
Clay County,Florida,12,019,33916.0
Collier County,Florida,12,021,60401.0
Columbia County,Florida,12,023,13327.0
Miami-Dade County,Florida,12,086,481006.0
DeSoto County,Florida,12,027,8138.0
Dixie County,Florida,12,029,3663.0
Duval County,Florida,12,031,143350.0
Escambia County,Florida,12,033,48712.0
Flagler County,Florida,12,035,22162.0
Franklin County,Florida,12,037,2349.0
Gadsden County,Florida,12,039,9163.0
Gilchrist County,Florida,12,041,3723.0
Glades County,Florida,12,043,3641.0
Gulf County,Florida,12,045,3409.0
Hamilton County,Florida,12,047,2874.0
Hardee County,Florida,12,049,5459.0
Hendry County,Florida,12,051,5944.0
Hernando County,Florida,12,053,40334.0
Highlands County,Florida,12,055,23734.0
Hillsborough County,Florida,12,057,205129.0
Holmes County,Florida,12,059,3826.0
Indian River County,Florida,12,061,27532.0
Jackson County,Florida,12,063,9063.0
Jefferson County,Florida,12,065,2484.0
Lafayette County,Florida,12,067,1701.0
Lake County,Florida,12,069,65802.0
Lee County,Florida,12,071,134447.0
Leon County,Florida,12,073,24107.0
Levy County,Florida,12,075,9572.0
Liberty County,Florida,12,077,2030.0
Madison County,Florida,12,079,3754.0
Manatee County,Florida,12,081,68842.0
Marion County,Florida,12,083,78061.0
Martin County,Florida,12,085,25747.0
Monroe County,Florida,12,087,15208.0
Nassau County,Florida,12,089,16209.0
Okaloosa County,Florida,12,091,27721.0
Okeechobee County,Florida,12,093,8028.0
Orange County,Florida,12,095,183944.0
Osceola County,Florida,12,097,58345.0
Palm Beach County,Florida,12,099,224225.0
Pasco County,Florida,12,101,98997.0
Pinellas County,Florida,12,103,175352.0
Polk County,Florida,12,105,131975.0
Putnam County,Florida,12,107,15356.0
Saint Johns County,Florida,12,109,27093.0
Saint Lucie County,Florida,12,111,58352.0
Santa Rosa County,Florida,12,113,25212.0
Sarasota County,Florida,12,115,82611.0
Seminole County,Florida,12,117,60635.0
Sumter County,Florida,12,119,24428.0
Suwannee County,Florida,12,121,10650.0
Taylor County,Florida,12,123,4620.0
Union County,Florida,12,125,3119.0
Volusia County,Florida,12,127,106256.0
Wakulla County,Florida,12,129,6150.0
Walton County,Florida,12,131,9719.0
Washington County,Florida,12,133,5731.0
Appling County,Georgia,13,001,4325.0
Atkinson County,Georgia,13,003,1807.0
Bacon County,Georgia,13,005,2372.0
Baker County,Georgia,13,007,849.0
Baldwin County,Georgia,13,009,8672.0
Banks County,Georgia,13,011,4142.0
Barrow County,Georgia,13,013,12270.0
Bartow County,Georgia,13,015,18319.0
Ben Hill County,Georgia,13,017,4391.0
Berrien County,Georgia,13,019,4033.0
Bibb County,Georgia,13,021,27408.0
Bleckley County,Georgia,13,023,2804.0
Brantley County,Georgia,13,025,4483.0
Brooks County,Georgia,13,027,3618.0
Bryan County,Georgia,13,029,4743.0
Bulloch County,Georgia,13,031,9280.0
Burke County,Georgia,13,033,4924.0
Butts County,Georgia,13,035,6011.0
Calhoun County,Georgia,13,037,1318.0
Camden County,Georgia,13,039,8275.0
Candler County,Georgia,13,043,2147.0
Carroll County,Georgia,13,045,19696.0
Catoosa County,Georgia,13,047,11154.0
Charlton County,Georgia,13,049,3457.0
Chatham County,Georgia,13,051,37936.0
Chattahoochee County,Georgia,13,053,1125.0
Chattooga County,Georgia,13,055,5049.0
Cherokee County,Georgia,13,057,29318.0
Clarke County,Georgia,13,059,11814.0
Clay County,Georgia,13,061,915.0
Clayton County,Georgia,13,063,45769.0
Clinch County,Georgia,13,065,1445.0
Cobb County,Georgia,13,067,79091.0
Coffee County,Georgia,13,069,8401.0
Colquitt County,Georgia,13,071,8541.0
Columbia County,Georgia,13,073,18040.0
Cook County,Georgia,13,075,3608.0
Coweta County,Georgia,13,077,23767.0
Crawford County,Georgia,13,079,2526.0
Crisp County,Georgia,13,081,4665.0
Dade County,Georgia,13,083,3405.0
Dawson County,Georgia,13,085,3438.0
Decatur County,Georgia,13,087,4627.0
DeKalb County,Georgia,13,089,87601.0
Dodge County,Georgia,13,091,4666.0
Dooly County,Georgia,13,093,3282.0
Dougherty County,Georgia,13,095,13465.0
Douglas County,Georgia,13,097,23095.0
Early County,Georgia,13,099,2433.0
Echols County,Georgia,13,101,777.0
Effingham County,Georgia,13,103,10445.0
Elbert County,Georgia,13,105,5272.0
Emanuel County,Georgia,13,107,4830.0
Evans County,Georgia,13,109,2330.0
Fannin County,Georgia,13,111,5873.0
Fayette County,Georgia,13,113,13408.0
Floyd County,Georgia,13,115,15200.0
Forsyth County,Georgia,13,117,19681.0
Franklin County,Georgia,13,119,4889.0
Fulton County,Georgia,13,121,104341.0
Gilmer County,Georgia,13,123,5834.0
Glascock County,Georgia,13,125,728.0
Glynn County,Georgia,13,127,13005.0
Gordon County,Georgia,13,129,10219.0
Grady County,Georgia,13,131,5280.0
Greene County,Georgia,13,133,3351.0
Gwinnett County,Georgia,13,135,111123.0
Habersham County,Georgia,13,137,7518.0
Hall County,Georgia,13,139,27259.0
Hancock County,Georgia,13,141,1990.0
Haralson County,Georgia,13,143,5501.0
Harris County,Georgia,13,145,5251.0
Hart County,Georgia,13,147,5437.0
Heard County,Georgia,13,149,2644.0
Henry County,Georgia,13,151,34737.0
Houston County,Georgia,13,153,23324.0
Irwin County,Georgia,13,155,2375.0
Jackson County,Georgia,13,157,10614.0
Jasper County,Georgia,13,159,3138.0
Jeff Davis County,Georgia,13,161,2779.0
Jefferson County,Georgia,13,163,3762.0
Jenkins County,Georgia,13,165,1966.0
Johnson County,Georgia,13,167,1953.0
Jones County,Georgia,13,169,6195.0
Lamar County,Georgia,13,171,3499.0
Lanier County,Georgia,13,173,1490.0
Laurens County,Georgia,13,175,11922.0
Lee County,Georgia,13,177,4388.0
Liberty County,Georgia,13,179,9257.0
Lincoln County,Georgia,13,181,2101.0
Long County,Georgia,13,183,2867.0
Lowndes County,Georgia,13,185,16135.0
Lumpkin County,Georgia,13,187,4334.0
McDuffie County,Georgia,13,189,4644.0
McIntosh County,Georgia,13,191,2606.0
Macon County,Georgia,13,193,2600.0
Madison County,Georgia,13,195,6522.0
Marion County,Georgia,13,197,1887.0
Meriwether County,Georgia,13,199,4401.0
Miller County,Georgia,13,201,1373.0
Mitchell County,Georgia,13,205,4842.0
Monroe County,Georgia,13,207,5611.0
Montgomery County,Georgia,13,209,1966.0
Morgan County,Georgia,13,211,3728.0
Murray County,Georgia,13,213,6237.0
Muscogee County,Georgia,13,215,27590.0
Newton County,Georgia,13,217,16638.0
Oconee County,Georgia,13,219,4119.0
Oglethorpe County,Georgia,13,221,3151.0
Paulding County,Georgia,13,223,26198.0
Peach County,Georgia,13,225,4256.0
Pickens County,Georgia,13,227,5053.0
Pierce County,Georgia,13,229,4367.0
Pike County,Georgia,13,231,3987.0
Polk County,Georgia,13,233,8017.0
Pulaski County,Georgia,13,235,2552.0
Putnam County,Georgia,13,237,5319.0
Quitman County,Georgia,13,239,538.0
Rabun County,Georgia,13,241,3388.0
Randolph County,Georgia,13,243,1258.0
Richmond County,Georgia,13,245,33120.0
Rockdale County,Georgia,13,247,16328.0
Schley County,Georgia,13,249,904.0
Screven County,Georgia,13,251,3375.0
Seminole County,Georgia,13,253,1807.0
Spalding County,Georgia,13,255,12925.0
Stephens County,Georgia,13,257,5105.0
Stewart County,Georgia,13,259,1347.0
Sumter County,Georgia,13,261,4980.0
Talbot County,Georgia,13,263,1813.0
Taliaferro County,Georgia,13,265,560.0
