County,State,State_FIPS,County_FIPS,high_school_only_percentage
Modoc County,California,06,049,28.9
Mono County,California,06,051,22.4
Monterey County,California,06,053,20.8
Napa County,California,06,055,20.8
Nevada County,California,06,057,22.3
Orange County,California,06,059,17.5
Placer County,California,06,061,18.5
Plumas County,California,06,063,29.3
Riverside County,California,06,065,25.3
Sacramento County,California,06,067,22.7
San Benito County,California,06,069,23.3
San Bernardino County,California,06,071,26.8
San Diego County,California,06,073,19.4
San Francisco County,California,06,075,14.6
San Joaquin County,California,06,077,27.2
San Luis Obispo County,California,06,079,22.5
San Mateo County,California,06,081,17.7
Santa Barbara County,California,06,083,17.7
Santa Clara County,California,06,085,15.7
Santa Cruz County,California,06,087,16.6
Shasta County,California,06,089,27.7
Sierra County,California,06,091,35.7
Siskiyou County,California,06,093,28.2
Solano County,California,06,095,25.1
Sonoma County,California,06,097,21.2
Stanislaus County,California,06,099,28.4
Sutter County,California,06,101,25.3
Tehama County,California,06,103,30.3
Trinity County,California,06,105,28.9
Tulare County,California,06,107,24.5
Tuolumne County,California,06,109,28.8
Ventura County,California,06,111,19.2
Yolo County,California,06,113,19.2
Yuba County,California,06,115,26.1
Alamosa County,Colorado,08,003,32.4
Archuleta County,Colorado,08,007,32.4
Baca County,Colorado,08,009,33.1
Bent County,Colorado,08,011,44.6
Chaffee County,Colorado,08,015,30.3
Cheyenne County,Colorado,08,017,32.1
Clear Creek County,Colorado,08,019,25.7
Conejos County,Colorado,08,021,32.5
Costilla County,Colorado,08,023,31.4
Crowley County,Colorado,08,025,34.8
Custer County,Colorado,08,027,31.4
Delta County,Colorado,08,029,37.4
Dolores County,Colorado,08,033,41.4
Douglas County,Colorado,08,035,11.8
Eagle County,Colorado,08,037,20.5
Elbert County,Colorado,08,039,29.8
El Paso County,Colorado,08,041,21.7
Fremont County,Colorado,08,043,39.7
Garfield County,Colorado,08,045,30.1
Gilpin County,Colorado,08,047,29.6
Grand County,Colorado,08,049,34.6
Gunnison County,Colorado,08,051,16.1
Huerfano County,Colorado,08,055,31.6
Jackson County,Colorado,08,057,33.2
Kiowa County,Colorado,08,061,34.0
Kit Carson County,Colorado,08,063,34.2
Lake County,Colorado,08,065,22.5
La Plata County,Colorado,08,067,21.6
Larimer County,Colorado,08,069,19.5
Las Animas County,Colorado,08,071,33.3
Lincoln County,Colorado,08,073,43.2
Logan County,Colorado,08,075,36.9
Mesa County,Colorado,08,077,32.1
Moffat County,Colorado,08,081,36.3
Montezuma County,Colorado,08,083,31.9
Montrose County,Colorado,08,085,32.8
Morgan County,Colorado,08,087,32.0
Otero County,Colorado,08,089,36.0
Ouray County,Colorado,08,091,25.1
Park County,Colorado,08,093,26.1
Phillips County,Colorado,08,095,34.9
Pitkin County,Colorado,08,097,11.4
Prowers County,Colorado,08,099,26.2
Pueblo County,Colorado,08,101,29.0
Rio Blanco County,Colorado,08,103,36.7
Rio Grande County,Colorado,08,105,38.5
Routt County,Colorado,08,107,19.9
Saguache County,Colorado,08,109,36.3
San Miguel County,Colorado,08,113,17.6
Sedgwick County,Colorado,08,115,35.3
Summit County,Colorado,08,117,23.0
Teller County,Colorado,08,119,27.0
Washington County,Colorado,08,121,37.2
Yuma County,Colorado,08,125,37.3
Adams County,Colorado,08,001,30.5
Arapahoe County,Colorado,08,005,21.2
Boulder County,Colorado,08,013,12.8
Broomfield County,Colorado,08,014,16.0
Denver County,Colorado,08,031,20.2
Jefferson County,Colorado,08,059,21.6
Weld County,Colorado,08,123,27.5
Fairfield County,Connecticut,09,001,23.0
Hartford County,Connecticut,09,003,28.6
Litchfield County,Connecticut,09,005,32.2
Middlesex County,Connecticut,09,007,29.0
New Haven County,Connecticut,09,009,30.8
New London County,Connecticut,09,011,32.1
Tolland County,Connecticut,09,013,28.5
Windham County,Connecticut,09,015,39.6
Kent County,Delaware,10,001,32.7
New Castle County,Delaware,10,003,29.5
Sussex County,Delaware,10,005,36.0
Alachua County,Florida,12,001,20.5
Baker County,Florida,12,003,51.8
Bay County,Florida,12,005,33.0
Bradford County,Florida,12,007,36.9
Brevard County,Florida,12,009,28.8
Broward County,Florida,12,011,27.5
Calhoun County,Florida,12,013,34.8
Charlotte County,Florida,12,015,33.6
Citrus County,Florida,12,017,37.3
Clay County,Florida,12,019,31.7
Collier County,Florida,12,021,24.7
Columbia County,Florida,12,023,37.8
Miami-Dade County,Florida,12,086,27.8
DeSoto County,Florida,12,027,35.0
Dixie County,Florida,12,029,33.6
Duval County,Florida,12,031,30.1
Escambia County,Florida,12,033,30.0
Flagler County,Florida,12,035,34.0
Franklin County,Florida,12,037,35.8
Gadsden County,Florida,12,039,37.4
Gilchrist County,Florida,12,041,39.7
Glades County,Florida,12,043,33.0
Gulf County,Florida,12,045,38.9
Hamilton County,Florida,12,047,42.5
Hardee County,Florida,12,049,32.5
Hendry County,Florida,12,051,33.6
Hernando County,Florida,12,053,35.3
Highlands County,Florida,12,055,36.4
Hillsborough County,Florida,12,057,27.4
Holmes County,Florida,12,059,36.9
Indian River County,Florida,12,061,28.1
Jackson County,Florida,12,063,35.4
Jefferson County,Florida,12,065,38.7
Lafayette County,Florida,12,067,44.8
Lake County,Florida,12,069,32.9
Lee County,Florida,12,071,31.5
Leon County,Florida,12,073,21.6
Levy County,Florida,12,075,39.2
Liberty County,Florida,12,077,35.0
Madison County,Florida,12,079,42.3
Manatee County,Florida,12,081,29.2
Marion County,Florida,12,083,37.6
Martin County,Florida,12,085,23.9
Monroe County,Florida,12,087,30.0
Nassau County,Florida,12,089,37.4
Okaloosa County,Florida,12,091,26.2
Okeechobee County,Florida,12,093,34.9
Orange County,Florida,12,095,26.9
Osceola County,Florida,12,097,37.1
Palm Beach County,Florida,12,099,25.0
Pasco County,Florida,12,101,34.3
Pinellas County,Florida,12,103,28.9
Polk County,Florida,12,105,36.4
Putnam County,Florida,12,107,39.2
Saint Johns County,Florida,12,109,20.2
Saint Lucie County,Florida,12,111,35.4
Santa Rosa County,Florida,12,113,28.4
Sarasota County,Florida,12,115,29.1
Seminole County,Florida,12,117,23.3
Sumter County,Florida,12,119,33.0
Suwannee County,Florida,12,121,41.8
Taylor County,Florida,12,123,39.1
Union County,Florida,12,125,38.5
Volusia County,Florida,12,127,32.5
Wakulla County,Florida,12,129,39.1
Walton County,Florida,12,131,30.5
Washington County,Florida,12,133,38.3
Appling County,Georgia,13,001,46.6
Atkinson County,Georgia,13,003,37.9
Bacon County,Georgia,13,005,47.6
Baker County,Georgia,13,007,55.3
Baldwin County,Georgia,13,009,38.8
Banks County,Georgia,13,011,45.3
Barrow County,Georgia,13,013,35.7
Bartow County,Georgia,13,015,37.6
Ben Hill County,Georgia,13,017,42.5
Berrien County,Georgia,13,019,36.5
Bibb County,Georgia,13,021,35.0
Bleckley County,Georgia,13,023,45.2
Brantley County,Georgia,13,025,50.6
Brooks County,Georgia,13,027,34.6
Bryan County,Georgia,13,029,24.4
Bulloch County,Georgia,13,031,32.9
Burke County,Georgia,13,033,44.1
Butts County,Georgia,13,035,42.9
Calhoun County,Georgia,13,037,34.5
Camden County,Georgia,13,039,32.8
Candler County,Georgia,13,043,44.9
Carroll County,Georgia,13,045,37.4
Catoosa County,Georgia,13,047,31.3
Charlton County,Georgia,13,049,34.8
Chatham County,Georgia,13,051,29.4
Chattahoochee County,Georgia,13,053,24.7
Chattooga County,Georgia,13,055,38.9
Cherokee County,Georgia,13,057,23.3
Clarke County,Georgia,13,059,22.2
Clay County,Georgia,13,061,43.7
Clayton County,Georgia,13,063,35.0
Clinch County,Georgia,13,065,36.4
Cobb County,Georgia,13,067,19.5
Coffee County,Georgia,13,069,42.7
Colquitt County,Georgia,13,071,38.0
Columbia County,Georgia,13,073,24.7
Cook County,Georgia,13,075,35.3
Coweta County,Georgia,13,077,31.6
Crawford County,Georgia,13,079,33.0
Crisp County,Georgia,13,081,41.0
Dade County,Georgia,13,083,32.7
Dawson County,Georgia,13,085,39.5
Decatur County,Georgia,13,087,39.8
DeKalb County,Georgia,13,089,22.6
Dodge County,Georgia,13,091,44.7
Dooly County,Georgia,13,093,44.7
Dougherty County,Georgia,13,095,33.5
Douglas County,Georgia,13,097,33.5
Early County,Georgia,13,099,42.7
Echols County,Georgia,13,101,44.1
Effingham County,Georgia,13,103,43.9
Elbert County,Georgia,13,105,44.4
Emanuel County,Georgia,13,107,39.6
Evans County,Georgia,13,109,38.1
Fannin County,Georgia,13,111,39.2
Fayette County,Georgia,13,113,18.9
Floyd County,Georgia,13,115,32.7
Forsyth County,Georgia,13,117,19.2
Franklin County,Georgia,13,119,39.2
Fulton County,Georgia,13,121,18.9
Gilmer County,Georgia,13,123,34.3
Glascock County,Georgia,13,125,46.0
Glynn County,Georgia,13,127,30.8
Gordon County,Georgia,13,129,35.6
Grady County,Georgia,13,131,43.0
Greene County,Georgia,13,133,35.4
Gwinnett County,Georgia,13,135,22.3
Habersham County,Georgia,13,137,32.9
Hall County,Georgia,13,139,30.2
Hancock County,Georgia,13,141,43.6
Haralson County,Georgia,13,143,39.8
Harris County,Georgia,13,145,28.0
Hart County,Georgia,13,147,39.3
Heard County,Georgia,13,149,38.1
Henry County,Georgia,13,151,33.1
Houston County,Georgia,13,153,28.8
Irwin County,Georgia,13,155,44.0
Jackson County,Georgia,13,157,38.0
Jasper County,Georgia,13,159,39.4
Jeff Davis County,Georgia,13,161,46.1
Jefferson County,Georgia,13,163,49.1
Jenkins County,Georgia,13,165,37.1
Johnson County,Georgia,13,167,40.2
Jones County,Georgia,13,169,39.1
Lamar County,Georgia,13,171,38.2
Lanier County,Georgia,13,173,28.9
Laurens County,Georgia,13,175,42.8
Lee County,Georgia,13,177,31.1
Liberty County,Georgia,13,179,37.1
Lincoln County,Georgia,13,181,48.8
Long County,Georgia,13,183,44.4
Lowndes County,Georgia,13,185,30.9
Lumpkin County,Georgia,13,187,32.7
McDuffie County,Georgia,13,189,36.9
McIntosh County,Georgia,13,191,41.2
Macon County,Georgia,13,193,40.2
Madison County,Georgia,13,195,39.3
Marion County,Georgia,13,197,45.1
Meriwether County,Georgia,13,199,44.7
Miller County,Georgia,13,201,44.4
Mitchell County,Georgia,13,205,38.0
Monroe County,Georgia,13,207,38.5
Montgomery County,Georgia,13,209,43.7
Morgan County,Georgia,13,211,33.7
Murray County,Georgia,13,213,41.1
Muscogee County,Georgia,13,215,28.8
Newton County,Georgia,13,217,36.2
Oconee County,Georgia,13,219,17.7
Oglethorpe County,Georgia,13,221,34.3
Paulding County,Georgia,13,223,39.1
Peach County,Georgia,13,225,34.3
Pickens County,Georgia,13,227,34.0
Pierce County,Georgia,13,229,43.4
Pike County,Georgia,13,231,41.5
Polk County,Georgia,13,233,41.2
Pulaski County,Georgia,13,235,42.7
Putnam County,Georgia,13,237,38.5
Quitman County,Georgia,13,239,38.1
Rabun County,Georgia,13,241,32.1
Randolph County,Georgia,13,243,32.7
Richmond County,Georgia,13,245,33.5
Rockdale County,Georgia,13,247,29.8
Schley County,Georgia,13,249,39.4
Screven County,Georgia,13,251,40.2
Seminole County,Georgia,13,253,40.5
Spalding County,Georgia,13,255,36.5
Stephens County,Georgia,13,257,44.3
Stewart County,Georgia,13,259,39.7
Sumter County,Georgia,13,261,34.8
Talbot County,Georgia,13,263,44.6
Taliaferro County,Georgia,13,265,36.1
Tattnall County,Georgia,13,267,45.3
Taylor County,Georgia,13,269,37.5
Telfair County,Georgia,13,271,48.0
Terrell County,Georgia,13,273,36.8
Thomas County,Georgia,13,275,38.3
Tift County,Georgia,13,277,31.9
Toombs County,Georgia,13,279,41.6
Towns County,Georgia,13,281,41.0
Treutlen County,Georgia,13,283,46.0
Troup County,Georgia,13,285,36.1
Turner County,Georgia,13,287,36.7
Twiggs County,Georgia,13,289,42.8
Union County,Georgia,13,291,30.4
Upson County,Georgia,13,293,36.7
Walker County,Georgia,13,295,36.9
Walton County,Georgia,13,297,31.8
Ware County,Georgia,13,299,43.7
Warren County,Georgia,13,301,44.1
Washington County,Georgia,13,303,47.8
Wayne County,Georgia,13,305,43.3
Webster County,Georgia,13,307,50.0
Wheeler County,Georgia,13,309,57.4
White County,Georgia,13,311,32.4
Whitfield County,Georgia,13,313,29.5
Wilcox County,Georgia,13,315,46.8
Wilkes County,Georgia,13,317,38.3
Wilkinson County,Georgia,13,319,52.2
Worth County,Georgia,13,321,42.0
Hawaii County,Hawaii,15,001,32.7
Honolulu County,Hawaii,15,003,28.6
Kauai County,Hawaii,15,007,29.7
Kalawao County,Hawaii,15,005,5.7
Maui County,Hawaii,15,009,33.8
Ada County,Idaho,16,001,21.7
Adams County,Idaho,16,003,38.5
Bannock County,Idaho,16,005,26.3
Bear Lake County,Idaho,16,007,40.7
Benewah County,Idaho,16,009,47.0
Bingham County,Idaho,16,011,32.3
Blaine County,Idaho,16,013,19.2
Boise County,Idaho,16,015,24.3
Bonner County,Idaho,16,017,34.3
Bonneville County,Idaho,16,019,25.3
Boundary County,Idaho,16,021,44.0
Butte County,Idaho,16,023,32.8
Camas County,Idaho,16,025,27.3
Canyon County,Idaho,16,027,31.5
Caribou County,Idaho,16,029,34.9
Cassia County,Idaho,16,031,25.4
Clearwater County,Idaho,16,035,38.7
Custer County,Idaho,16,037,41.8
Elmore County,Idaho,16,039,25.8
Franklin County,Idaho,16,041,40.3
Fremont County,Idaho,16,043,33.3
Gem County,Idaho,16,045,32.1
Gooding County,Idaho,16,047,31.8
