County,State,State_FIPS,County_FIPS,population_aged_25_plus
Clay County,Illinois,17,025,9338.0
Clinton County,Illinois,17,027,26720.0
Coles County,Illinois,17,029,32961.0
Cook County,Illinois,17,031,3587576.0
Crawford County,Illinois,17,033,13776.0
Cumberland County,Illinois,17,035,7615.0
DeKalb County,Illinois,17,037,61396.0
De Witt County,Illinois,17,039,11381.0
Douglas County,Illinois,17,041,13113.0
DuPage County,Illinois,17,043,635683.0
Edgar County,Illinois,17,045,12655.0
Edwards County,Illinois,17,047,4516.0
Effingham County,Illinois,17,049,23379.0
Fayette County,Illinois,17,051,15303.0
Ford County,Illinois,17,053,9287.0
Franklin County,Illinois,17,055,27508.0
Fulton County,Illinois,17,057,25443.0
Gallatin County,Illinois,17,059,3704.0
Greene County,Illinois,17,061,9336.0
Grundy County,Illinois,17,063,33798.0
Hamilton County,Illinois,17,065,5790.0
Hancock County,Illinois,17,067,12954.0
Hardin County,Illinois,17,069,2991.0
Henderson County,Illinois,17,071,5076.0
Henry County,Illinois,17,073,34574.0
Iroquois County,Illinois,17,075,19697.0
Jackson County,Illinois,17,077,35042.0
Jasper County,Illinois,17,079,6717.0
Jefferson County,Illinois,17,081,26472.0
Jersey County,Illinois,17,083,15259.0
Jo Daviess County,Illinois,17,085,16131.0
Johnson County,Illinois,17,087,9208.0
Kane County,Illinois,17,089,346073.0
Kankakee County,Illinois,17,091,72882.0
Kendall County,Illinois,17,093,79230.0
Knox County,Illinois,17,095,35172.0
Lake County,Illinois,17,097,457676.0
LaSalle County,Illinois,17,099,77275.0
Lawrence County,Illinois,17,101,11856.0
Lee County,Illinois,17,103,24978.0
Livingston County,Illinois,17,105,25434.0
Logan County,Illinois,17,107,20373.0
McDonough County,Illinois,17,109,18224.0
McHenry County,Illinois,17,111,208188.0
McLean County,Illinois,17,113,104831.0
Macon County,Illinois,17,115,72701.0
Macoupin County,Illinois,17,117,32287.0
Madison County,Illinois,17,119,184938.0
Marion County,Illinois,17,121,26236.0
Marshall County,Illinois,17,123,8404.0
Mason County,Illinois,17,125,9863.0
Massac County,Illinois,17,127,10021.0
Menard County,Illinois,17,129,8735.0
Mercer County,Illinois,17,131,11135.0
Monroe County,Illinois,17,133,24144.0
Montgomery County,Illinois,17,135,20953.0
Morgan County,Illinois,17,137,23794.0
Moultrie County,Illinois,17,139,9894.0
Ogle County,Illinois,17,141,35569.0
Peoria County,Illinois,17,143,122900.0
Perry County,Illinois,17,145,15409.0
Piatt County,Illinois,17,147,11584.0
Pike County,Illinois,17,149,10948.0
Pope County,Illinois,17,151,3332.0
Pulaski County,Illinois,17,153,3894.0
Putnam County,Illinois,17,155,4233.0
Randolph County,Illinois,17,157,23455.0
Richland County,Illinois,17,159,10995.0
Rock Island County,Illinois,17,161,99131.0
Saint Clair County,Illinois,17,163,178334.0
Saline County,Illinois,17,165,17113.0
Sangamon County,Illinois,17,167,136572.0
Schuyler County,Illinois,17,169,5195.0
Scott County,Illinois,17,171,3552.0
Shelby County,Illinois,17,173,15577.0
Stark County,Illinois,17,175,3879.0
Stephenson County,Illinois,17,177,32015.0
Tazewell County,Illinois,17,179,93288.0
Union County,Illinois,17,181,12232.0
Vermilion County,Illinois,17,183,52825.0
Wabash County,Illinois,17,185,8174.0
Warren County,Illinois,17,187,11207.0
Washington County,Illinois,17,189,10102.0
Wayne County,Illinois,17,191,11525.0
White County,Illinois,17,193,9933.0
Whiteside County,Illinois,17,195,39288.0
Will County,Illinois,17,197,451665.0
Williamson County,Illinois,17,199,47585.0
Winnebago County,Illinois,17,201,193982.0
Woodford County,Illinois,17,203,26058.0
Adams County,Indiana,18,001,21240.0
Allen County,Indiana,18,003,242295.0
