County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Pinellas County,Florida,12,103,3.6
Polk County,Florida,12,105,7.2
Putnam County,Florida,12,107,8.9
Saint Johns County,Florida,12,109,2.8
Saint Lucie County,Florida,12,111,7.0
Santa Rosa County,Florida,12,113,3.3
Sarasota County,Florida,12,115,2.4
Seminole County,Florida,12,117,2.4
Sumter County,Florida,12,119,5.8
Suwannee County,Florida,12,121,7.6
Taylor County,Florida,12,123,6.8
Union County,Florida,12,125,7.1
Volusia County,Florida,12,127,3.8
Wakulla County,Florida,12,129,4.4
Walton County,Florida,12,131,4.5
Washington County,Florida,12,133,9.4
Appling County,Georgia,13,001,9.1
Atkinson County,Georgia,13,003,21.5
Bacon County,Georgia,13,005,8.7
Baker County,Georgia,13,007,12.8
Baldwin County,Georgia,13,009,7.1
Banks County,Georgia,13,011,10.8
Barrow County,Georgia,13,013,8.4
Bartow County,Georgia,13,015,7.3
Ben Hill County,Georgia,13,017,11.2
Berrien County,Georgia,13,019,11.5
Bibb County,Georgia,13,021,5.5
Bleckley County,Georgia,13,023,8.8
Brantley County,Georgia,13,025,5.8
Brooks County,Georgia,13,027,8.8
Bryan County,Georgia,13,029,3.3
Bulloch County,Georgia,13,031,6.3
Burke County,Georgia,13,033,9.2
Butts County,Georgia,13,035,5.9
Calhoun County,Georgia,13,037,10.5
Camden County,Georgia,13,039,2.0
Candler County,Georgia,13,043,7.2
Carroll County,Georgia,13,045,7.9
Catoosa County,Georgia,13,047,6.0
Charlton County,Georgia,13,049,12.8
Chatham County,Georgia,13,051,4.0
Chattahoochee County,Georgia,13,053,0.5
Chattooga County,Georgia,13,055,13.7
Cherokee County,Georgia,13,057,4.3
Clarke County,Georgia,13,059,4.9
Clay County,Georgia,13,061,10.5
Clayton County,Georgia,13,063,7.4
Clinch County,Georgia,13,065,12.6
Cobb County,Georgia,13,067,4.9
Coffee County,Georgia,13,069,8.1
Colquitt County,Georgia,13,071,13.2
Columbia County,Georgia,13,073,2.5
Cook County,Georgia,13,075,10.7
Coweta County,Georgia,13,077,4.6
Crawford County,Georgia,13,079,8.9
Crisp County,Georgia,13,081,6.5
Dade County,Georgia,13,083,6.0
Dawson County,Georgia,13,085,6.5
Decatur County,Georgia,13,087,9.5
DeKalb County,Georgia,13,089,6.1
Dodge County,Georgia,13,091,9.5
Dooly County,Georgia,13,093,10.1
Dougherty County,Georgia,13,095,6.2
Douglas County,Georgia,13,097,5.7
Early County,Georgia,13,099,9.0
Echols County,Georgia,13,101,17.4
Effingham County,Georgia,13,103,4.3
Elbert County,Georgia,13,105,10.5
Emanuel County,Georgia,13,107,8.5
Evans County,Georgia,13,109,10.9
Fannin County,Georgia,13,111,9.2
Fayette County,Georgia,13,113,2.2
Floyd County,Georgia,13,115,9.8
Forsyth County,Georgia,13,117,4.3
Franklin County,Georgia,13,119,7.8
Fulton County,Georgia,13,121,4.0
Gilmer County,Georgia,13,123,10.1
Glascock County,Georgia,13,125,11.7
Glynn County,Georgia,13,127,4.1
Gordon County,Georgia,13,129,12.7
Grady County,Georgia,13,131,9.6
Greene County,Georgia,13,133,16.9
Gwinnett County,Georgia,13,135,7.8
Habersham County,Georgia,13,137,11.4
Hall County,Georgia,13,139,11.6
Hancock County,Georgia,13,141,9.8
Haralson County,Georgia,13,143,9.1
Harris County,Georgia,13,145,3.7
Hart County,Georgia,13,147,7.7
Heard County,Georgia,13,149,7.9
Henry County,Georgia,13,151,3.1
Houston County,Georgia,13,153,3.0
Irwin County,Georgia,13,155,8.7
Jackson County,Georgia,13,157,9.4
Jasper County,Georgia,13,159,6.8
Jeff Davis County,Georgia,13,161,13.8
Jefferson County,Georgia,13,163,11.6
Jenkins County,Georgia,13,165,21.5
Johnson County,Georgia,13,167,8.4
Jones County,Georgia,13,169,3.6
Lamar County,Georgia,13,171,7.1
Lanier County,Georgia,13,173,11.5
Laurens County,Georgia,13,175,7.2
Lee County,Georgia,13,177,4.2
Liberty County,Georgia,13,179,2.7
Lincoln County,Georgia,13,181,5.7
Long County,Georgia,13,183,7.9
Lowndes County,Georgia,13,185,5.1
Lumpkin County,Georgia,13,187,7.1
