County,State,State_FIPS,County_FIPS,ged_or_alternative
Sonoma County,California,06,097,8621.0
Stanislaus County,California,06,099,12557.0
Sutter County,California,06,101,1791.0
Tehama County,California,06,103,1716.0
Trinity County,California,06,105,442.0
Tulare County,California,06,107,8243.0
Tuolumne County,California,06,109,2180.0
Ventura County,California,06,111,10189.0
Yolo County,California,06,113,3014.0
Yuba County,California,06,115,1895.0
Alamosa County,Colorado,08,003,492.0
Archuleta County,Colorado,08,007,307.0
Baca County,Colorado,08,009,88.0
Bent County,Colorado,08,011,871.0
Chaffee County,Colorado,08,015,763.0
Cheyenne County,Colorado,08,017,53.0
Clear Creek County,Colorado,08,019,162.0
Conejos County,Colorado,08,021,173.0
Costilla County,Colorado,08,023,109.0
Crowley County,Colorado,08,025,651.0
Custer County,Colorado,08,027,92.0
Delta County,Colorado,08,029,1395.0
Dolores County,Colorado,08,033,61.0
Douglas County,Colorado,08,035,3094.0
Eagle County,Colorado,08,037,595.0
Elbert County,Colorado,08,039,462.0
El Paso County,Colorado,08,041,14804.0
Fremont County,Colorado,08,043,5415.0
Garfield County,Colorado,08,045,1707.0
Gilpin County,Colorado,08,047,218.0
Grand County,Colorado,08,049,742.0
Gunnison County,Colorado,08,051,221.0
Huerfano County,Colorado,08,055,221.0
Jackson County,Colorado,08,057,32.0
Kiowa County,Colorado,08,061,42.0
Kit Carson County,Colorado,08,063,531.0
Lake County,Colorado,08,065,216.0
La Plata County,Colorado,08,067,842.0
Larimer County,Colorado,08,069,6362.0
Las Animas County,Colorado,08,071,492.0
Lincoln County,Colorado,08,073,590.0
Logan County,Colorado,08,075,1101.0
Mesa County,Colorado,08,077,5279.0
Moffat County,Colorado,08,081,643.0
Montezuma County,Colorado,08,083,703.0
Montrose County,Colorado,08,085,1311.0
Morgan County,Colorado,08,087,1095.0
Otero County,Colorado,08,089,1018.0
Ouray County,Colorado,08,091,132.0
Park County,Colorado,08,093,442.0
Phillips County,Colorado,08,095,250.0
Pitkin County,Colorado,08,097,115.0
Prowers County,Colorado,08,099,483.0
Pueblo County,Colorado,08,101,5566.0
Rio Blanco County,Colorado,08,103,170.0
Rio Grande County,Colorado,08,105,357.0
Routt County,Colorado,08,107,583.0
Saguache County,Colorado,08,109,163.0
San Miguel County,Colorado,08,113,75.0
Sedgwick County,Colorado,08,115,105.0
Summit County,Colorado,08,117,283.0
Teller County,Colorado,08,119,561.0
Washington County,Colorado,08,121,235.0
Yuma County,Colorado,08,125,248.0
Adams County,Colorado,08,001,16675.0
Arapahoe County,Colorado,08,005,12934.0
Boulder County,Colorado,08,013,4051.0
Broomfield County,Colorado,08,014,1046.0
Denver County,Colorado,08,031,16303.0
Jefferson County,Colorado,08,059,14024.0
Weld County,Colorado,08,123,7970.0
Fairfield County,Connecticut,09,001,13458.0
Hartford County,Connecticut,09,003,22921.0
Litchfield County,Connecticut,09,005,4614.0
Middlesex County,Connecticut,09,007,3320.0
New Haven County,Connecticut,09,009,19402.0
New London County,Connecticut,09,011,7375.0
Tolland County,Connecticut,09,013,3519.0
Windham County,Connecticut,09,015,4571.0
Kent County,Delaware,10,001,4823.0
New Castle County,Delaware,10,003,11381.0
Sussex County,Delaware,10,005,5741.0
Alachua County,Florida,12,001,5553.0
Baker County,Florida,12,003,1414.0
Bay County,Florida,12,005,7653.0
Bradford County,Florida,12,007,1807.0
Brevard County,Florida,12,009,18335.0
Broward County,Florida,12,011,42663.0
Calhoun County,Florida,12,013,1091.0
Charlotte County,Florida,12,015,7095.0
Citrus County,Florida,12,017,7564.0
Clay County,Florida,12,019,6956.0
Collier County,Florida,12,021,7763.0
Columbia County,Florida,12,023,3833.0
Miami-Dade County,Florida,12,086,47251.0
DeSoto County,Florida,12,027,1887.0
Dixie County,Florida,12,029,1379.0
Duval County,Florida,12,031,26045.0
Escambia County,Florida,12,033,9097.0
Flagler County,Florida,12,035,4123.0
Franklin County,Florida,12,037,897.0
Gadsden County,Florida,12,039,2188.0
Gilchrist County,Florida,12,041,753.0
Glades County,Florida,12,043,791.0
Gulf County,Florida,12,045,906.0
Hamilton County,Florida,12,047,756.0
Hardee County,Florida,12,049,1439.0
Hendry County,Florida,12,051,1525.0
Hernando County,Florida,12,053,7590.0
Highlands County,Florida,12,055,4094.0
Hillsborough County,Florida,12,057,35344.0
Holmes County,Florida,12,059,1369.0
Indian River County,Florida,12,061,5295.0
Jackson County,Florida,12,063,3600.0
Jefferson County,Florida,12,065,1009.0
Lafayette County,Florida,12,067,508.0
Lake County,Florida,12,069,11686.0
Lee County,Florida,12,071,19630.0
Leon County,Florida,12,073,6604.0
Levy County,Florida,12,075,2253.0
Liberty County,Florida,12,077,605.0
Madison County,Florida,12,079,1115.0
Manatee County,Florida,12,081,10904.0
Marion County,Florida,12,083,15298.0
Martin County,Florida,12,085,5000.0
Monroe County,Florida,12,087,1875.0
Nassau County,Florida,12,089,3421.0
Okaloosa County,Florida,12,091,6063.0
Okeechobee County,Florida,12,093,2397.0
Orange County,Florida,12,095,28736.0
Osceola County,Florida,12,097,10431.0
Palm Beach County,Florida,12,099,29323.0
Pasco County,Florida,12,101,17981.0
Pinellas County,Florida,12,103,31558.0
Polk County,Florida,12,105,24726.0
Putnam County,Florida,12,107,4419.0
Saint Johns County,Florida,12,109,5073.0
Saint Lucie County,Florida,12,111,10586.0
Santa Rosa County,Florida,12,113,5414.0
Sarasota County,Florida,12,115,11064.0
Seminole County,Florida,12,117,11680.0
Sumter County,Florida,12,119,5380.0
Suwannee County,Florida,12,121,1678.0
Taylor County,Florida,12,123,2102.0
Union County,Florida,12,125,1255.0
Volusia County,Florida,12,127,18447.0
Wakulla County,Florida,12,129,2166.0
Walton County,Florida,12,131,2299.0
Washington County,Florida,12,133,1717.0
Appling County,Georgia,13,001,802.0
Atkinson County,Georgia,13,003,273.0
Bacon County,Georgia,13,005,531.0
Baker County,Georgia,13,007,105.0
Baldwin County,Georgia,13,009,1783.0
Banks County,Georgia,13,011,1203.0
Barrow County,Georgia,13,013,3332.0
Bartow County,Georgia,13,015,4521.0
Ben Hill County,Georgia,13,017,581.0
Berrien County,Georgia,13,019,965.0
Bibb County,Georgia,13,021,4764.0
Bleckley County,Georgia,13,023,666.0
Brantley County,Georgia,13,025,977.0
Brooks County,Georgia,13,027,564.0
Bryan County,Georgia,13,029,865.0
Bulloch County,Georgia,13,031,1582.0
Burke County,Georgia,13,033,671.0
Butts County,Georgia,13,035,1216.0
Calhoun County,Georgia,13,037,558.0
Camden County,Georgia,13,039,2129.0
Candler County,Georgia,13,043,513.0
Carroll County,Georgia,13,045,4946.0
Catoosa County,Georgia,13,047,2803.0
Charlton County,Georgia,13,049,531.0
Chatham County,Georgia,13,051,8073.0
Chattahoochee County,Georgia,13,053,290.0
Chattooga County,Georgia,13,055,1857.0
Cherokee County,Georgia,13,057,6741.0
Clarke County,Georgia,13,059,2495.0
Clay County,Georgia,13,061,77.0
Clayton County,Georgia,13,063,6877.0
Clinch County,Georgia,13,065,253.0
Cobb County,Georgia,13,067,12704.0
Coffee County,Georgia,13,069,2478.0
Colquitt County,Georgia,13,071,1917.0
Columbia County,Georgia,13,073,3661.0
Cook County,Georgia,13,075,561.0
Coweta County,Georgia,13,077,4295.0
Crawford County,Georgia,13,079,712.0
Crisp County,Georgia,13,081,963.0
Dade County,Georgia,13,083,660.0
Dawson County,Georgia,13,085,1253.0
Decatur County,Georgia,13,087,1358.0
DeKalb County,Georgia,13,089,13284.0
Dodge County,Georgia,13,091,1414.0
Dooly County,Georgia,13,093,738.0
Dougherty County,Georgia,13,095,2898.0
Douglas County,Georgia,13,097,4597.0
Early County,Georgia,13,099,336.0
Echols County,Georgia,13,101,147.0
Effingham County,Georgia,13,103,2436.0
Elbert County,Georgia,13,105,820.0
Emanuel County,Georgia,13,107,1081.0
Evans County,Georgia,13,109,434.0
Fannin County,Georgia,13,111,1243.0
Fayette County,Georgia,13,113,1935.0
Floyd County,Georgia,13,115,4356.0
Forsyth County,Georgia,13,117,3308.0
Franklin County,Georgia,13,119,1167.0
Fulton County,Georgia,13,121,14496.0
Gilmer County,Georgia,13,123,1686.0
Glascock County,Georgia,13,125,191.0
Glynn County,Georgia,13,127,2761.0
Gordon County,Georgia,13,129,3048.0
Grady County,Georgia,13,131,980.0
Greene County,Georgia,13,133,698.0
Gwinnett County,Georgia,13,135,16997.0
Habersham County,Georgia,13,137,2440.0
Hall County,Georgia,13,139,6518.0
Hancock County,Georgia,13,141,615.0
Haralson County,Georgia,13,143,1613.0
Harris County,Georgia,13,145,751.0
Hart County,Georgia,13,147,1230.0
Heard County,Georgia,13,149,749.0
Henry County,Georgia,13,151,5654.0
Houston County,Georgia,13,153,4791.0
Irwin County,Georgia,13,155,453.0
Jackson County,Georgia,13,157,2876.0
Jasper County,Georgia,13,159,539.0
Jeff Davis County,Georgia,13,161,837.0
Jefferson County,Georgia,13,163,683.0
Jenkins County,Georgia,13,165,450.0
Johnson County,Georgia,13,167,502.0
Jones County,Georgia,13,169,1216.0
Lamar County,Georgia,13,171,1003.0
Lanier County,Georgia,13,173,547.0
Laurens County,Georgia,13,175,1978.0
Lee County,Georgia,13,177,1101.0
Liberty County,Georgia,13,179,1967.0
Lincoln County,Georgia,13,181,341.0
Long County,Georgia,13,183,784.0
Lowndes County,Georgia,13,185,2885.0
