County,State,State_FIPS,County_FIPS,some_college_less_1_year
Crowley County,Colorado,08,025,202.0
Custer County,Colorado,08,027,429.0
Delta County,Colorado,08,029,1568.0
Dolores County,Colorado,08,033,94.0
Douglas County,Colorado,08,035,11341.0
Eagle County,Colorado,08,037,1403.0
Elbert County,Colorado,08,039,1497.0
El Paso County,Colorado,08,041,32583.0
Fremont County,Colorado,08,043,3156.0
Garfield County,Colorado,08,045,2677.0
Gilpin County,Colorado,08,047,274.0
Grand County,Colorado,08,049,684.0
Gunnison County,Colorado,08,051,471.0
Huerfano County,Colorado,08,055,463.0
Jackson County,Colorado,08,057,85.0
Kiowa County,Colorado,08,061,81.0
Kit Carson County,Colorado,08,063,317.0
Lake County,Colorado,08,065,387.0
La Plata County,Colorado,08,067,2578.0
Larimer County,Colorado,08,069,14289.0
Las Animas County,Colorado,08,071,834.0
Lincoln County,Colorado,08,073,203.0
Logan County,Colorado,08,075,999.0
Mesa County,Colorado,08,077,8145.0
Moffat County,Colorado,08,081,946.0
Montezuma County,Colorado,08,083,1283.0
Montrose County,Colorado,08,085,2088.0
Morgan County,Colorado,08,087,1406.0
Otero County,Colorado,08,089,1103.0
Ouray County,Colorado,08,091,171.0
Park County,Colorado,08,093,1010.0
Phillips County,Colorado,08,095,200.0
Pitkin County,Colorado,08,097,506.0
Prowers County,Colorado,08,099,603.0
Pueblo County,Colorado,08,101,9180.0
Rio Blanco County,Colorado,08,103,386.0
Rio Grande County,Colorado,08,105,525.0
Routt County,Colorado,08,107,977.0
Saguache County,Colorado,08,109,245.0
San Miguel County,Colorado,08,113,138.0
Sedgwick County,Colorado,08,115,184.0
Summit County,Colorado,08,117,622.0
Teller County,Colorado,08,119,1141.0
Washington County,Colorado,08,121,262.0
Yuma County,Colorado,08,125,465.0
Adams County,Colorado,08,001,23231.0
Arapahoe County,Colorado,08,005,24939.0
Boulder County,Colorado,08,013,9190.0
Broomfield County,Colorado,08,014,2360.0
Denver County,Colorado,08,031,20305.0
Jefferson County,Colorado,08,059,25674.0
Weld County,Colorado,08,123,15164.0
Fairfield County,Connecticut,09,001,27273.0
Hartford County,Connecticut,09,003,32250.0
Litchfield County,Connecticut,09,005,8430.0
Middlesex County,Connecticut,09,007,6856.0
