County,State,State_FIPS,County_FIPS,bachelors_and_above_percentage
Del Norte County,California,06,015,15.1
El Dorado County,California,06,017,32.1
Fresno County,California,06,019,19.4
Glenn County,California,06,021,14.9
Humboldt County,California,06,023,28.0
Imperial County,California,06,025,14.1
Inyo County,California,06,027,23.9
Kern County,California,06,029,15.4
Kings County,California,06,031,13.4
Lake County,California,06,033,16.0
Lassen County,California,06,035,12.3
Los Angeles County,California,06,037,30.3
Madera County,California,06,039,13.3
Marin County,California,06,041,55.8
Mariposa County,California,06,043,22.1
Mendocino County,California,06,045,23.7
Merced County,California,06,047,13.1
Modoc County,California,06,049,18.0
Mono County,California,06,051,32.3
Monterey County,California,06,053,23.1
Napa County,California,06,055,32.4
Nevada County,California,06,057,33.7
Orange County,California,06,059,37.7
Placer County,California,06,061,36.4
Plumas County,California,06,063,22.0
Riverside County,California,06,065,20.9
Sacramento County,California,06,067,28.8
San Benito County,California,06,069,19.0
San Bernardino County,California,06,071,19.0
San Diego County,California,06,073,35.7
San Francisco County,California,06,075,53.8
San Joaquin County,California,06,077,18.4
San Luis Obispo County,California,06,079,33.0
San Mateo County,California,06,081,45.6
Santa Barbara County,California,06,083,32.2
Santa Clara County,California,06,085,47.9
Santa Cruz County,California,06,087,38.2
Shasta County,California,06,089,19.6
Sierra County,California,06,091,18.9
Siskiyou County,California,06,093,22.7
Solano County,California,06,095,24.9
Sonoma County,California,06,097,32.9
Stanislaus County,California,06,099,16.5
Sutter County,California,06,101,17.6
Tehama County,California,06,103,14.4
Trinity County,California,06,105,20.0
Tulare County,California,06,107,13.8
Tuolumne County,California,06,109,20.4
Ventura County,California,06,111,31.7
Yolo County,California,06,113,39.0
Yuba County,California,06,115,14.3
Alamosa County,Colorado,08,003,25.5
Archuleta County,Colorado,08,007,35.0
Baca County,Colorado,08,009,19.0
Bent County,Colorado,08,011,7.0
Chaffee County,Colorado,08,015,34.1
Cheyenne County,Colorado,08,017,22.5
Clear Creek County,Colorado,08,019,41.5
Conejos County,Colorado,08,021,19.5
Costilla County,Colorado,08,023,17.9
Crowley County,Colorado,08,025,11.1
Custer County,Colorado,08,027,35.5
Delta County,Colorado,08,029,20.0
Dolores County,Colorado,08,033,21.0
Douglas County,Colorado,08,035,56.6
Eagle County,Colorado,08,037,46.7
Elbert County,Colorado,08,039,30.6
El Paso County,Colorado,08,041,35.9
Fremont County,Colorado,08,043,15.2
Garfield County,Colorado,08,045,29.7
Gilpin County,Colorado,08,047,32.1
Grand County,Colorado,08,049,36.4
Gunnison County,Colorado,08,051,54.4
Huerfano County,Colorado,08,055,27.1
Jackson County,Colorado,08,057,18.1
Kiowa County,Colorado,08,061,20.3
Kit Carson County,Colorado,08,063,13.3
Lake County,Colorado,08,065,27.4
La Plata County,Colorado,08,067,43.3
Larimer County,Colorado,08,069,44.3
Las Animas County,Colorado,08,071,17.0
Lincoln County,Colorado,08,073,15.1
Logan County,Colorado,08,075,15.8
Mesa County,Colorado,08,077,26.3
Moffat County,Colorado,08,081,15.3
Montezuma County,Colorado,08,083,26.7
Montrose County,Colorado,08,085,24.5
Morgan County,Colorado,08,087,14.9
Otero County,Colorado,08,089,15.6
Ouray County,Colorado,08,091,52.0
Park County,Colorado,08,093,29.2
Phillips County,Colorado,08,095,21.2
Pitkin County,Colorado,08,097,59.1
Prowers County,Colorado,08,099,13.5
Pueblo County,Colorado,08,101,21.6
Rio Blanco County,Colorado,08,103,22.0
Rio Grande County,Colorado,08,105,22.0
Routt County,Colorado,08,107,50.4
Saguache County,Colorado,08,109,27.0
San Miguel County,Colorado,08,113,53.9
Sedgwick County,Colorado,08,115,20.6
Summit County,Colorado,08,117,48.8
Teller County,Colorado,08,119,31.8
Washington County,Colorado,08,121,16.3
Yuma County,Colorado,08,125,21.5
Adams County,Colorado,08,001,22.2
Arapahoe County,Colorado,08,005,40.1
Boulder County,Colorado,08,013,58.9
Broomfield County,Colorado,08,014,51.9
Denver County,Colorado,08,031,45.0
Jefferson County,Colorado,08,059,41.6
Weld County,Colorado,08,123,26.1
Fairfield County,Connecticut,09,001,45.8
Hartford County,Connecticut,09,003,36.3
Litchfield County,Connecticut,09,005,33.6
Middlesex County,Connecticut,09,007,40.6
New Haven County,Connecticut,09,009,34.0
New London County,Connecticut,09,011,32.1
Tolland County,Connecticut,09,013,38.0
Windham County,Connecticut,09,015,23.1
Kent County,Delaware,10,001,22.5
New Castle County,Delaware,10,003,35.0
Sussex County,Delaware,10,005,23.2
Alachua County,Florida,12,001,41.6
Baker County,Florida,12,003,11.5
Bay County,Florida,12,005,22.2
Bradford County,Florida,12,007,10.9
Brevard County,Florida,12,009,27.3
Broward County,Florida,12,011,30.8
Calhoun County,Florida,12,013,10.5
Charlotte County,Florida,12,015,20.8
Citrus County,Florida,12,017,16.9
Clay County,Florida,12,019,23.8
Collier County,Florida,12,021,33.2
Columbia County,Florida,12,023,15.1
Miami-Dade County,Florida,12,086,26.9
DeSoto County,Florida,12,027,9.7
Dixie County,Florida,12,029,7.9
Duval County,Florida,12,031,27.3
Escambia County,Florida,12,033,24.5
Flagler County,Florida,12,035,23.0
Franklin County,Florida,12,037,15.5
Gadsden County,Florida,12,039,17.0
Gilchrist County,Florida,12,041,11.4
Glades County,Florida,12,043,8.4
Gulf County,Florida,12,045,16.0
Hamilton County,Florida,12,047,9.9
Hardee County,Florida,12,049,10.7
Hendry County,Florida,12,051,9.8
Hernando County,Florida,12,053,15.6
Highlands County,Florida,12,055,16.7
Hillsborough County,Florida,12,057,30.6
Holmes County,Florida,12,059,11.3
Indian River County,Florida,12,061,26.8
Jackson County,Florida,12,063,13.7
Jefferson County,Florida,12,065,18.5
Lafayette County,Florida,12,067,11.6
Lake County,Florida,12,069,21.5
Lee County,Florida,12,071,26.0
Leon County,Florida,12,073,45.0
Levy County,Florida,12,075,10.9
Liberty County,Florida,12,077,11.2
Madison County,Florida,12,079,11.3
Manatee County,Florida,12,081,27.7
Marion County,Florida,12,083,17.8
Martin County,Florida,12,085,31.6
Monroe County,Florida,12,087,31.3
Nassau County,Florida,12,089,23.0
Okaloosa County,Florida,12,091,28.8
Okeechobee County,Florida,12,093,10.6
Orange County,Florida,12,095,31.1
Osceola County,Florida,12,097,18.0
Palm Beach County,Florida,12,099,33.6
Pasco County,Florida,12,101,21.4
Pinellas County,Florida,12,103,28.9
Polk County,Florida,12,105,18.9
Putnam County,Florida,12,107,11.8
Saint Johns County,Florida,12,109,42.1
Saint Lucie County,Florida,12,111,19.9
Santa Rosa County,Florida,12,113,26.6
Sarasota County,Florida,12,115,32.4
Seminole County,Florida,12,117,35.3
Sumter County,Florida,12,119,28.0
Suwannee County,Florida,12,121,11.6
Taylor County,Florida,12,123,9.0
Union County,Florida,12,125,7.8
Volusia County,Florida,12,127,21.6
Wakulla County,Florida,12,129,16.1
Walton County,Florida,12,131,25.9
Washington County,Florida,12,133,11.1
Appling County,Georgia,13,001,13.1
Atkinson County,Georgia,13,003,7.8
Bacon County,Georgia,13,005,12.8
Baker County,Georgia,13,007,8.6
Baldwin County,Georgia,13,009,17.7
Banks County,Georgia,13,011,11.2
Barrow County,Georgia,13,013,16.5
Bartow County,Georgia,13,015,17.8
Ben Hill County,Georgia,13,017,10.9
Berrien County,Georgia,13,019,12.5
Bibb County,Georgia,13,021,23.8
Bleckley County,Georgia,13,023,16.5
Brantley County,Georgia,13,025,8.4
Brooks County,Georgia,13,027,11.7
Bryan County,Georgia,13,029,31.1
Bulloch County,Georgia,13,031,29.0
Burke County,Georgia,13,033,9.6
Butts County,Georgia,13,035,10.1
Calhoun County,Georgia,13,037,9.9
Camden County,Georgia,13,039,21.1
Candler County,Georgia,13,043,15.4
Carroll County,Georgia,13,045,17.9
Catoosa County,Georgia,13,047,18.6
Charlton County,Georgia,13,049,10.0
Chatham County,Georgia,13,051,32.6
Chattahoochee County,Georgia,13,053,25.7
Chattooga County,Georgia,13,055,8.8
Cherokee County,Georgia,13,057,34.7
Clarke County,Georgia,13,059,40.2
Clay County,Georgia,13,061,7.8
Clayton County,Georgia,13,063,18.3
Clinch County,Georgia,13,065,13.5
Cobb County,Georgia,13,067,44.1
Coffee County,Georgia,13,069,13.7
Colquitt County,Georgia,13,071,13.1
Columbia County,Georgia,13,073,35.3
Cook County,Georgia,13,075,12.9
Coweta County,Georgia,13,077,27.6
Crawford County,Georgia,13,079,12.8
Crisp County,Georgia,13,081,14.6
Dade County,Georgia,13,083,14.1
Dawson County,Georgia,13,085,27.6
Decatur County,Georgia,13,087,15.8
DeKalb County,Georgia,13,089,41.1
Dodge County,Georgia,13,091,14.7
Dooly County,Georgia,13,093,9.2
Dougherty County,Georgia,13,095,18.9
Douglas County,Georgia,13,097,26.0
Early County,Georgia,13,099,15.2
Echols County,Georgia,13,101,8.3
Effingham County,Georgia,13,103,16.9
Elbert County,Georgia,13,105,10.6
Emanuel County,Georgia,13,107,10.8
Evans County,Georgia,13,109,15.4
Fannin County,Georgia,13,111,16.2
Fayette County,Georgia,13,113,43.8
Floyd County,Georgia,13,115,18.6
Forsyth County,Georgia,13,117,45.6
Franklin County,Georgia,13,119,12.6
Fulton County,Georgia,13,121,49.3
Gilmer County,Georgia,13,123,16.7
Glascock County,Georgia,13,125,8.1
Glynn County,Georgia,13,127,27.3
Gordon County,Georgia,13,129,13.7
Grady County,Georgia,13,131,13.3
Greene County,Georgia,13,133,24.7
Gwinnett County,Georgia,13,135,34.7
Habersham County,Georgia,13,137,17.5
Hall County,Georgia,13,139,22.7
Hancock County,Georgia,13,141,10.3
Haralson County,Georgia,13,143,14.1
Harris County,Georgia,13,145,26.6
Hart County,Georgia,13,147,13.6
Heard County,Georgia,13,149,10.1
Henry County,Georgia,13,151,27.0
Houston County,Georgia,13,153,23.5
Irwin County,Georgia,13,155,10.6
Jackson County,Georgia,13,157,19.2
Jasper County,Georgia,13,159,11.9
Jeff Davis County,Georgia,13,161,9.7
Jefferson County,Georgia,13,163,10.1
Jenkins County,Georgia,13,165,12.2
Johnson County,Georgia,13,167,8.9
Jones County,Georgia,13,169,19.7
Lamar County,Georgia,13,171,17.1
Lanier County,Georgia,13,173,12.7
Laurens County,Georgia,13,175,15.1
Lee County,Georgia,13,177,23.2
Liberty County,Georgia,13,179,18.7
Lincoln County,Georgia,13,181,12.1
Long County,Georgia,13,183,15.0
Lowndes County,Georgia,13,185,23.5
Lumpkin County,Georgia,13,187,28.1
McDuffie County,Georgia,13,189,14.2
McIntosh County,Georgia,13,191,13.1
Macon County,Georgia,13,193,7.9
Madison County,Georgia,13,195,15.6
Marion County,Georgia,13,197,12.2
Meriwether County,Georgia,13,199,9.3
Miller County,Georgia,13,201,12.8
Mitchell County,Georgia,13,205,11.4
Monroe County,Georgia,13,207,21.3
Montgomery County,Georgia,13,209,14.6
Morgan County,Georgia,13,211,22.1
Murray County,Georgia,13,213,10.3
Muscogee County,Georgia,13,215,24.1
Newton County,Georgia,13,217,20.2
Oconee County,Georgia,13,219,44.9
Oglethorpe County,Georgia,13,221,17.2
Paulding County,Georgia,13,223,23.8
Peach County,Georgia,13,225,20.9
Pickens County,Georgia,13,227,25.1
Pierce County,Georgia,13,229,14.2
Pike County,Georgia,13,231,16.0
Polk County,Georgia,13,233,13.1
Pulaski County,Georgia,13,235,12.1
Putnam County,Georgia,13,237,17.5
Quitman County,Georgia,13,239,6.7
Rabun County,Georgia,13,241,25.9
Randolph County,Georgia,13,243,14.7
Richmond County,Georgia,13,245,20.4
Rockdale County,Georgia,13,247,25.5
Schley County,Georgia,13,249,14.7
Screven County,Georgia,13,251,13.3
Seminole County,Georgia,13,253,15.1
Spalding County,Georgia,13,255,15.9
Stephens County,Georgia,13,257,16.2
Stewart County,Georgia,13,259,10.8
Sumter County,Georgia,13,261,19.0
Talbot County,Georgia,13,263,13.7
Taliaferro County,Georgia,13,265,9.9
Tattnall County,Georgia,13,267,11.0
Taylor County,Georgia,13,269,11.1
Telfair County,Georgia,13,271,9.3
Terrell County,Georgia,13,273,11.2
Thomas County,Georgia,13,275,19.2
Tift County,Georgia,13,277,16.8
Toombs County,Georgia,13,279,15.7
Towns County,Georgia,13,281,22.4
Treutlen County,Georgia,13,283,14.8
Troup County,Georgia,13,285,18.7
Turner County,Georgia,13,287,11.7
Twiggs County,Georgia,13,289,9.7
Union County,Georgia,13,291,21.9
Upson County,Georgia,13,293,12.1
Walker County,Georgia,13,295,14.7
Walton County,Georgia,13,297,17.9
Ware County,Georgia,13,299,12.9
Warren County,Georgia,13,301,12.5
Washington County,Georgia,13,303,12.9
Wayne County,Georgia,13,305,13.1
Webster County,Georgia,13,307,7.6
Wheeler County,Georgia,13,309,5.6
White County,Georgia,13,311,20.7
Whitfield County,Georgia,13,313,14.0
Wilcox County,Georgia,13,315,8.5
Wilkes County,Georgia,13,317,15.7
Wilkinson County,Georgia,13,319,7.4
Worth County,Georgia,13,321,9.4
Hawaii County,Hawaii,15,001,26.8
Honolulu County,Hawaii,15,003,32.7
Kauai County,Hawaii,15,007,28.0
Kalawao County,Hawaii,15,005,34.6
Maui County,Hawaii,15,009,26.1
Ada County,Idaho,16,001,37.1
Adams County,Idaho,16,003,21.5
Bannock County,Idaho,16,005,26.4
Bear Lake County,Idaho,16,007,19.1
Benewah County,Idaho,16,009,13.3
Bingham County,Idaho,16,011,17.5
Blaine County,Idaho,16,013,42.9
Boise County,Idaho,16,015,25.1
Bonner County,Idaho,16,017,20.9
Bonneville County,Idaho,16,019,27.2
Boundary County,Idaho,16,021,16.0
Butte County,Idaho,16,023,15.6
Camas County,Idaho,16,025,18.3
Canyon County,Idaho,16,027,17.7
Caribou County,Idaho,16,029,19.3
Cassia County,Idaho,16,031,17.8
Clearwater County,Idaho,16,035,16.9
Custer County,Idaho,16,037,27.1
Elmore County,Idaho,16,039,16.6
Franklin County,Idaho,16,041,18.4
Fremont County,Idaho,16,043,20.5
Gem County,Idaho,16,045,16.0
Gooding County,Idaho,16,047,14.3
Idaho County,Idaho,16,049,19.3
Jefferson County,Idaho,16,051,20.2
Jerome County,Idaho,16,053,14.0
Kootenai County,Idaho,16,055,23.3
Latah County,Idaho,16,057,45.6
Lemhi County,Idaho,16,059,21.5
Lewis County,Idaho,16,061,15.2
Lincoln County,Idaho,16,063,11.6
Madison County,Idaho,16,065,34.8
Minidoka County,Idaho,16,067,12.9
Nez Perce County,Idaho,16,069,23.4
Oneida County,Idaho,16,071,14.1
Owyhee County,Idaho,16,073,8.9
Payette County,Idaho,16,075,15.7
Power County,Idaho,16,077,13.0
Shoshone County,Idaho,16,079,14.1
Teton County,Idaho,16,081,39.8
Twin Falls County,Idaho,16,083,17.7
Valley County,Idaho,16,085,29.8
Washington County,Idaho,16,087,13.9
Adams County,Illinois,17,001,21.2
Alexander County,Illinois,17,003,8.0
Bond County,Illinois,17,005,17.6
Boone County,Illinois,17,007,20.2
Brown County,Illinois,17,009,14.0
Bureau County,Illinois,17,011,17.9
Calhoun County,Illinois,17,013,15.6
Carroll County,Illinois,17,015,16.2
Cass County,Illinois,17,017,13.9
Champaign County,Illinois,17,019,43.4
Christian County,Illinois,17,021,14.2
Clark County,Illinois,17,023,18.1
Clay County,Illinois,17,025,14.8
Clinton County,Illinois,17,027,20.8
Coles County,Illinois,17,029,24.1
Cook County,Illinois,17,031,35.8
Crawford County,Illinois,17,033,18.8
Cumberland County,Illinois,17,035,13.6
DeKalb County,Illinois,17,037,30.0
De Witt County,Illinois,17,039,19.2
Douglas County,Illinois,17,041,17.8
DuPage County,Illinois,17,043,46.7
Edgar County,Illinois,17,045,18.1
Edwards County,Illinois,17,047,11.0
Effingham County,Illinois,17,049,20.9
Fayette County,Illinois,17,051,13.2
Ford County,Illinois,17,053,16.6
Franklin County,Illinois,17,055,14.8
Fulton County,Illinois,17,057,16.0
Gallatin County,Illinois,17,059,9.5
Greene County,Illinois,17,061,11.9
Grundy County,Illinois,17,063,20.8
Hamilton County,Illinois,17,065,14.0
Hancock County,Illinois,17,067,20.3
Hardin County,Illinois,17,069,11.8
Henderson County,Illinois,17,071,13.9
Henry County,Illinois,17,073,20.6
Iroquois County,Illinois,17,075,15.3
Jackson County,Illinois,17,077,35.3
Jasper County,Illinois,17,079,17.6
Jefferson County,Illinois,17,081,16.3
Jersey County,Illinois,17,083,17.4
Jo Daviess County,Illinois,17,085,23.6
Johnson County,Illinois,17,087,16.7
Kane County,Illinois,17,089,31.6
Kankakee County,Illinois,17,091,18.8
Kendall County,Illinois,17,093,34.8
Knox County,Illinois,17,095,17.7
Lake County,Illinois,17,097,43.2
LaSalle County,Illinois,17,099,16.2
Lawrence County,Illinois,17,101,9.4
Lee County,Illinois,17,103,17.3
Livingston County,Illinois,17,105,15.2
Logan County,Illinois,17,107,17.2
McDonough County,Illinois,17,109,34.1
McHenry County,Illinois,17,111,32.5
McLean County,Illinois,17,113,44.0
Macon County,Illinois,17,115,22.9
Macoupin County,Illinois,17,117,18.1
Madison County,Illinois,17,119,25.3
Marion County,Illinois,17,121,14.5
Marshall County,Illinois,17,123,16.8
Mason County,Illinois,17,125,14.1
Massac County,Illinois,17,127,14.7
Menard County,Illinois,17,129,23.1
Mercer County,Illinois,17,131,15.7
Monroe County,Illinois,17,133,27.5
Montgomery County,Illinois,17,135,13.0
Morgan County,Illinois,17,137,22.3
Moultrie County,Illinois,17,139,15.7
Ogle County,Illinois,17,141,19.8
Peoria County,Illinois,17,143,29.2
Perry County,Illinois,17,145,13.4
Piatt County,Illinois,17,147,27.6
Pike County,Illinois,17,149,15.2
Pope County,Illinois,17,151,15.1
Pulaski County,Illinois,17,153,11.6
Putnam County,Illinois,17,155,12.5
Randolph County,Illinois,17,157,12.0
Richland County,Illinois,17,159,20.9
Rock Island County,Illinois,17,161,22.0
Saint Clair County,Illinois,17,163,26.0
Saline County,Illinois,17,165,14.0
Sangamon County,Illinois,17,167,33.4
Schuyler County,Illinois,17,169,15.9
Scott County,Illinois,17,171,11.9
Shelby County,Illinois,17,173,14.9
Stark County,Illinois,17,175,17.6
Stephenson County,Illinois,17,177,18.1
Tazewell County,Illinois,17,179,25.0
Union County,Illinois,17,181,21.6
Vermilion County,Illinois,17,183,13.8
Wabash County,Illinois,17,185,15.6
Warren County,Illinois,17,187,20.9
Washington County,Illinois,17,189,20.9
Wayne County,Illinois,17,191,13.8
White County,Illinois,17,193,13.6
Whiteside County,Illinois,17,195,16.9
Will County,Illinois,17,197,33.0
Williamson County,Illinois,17,199,21.0
Winnebago County,Illinois,17,201,21.9
Woodford County,Illinois,17,203,28.4
Adams County,Indiana,18,001,15.0
Allen County,Indiana,18,003,27.0
Bartholomew County,Indiana,18,005,29.4
Benton County,Indiana,18,007,16.9
Blackford County,Indiana,18,009,10.1
Boone County,Indiana,18,011,42.7
Brown County,Indiana,18,013,22.3
Carroll County,Indiana,18,015,17.0
Cass County,Indiana,18,017,14.2
Clark County,Indiana,18,019,20.1
Clay County,Indiana,18,021,15.1
Clinton County,Indiana,18,023,15.1
Crawford County,Indiana,18,025,9.7
Daviess County,Indiana,18,027,13.7
Dearborn County,Indiana,18,029,19.5
Decatur County,Indiana,18,031,16.2
DeKalb County,Indiana,18,033,17.0
Delaware County,Indiana,18,035,23.2
Dubois County,Indiana,18,037,18.7
Elkhart County,Indiana,18,039,18.1
Fayette County,Indiana,18,041,9.8
Floyd County,Indiana,18,043,25.8
Fountain County,Indiana,18,045,13.6
Franklin County,Indiana,18,047,19.3
Fulton County,Indiana,18,049,13.2
Gibson County,Indiana,18,051,15.1
Grant County,Indiana,18,053,17.3
Greene County,Indiana,18,055,13.7
Hamilton County,Indiana,18,057,55.9
Hancock County,Indiana,18,059,28.3
Harrison County,Indiana,18,061,16.0
Hendricks County,Indiana,18,063,33.4
Henry County,Indiana,18,065,15.6
Howard County,Indiana,18,067,18.9
Huntington County,Indiana,18,069,18.0
Jackson County,Indiana,18,071,15.0
Jasper County,Indiana,18,073,15.3
Jay County,Indiana,18,075,10.1
Jefferson County,Indiana,18,077,17.6
Jennings County,Indiana,18,079,10.4
