County,State,State_FIPS,County_FIPS,bachelors_degree
San Francisco County,California,06,075,208286.0
San Joaquin County,California,06,077,53111.0
San Luis Obispo County,California,06,079,36175.0
San Mateo County,California,06,081,140683.0
Santa Barbara County,California,06,083,49596.0
Santa Clara County,California,06,085,324301.0
Santa Cruz County,California,06,087,39582.0
Shasta County,California,06,089,15358.0
Sierra County,California,06,091,371.0
Siskiyou County,California,06,093,5173.0
Solano County,California,06,095,47620.0
Sonoma County,California,06,097,72304.0
Stanislaus County,California,06,099,35408.0
Sutter County,California,06,101,7916.0
Tehama County,California,06,103,4048.0
Trinity County,California,06,105,1748.0
Tulare County,California,06,107,23091.0
Tuolumne County,California,06,109,5528.0
Ventura County,California,06,111,108296.0
Yolo County,California,06,113,23414.0
Yuba County,California,06,115,4443.0
Alamosa County,Colorado,08,003,1289.0
Archuleta County,Colorado,08,007,2074.0
Baca County,Colorado,08,009,315.0
Bent County,Colorado,08,011,245.0
Chaffee County,Colorado,08,015,3113.0
Cheyenne County,Colorado,08,017,229.0
Clear Creek County,Colorado,08,019,1812.0
Conejos County,Colorado,08,021,776.0
Costilla County,Colorado,08,023,227.0
Crowley County,Colorado,08,025,271.0
Custer County,Colorado,08,027,726.0
Delta County,Colorado,08,029,2793.0
Dolores County,Colorado,08,033,228.0
Douglas County,Colorado,08,035,72660.0
Eagle County,Colorado,08,037,12658.0
Elbert County,Colorado,08,039,3446.0
El Paso County,Colorado,08,041,87758.0
Fremont County,Colorado,08,043,3549.0
Garfield County,Colorado,08,045,7468.0
Gilpin County,Colorado,08,047,765.0
Grand County,Colorado,08,049,2875.0
Gunnison County,Colorado,08,051,3986.0
Huerfano County,Colorado,08,055,782.0
Jackson County,Colorado,08,057,127.0
Kiowa County,Colorado,08,061,126.0
Kit Carson County,Colorado,08,063,515.0
Lake County,Colorado,08,065,1092.0
La Plata County,Colorado,08,067,10022.0
Larimer County,Colorado,08,069,55383.0
Las Animas County,Colorado,08,071,1252.0
Lincoln County,Colorado,08,073,525.0
Logan County,Colorado,08,075,1401.0
Mesa County,Colorado,08,077,16525.0
Moffat County,Colorado,08,081,942.0
Montezuma County,Colorado,08,083,2768.0
Montrose County,Colorado,08,085,4181.0
Morgan County,Colorado,08,087,1606.0
Otero County,Colorado,08,089,1310.0
Ouray County,Colorado,08,091,1084.0
Park County,Colorado,08,093,2827.0
Phillips County,Colorado,08,095,365.0
Pitkin County,Colorado,08,097,5525.0
Prowers County,Colorado,08,099,740.0
Pueblo County,Colorado,08,101,14294.0
Rio Blanco County,Colorado,08,103,612.0
Rio Grande County,Colorado,08,105,1000.0
Routt County,Colorado,08,107,5276.0
Saguache County,Colorado,08,109,718.0
San Miguel County,Colorado,08,113,2301.0
Sedgwick County,Colorado,08,115,219.0
Summit County,Colorado,08,117,6736.0
Teller County,Colorado,08,119,3012.0
Washington County,Colorado,08,121,444.0
Yuma County,Colorado,08,125,873.0
Adams County,Colorado,08,001,43034.0
Arapahoe County,Colorado,08,005,101636.0
Boulder County,Colorado,08,013,61713.0
Broomfield County,Colorado,08,014,12595.0
Denver County,Colorado,08,031,117528.0
Jefferson County,Colorado,08,059,99724.0
Weld County,Colorado,08,123,29121.0
Fairfield County,Connecticut,09,001,160572.0
Hartford County,Connecticut,09,003,124696.0
Litchfield County,Connecticut,09,005,27027.0
Middlesex County,Connecticut,09,007,25901.0
New Haven County,Connecticut,09,009,106338.0
New London County,Connecticut,09,011,32268.0
Tolland County,Connecticut,09,013,19109.0
Windham County,Connecticut,09,015,10751.0
Kent County,Delaware,10,001,15105.0
New Castle County,Delaware,10,003,74426.0
Sussex County,Delaware,10,005,19116.0
Alachua County,Florida,12,001,31013.0
Baker County,Florida,12,003,1171.0
Bay County,Florida,12,005,17061.0
Bradford County,Florida,12,007,1461.0
Brevard County,Florida,12,009,66517.0
Broward County,Florida,12,011,245152.0
Calhoun County,Florida,12,013,712.0
Charlotte County,Florida,12,015,17501.0
Citrus County,Florida,12,017,11853.0
Clay County,Florida,12,019,21005.0
Collier County,Florida,12,021,47974.0
Columbia County,Florida,12,023,3901.0
Miami-Dade County,Florida,12,086,300700.0
DeSoto County,Florida,12,027,1544.0
Dixie County,Florida,12,029,622.0
Duval County,Florida,12,031,106991.0
Escambia County,Florida,12,033,31458.0
Flagler County,Florida,12,035,11210.0
Franklin County,Florida,12,037,936.0
Gadsden County,Florida,12,039,3189.0
Gilchrist County,Florida,12,041,902.0
Glades County,Florida,12,043,604.0
Gulf County,Florida,12,045,1296.0
Hamilton County,Florida,12,047,745.0
Hardee County,Florida,12,049,1257.0
Hendry County,Florida,12,051,1652.0
Hernando County,Florida,12,053,13935.0
Highlands County,Florida,12,055,7524.0
Hillsborough County,Florida,12,057,163711.0
