County,State,State_FIPS,County_FIPS,masters_degree
Hillsborough County,Florida,12,057,62774.0
Holmes County,Florida,12,059,480.0
Indian River County,Florida,12,061,7301.0
Jackson County,Florida,12,063,1302.0
Jefferson County,Florida,12,065,481.0
Lafayette County,Florida,12,067,183.0
Lake County,Florida,12,069,11825.0
Lee County,Florida,12,071,30397.0
Leon County,Florida,12,073,20036.0
Levy County,Florida,12,075,806.0
Liberty County,Florida,12,077,178.0
Madison County,Florida,12,079,433.0
Manatee County,Florida,12,081,19216.0
Marion County,Florida,12,083,9984.0
Martin County,Florida,12,085,8863.0
Monroe County,Florida,12,087,4253.0
Nassau County,Florida,12,089,2866.0
Okaloosa County,Florida,12,091,10950.0
Okeechobee County,Florida,12,093,589.0
Orange County,Florida,12,095,57364.0
Osceola County,Florida,12,097,7024.0
Palm Beach County,Florida,12,099,78306.0
Pasco County,Florida,12,101,18271.0
Pinellas County,Florida,12,103,45454.0
Polk County,Florida,12,105,18197.0
Putnam County,Florida,12,107,1465.0
Saint Johns County,Florida,12,109,13526.0
Saint Lucie County,Florida,12,111,10140.0
Santa Rosa County,Florida,12,113,7406.0
Sarasota County,Florida,12,115,26395.0
Seminole County,Florida,12,117,25209.0
Sumter County,Florida,12,119,7831.0
Suwannee County,Florida,12,121,749.0
Taylor County,Florida,12,123,616.0
Union County,Florida,12,125,176.0
Volusia County,Florida,12,127,19349.0
Wakulla County,Florida,12,129,1008.0
Walton County,Florida,12,131,2265.0
Washington County,Florida,12,133,664.0
Appling County,Georgia,13,001,338.0
Atkinson County,Georgia,13,003,99.0
Bacon County,Georgia,13,005,256.0
Baker County,Georgia,13,007,79.0
Baldwin County,Georgia,13,009,1627.0
Banks County,Georgia,13,011,366.0
Barrow County,Georgia,13,013,1587.0
Bartow County,Georgia,13,015,2924.0
Ben Hill County,Georgia,13,017,300.0
Berrien County,Georgia,13,019,511.0
Bibb County,Georgia,13,021,5626.0
Bleckley County,Georgia,13,023,405.0
Brantley County,Georgia,13,025,298.0
Brooks County,Georgia,13,027,251.0
Bryan County,Georgia,13,029,1640.0
Bulloch County,Georgia,13,031,2599.0
Burke County,Georgia,13,033,400.0
Butts County,Georgia,13,035,301.0
Calhoun County,Georgia,13,037,132.0
Camden County,Georgia,13,039,1933.0
Candler County,Georgia,13,043,194.0
Carroll County,Georgia,13,045,3234.0
Catoosa County,Georgia,13,047,1943.0
Charlton County,Georgia,13,049,326.0
Chatham County,Georgia,13,051,14940.0
