County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Renter),Unemployment Rate,Total Occupied Households,Hispanic Population,Rent Burden Count (+50%),Total Population,White Population,Total Families (Single Mother),Median Household Income,No Vehicle (Owner),Gini Index,Median Age,Bachelor's Degree or Higher (%),Total Families,Disability Rate,Rent Denominator,Poverty Rate,Black Population,High School Degree or Higher (%),Year
Denali Borough,Alaska,74.9741404048799,2,68,16.0,1.5,613.0,7.0,6.0,2246.0,1892.0,7.0,81719.0,5.0,0.3486,42.1,41.1,321.0,14.9,113.0,16.3,26.0,98.5,2019
Yukon-Koyukuk Census Area,Alaska,74.9741404048799,2,290,338.0,17.0,1856.0,143.0,49.0,5377.0,1223.0,163.0,41413.0,636.0,0.4671,35.2,13.6,1084.0,15.7,512.0,25.4,4.0,86.0,2019
Hoonah-Angoon Census Area,Alaska,81.5456543521652,2,105,55.0,10.7,791.0,146.0,12.0,2139.0,986.0,36.0,59803.0,184.0,0.4306,49.6,21.3,478.0,16.0,194.0,10.3,68.0,93.7,2019
Skagway Municipality,Alaska,81.5456543521652,2,230,34.0,6.5,375.0,63.0,5.0,1107.0,940.0,16.0,73906.0,2.0,0.3023,40.4,29.6,200.0,12.5,175.0,6.4,44.0,94.7,2019
Yakutat City and Borough,Alaska,81.5456543521652,2,282,15.0,5.8,219.0,50.0,4.0,649.0,293.0,13.0,71607.0,13.0,0.3385,36.9,22.6,127.0,11.1,74.0,7.4,5.0,91.2,2019
Ketchikan Gateway Borough,Alaska,79.753892368488,2,130,513.0,5.9,5397.0,727.0,468.0,13800.0,9178.0,348.0,72728.0,165.0,0.4332,39.7,25.3,3453.0,14.9,2075.0,9.6,104.0,92.8,2019
Petersburg Borough,Alaska,79.753892368488,2,195,96.0,4.1,1187.0,381.0,80.0,3257.0,2480.0,64.0,69948.0,91.0,0.4274,42.8,28.4,766.0,19.0,370.0,5.7,33.0,89.7,2019
Prince of Wales-Hyder Census Area,Alaska,79.753892368488,2,198,93.0,11.3,2371.0,247.0,84.0,6407.0,3056.0,138.0,52379.0,159.0,0.4326,41.3,18.3,1525.0,21.7,646.0,17.3,29.0,90.8,2019
Wrangell City and Borough,Alaska,79.753892368488,2,275,92.0,6.6,1027.0,126.0,54.0,2502.0,1577.0,47.0,53894.0,42.0,0.4208,49.4,19.4,654.0,17.7,330.0,7.8,1.0,86.5,2019
Apache County,Arizona,72.3284548272921,4,1,527.0,10.5,20867.0,4531.0,378.0,71511.0,16328.0,1736.0,32508.0,2149.0,0.5013,35.0,12.3,13816.0,15.0,4405.0,35.5,373.0,80.4,2019
Cochise County,Arizona,77.7795013827217,4,3,1766.0,6.3,50163.0,44626.0,2818.0,125867.0,107581.0,3121.0,49260.0,984.0,0.4427,41.1,23.1,32462.0,17.3,15586.0,16.6,5132.0,87.4,2019
Coconino County,Arizona,78.79049043438,4,5,1452.0,7.6,47447.0,19931.0,5024.0,141274.0,90333.0,2390.0,59460.0,876.0,0.4667,30.7,36.2,28849.0,12.4,18485.0,17.6,1742.0,90.5,2019
