County,State,State_FIPS,County_FIPS,poverty_rate
Baxter County,Arkansas,05,005,15.9
Benton County,Arkansas,05,007,12.2
Boone County,Arkansas,05,009,17.7
Bradley County,Arkansas,05,011,29.0
Calhoun County,Arkansas,05,013,17.8
Carroll County,Arkansas,05,015,18.3
Chicot County,Arkansas,05,017,31.7
Clark County,Arkansas,05,019,23.7
Clay County,Arkansas,05,021,21.8
Cleburne County,Arkansas,05,023,14.5
Cleveland County,Arkansas,05,025,20.8
Columbia County,Arkansas,05,027,25.6
Conway County,Arkansas,05,029,22.6
Craighead County,Arkansas,05,031,20.2
Crawford County,Arkansas,05,033,18.5
Crittenden County,Arkansas,05,035,24.1
Cross County,Arkansas,05,037,20.1
Dallas County,Arkansas,05,039,15.5
Desha County,Arkansas,05,041,33.0
Drew County,Arkansas,05,043,28.6
Faulkner County,Arkansas,05,045,15.5
Franklin County,Arkansas,05,047,22.0
Fulton County,Arkansas,05,049,19.9
Garland County,Arkansas,05,051,20.9
Grant County,Arkansas,05,053,12.0
Greene County,Arkansas,05,055,17.8
Hempstead County,Arkansas,05,057,27.0
Hot Spring County,Arkansas,05,059,19.1
Howard County,Arkansas,05,061,21.8
Independence County,Arkansas,05,063,21.8
Izard County,Arkansas,05,065,21.0
Jackson County,Arkansas,05,067,26.8
Jefferson County,Arkansas,05,069,25.5
Johnson County,Arkansas,05,071,22.1
Lafayette County,Arkansas,05,073,24.4
Lawrence County,Arkansas,05,075,23.9
Lee County,Arkansas,05,077,27.3
Lincoln County,Arkansas,05,079,23.0
Little River County,Arkansas,05,081,19.3
Logan County,Arkansas,05,083,19.3
Lonoke County,Arkansas,05,085,12.4
Madison County,Arkansas,05,087,20.5
Marion County,Arkansas,05,089,18.8
Miller County,Arkansas,05,091,20.3
Mississippi County,Arkansas,05,093,26.8
Monroe County,Arkansas,05,095,32.8
Montgomery County,Arkansas,05,097,17.9
Nevada County,Arkansas,05,099,28.1
Newton County,Arkansas,05,101,20.5
Ouachita County,Arkansas,05,103,24.1
Perry County,Arkansas,05,105,16.0
Phillips County,Arkansas,05,107,34.1
Pike County,Arkansas,05,109,20.2
Poinsett County,Arkansas,05,111,22.8
Polk County,Arkansas,05,113,24.1
Pope County,Arkansas,05,115,20.0
Prairie County,Arkansas,05,117,21.4
Pulaski County,Arkansas,05,119,17.6
Randolph County,Arkansas,05,121,21.1
Saint Francis County,Arkansas,05,123,24.8
Saline County,Arkansas,05,125,9.1
Scott County,Arkansas,05,127,20.1
