County,State,State_FIPS,County_FIPS,median_household_income
Washington County,Colorado,08,121,45541.0
Yuma County,Colorado,08,125,43105.0
Adams County,Colorado,08,001,58946.0
Arapahoe County,Colorado,08,005,63265.0
Boulder County,Colorado,08,013,70961.0
Broomfield County,Colorado,08,014,81898.0
Denver County,Colorado,08,031,53637.0
Jefferson County,Colorado,08,059,70164.0
Weld County,Colorado,08,123,60572.0
Fairfield County,Connecticut,09,001,84233.0
Hartford County,Connecticut,09,003,66395.0
Litchfield County,Connecticut,09,005,72061.0
Middlesex County,Connecticut,09,007,79893.0
New Haven County,Connecticut,09,009,61640.0
New London County,Connecticut,09,011,66233.0
Tolland County,Connecticut,09,013,79626.0
Windham County,Connecticut,09,015,59392.0
Kent County,Delaware,10,001,54976.0
New Castle County,Delaware,10,003,65476.0
Sussex County,Delaware,10,005,53751.0
Alachua County,Florida,12,001,43073.0
Baker County,Florida,12,003,47121.0
Bay County,Florida,12,005,47368.0
Bradford County,Florida,12,007,41606.0
Brevard County,Florida,12,009,48925.0
Broward County,Florida,12,011,51968.0
Calhoun County,Florida,12,013,34510.0
Charlotte County,Florida,12,015,44244.0
Citrus County,Florida,12,017,38312.0
Clay County,Florida,12,019,58290.0
Collier County,Florida,12,021,57452.0
Columbia County,Florida,12,023,41926.0
Miami-Dade County,Florida,12,086,43129.0
DeSoto County,Florida,12,027,35165.0
Dixie County,Florida,12,029,36292.0
Duval County,Florida,12,031,47690.0
Escambia County,Florida,12,033,45390.0
Flagler County,Florida,12,035,47866.0
Franklin County,Florida,12,037,40401.0
Gadsden County,Florida,12,039,35567.0
Gilchrist County,Florida,12,041,40623.0
Glades County,Florida,12,043,34877.0
Gulf County,Florida,12,045,41788.0
Hamilton County,Florida,12,047,35048.0
Hardee County,Florida,12,049,35457.0
Hendry County,Florida,12,051,36771.0
Hernando County,Florida,12,053,40945.0
Highlands County,Florida,12,055,35093.0
Hillsborough County,Florida,12,057,50579.0
Holmes County,Florida,12,059,35020.0
Indian River County,Florida,12,061,45798.0
Jackson County,Florida,12,063,35098.0
Jefferson County,Florida,12,065,43355.0
Lafayette County,Florida,12,067,35864.0
Lake County,Florida,12,069,46403.0
Lee County,Florida,12,071,48537.0
Leon County,Florida,12,073,46745.0
Levy County,Florida,12,075,35782.0
Liberty County,Florida,12,077,39406.0
Madison County,Florida,12,079,32164.0
Manatee County,Florida,12,081,49675.0
Marion County,Florida,12,083,39459.0
Martin County,Florida,12,085,51593.0
Monroe County,Florida,12,087,57290.0
Nassau County,Florida,12,089,54116.0
Okaloosa County,Florida,12,091,55880.0
Okeechobee County,Florida,12,093,35405.0
Orange County,Florida,12,095,47943.0
Osceola County,Florida,12,097,44254.0
Palm Beach County,Florida,12,099,53363.0
Pasco County,Florida,12,101,45064.0
Pinellas County,Florida,12,103,45819.0
Polk County,Florida,12,105,43162.0
Putnam County,Florida,12,107,31715.0
Saint Johns County,Florida,12,109,66194.0
Saint Lucie County,Florida,12,111,43459.0
Santa Rosa County,Florida,12,113,58923.0
Sarasota County,Florida,12,115,51766.0
Seminole County,Florida,12,117,57010.0
Sumter County,Florida,12,119,50350.0
Suwannee County,Florida,12,121,36289.0
Taylor County,Florida,12,123,36181.0
Union County,Florida,12,125,39163.0
Volusia County,Florida,12,127,41117.0
Wakulla County,Florida,12,129,50340.0
Walton County,Florida,12,131,44966.0
Washington County,Florida,12,133,38970.0
Appling County,Georgia,13,001,37135.0
Atkinson County,Georgia,13,003,30933.0
Bacon County,Georgia,13,005,37162.0
Baker County,Georgia,13,007,44297.0
Baldwin County,Georgia,13,009,32460.0
Banks County,Georgia,13,011,41472.0
Barrow County,Georgia,13,013,52012.0
Bartow County,Georgia,13,015,48893.0
Ben Hill County,Georgia,13,017,29994.0
Berrien County,Georgia,13,019,31835.0
Bibb County,Georgia,13,021,36519.0
Bleckley County,Georgia,13,023,38991.0
Brantley County,Georgia,13,025,37206.0
Brooks County,Georgia,13,027,32663.0
Bryan County,Georgia,13,029,63327.0
Bulloch County,Georgia,13,031,36032.0
Burke County,Georgia,13,033,33641.0
Butts County,Georgia,13,035,41667.0
Calhoun County,Georgia,13,037,25513.0
Camden County,Georgia,13,039,52473.0
Candler County,Georgia,13,043,30185.0
Carroll County,Georgia,13,045,43586.0
Catoosa County,Georgia,13,047,50876.0
Charlton County,Georgia,13,049,42778.0
Chatham County,Georgia,13,051,47218.0
Chattahoochee County,Georgia,13,053,43378.0
Chattooga County,Georgia,13,055,32913.0
Cherokee County,Georgia,13,057,68926.0
Clarke County,Georgia,13,059,32162.0
Clay County,Georgia,13,061,20438.0
Clayton County,Georgia,13,063,40938.0
Clinch County,Georgia,13,065,24015.0
Cobb County,Georgia,13,067,65873.0
Coffee County,Georgia,13,069,33965.0
Colquitt County,Georgia,13,071,32409.0
Columbia County,Georgia,13,073,71021.0
Cook County,Georgia,13,075,35683.0
Coweta County,Georgia,13,077,62461.0
Crawford County,Georgia,13,079,41825.0
Crisp County,Georgia,13,081,31615.0
Dade County,Georgia,13,083,46434.0
Dawson County,Georgia,13,085,56943.0
Decatur County,Georgia,13,087,31284.0
DeKalb County,Georgia,13,089,51376.0
Dodge County,Georgia,13,091,34271.0
Dooly County,Georgia,13,093,28696.0
Dougherty County,Georgia,13,095,32084.0
Douglas County,Georgia,13,097,53881.0
Early County,Georgia,13,099,31680.0
Echols County,Georgia,13,101,32959.0
Effingham County,Georgia,13,103,63100.0
Elbert County,Georgia,13,105,35388.0
Emanuel County,Georgia,13,107,32229.0
Evans County,Georgia,13,109,37865.0
Fannin County,Georgia,13,111,37049.0
Fayette County,Georgia,13,113,79066.0
Floyd County,Georgia,13,115,41549.0
Forsyth County,Georgia,13,117,88816.0
Franklin County,Georgia,13,119,33816.0
Fulton County,Georgia,13,121,57207.0
Gilmer County,Georgia,13,123,40228.0
Glascock County,Georgia,13,125,40759.0
Glynn County,Georgia,13,127,45918.0
Gordon County,Georgia,13,129,41612.0
