County,State,State_FIPS,County_FIPS,health_insurance_rate
Costilla County,Colorado,08,023,26.3
Crowley County,Colorado,08,025,22.3
Custer County,Colorado,08,027,20.3
Delta County,Colorado,08,029,19.6
Dolores County,Colorado,08,033,16.3
Douglas County,Colorado,08,035,5.8
Eagle County,Colorado,08,037,19.3
Elbert County,Colorado,08,039,11.3
El Paso County,Colorado,08,041,13.7
Fremont County,Colorado,08,043,14.9
Garfield County,Colorado,08,045,30.6
Gilpin County,Colorado,08,047,11.0
Grand County,Colorado,08,049,19.0
Gunnison County,Colorado,08,051,18.0
Huerfano County,Colorado,08,055,14.7
Jackson County,Colorado,08,057,17.4
Kiowa County,Colorado,08,061,17.4
Kit Carson County,Colorado,08,063,22.1
Lake County,Colorado,08,065,29.1
La Plata County,Colorado,08,067,19.3
Larimer County,Colorado,08,069,12.0
Las Animas County,Colorado,08,071,20.6
Lincoln County,Colorado,08,073,12.4
Logan County,Colorado,08,075,18.7
Mesa County,Colorado,08,077,16.8
Moffat County,Colorado,08,081,19.2
Montezuma County,Colorado,08,083,20.8
Montrose County,Colorado,08,085,21.6
Morgan County,Colorado,08,087,18.9
Otero County,Colorado,08,089,19.2
Ouray County,Colorado,08,091,18.6
Park County,Colorado,08,093,14.7
Phillips County,Colorado,08,095,16.2
Pitkin County,Colorado,08,097,13.3
Prowers County,Colorado,08,099,17.8
Pueblo County,Colorado,08,101,15.0
Rio Blanco County,Colorado,08,103,14.3
Rio Grande County,Colorado,08,105,18.3
Routt County,Colorado,08,107,14.9
Saguache County,Colorado,08,109,31.1
San Miguel County,Colorado,08,113,20.7
Sedgwick County,Colorado,08,115,13.3
Summit County,Colorado,08,117,21.6
Teller County,Colorado,08,119,13.6
Washington County,Colorado,08,121,14.2
Yuma County,Colorado,08,125,15.3
Adams County,Colorado,08,001,21.0
Arapahoe County,Colorado,08,005,16.1
Boulder County,Colorado,08,013,11.7
Broomfield County,Colorado,08,014,8.1
Denver County,Colorado,08,031,18.3
Jefferson County,Colorado,08,059,11.9
Weld County,Colorado,08,123,16.2
Fairfield County,Connecticut,09,001,11.2
Hartford County,Connecticut,09,003,8.0
Litchfield County,Connecticut,09,005,7.0
Middlesex County,Connecticut,09,007,7.3
New Haven County,Connecticut,09,009,8.7
New London County,Connecticut,09,011,7.6
Tolland County,Connecticut,09,013,5.1
Windham County,Connecticut,09,015,9.3
Kent County,Delaware,10,001,9.0
New Castle County,Delaware,10,003,8.9
Sussex County,Delaware,10,005,11.7
Alachua County,Florida,12,001,16.2
Baker County,Florida,12,003,14.3
Bay County,Florida,12,005,18.8
Bradford County,Florida,12,007,19.1
Brevard County,Florida,12,009,16.5
Broward County,Florida,12,011,22.5
Calhoun County,Florida,12,013,20.7
Charlotte County,Florida,12,015,16.2
Citrus County,Florida,12,017,16.1
Clay County,Florida,12,019,14.0
Collier County,Florida,12,021,23.0
Columbia County,Florida,12,023,17.4
Miami-Dade County,Florida,12,086,29.8
DeSoto County,Florida,12,027,29.0
Dixie County,Florida,12,029,16.9
Duval County,Florida,12,031,17.2
Escambia County,Florida,12,033,17.8
Flagler County,Florida,12,035,17.7
Franklin County,Florida,12,037,21.4
Gadsden County,Florida,12,039,18.6
Gilchrist County,Florida,12,041,23.3
Glades County,Florida,12,043,31.7
Gulf County,Florida,12,045,20.8
Hamilton County,Florida,12,047,20.9
Hardee County,Florida,12,049,30.5
Hendry County,Florida,12,051,34.5
Hernando County,Florida,12,053,16.9
Highlands County,Florida,12,055,18.2
Hillsborough County,Florida,12,057,18.9
Holmes County,Florida,12,059,19.1
Indian River County,Florida,12,061,19.9
Jackson County,Florida,12,063,15.1
Jefferson County,Florida,12,065,21.0
Lafayette County,Florida,12,067,22.3
Lake County,Florida,12,069,16.0
Lee County,Florida,12,071,20.9
Leon County,Florida,12,073,12.8
Levy County,Florida,12,075,21.0
Liberty County,Florida,12,077,31.3
Madison County,Florida,12,079,21.0
Manatee County,Florida,12,081,19.4
Marion County,Florida,12,083,19.0
Martin County,Florida,12,085,16.7
Monroe County,Florida,12,087,27.1
Nassau County,Florida,12,089,17.6
Okaloosa County,Florida,12,091,16.0
Okeechobee County,Florida,12,093,25.7
Orange County,Florida,12,095,22.1
Osceola County,Florida,12,097,24.1
Palm Beach County,Florida,12,099,20.0
Pasco County,Florida,12,101,16.9
Pinellas County,Florida,12,103,17.3
Polk County,Florida,12,105,18.2
Putnam County,Florida,12,107,21.9
Saint Johns County,Florida,12,109,12.3
Saint Lucie County,Florida,12,111,22.4
Santa Rosa County,Florida,12,113,14.9
