County,State,State_FIPS,County_FIPS,black_population
Saint Clair County,Alabama,01,115,8126.0
Shelby County,Alabama,01,117,24669.0
Sumter County,Alabama,01,119,9268.0
Talladega County,Alabama,01,121,26004.0
Tallapoosa County,Alabama,01,123,11216.0
Tuscaloosa County,Alabama,01,125,63965.0
Walker County,Alabama,01,127,3963.0
Washington County,Alabama,01,129,4120.0
Wilcox County,Alabama,01,131,7874.0
Winston County,Alabama,01,133,124.0
Anchorage Municipality,Alaska,02,020,16335.0
Bethel Census Area,Alaska,02,050,120.0
Bristol Bay Borough,Alaska,02,060,4.0
Fairbanks North Star Borough,Alaska,02,090,4251.0
Haines Borough,Alaska,02,100,1.0
Juneau City and Borough,Alaska,02,110,343.0
Kenai Peninsula Borough,Alaska,02,122,311.0
Kodiak Island Borough,Alaska,02,150,27.0
Matanuska-Susitna Borough,Alaska,02,170,1138.0
Nome Census Area,Alaska,02,180,75.0
North Slope Borough,Alaska,02,185,64.0
Sitka City and Borough,Alaska,02,220,85.0
Southeast Fairbanks Census Area,Alaska,02,240,119.0
Valdez-Cordova Census Area,Alaska,02,261,13.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,58.0
Aleutians East Borough,Alaska,02,013,175.0
Aleutians West Census Area,Alaska,02,016,295.0
Dillingham Census Area,Alaska,02,070,22.0
Lake and Peninsula Borough,Alaska,02,164,9.0
Denali Borough,Alaska,02,068,4.0
Yukon-Koyukuk Census Area,Alaska,02,290,5.0
Hoonah-Angoon Census Area,Alaska,02,105,62.0
Skagway Municipality,Alaska,02,230,9.0
Yakutat City and Borough,Alaska,02,282,6.0
Ketchikan Gateway Borough,Alaska,02,130,75.0
Petersburg Borough,Alaska,02,195,19.0
Prince of Wales-Hyder Census Area,Alaska,02,198,10.0
Wrangell City and Borough,Alaska,02,275,4.0
Apache County,Arizona,04,001,364.0
Cochise County,Arizona,04,003,4786.0
Coconino County,Arizona,04,005,1986.0
Gila County,Arizona,04,007,300.0
Graham County,Arizona,04,009,750.0
Greenlee County,Arizona,04,011,191.0
Maricopa County,Arizona,04,013,222363.0
Mohave County,Arizona,04,015,2208.0
Navajo County,Arizona,04,017,889.0
Pima County,Arizona,04,019,34872.0
Pinal County,Arizona,04,021,18273.0
Santa Cruz County,Arizona,04,023,236.0
Yavapai County,Arizona,04,025,1169.0
La Paz County,Arizona,04,012,177.0
Yuma County,Arizona,04,027,4267.0
Arkansas County,Arkansas,05,001,4852.0
Ashley County,Arkansas,05,003,5309.0
Baxter County,Arkansas,05,005,74.0
Benton County,Arkansas,05,007,4144.0
Boone County,Arkansas,05,009,143.0
Bradley County,Arkansas,05,011,3220.0
Calhoun County,Arkansas,05,013,1156.0
Carroll County,Arkansas,05,015,372.0
Chicot County,Arkansas,05,017,5963.0
Clark County,Arkansas,05,019,5368.0
Clay County,Arkansas,05,021,104.0
Cleburne County,Arkansas,05,023,150.0
Cleveland County,Arkansas,05,025,919.0
Columbia County,Arkansas,05,027,8386.0
Conway County,Arkansas,05,029,2344.0
Craighead County,Arkansas,05,031,13979.0
Crawford County,Arkansas,05,033,830.0
Crittenden County,Arkansas,05,035,24164.0
Cross County,Arkansas,05,037,3914.0
Dallas County,Arkansas,05,039,3060.0
Desha County,Arkansas,05,041,5744.0
Drew County,Arkansas,05,043,5358.0
Faulkner County,Arkansas,05,045,13843.0
Franklin County,Arkansas,05,047,176.0
Fulton County,Arkansas,05,049,40.0
Garland County,Arkansas,05,051,8001.0
Grant County,Arkansas,05,053,531.0
Greene County,Arkansas,05,055,461.0
Hempstead County,Arkansas,05,057,6563.0
Hot Spring County,Arkansas,05,059,3666.0
Howard County,Arkansas,05,061,2809.0
Independence County,Arkansas,05,063,756.0
Izard County,Arkansas,05,065,258.0
Jackson County,Arkansas,05,067,2966.0
Jefferson County,Arkansas,05,069,40220.0
Johnson County,Arkansas,05,071,472.0
Lafayette County,Arkansas,05,073,2672.0
Lawrence County,Arkansas,05,075,157.0
Lee County,Arkansas,05,077,5471.0
Lincoln County,Arkansas,05,079,4356.0
