County,State,State_FIPS,County_FIPS,unemployment_rate
Modoc County,California,06,049,8.6
Mono County,California,06,051,13.4
Monterey County,California,06,053,8.4
Napa County,California,06,055,7.5
Nevada County,California,06,057,9.8
Orange County,California,06,059,7.6
Placer County,California,06,061,8.3
Plumas County,California,06,063,15.2
Riverside County,California,06,065,12.9
Sacramento County,California,06,067,11.8
San Benito County,California,06,069,12.2
San Bernardino County,California,06,071,12.6
San Diego County,California,06,073,8.7
San Francisco County,California,06,075,6.8
San Joaquin County,California,06,077,13.7
San Luis Obispo County,California,06,079,6.6
San Mateo County,California,06,081,6.7
Santa Barbara County,California,06,083,8.0
Santa Clara County,California,06,085,7.7
Santa Cruz County,California,06,087,7.6
Shasta County,California,06,089,10.3
Sierra County,California,06,091,8.0
Siskiyou County,California,06,093,12.7
Solano County,California,06,095,11.4
Sonoma County,California,06,097,8.1
Stanislaus County,California,06,099,15.2
Sutter County,California,06,101,13.2
Tehama County,California,06,103,13.2
Trinity County,California,06,105,9.0
Tulare County,California,06,107,12.0
Tuolumne County,California,06,109,12.9
Ventura County,California,06,111,8.6
Yolo County,California,06,113,9.0
Yuba County,California,06,115,14.8
Alamosa County,Colorado,08,003,10.4
Archuleta County,Colorado,08,007,8.2
Baca County,Colorado,08,009,4.5
Bent County,Colorado,08,011,8.3
Chaffee County,Colorado,08,015,5.9
Cheyenne County,Colorado,08,017,9.3
Clear Creek County,Colorado,08,019,5.4
Conejos County,Colorado,08,021,9.7
Costilla County,Colorado,08,023,14.0
Crowley County,Colorado,08,025,27.0
Custer County,Colorado,08,027,14.0
Delta County,Colorado,08,029,11.7
Dolores County,Colorado,08,033,4.6
Douglas County,Colorado,08,035,4.1
Eagle County,Colorado,08,037,4.4
Elbert County,Colorado,08,039,6.7
El Paso County,Colorado,08,041,8.4
Fremont County,Colorado,08,043,9.2
Garfield County,Colorado,08,045,6.9
Gilpin County,Colorado,08,047,4.9
Grand County,Colorado,08,049,5.7
Gunnison County,Colorado,08,051,7.8
Huerfano County,Colorado,08,055,15.0
Jackson County,Colorado,08,057,1.5
Kiowa County,Colorado,08,061,2.0
Kit Carson County,Colorado,08,063,5.9
Lake County,Colorado,08,065,5.7
La Plata County,Colorado,08,067,5.2
Larimer County,Colorado,08,069,6.7
Las Animas County,Colorado,08,071,9.2
Lincoln County,Colorado,08,073,6.3
Logan County,Colorado,08,075,9.0
Mesa County,Colorado,08,077,8.7
Moffat County,Colorado,08,081,5.9
Montezuma County,Colorado,08,083,9.5
Montrose County,Colorado,08,085,10.2
Morgan County,Colorado,08,087,6.2
Otero County,Colorado,08,089,10.7
Ouray County,Colorado,08,091,6.7
Park County,Colorado,08,093,5.6
Phillips County,Colorado,08,095,5.3
Pitkin County,Colorado,08,097,7.7
Prowers County,Colorado,08,099,9.7
Pueblo County,Colorado,08,101,10.8
Rio Blanco County,Colorado,08,103,4.2
Rio Grande County,Colorado,08,105,8.1
Routt County,Colorado,08,107,4.0
Saguache County,Colorado,08,109,9.7
San Miguel County,Colorado,08,113,5.8
Sedgwick County,Colorado,08,115,6.4
Summit County,Colorado,08,117,4.7
Teller County,Colorado,08,119,8.2
Washington County,Colorado,08,121,5.1
Yuma County,Colorado,08,125,2.5
Adams County,Colorado,08,001,7.9
Arapahoe County,Colorado,08,005,7.2
Boulder County,Colorado,08,013,6.1
Broomfield County,Colorado,08,014,5.5
Denver County,Colorado,08,031,6.3
Jefferson County,Colorado,08,059,5.9
