County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Tulare County,California,06,107,20.5
Tuolumne County,California,06,109,2.0
Ventura County,California,06,111,9.9
Yolo County,California,06,113,7.7
Yuba County,California,06,115,7.1
Alamosa County,Colorado,08,003,8.6
Archuleta County,Colorado,08,007,3.6
Baca County,Colorado,08,009,5.2
Bent County,Colorado,08,011,6.9
Chaffee County,Colorado,08,015,2.7
Cheyenne County,Colorado,08,017,4.4
Clear Creek County,Colorado,08,019,0.3
Conejos County,Colorado,08,021,8.8
Costilla County,Colorado,08,023,12.4
Crowley County,Colorado,08,025,6.4
Custer County,Colorado,08,027,1.6
Delta County,Colorado,08,029,3.7
Dolores County,Colorado,08,033,2.7
Douglas County,Colorado,08,035,0.7
Eagle County,Colorado,08,037,5.5
Elbert County,Colorado,08,039,1.0
El Paso County,Colorado,08,041,1.9
Fremont County,Colorado,08,043,3.0
Garfield County,Colorado,08,045,5.9
Gilpin County,Colorado,08,047,0.9
Grand County,Colorado,08,049,0.6
Gunnison County,Colorado,08,051,2.2
Huerfano County,Colorado,08,055,3.8
Jackson County,Colorado,08,057,3.8
Kiowa County,Colorado,08,061,1.2
Kit Carson County,Colorado,08,063,7.8
Lake County,Colorado,08,065,1.3
La Plata County,Colorado,08,067,1.9
Larimer County,Colorado,08,069,1.4
Las Animas County,Colorado,08,071,5.8
Lincoln County,Colorado,08,073,6.6
Logan County,Colorado,08,075,4.7
Mesa County,Colorado,08,077,2.9
Moffat County,Colorado,08,081,3.1
Montezuma County,Colorado,08,083,3.3
Montrose County,Colorado,08,085,4.8
Morgan County,Colorado,08,087,10.0
Otero County,Colorado,08,089,6.7
Ouray County,Colorado,08,091,0.6
Park County,Colorado,08,093,1.1
Phillips County,Colorado,08,095,5.2
Pitkin County,Colorado,08,097,2.3
Prowers County,Colorado,08,099,8.1
Pueblo County,Colorado,08,101,4.0
Rio Blanco County,Colorado,08,103,2.0
Rio Grande County,Colorado,08,105,8.1
Routt County,Colorado,08,107,1.2
Saguache County,Colorado,08,109,11.2
San Miguel County,Colorado,08,113,0.8
Sedgwick County,Colorado,08,115,3.2
Summit County,Colorado,08,117,2.9
Teller County,Colorado,08,119,0.6
Washington County,Colorado,08,121,2.7
Yuma County,Colorado,08,125,8.3
Adams County,Colorado,08,001,8.1
Arapahoe County,Colorado,08,005,3.3
Boulder County,Colorado,08,013,2.4
Broomfield County,Colorado,08,014,1.7
Denver County,Colorado,08,031,6.7
Jefferson County,Colorado,08,059,1.8
Weld County,Colorado,08,123,5.5
Fairfield County,Connecticut,09,001,5.1
Hartford County,Connecticut,09,003,4.5
Litchfield County,Connecticut,09,005,3.0
Middlesex County,Connecticut,09,007,2.4
New Haven County,Connecticut,09,009,4.3
New London County,Connecticut,09,011,2.7
Tolland County,Connecticut,09,013,1.9
Windham County,Connecticut,09,015,4.2
Kent County,Delaware,10,001,4.4
New Castle County,Delaware,10,003,3.2
Sussex County,Delaware,10,005,4.7
Alachua County,Florida,12,001,2.7
Baker County,Florida,12,003,5.6
Bay County,Florida,12,005,3.2
Bradford County,Florida,12,007,6.0
Brevard County,Florida,12,009,2.6
Broward County,Florida,12,011,5.1
Calhoun County,Florida,12,013,7.4
Charlotte County,Florida,12,015,3.0
Citrus County,Florida,12,017,3.5
Clay County,Florida,12,019,3.0
Collier County,Florida,12,021,7.7
Columbia County,Florida,12,023,4.4
Miami-Dade County,Florida,12,086,10.4
DeSoto County,Florida,12,027,15.6
Dixie County,Florida,12,029,8.4
Duval County,Florida,12,031,3.1
Escambia County,Florida,12,033,2.9
Flagler County,Florida,12,035,2.5
Franklin County,Florida,12,037,6.5
Gadsden County,Florida,12,039,6.7
Gilchrist County,Florida,12,041,5.7
Glades County,Florida,12,043,11.1
Gulf County,Florida,12,045,4.8
Hamilton County,Florida,12,047,6.1
Hardee County,Florida,12,049,19.9
Hendry County,Florida,12,051,22.4
Hernando County,Florida,12,053,3.6
Highlands County,Florida,12,055,6.8
Hillsborough County,Florida,12,057,4.9
Holmes County,Florida,12,059,6.8
Indian River County,Florida,12,061,4.5
Jackson County,Florida,12,063,6.4
Jefferson County,Florida,12,065,5.9
Lafayette County,Florida,12,067,9.0
Lake County,Florida,12,069,4.1
Lee County,Florida,12,071,5.3
Leon County,Florida,12,073,2.2
Levy County,Florida,12,075,4.4
Liberty County,Florida,12,077,6.8
Madison County,Florida,12,079,5.3
Manatee County,Florida,12,081,4.6
Marion County,Florida,12,083,4.0
Martin County,Florida,12,085,4.4
Monroe County,Florida,12,087,3.8
Nassau County,Florida,12,089,3.1
Okaloosa County,Florida,12,091,3.0
