County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Jefferson County,Illinois,17,081,80.5
Jersey County,Illinois,17,083,80.6
Jo Daviess County,Illinois,17,085,81.7
Johnson County,Illinois,17,087,86.1
Kane County,Illinois,17,089,75.5
Kankakee County,Illinois,17,091,78.2
Kendall County,Illinois,17,093,72.2
Knox County,Illinois,17,095,81.8
Lake County,Illinois,17,097,77.0
LaSalle County,Illinois,17,099,80.6
Lawrence County,Illinois,17,101,84.2
Lee County,Illinois,17,103,82.8
Livingston County,Illinois,17,105,79.9
Logan County,Illinois,17,107,83.2
McDonough County,Illinois,17,109,84.0
McHenry County,Illinois,17,111,77.4
McLean County,Illinois,17,113,79.7
Macon County,Illinois,17,115,79.0
Macoupin County,Illinois,17,117,79.6
Madison County,Illinois,17,119,79.0
Marion County,Illinois,17,121,78.4
Marshall County,Illinois,17,123,81.2
Mason County,Illinois,17,125,80.7
Massac County,Illinois,17,127,81.1
Menard County,Illinois,17,129,78.9
Mercer County,Illinois,17,131,80.8
Monroe County,Illinois,17,133,78.6
Montgomery County,Illinois,17,135,82.9
Morgan County,Illinois,17,137,81.9
Moultrie County,Illinois,17,139,77.2
Ogle County,Illinois,17,141,79.0
Peoria County,Illinois,17,143,77.4
Perry County,Illinois,17,145,84.0
Piatt County,Illinois,17,147,80.0
Pike County,Illinois,17,149,80.2
Pope County,Illinois,17,151,84.8
Pulaski County,Illinois,17,153,78.1
Putnam County,Illinois,17,155,81.3
Randolph County,Illinois,17,157,83.8
Richland County,Illinois,17,159,79.0
Rock Island County,Illinois,17,161,79.3
Saint Clair County,Illinois,17,163,77.6
Saline County,Illinois,17,165,79.8
Sangamon County,Illinois,17,167,78.6
Schuyler County,Illinois,17,169,84.6
Scott County,Illinois,17,171,79.3
Shelby County,Illinois,17,173,80.4
Stark County,Illinois,17,175,81.5
Stephenson County,Illinois,17,177,79.9
Tazewell County,Illinois,17,179,78.9
Union County,Illinois,17,181,80.2
Vermilion County,Illinois,17,183,78.3
Wabash County,Illinois,17,185,79.8
Warren County,Illinois,17,187,80.0
Washington County,Illinois,17,189,80.8
Wayne County,Illinois,17,191,79.3
White County,Illinois,17,193,79.4
Whiteside County,Illinois,17,195,79.5
Will County,Illinois,17,197,75.9
Williamson County,Illinois,17,199,79.8
Winnebago County,Illinois,17,201,77.7
Woodford County,Illinois,17,203,77.6
Adams County,Indiana,18,001,70.6
Allen County,Indiana,18,003,75.7
Bartholomew County,Indiana,18,005,78.1
Benton County,Indiana,18,007,75.7
Blackford County,Indiana,18,009,80.3
Boone County,Indiana,18,011,74.9
Brown County,Indiana,18,013,82.7
Carroll County,Indiana,18,015,79.6
Cass County,Indiana,18,017,79.1
Clark County,Indiana,18,019,78.6
Clay County,Indiana,18,021,78.5
Clinton County,Indiana,18,023,75.6
Crawford County,Indiana,18,025,80.2
Daviess County,Indiana,18,027,72.4
Dearborn County,Indiana,18,029,79.2
Decatur County,Indiana,18,031,77.8
DeKalb County,Indiana,18,033,77.0
Delaware County,Indiana,18,035,82.4
Dubois County,Indiana,18,037,77.7
Elkhart County,Indiana,18,039,74.4
Fayette County,Indiana,18,041,79.2
Floyd County,Indiana,18,043,78.7
Fountain County,Indiana,18,045,78.0
Franklin County,Indiana,18,047,77.7
Fulton County,Indiana,18,049,77.6
Gibson County,Indiana,18,051,77.7
Grant County,Indiana,18,053,80.3
Greene County,Indiana,18,055,80.2
Hamilton County,Indiana,18,057,73.2
Hancock County,Indiana,18,059,77.9
Harrison County,Indiana,18,061,79.1
Hendricks County,Indiana,18,063,76.5
Henry County,Indiana,18,065,81.7
Howard County,Indiana,18,067,78.8
Huntington County,Indiana,18,069,79.3
Jackson County,Indiana,18,071,77.7
Jasper County,Indiana,18,073,78.5
Jay County,Indiana,18,075,76.2
