County,State,State_FIPS,County_FIPS,total_population_race
Randolph County,Alabama,01,111,22819
Russell County,Alabama,01,113,55544
Saint Clair County,Alabama,01,115,84521
Shelby County,Alabama,01,117,198366
Sumter County,Alabama,01,119,13552
Talladega County,Alabama,01,121,81845
Tallapoosa County,Alabama,01,123,41428
Tuscaloosa County,Alabama,01,125,196824
Walker County,Alabama,01,127,66622
Washington County,Alabama,01,129,17284
Wilcox County,Alabama,01,131,11531
Winston County,Alabama,01,133,24342
Anchorage Municipality,Alaska,02,020,295237
Bethel Census Area,Alaska,02,050,17356
Bristol Bay Borough,Alaska,02,060,933
Fairbanks North Star Borough,Alaska,02,090,98656
Haines Borough,Alaska,02,100,2546
Juneau City and Borough,Alaska,02,110,31897
Kenai Peninsula Borough,Alaska,02,122,56163
Kodiak Island Borough,Alaska,02,150,13850
Matanuska-Susitna Borough,Alaska,02,170,91519
Nome Census Area,Alaska,02,180,9695
North Slope Borough,Alaska,02,185,9484
Sitka City and Borough,Alaska,02,220,8945
Southeast Fairbanks Census Area,Alaska,02,240,7047
Valdez-Cordova Census Area,Alaska,02,261,9682
Wade Hampton Census Area,Alaska,02,270,7678
Northwest Arctic Borough,Alaska,02,188,7624
Aleutians East Borough,Alaska,02,013,3141
Aleutians West Census Area,Alaska,02,016,5538
Dillingham Census Area,Alaska,02,070,4923
Lake and Peninsula Borough,Alaska,02,164,1454
Denali Borough,Alaska,02,068,2020
Yukon-Koyukuk Census Area,Alaska,02,290,5656
Hoonah-Angoon Census Area,Alaska,02,105,2141
Skagway Municipality,Alaska,02,230,1080
Yakutat City and Borough,Alaska,02,282,607
Ketchikan Gateway Borough,Alaska,02,130,13595
Petersburg Borough,Alaska,02,195,3806
Prince of Wales-Hyder Census Area,Alaska,02,198,5672
Wrangell City and Borough,Alaska,02,275,2371
Apache County,Arizona,04,001,71978
Cochise County,Arizona,04,003,131038
Coconino County,Arizona,04,005,134795
Gila County,Arizona,04,007,53335
Graham County,Arizona,04,009,37168
Greenlee County,Arizona,04,011,8679
Maricopa County,Arizona,04,013,3889161
Mohave County,Arizona,04,015,201680
Navajo County,Arizona,04,017,107326
Pima County,Arizona,04,019,986891
Pinal County,Arizona,04,021,379128
Santa Cruz County,Arizona,04,023,47122
Yavapai County,Arizona,04,025,211968
La Paz County,Arizona,04,012,20408
Yuma County,Arizona,04,027,199026
Arkansas County,Arkansas,05,001,18957
Ashley County,Arkansas,05,003,21645
Baxter County,Arkansas,05,005,41281
Benton County,Arkansas,05,007,227439
Boone County,Arkansas,05,009,37099
Bradley County,Arkansas,05,011,11418
Calhoun County,Arkansas,05,013,5319
Carroll County,Arkansas,05,015,27531
Chicot County,Arkansas,05,017,11621
Clark County,Arkansas,05,019,22912
Clay County,Arkansas,05,021,15790
Cleburne County,Arkansas,05,023,25856
Cleveland County,Arkansas,05,025,8648
Columbia County,Arkansas,05,027,24512
Conway County,Arkansas,05,029,21235
Craighead County,Arkansas,05,031,98398
Crawford County,Arkansas,05,033,61796
Crittenden County,Arkansas,05,035,50447
Cross County,Arkansas,05,037,17760
Dallas County,Arkansas,05,039,8045
Desha County,Arkansas,05,041,12774
Drew County,Arkansas,05,043,18686
Faulkner County,Arkansas,05,045,115928
Franklin County,Arkansas,05,047,18063
Fulton County,Arkansas,05,049,12266
Garland County,Arkansas,05,051,96547
Grant County,Arkansas,05,053,17922
Greene County,Arkansas,05,055,42580
Hempstead County,Arkansas,05,057,22509
Hot Spring County,Arkansas,05,059,33182
Howard County,Arkansas,05,061,13748
Independence County,Arkansas,05,063,36786
Izard County,Arkansas,05,065,13560
Jackson County,Arkansas,05,067,17809
Jefferson County,Arkansas,05,069,75782
Johnson County,Arkansas,05,071,25655
Lafayette County,Arkansas,05,073,7501
Lawrence County,Arkansas,05,075,17227
Lee County,Arkansas,05,077,10267
Lincoln County,Arkansas,05,079,14148
Little River County,Arkansas,05,081,12992
Logan County,Arkansas,05,083,22221
Lonoke County,Arkansas,05,085,69266
Madison County,Arkansas,05,087,15671
Marion County,Arkansas,05,089,16605
Miller County,Arkansas,05,091,43515
Mississippi County,Arkansas,05,093,45912
Monroe County,Arkansas,05,095,8002
Montgomery County,Arkansas,05,097,9387
Nevada County,Arkansas,05,099,8948
Newton County,Arkansas,05,101,8211
Ouachita County,Arkansas,05,103,25651
Perry County,Arkansas,05,105,10381
Phillips County,Arkansas,05,107,21253
Pike County,Arkansas,05,109,11250
Poinsett County,Arkansas,05,111,24403
Polk County,Arkansas,05,113,20540
Pope County,Arkansas,05,115,62248
Prairie County,Arkansas,05,117,8573
Pulaski County,Arkansas,05,119,386106
Randolph County,Arkansas,05,121,17896
Saint Francis County,Arkansas,05,123,27914
Saline County,Arkansas,05,125,109844
Scott County,Arkansas,05,127,11111
Searcy County,Arkansas,05,129,8101
Sebastian County,Arkansas,05,131,126536
Sevier County,Arkansas,05,133,17137
Sharp County,Arkansas,05,135,17203
Stone County,Arkansas,05,137,12517
Union County,Arkansas,05,139,41307
Van Buren County,Arkansas,05,141,17147
Washington County,Arkansas,05,143,207911
White County,Arkansas,05,145,77767
Woodruff County,Arkansas,05,147,7180
Yell County,Arkansas,05,149,22014
Alameda County,California,06,001,1535248
Alpine County,California,06,003,1165
Amador County,California,06,005,37422
Butte County,California,06,007,220542
Calaveras County,California,06,009,45147
Colusa County,California,06,011,21366
Contra Costa County,California,06,013,1065794
Del Norte County,California,06,015,28357
El Dorado County,California,06,017,180982
Fresno County,California,06,019,939605
Glenn County,California,06,021,28054
Humboldt County,California,06,023,134613
Imperial County,California,06,025,175201
Inyo County,California,06,027,18482
Kern County,California,06,029,848204
Kings County,California,06,031,151806
Lake County,California,06,033,64260
Lassen County,California,06,035,34018
Los Angeles County,California,06,037,9893481
Madera County,California,06,039,151435
Marin County,California,06,041,254643
Mariposa County,California,06,043,18061
Mendocino County,California,06,045,87497
Merced County,California,06,047,258707
Modoc County,California,06,049,9468
Mono County,California,06,051,14217
Monterey County,California,06,053,420569
Napa County,California,06,055,137837
Nevada County,California,06,057,98509
Orange County,California,06,059,3051771
Placer County,California,06,061,355924
Plumas County,California,06,063,19586
Riverside County,California,06,065,2228528
Sacramento County,California,06,067,1435207
San Benito County,California,06,069,56115
San Bernardino County,California,06,071,2056915
San Diego County,California,06,073,3138265
San Francisco County,California,06,075,817501
San Joaquin County,California,06,077,693177
San Luis Obispo County,California,06,079,272094
San Mateo County,California,06,081,729543
Santa Barbara County,California,06,083,427288
Santa Clara County,California,06,085,1812208
Santa Cruz County,California,06,087,264808
Shasta County,California,06,089,177966
Sierra County,California,06,091,3127
Siskiyou County,California,06,093,44503
Solano County,California,06,095,417258
Sonoma County,California,06,097,487469
Stanislaus County,California,06,099,518321
Sutter County,California,06,101,94787
Tehama County,California,06,103,63241
Trinity County,California,06,105,13638
Tulare County,California,06,107,446644
Tuolumne County,California,06,109,54728
Ventura County,California,06,111,829017
Yolo County,California,06,113,202288
Yuba County,California,06,115,72574
Alamosa County,Colorado,08,003,15933
Archuleta County,Colorado,08,007,12109
Baca County,Colorado,08,009,3761
Bent County,Colorado,08,011,6141
Chaffee County,Colorado,08,015,18063
Cheyenne County,Colorado,08,017,2189
Clear Creek County,Colorado,08,019,9048
Conejos County,Colorado,08,021,8256
Costilla County,Colorado,08,023,3552
Crowley County,Colorado,08,025,5629
Custer County,Colorado,08,027,4245
Delta County,Colorado,08,029,30659
Dolores County,Colorado,08,033,1709
Douglas County,Colorado,08,035,293014
Eagle County,Colorado,08,037,52151
Elbert County,Colorado,08,039,23295
El Paso County,Colorado,08,041,634423
Fremont County,Colorado,08,043,46850
Garfield County,Colorado,08,045,56687
Gilpin County,Colorado,08,047,5477
Grand County,Colorado,08,049,14535
Gunnison County,Colorado,08,051,15421
Huerfano County,Colorado,08,055,6625
Jackson County,Colorado,08,057,1371
Kiowa County,Colorado,08,061,1423
Kit Carson County,Colorado,08,063,8189
Lake County,Colorado,08,065,7332
La Plata County,Colorado,08,067,52039
Larimer County,Colorado,08,069,305798
Las Animas County,Colorado,08,071,15136
Lincoln County,Colorado,08,073,5442
Logan County,Colorado,08,075,22607
Mesa County,Colorado,08,077,147432
Moffat County,Colorado,08,081,13447
Montezuma County,Colorado,08,083,25512
Montrose County,Colorado,08,085,41020
Morgan County,Colorado,08,087,28308
Otero County,Colorado,08,089,18817
Ouray County,Colorado,08,091,4475
Park County,Colorado,08,093,16131
Phillips County,Colorado,08,095,4383
Pitkin County,Colorado,08,097,17173
Prowers County,Colorado,08,099,12473
Pueblo County,Colorado,08,101,160048
Rio Blanco County,Colorado,08,103,6770
Rio Grande County,Colorado,08,105,11913
Routt County,Colorado,08,107,23409
Saguache County,Colorado,08,109,6200
San Miguel County,Colorado,08,113,7496
Sedgwick County,Colorado,08,115,2376
Summit County,Colorado,08,117,28091
Teller County,Colorado,08,119,23276
Washington County,Colorado,08,121,4796
Yuma County,Colorado,08,125,10093
Adams County,Colorado,08,001,452030
Arapahoe County,Colorado,08,005,585333
Boulder County,Colorado,08,013,301072
Broomfield County,Colorado,08,014,57171
Denver County,Colorado,08,031,619297
Jefferson County,Colorado,08,059,540669
Weld County,Colorado,08,123,258780
Fairfield County,Connecticut,09,001,926233
Hartford County,Connecticut,09,003,895827
Litchfield County,Connecticut,09,005,188629
Middlesex County,Connecticut,09,007,165690
New Haven County,Connecticut,09,009,862611
New London County,Connecticut,09,011,274090
Tolland County,Connecticut,09,013,152366
Windham County,Connecticut,09,015,118115
Kent County,Delaware,10,001,165030
New Castle County,Delaware,10,003,542784
Sussex County,Delaware,10,005,200632
Alachua County,Florida,12,001,249848
Baker County,Florida,12,003,27069
Bay County,Florida,12,005,170704
Bradford County,Florida,12,007,27981
Brevard County,Florida,12,009,545667
Broward County,Florida,12,011,1784889
Calhoun County,Florida,12,013,14700
Charlotte County,Florida,12,015,161276
Citrus County,Florida,12,017,140214
Clay County,Florida,12,019,192665
Collier County,Florida,12,021,328209
Columbia County,Florida,12,023,67568
Miami-Dade County,Florida,12,086,2549075
DeSoto County,Florida,12,027,34651
Dixie County,Florida,12,029,16234
Duval County,Florida,12,031,872598
Escambia County,Florida,12,033,300795
Flagler County,Florida,12,035,97301
Franklin County,Florida,12,037,11554
Gadsden County,Florida,12,039,46860
Gilchrist County,Florida,12,041,16917
Glades County,Florida,12,043,13080
Gulf County,Florida,12,045,15793
Hamilton County,Florida,12,047,14655
Hardee County,Florida,12,049,27336
Hendry County,Florida,12,051,38346
Hernando County,Florida,12,053,173119
Highlands County,Florida,12,055,98275
Hillsborough County,Florida,12,057,1257913
Holmes County,Florida,12,059,19864
Indian River County,Florida,12,061,139356
Jackson County,Florida,12,063,49326
Jefferson County,Florida,12,065,14469
Lafayette County,Florida,12,067,8745
Lake County,Florida,12,069,300926
Lee County,Florida,12,071,633968
Leon County,Florida,12,073,278624
Levy County,Florida,12,075,40289
Liberty County,Florida,12,077,8308
Madison County,Florida,12,079,19070
Manatee County,Florida,12,081,329487
Marion County,Florida,12,083,333503
Martin County,Florida,12,085,147786
Monroe County,Florida,12,087,74213
Nassau County,Florida,12,089,74163
Okaloosa County,Florida,12,091,185852
Okeechobee County,Florida,12,093,39642
Orange County,Florida,12,095,1175416
Osceola County,Florida,12,097,279837
Palm Beach County,Florida,12,099,1339221
Pasco County,Florida,12,101,468194
Pinellas County,Florida,12,103,920015
Polk County,Florida,12,105,610295
Putnam County,Florida,12,107,73683
Saint Johns County,Florida,12,109,197115
Saint Lucie County,Florida,12,111,281015
Santa Rosa County,Florida,12,113,155579
Sarasota County,Florida,12,115,383094
Seminole County,Florida,12,117,427184
Sumter County,Florida,12,119,98409
Suwannee County,Florida,12,121,42865
Taylor County,Florida,12,123,22660
Union County,Florida,12,125,15307
Volusia County,Florida,12,127,496268
Wakulla County,Florida,12,129,30824
Walton County,Florida,12,131,56590
Washington County,Florida,12,133,24702
Appling County,Georgia,13,001,18354
Atkinson County,Georgia,13,003,8332
Bacon County,Georgia,13,005,11159
Baker County,Georgia,13,007,3410
Baldwin County,Georgia,13,009,46018
Banks County,Georgia,13,011,18333
Barrow County,Georgia,13,013,69933
Bartow County,Georgia,13,015,100382
Ben Hill County,Georgia,13,017,17576
Berrien County,Georgia,13,019,19174
Bibb County,Georgia,13,021,155524
Bleckley County,Georgia,13,023,12961
Brantley County,Georgia,13,025,18409
Brooks County,Georgia,13,027,15885
Bryan County,Georgia,13,029,31410
Bulloch County,Georgia,13,031,71190
Burke County,Georgia,13,033,23223
Butts County,Georgia,13,035,23563
Calhoun County,Georgia,13,037,6592
Camden County,Georgia,13,039,50799
Candler County,Georgia,13,043,11045
Carroll County,Georgia,13,045,111160
Catoosa County,Georgia,13,047,64606
Charlton County,Georgia,13,049,13080
Chatham County,Georgia,13,051,271102
Chattahoochee County,Georgia,13,053,12193
Chattooga County,Georgia,13,055,25670
Cherokee County,Georgia,13,057,218277
Clarke County,Georgia,13,059,118864
Clay County,Georgia,13,061,3133
Clayton County,Georgia,13,063,262455
Clinch County,Georgia,13,065,6766
Cobb County,Georgia,13,067,699235
Coffee County,Georgia,13,069,42841
Colquitt County,Georgia,13,071,45781
Columbia County,Georgia,13,073,128213
Cook County,Georgia,13,075,17066
Coweta County,Georgia,13,077,129397
Crawford County,Georgia,13,079,12607
Crisp County,Georgia,13,081,23521
Dade County,Georgia,13,083,16580
Dawson County,Georgia,13,085,22387
Decatur County,Georgia,13,087,27676
DeKalb County,Georgia,13,089,700308
Dodge County,Georgia,13,091,21502
Dooly County,Georgia,13,093,14554
Dougherty County,Georgia,13,095,94220
Douglas County,Georgia,13,097,133486
Early County,Georgia,13,099,10787
Echols County,Georgia,13,101,4053
Effingham County,Georgia,13,103,52961
Elbert County,Georgia,13,105,19907
Emanuel County,Georgia,13,107,22669
Evans County,Georgia,13,109,10902
Fannin County,Georgia,13,111,23614
Fayette County,Georgia,13,113,107105
Floyd County,Georgia,13,115,96147
Forsyth County,Georgia,13,117,182916
Franklin County,Georgia,13,119,21998
Fulton County,Georgia,13,121,948554
Gilmer County,Georgia,13,123,28308
Glascock County,Georgia,13,125,3094
Glynn County,Georgia,13,127,80280
Gordon County,Georgia,13,129,55409
Grady County,Georgia,13,131,25143
Greene County,Georgia,13,133,16091
Gwinnett County,Georgia,13,135,825911
Habersham County,Georgia,13,137,43181
Hall County,Georgia,13,139,182841
Hancock County,Georgia,13,141,9233
Haralson County,Georgia,13,143,28594
Harris County,Georgia,13,145,32267
Hart County,Georgia,13,147,25348
Heard County,Georgia,13,149,11708
Henry County,Georgia,13,151,206349
Houston County,Georgia,13,153,143205
Irwin County,Georgia,13,155,9571
Jackson County,Georgia,13,157,60577
Jasper County,Georgia,13,159,13748
Jeff Davis County,Georgia,13,161,15042
Jefferson County,Georgia,13,163,16696
Jenkins County,Georgia,13,165,8642
Johnson County,Georgia,13,167,9903
Jones County,Georgia,13,169,28650
Lamar County,Georgia,13,171,18139
Lanier County,Georgia,13,173,10250
Laurens County,Georgia,13,175,48203
Lee County,Georgia,13,177,28631
Liberty County,Georgia,13,179,64899
Lincoln County,Georgia,13,181,7894
Long County,Georgia,13,183,15285
Lowndes County,Georgia,13,185,111334
Lumpkin County,Georgia,13,187,30428
McDuffie County,Georgia,13,189,21697
McIntosh County,Georgia,13,191,14142
Macon County,Georgia,13,193,14455
Madison County,Georgia,13,195,28044
Marion County,Georgia,13,197,8673
Meriwether County,Georgia,13,199,21695
Miller County,Georgia,13,201,6054
Mitchell County,Georgia,13,205,23340
Monroe County,Georgia,13,207,26613
Montgomery County,Georgia,13,209,9050
Morgan County,Georgia,13,211,17870
Murray County,Georgia,13,213,39504
Muscogee County,Georgia,13,215,194949
Newton County,Georgia,13,217,100808
Oconee County,Georgia,13,219,33240
Oglethorpe County,Georgia,13,221,14730
Paulding County,Georgia,13,223,143845
Peach County,Georgia,13,225,27481
Pickens County,Georgia,13,227,29486
Pierce County,Georgia,13,229,18774
Pike County,Georgia,13,231,17807
Polk County,Georgia,13,233,41308
Pulaski County,Georgia,13,235,11775
Putnam County,Georgia,13,237,21241
Quitman County,Georgia,13,239,2396
Rabun County,Georgia,13,241,16271
Randolph County,Georgia,13,243,7498
Richmond County,Georgia,13,245,201081
Rockdale County,Georgia,13,247,85650
Schley County,Georgia,13,249,5017
Screven County,Georgia,13,251,14455
Seminole County,Georgia,13,253,8831
Spalding County,Georgia,13,255,64011
Stephens County,Georgia,13,257,25910
Stewart County,Georgia,13,259,6007
Sumter County,Georgia,13,261,32099
Talbot County,Georgia,13,263,6689
Taliaferro County,Georgia,13,265,1766
Tattnall County,Georgia,13,267,25343
Taylor County,Georgia,13,269,8595
Telfair County,Georgia,13,271,16391
Terrell County,Georgia,13,273,9246
Thomas County,Georgia,13,275,44692
Tift County,Georgia,13,277,40537
Toombs County,Georgia,13,279,27229
Towns County,Georgia,13,281,10551
Treutlen County,Georgia,13,283,6817
Troup County,Georgia,13,285,67776
Turner County,Georgia,13,287,8637
Twiggs County,Georgia,13,289,8808
Union County,Georgia,13,291,21399
Upson County,Georgia,13,293,26918
Walker County,Georgia,13,295,68481
Walton County,Georgia,13,297,84397
Ware County,Georgia,13,299,36008
Warren County,Georgia,13,301,5706
Washington County,Georgia,13,303,20982
Wayne County,Georgia,13,305,30187
Webster County,Georgia,13,307,2769
Wheeler County,Georgia,13,309,7746
White County,Georgia,13,311,27400
Whitfield County,Georgia,13,313,102556
Wilcox County,Georgia,13,315,9110
Wilkes County,Georgia,13,317,10265
Wilkinson County,Georgia,13,319,9520
Worth County,Georgia,13,321,21670
Hawaii County,Hawaii,15,001,187044
Honolulu County,Hawaii,15,003,964678
Kauai County,Hawaii,15,007,67872
Kalawao County,Hawaii,15,005,71
Maui County,Hawaii,15,009,156633
Ada County,Idaho,16,001,401673
Adams County,Idaho,16,003,3937
Bannock County,Idaho,16,005,83091
Bear Lake County,Idaho,16,007,5957
Benewah County,Idaho,16,009,9186
Bingham County,Idaho,16,011,45485
Blaine County,Idaho,16,013,21294
Boise County,Idaho,16,015,6944
Bonner County,Idaho,16,017,40743
Bonneville County,Idaho,16,019,105580
Boundary County,Idaho,16,021,10866
Butte County,Idaho,16,023,2786
Camas County,Idaho,16,025,1267
Canyon County,Idaho,16,027,192153
Caribou County,Idaho,16,029,6867
Cassia County,Idaho,16,031,23054
Clearwater County,Idaho,16,035,8638
Custer County,Idaho,16,037,4331
Elmore County,Idaho,16,039,26528
Franklin County,Idaho,16,041,12801
Fremont County,Idaho,16,043,13088
Gem County,Idaho,16,045,16722
Gooding County,Idaho,16,047,15278
Idaho County,Idaho,16,049,16269
Jefferson County,Idaho,16,051,26389
Jerome County,Idaho,16,053,22391
Kootenai County,Idaho,16,055,140785
Latah County,Idaho,16,057,37636
Lemhi County,Idaho,16,059,7853
Lewis County,Idaho,16,061,3851
Lincoln County,Idaho,16,063,5221
Madison County,Idaho,16,065,37542
Minidoka County,Idaho,16,067,20104
Nez Perce County,Idaho,16,069,39458
Oneida County,Idaho,16,071,4257
Owyhee County,Idaho,16,073,11474
Payette County,Idaho,16,075,22629
Power County,Idaho,16,077,7756
Shoshone County,Idaho,16,079,12729
Teton County,Idaho,16,081,10141
Twin Falls County,Idaho,16,083,78067
Valley County,Idaho,16,085,9698
Washington County,Idaho,16,087,10094
Adams County,Illinois,17,001,67152
Alexander County,Illinois,17,003,7980
Bond County,Illinois,17,005,17665
Boone County,Illinois,17,007,54068
Brown County,Illinois,17,009,6904
Bureau County,Illinois,17,011,34594
Calhoun County,Illinois,17,013,5062
Carroll County,Illinois,17,015,15199
Cass County,Illinois,17,017,13530
Champaign County,Illinois,17,019,202428
Christian County,Illinois,17,021,34651
Clark County,Illinois,17,023,16284
Clay County,Illinois,17,025,13744
Clinton County,Illinois,17,027,37891
Coles County,Illinois,17,029,53732
Cook County,Illinois,17,031,5212372
Crawford County,Illinois,17,033,19707
Cumberland County,Illinois,17,035,11015
DeKalb County,Illinois,17,037,104820
De Witt County,Illinois,17,039,16511
Douglas County,Illinois,17,041,19902
DuPage County,Illinois,17,043,922803
Edgar County,Illinois,17,045,18339
Edwards County,Illinois,17,047,6695
Effingham County,Illinois,17,049,34274
Fayette County,Illinois,17,051,22088
Ford County,Illinois,17,053,13991
Franklin County,Illinois,17,055,39470
Fulton County,Illinois,17,057,36829
Gallatin County,Illinois,17,059,5516
Greene County,Illinois,17,061,13778
Grundy County,Illinois,17,063,50064
Hamilton County,Illinois,17,065,8413
Hancock County,Illinois,17,067,18949
Hardin County,Illinois,17,069,4273
Henderson County,Illinois,17,071,7186
Henry County,Illinois,17,073,50260
Iroquois County,Illinois,17,075,29446
Jackson County,Illinois,17,077,60055
Jasper County,Illinois,17,079,9680
Jefferson County,Illinois,17,081,38769
Jersey County,Illinois,17,083,22850
Jo Daviess County,Illinois,17,085,22602
Johnson County,Illinois,17,087,12665
Kane County,Illinois,17,089,518380
Kankakee County,Illinois,17,091,112991
Kendall County,Illinois,17,093,116366
Knox County,Illinois,17,095,52545
Lake County,Illinois,17,097,702099
LaSalle County,Illinois,17,099,113295
Lawrence County,Illinois,17,101,16702
Lee County,Illinois,17,103,35535
Livingston County,Illinois,17,105,38687
Logan County,Illinois,17,107,30177
McDonough County,Illinois,17,109,32549
McHenry County,Illinois,17,111,308060
McLean County,Illinois,17,113,171240
Macon County,Illinois,17,115,110262
Macoupin County,Illinois,17,117,47462
Madison County,Illinois,17,119,268373
Marion County,Illinois,17,121,39070
Marshall County,Illinois,17,123,12454
Mason County,Illinois,17,125,14508
Massac County,Illinois,17,127,15282
Menard County,Illinois,17,129,12687
Mercer County,Illinois,17,131,16325
Monroe County,Illinois,17,133,33181
Montgomery County,Illinois,17,135,29878
Morgan County,Illinois,17,137,35424
Moultrie County,Illinois,17,139,14869
Ogle County,Illinois,17,141,53092
Peoria County,Illinois,17,143,187117
Perry County,Illinois,17,145,22182
Piatt County,Illinois,17,147,16620
Pike County,Illinois,17,149,16337
Pope County,Illinois,17,151,4383
Pulaski County,Illinois,17,153,6035
Putnam County,Illinois,17,155,5927
Randolph County,Illinois,17,157,33218
Richland County,Illinois,17,159,16213
Rock Island County,Illinois,17,161,147477
Saint Clair County,Illinois,17,163,268939
Saline County,Illinois,17,165,24950
Sangamon County,Illinois,17,167,198269
Schuyler County,Illinois,17,169,7490
Scott County,Illinois,17,171,5288
Shelby County,Illinois,17,173,22266
Stark County,Illinois,17,175,5942
Stephenson County,Illinois,17,177,47315
Tazewell County,Illinois,17,179,135747
Union County,Illinois,17,181,17722
Vermilion County,Illinois,17,183,81147
Wabash County,Illinois,17,185,11848
Warren County,Illinois,17,187,17762
Washington County,Illinois,17,189,14626
Wayne County,Illinois,17,191,16674
White County,Illinois,17,193,14630
Whiteside County,Illinois,17,195,58150
Will County,Illinois,17,197,679688
Williamson County,Illinois,17,199,66606
Winnebago County,Illinois,17,201,293384
Woodford County,Illinois,17,203,38903
Adams County,Indiana,18,001,34424
Allen County,Indiana,18,003,358324
Bartholomew County,Indiana,18,005,77930
Benton County,Indiana,18,007,8823
Blackford County,Indiana,18,009,12665
Boone County,Indiana,18,011,58009
Brown County,Indiana,18,013,15128
Carroll County,Indiana,18,015,20109
Cass County,Indiana,18,017,38802
Clark County,Indiana,18,019,111221
Clay County,Indiana,18,021,26865
Clinton County,Indiana,18,023,33086
Crawford County,Indiana,18,025,10656
Daviess County,Indiana,18,027,31928
Dearborn County,Indiana,18,029,49975
Decatur County,Indiana,18,031,25939
DeKalb County,Indiana,18,033,42253
Delaware County,Indiana,18,035,117575
Dubois County,Indiana,18,037,42103
Elkhart County,Indiana,18,039,198662
Fayette County,Indiana,18,041,24112
Floyd County,Indiana,18,043,75120
Fountain County,Indiana,18,045,17108
Franklin County,Indiana,18,047,23042
Fulton County,Indiana,18,049,20698
Gibson County,Indiana,18,051,33514
Grant County,Indiana,18,053,69671
Greene County,Indiana,18,055,33001
Hamilton County,Indiana,18,057,282977
Hancock County,Indiana,18,059,70466
Harrison County,Indiana,18,061,39213
Hendricks County,Indiana,18,063,148623
Henry County,Indiana,18,065,49275
Howard County,Indiana,18,067,82795
Huntington County,Indiana,18,069,37044
Jackson County,Indiana,18,071,42769
Jasper County,Indiana,18,073,33398
Jay County,Indiana,18,075,21333
Jefferson County,Indiana,18,077,32449
Jennings County,Indiana,18,079,28324
Johnson County,Indiana,18,081,141796
Knox County,Indiana,18,083,38266
Kosciusko County,Indiana,18,085,77527
LaGrange County,Indiana,18,087,37463
Lake County,Indiana,18,089,494250
LaPorte County,Indiana,18,091,111310
Lawrence County,Indiana,18,093,46053
Madison County,Indiana,18,095,131027
Marion County,Indiana,18,097,912242
Marshall County,Indiana,18,099,47057
Martin County,Indiana,18,101,10269
Miami County,Indiana,18,103,36624
Monroe County,Indiana,18,105,139634
Montgomery County,Indiana,18,107,38215
Morgan County,Indiana,18,109,69217
Newton County,Indiana,18,111,14151
Noble County,Indiana,18,113,47509
Ohio County,Indiana,18,115,6075
Orange County,Indiana,18,117,19829
Owen County,Indiana,18,119,21467
Parke County,Indiana,18,121,17210
Perry County,Indiana,18,123,19450
Pike County,Indiana,18,125,12780
Porter County,Indiana,18,127,165168
Posey County,Indiana,18,129,25713
Pulaski County,Indiana,18,131,13253
Putnam County,Indiana,18,133,37799
Randolph County,Indiana,18,135,25975
Ripley County,Indiana,18,137,28636
Rush County,Indiana,18,139,17257
Saint Joseph County,Indiana,18,141,266694
Scott County,Indiana,18,143,24035
Shelby County,Indiana,18,145,44511
Spencer County,Indiana,18,147,20960
Starke County,Indiana,18,149,23267
Steuben County,Indiana,18,151,34190
Sullivan County,Indiana,18,153,21321
Switzerland County,Indiana,18,155,10534
Tippecanoe County,Indiana,18,157,175628
Tipton County,Indiana,18,159,15834
Union County,Indiana,18,161,7420
