County,State,State_FIPS,County_FIPS,total_population_race
Marion County,Arkansas,05,089,16712
Miller County,Arkansas,05,091,43449
Mississippi County,Arkansas,05,093,46388
Monroe County,Arkansas,05,095,8145
Montgomery County,Arkansas,05,097,9453
Nevada County,Arkansas,05,099,9003
Newton County,Arkansas,05,101,8286
Ouachita County,Arkansas,05,103,25894
Perry County,Arkansas,05,105,10413
Phillips County,Arkansas,05,107,21646
Pike County,Arkansas,05,109,11261
Poinsett County,Arkansas,05,111,24506
Polk County,Arkansas,05,113,20535
Pope County,Arkansas,05,115,61853
Prairie County,Arkansas,05,117,8659
Pulaski County,Arkansas,05,119,383185
Randolph County,Arkansas,05,121,17992
Saint Francis County,Arkansas,05,123,28089
Saline County,Arkansas,05,125,107498
Scott County,Arkansas,05,127,11170
Searcy County,Arkansas,05,129,8146
Sebastian County,Arkansas,05,131,125795
Sevier County,Arkansas,05,133,16978
Sharp County,Arkansas,05,135,17278
Stone County,Arkansas,05,137,12480
Union County,Arkansas,05,139,41594
Van Buren County,Arkansas,05,141,17223
Washington County,Arkansas,05,143,204057
White County,Arkansas,05,145,77007
Woodruff County,Arkansas,05,147,7262
Yell County,Arkansas,05,149,22033
Alameda County,California,06,001,1515136
Alpine County,California,06,003,1197
Amador County,California,06,005,37764
Butte County,California,06,007,220101
Calaveras County,California,06,009,45507
Colusa County,California,06,011,21329
Contra Costa County,California,06,013,1052047
Del Norte County,California,06,015,28496
El Dorado County,California,06,017,180441
Fresno County,California,06,019,930517
Glenn County,California,06,021,28078
Humboldt County,California,06,023,134317
Imperial County,California,06,025,173487
Inyo County,California,06,027,18474
Kern County,California,06,029,839153
Kings County,California,06,031,151982
Lake County,California,06,033,64360
Lassen County,California,06,035,34628
Los Angeles County,California,06,037,9840024
Madera County,California,06,039,150615
Marin County,California,06,041,252759
Mariposa County,California,06,043,18193
Mendocino County,California,06,045,87577
Merced County,California,06,047,256398
Modoc County,California,06,049,9545
Mono County,California,06,051,14181
Monterey County,California,06,053,416199
Napa County,California,06,055,136644
Nevada County,California,06,057,98521
Orange County,California,06,059,3021840
Placer County,California,06,061,350074
Plumas County,California,06,063,19926
Riverside County,California,06,065,2192982
Sacramento County,California,06,067,1422348
San Benito County,California,06,069,55467
San Bernardino County,California,06,071,2041029
San Diego County,California,06,073,3100500
San Francisco County,California,06,075,807755
San Joaquin County,California,06,077,687036
San Luis Obispo County,California,06,079,270121
San Mateo County,California,06,081,721183
Santa Barbara County,California,06,083,423594
Santa Clara County,California,06,085,1788393
