County,State,State_FIPS,County_FIPS,per_capita_income
Clark County,Arkansas,05,019,21571.0
Clay County,Arkansas,05,021,20353.0
Cleburne County,Arkansas,05,023,26620.0
Cleveland County,Arkansas,05,025,23538.0
Columbia County,Arkansas,05,027,21372.0
Conway County,Arkansas,05,029,23750.0
Craighead County,Arkansas,05,031,26432.0
Crawford County,Arkansas,05,033,23851.0
Crittenden County,Arkansas,05,035,21882.0
Cross County,Arkansas,05,037,24486.0
Dallas County,Arkansas,05,039,19401.0
Desha County,Arkansas,05,041,18475.0
Drew County,Arkansas,05,043,23005.0
Faulkner County,Arkansas,05,045,26163.0
Franklin County,Arkansas,05,047,20262.0
Fulton County,Arkansas,05,049,19413.0
Garland County,Arkansas,05,051,26791.0
Grant County,Arkansas,05,053,25907.0
Greene County,Arkansas,05,055,22874.0
Hempstead County,Arkansas,05,057,20168.0
Hot Spring County,Arkansas,05,059,21064.0
Howard County,Arkansas,05,061,24590.0
Independence County,Arkansas,05,063,23426.0
Izard County,Arkansas,05,065,20501.0
Jackson County,Arkansas,05,067,19848.0
Jefferson County,Arkansas,05,069,20925.0
Johnson County,Arkansas,05,071,19681.0
Lafayette County,Arkansas,05,073,26005.0
Lawrence County,Arkansas,05,075,20451.0
Lee County,Arkansas,05,077,15771.0
Lincoln County,Arkansas,05,079,13636.0
Little River County,Arkansas,05,081,26216.0
Logan County,Arkansas,05,083,22221.0
Lonoke County,Arkansas,05,085,26222.0
Madison County,Arkansas,05,087,23875.0
Marion County,Arkansas,05,089,19710.0
Miller County,Arkansas,05,091,22938.0
Mississippi County,Arkansas,05,093,20879.0
Monroe County,Arkansas,05,095,22274.0
Montgomery County,Arkansas,05,097,22347.0
Nevada County,Arkansas,05,099,18618.0
Newton County,Arkansas,05,101,18907.0
Ouachita County,Arkansas,05,103,21520.0
Perry County,Arkansas,05,105,21699.0
Phillips County,Arkansas,05,107,18402.0
Pike County,Arkansas,05,109,21919.0
Poinsett County,Arkansas,05,111,19413.0
Polk County,Arkansas,05,113,20176.0
Pope County,Arkansas,05,115,22110.0
Prairie County,Arkansas,05,117,24075.0
Pulaski County,Arkansas,05,119,31359.0
Randolph County,Arkansas,05,121,21338.0
Saint Francis County,Arkansas,05,123,17491.0
Saline County,Arkansas,05,125,29358.0
Scott County,Arkansas,05,127,17375.0
Searcy County,Arkansas,05,129,20709.0
Sebastian County,Arkansas,05,131,25084.0
Sevier County,Arkansas,05,133,20627.0
Sharp County,Arkansas,05,135,20721.0
Stone County,Arkansas,05,137,20496.0
Union County,Arkansas,05,139,24522.0
Van Buren County,Arkansas,05,141,21622.0
Washington County,Arkansas,05,143,27823.0
White County,Arkansas,05,145,23747.0
Woodruff County,Arkansas,05,147,21276.0
Yell County,Arkansas,05,149,21584.0
Alameda County,California,06,001,44283.0
Alpine County,California,06,003,29041.0
Amador County,California,06,005,30100.0
Butte County,California,06,007,27537.0
Calaveras County,California,06,009,32494.0
Colusa County,California,06,011,27336.0
Contra Costa County,California,06,013,45524.0
Del Norte County,California,06,015,22832.0
El Dorado County,California,06,017,40382.0
Fresno County,California,06,019,23284.0
Glenn County,California,06,021,21736.0
Humboldt County,California,06,023,26747.0
Imperial County,California,06,025,17590.0
Inyo County,California,06,027,31540.0
Kern County,California,06,029,22553.0
Kings County,California,06,031,21186.0
Lake County,California,06,033,25404.0
Lassen County,California,06,035,21897.0
Los Angeles County,California,06,037,32469.0
Madera County,California,06,039,21394.0
Marin County,California,06,041,69275.0
Mariposa County,California,06,043,29776.0
Mendocino County,California,06,045,27395.0
