County,State,State_FIPS,County_FIPS,total_population
Jefferson County,Colorado,08,059,558810.0
Weld County,Colorado,08,123,278065.0
Fairfield County,Connecticut,09,001,941618.0
Hartford County,Connecticut,09,003,895699.0
Litchfield County,Connecticut,09,005,185141.0
Middlesex County,Connecticut,09,007,164438.0
New Haven County,Connecticut,09,009,860874.0
New London County,Connecticut,09,011,272033.0
Tolland County,Connecticut,09,013,151689.0
Windham County,Connecticut,09,015,117078.0
Kent County,Delaware,10,001,171474.0
New Castle County,Delaware,10,003,551997.0
Sussex County,Delaware,10,005,211224.0
Alachua County,Florida,12,001,256581.0
Baker County,Florida,12,003,27312.0
Bay County,Florida,12,005,178361.0
Bradford County,Florida,12,007,26919.0
Brevard County,Florida,12,009,560683.0
Broward County,Florida,12,011,1863780.0
Calhoun County,Florida,12,013,14550.0
Charlotte County,Florida,12,015,169642.0
Citrus County,Florida,12,017,140453.0
Clay County,Florida,12,019,200346.0
Collier County,Florida,12,021,348236.0
Columbia County,Florida,12,023,68198.0
Miami-Dade County,Florida,12,086,2664418.0
DeSoto County,Florida,12,027,35134.0
Dixie County,Florida,12,029,16084.0
Duval County,Florida,12,031,900890.0
Escambia County,Florida,12,033,309574.0
Flagler County,Florida,12,035,102917.0
Franklin County,Florida,12,037,11705.0
Gadsden County,Florida,12,039,46153.0
Gilchrist County,Florida,12,041,17033.0
Glades County,Florida,12,043,13420.0
Gulf County,Florida,12,045,15851.0
Hamilton County,Florida,12,047,14362.0
Hardee County,Florida,12,049,27302.0
Hendry County,Florida,12,051,38376.0
Hernando County,Florida,12,053,176797.0
Highlands County,Florida,12,055,98862.0
Hillsborough County,Florida,12,057,1323059.0
Holmes County,Florida,12,059,19569.0
Indian River County,Florida,12,061,145342.0
Jackson County,Florida,12,063,48721.0
Jefferson County,Florida,12,065,14082.0
Lafayette County,Florida,12,067,8742.0
Lake County,Florida,12,069,317586.0
Lee County,Florida,12,071,680970.0
Leon County,Florida,12,073,284788.0
Levy County,Florida,12,075,39707.0
Liberty County,Florida,12,077,8285.0
Madison County,Florida,12,079,18560.0
Manatee County,Florida,12,081,353411.0
Marion County,Florida,12,083,340341.0
Martin County,Florida,12,085,153592.0
Monroe County,Florida,12,087,77150.0
Nassau County,Florida,12,089,77187.0
Okaloosa County,Florida,12,091,195798.0
Okeechobee County,Florida,12,093,39420.0
Orange County,Florida,12,095,1256055.0
Osceola County,Florida,12,097,311962.0
Palm Beach County,Florida,12,099,1398757.0
Pasco County,Florida,12,101,488310.0
Pinellas County,Florida,12,103,939548.0
Polk County,Florida,12,105,637691.0
Putnam County,Florida,12,107,72304.0
Saint Johns County,Florida,12,109,218362.0
Saint Lucie County,Florida,12,111,293136.0
Santa Rosa County,Florida,12,113,163903.0
Sarasota County,Florida,12,115,398011.0
Seminole County,Florida,12,117,442905.0
Sumter County,Florida,12,119,113589.0
Suwannee County,Florida,12,121,43653.0
Taylor County,Florida,12,123,22582.0
Union County,Florida,12,125,15159.0
Volusia County,Florida,12,127,510806.0
Wakulla County,Florida,12,129,31314.0
Walton County,Florida,12,131,61528.0
Washington County,Florida,12,133,24627.0
Appling County,Georgia,13,001,18410.0
Atkinson County,Georgia,13,003,8268.0
Bacon County,Georgia,13,005,11251.0
Baker County,Georgia,13,007,3250.0
Baldwin County,Georgia,13,009,45808.0
Banks County,Georgia,13,011,18336.0
Barrow County,Georgia,13,013,73340.0
Bartow County,Georgia,13,015,101942.0
Ben Hill County,Georgia,13,017,17405.0
Berrien County,Georgia,13,019,18986.0
Bibb County,Georgia,13,021,154194.0
Bleckley County,Georgia,13,023,12835.0
Brantley County,Georgia,13,025,18403.0
Brooks County,Georgia,13,027,15645.0
Bryan County,Georgia,13,029,34104.0
Bulloch County,Georgia,13,031,73141.0
Burke County,Georgia,13,033,22838.0
Butts County,Georgia,13,035,23479.0
Calhoun County,Georgia,13,037,6443.0
Camden County,Georgia,13,039,52092.0
Candler County,Georgia,13,043,10962.0
Carroll County,Georgia,13,045,113756.0
Catoosa County,Georgia,13,047,65645.0
Charlton County,Georgia,13,049,12968.0
Chatham County,Georgia,13,051,282613.0
Chattahoochee County,Georgia,13,053,11882.0
Chattooga County,Georgia,13,055,25046.0
Cherokee County,Georgia,13,057,230629.0
Clarke County,Georgia,13,059,122037.0
Clay County,Georgia,13,061,3068.0
Clayton County,Georgia,13,063,270269.0
Clinch County,Georgia,13,065,6814.0
Cobb County,Georgia,13,067,728388.0
Coffee County,Georgia,13,069,43042.0
Colquitt County,Georgia,13,071,46002.0
Columbia County,Georgia,13,073,139904.0
Cook County,Georgia,13,075,17103.0
Coweta County,Georgia,13,077,135625.0
Crawford County,Georgia,13,079,12483.0
Crisp County,Georgia,13,081,23061.0
Dade County,Georgia,13,083,16356.0
Dawson County,Georgia,13,085,22939.0
Decatur County,Georgia,13,087,27237.0
DeKalb County,Georgia,13,089,723902.0
Dodge County,Georgia,13,091,20995.0
Dooly County,Georgia,13,093,14089.0
Dougherty County,Georgia,13,095,92326.0
Douglas County,Georgia,13,097,138283.0
Early County,Georgia,13,099,10480.0
Echols County,Georgia,13,101,4025.0
Effingham County,Georgia,13,103,55852.0
Elbert County,Georgia,13,105,19394.0
Emanuel County,Georgia,13,107,22723.0
Evans County,Georgia,13,109,10733.0
Fannin County,Georgia,13,111,24017.0
Fayette County,Georgia,13,113,109495.0
Floyd County,Georgia,13,115,96199.0
Forsyth County,Georgia,13,117,203841.0
Franklin County,Georgia,13,119,22188.0
Fulton County,Georgia,13,121,996757.0
Gilmer County,Georgia,13,123,28956.0
Glascock County,Georgia,13,125,3053.0
Glynn County,Georgia,13,127,82623.0
Gordon County,Georgia,13,129,56079.0
Grady County,Georgia,13,131,25145.0
Greene County,Georgia,13,133,16535.0
Gwinnett County,Georgia,13,135,874242.0
Habersham County,Georgia,13,137,43724.0
Hall County,Georgia,13,139,190482.0
Hancock County,Georgia,13,141,8747.0
Haralson County,Georgia,13,143,28667.0
Harris County,Georgia,13,145,32992.0
Hart County,Georgia,13,147,25518.0
Heard County,Georgia,13,149,11571.0
Henry County,Georgia,13,151,214171.0
Houston County,Georgia,13,153,149137.0
Irwin County,Georgia,13,155,9365.0
Jackson County,Georgia,13,157,62131.0
Jasper County,Georgia,13,159,13571.0
Jeff Davis County,Georgia,13,161,14953.0
Jefferson County,Georgia,13,163,16201.0
Jenkins County,Georgia,13,165,9055.0
Johnson County,Georgia,13,167,9694.0
Jones County,Georgia,13,169,28701.0
Lamar County,Georgia,13,171,18195.0
Lanier County,Georgia,13,173,10382.0
Laurens County,Georgia,13,175,47802.0
Lee County,Georgia,13,177,29134.0
Liberty County,Georgia,13,179,63949.0
Lincoln County,Georgia,13,181,7712.0
Long County,Georgia,13,183,17243.0
Lowndes County,Georgia,13,185,113898.0
Lumpkin County,Georgia,13,187,31094.0
McDuffie County,Georgia,13,189,21558.0
McIntosh County,Georgia,13,191,13941.0
Macon County,Georgia,13,193,13846.0
Madison County,Georgia,13,195,28362.0
Marion County,Georgia,13,197,8646.0
Meriwether County,Georgia,13,199,21195.0
Miller County,Georgia,13,201,5911.0
Mitchell County,Georgia,13,205,22778.0
Monroe County,Georgia,13,207,27044.0
Montgomery County,Georgia,13,209,9005.0
Morgan County,Georgia,13,211,17943.0
Murray County,Georgia,13,213,39358.0
Muscogee County,Georgia,13,215,200303.0
Newton County,Georgia,13,217,103901.0
Oconee County,Georgia,13,219,35071.0
Oglethorpe County,Georgia,13,221,14743.0
Paulding County,Georgia,13,223,149830.0
Peach County,Georgia,13,225,26907.0
Pickens County,Georgia,13,227,29992.0
Pierce County,Georgia,13,229,19030.0
Pike County,Georgia,13,231,17843.0
Polk County,Georgia,13,233,41263.0
Pulaski County,Georgia,13,235,11460.0
Putnam County,Georgia,13,237,21259.0
Quitman County,Georgia,13,239,2095.0
Rabun County,Georgia,13,241,16312.0
Randolph County,Georgia,13,243,7224.0
Richmond County,Georgia,13,245,201418.0
Rockdale County,Georgia,13,247,87569.0
Schley County,Georgia,13,249,5089.0
Screven County,Georgia,13,251,14114.0
Seminole County,Georgia,13,253,8696.0
