County,State,State_FIPS,County_FIPS,median_home_value
Bent County,Colorado,08,011,69800.0
Chaffee County,Colorado,08,015,265700.0
Cheyenne County,Colorado,08,017,84200.0
Clear Creek County,Colorado,08,019,273400.0
Conejos County,Colorado,08,021,111000.0
Costilla County,Colorado,08,023,101200.0
Crowley County,Colorado,08,025,73700.0
Custer County,Colorado,08,027,215400.0
Delta County,Colorado,08,029,190500.0
Dolores County,Colorado,08,033,117400.0
Douglas County,Colorado,08,035,340300.0
Eagle County,Colorado,08,037,435600.0
Elbert County,Colorado,08,039,327300.0
El Paso County,Colorado,08,041,214300.0
Fremont County,Colorado,08,043,157400.0
Garfield County,Colorado,08,045,290600.0
Gilpin County,Colorado,08,047,260000.0
Grand County,Colorado,08,049,292700.0
Gunnison County,Colorado,08,051,325800.0
Huerfano County,Colorado,08,055,154700.0
Jackson County,Colorado,08,057,124800.0
Kiowa County,Colorado,08,061,76400.0
Kit Carson County,Colorado,08,063,121600.0
Lake County,Colorado,08,065,168800.0
La Plata County,Colorado,08,067,333100.0
Larimer County,Colorado,08,069,251600.0
Las Animas County,Colorado,08,071,151200.0
Lincoln County,Colorado,08,073,124300.0
Logan County,Colorado,08,075,122300.0
Mesa County,Colorado,08,077,203200.0
Moffat County,Colorado,08,081,177700.0
Montezuma County,Colorado,08,083,184300.0
Montrose County,Colorado,08,085,194600.0
Morgan County,Colorado,08,087,135000.0
Otero County,Colorado,08,089,93200.0
Ouray County,Colorado,08,091,389600.0
Park County,Colorado,08,093,244300.0
Phillips County,Colorado,08,095,132900.0
Pitkin County,Colorado,08,097,570700.0
Prowers County,Colorado,08,099,86200.0
Pueblo County,Colorado,08,101,137600.0
Rio Blanco County,Colorado,08,103,199800.0
Rio Grande County,Colorado,08,105,126300.0
Routt County,Colorado,08,107,378100.0
Saguache County,Colorado,08,109,142200.0
San Miguel County,Colorado,08,113,511800.0
Sedgwick County,Colorado,08,115,84500.0
Summit County,Colorado,08,117,461100.0
Teller County,Colorado,08,119,232300.0
Washington County,Colorado,08,121,111500.0
Yuma County,Colorado,08,125,137200.0
Adams County,Colorado,08,001,189400.0
Arapahoe County,Colorado,08,005,235600.0
Boulder County,Colorado,08,013,358000.0
Broomfield County,Colorado,08,014,284100.0
Denver County,Colorado,08,031,257500.0
Jefferson County,Colorado,08,059,267200.0
Weld County,Colorado,08,123,196100.0
Fairfield County,Connecticut,09,001,422400.0
Hartford County,Connecticut,09,003,238600.0
Litchfield County,Connecticut,09,005,259800.0
Middlesex County,Connecticut,09,007,288300.0
New Haven County,Connecticut,09,009,250400.0
New London County,Connecticut,09,011,247700.0
Tolland County,Connecticut,09,013,252400.0
Windham County,Connecticut,09,015,203200.0
Kent County,Delaware,10,001,200200.0
New Castle County,Delaware,10,003,243400.0
Sussex County,Delaware,10,005,231400.0
Alachua County,Florida,12,001,164600.0
Baker County,Florida,12,003,118100.0
Bay County,Florida,12,005,156500.0
Bradford County,Florida,12,007,93000.0
Brevard County,Florida,12,009,138500.0
Broward County,Florida,12,011,177300.0
Calhoun County,Florida,12,013,76200.0
Charlotte County,Florida,12,015,140900.0
Citrus County,Florida,12,017,113500.0
Clay County,Florida,12,019,153700.0
Collier County,Florida,12,021,258400.0
Columbia County,Florida,12,023,106600.0
Miami-Dade County,Florida,12,086,194100.0
DeSoto County,Florida,12,027,83800.0
Dixie County,Florida,12,029,79000.0
Duval County,Florida,12,031,144000.0
Escambia County,Florida,12,033,123000.0
Flagler County,Florida,12,035,163800.0
Franklin County,Florida,12,037,128700.0
Gadsden County,Florida,12,039,107900.0
Gilchrist County,Florida,12,041,105300.0
Glades County,Florida,12,043,84100.0
Gulf County,Florida,12,045,119900.0
Hamilton County,Florida,12,047,69400.0
Hardee County,Florida,12,049,84200.0
Hendry County,Florida,12,051,72400.0
Hernando County,Florida,12,053,111800.0
Highlands County,Florida,12,055,87700.0
Hillsborough County,Florida,12,057,156700.0
Holmes County,Florida,12,059,83200.0
Indian River County,Florida,12,061,156300.0
Jackson County,Florida,12,063,86900.0
Jefferson County,Florida,12,065,127100.0
Lafayette County,Florida,12,067,106000.0
Lake County,Florida,12,069,137900.0
Lee County,Florida,12,071,150000.0
Leon County,Florida,12,073,180600.0
Levy County,Florida,12,075,89800.0
Liberty County,Florida,12,077,73200.0
Madison County,Florida,12,079,77500.0
Manatee County,Florida,12,081,163700.0
Marion County,Florida,12,083,111500.0
Martin County,Florida,12,085,191500.0
Monroe County,Florida,12,087,379700.0
Nassau County,Florida,12,089,176200.0
Okaloosa County,Florida,12,091,181800.0
Okeechobee County,Florida,12,093,100900.0
Orange County,Florida,12,095,161900.0
Osceola County,Florida,12,097,124500.0
Palm Beach County,Florida,12,099,194600.0
Pasco County,Florida,12,101,115700.0
Pinellas County,Florida,12,103,146500.0
Polk County,Florida,12,105,107100.0
Putnam County,Florida,12,107,86600.0
Saint Johns County,Florida,12,109,240400.0
