County,State,State_FIPS,County_FIPS,total_population_race
Custer County,Colorado,08,027,4303.0
Delta County,Colorado,08,029,30214.0
Dolores County,Colorado,08,033,1862.0
Douglas County,Colorado,08,035,306974.0
Eagle County,Colorado,08,037,52576.0
Elbert County,Colorado,08,039,23855.0
El Paso County,Colorado,08,041,655024.0
Fremont County,Colorado,08,043,46809.0
Garfield County,Colorado,08,045,57076.0
Gilpin County,Colorado,08,047,5605.0
Grand County,Colorado,08,049,14411.0
Gunnison County,Colorado,08,051,15651.0
Huerfano County,Colorado,08,055,6502.0
Jackson County,Colorado,08,057,1335.0
Kiowa County,Colorado,08,061,1463.0
Kit Carson County,Colorado,08,063,7980.0
Lake County,Colorado,08,065,7362.0
La Plata County,Colorado,08,067,53182.0
Larimer County,Colorado,08,069,318227.0
Las Animas County,Colorado,08,071,14503.0
Lincoln County,Colorado,08,073,5478.0
Logan County,Colorado,08,075,21928.0
Mesa County,Colorado,08,077,147834.0
Moffat County,Colorado,08,081,13117.0
Montezuma County,Colorado,08,083,25700.0
Montrose County,Colorado,08,085,40815.0
Morgan County,Colorado,08,087,28359.0
Otero County,Colorado,08,089,18572.0
Ouray County,Colorado,08,091,4580.0
Park County,Colorado,08,093,16189.0
Phillips County,Colorado,08,095,4371.0
Pitkin County,Colorado,08,097,17420.0
Prowers County,Colorado,08,099,12235.0
Pueblo County,Colorado,08,101,161519.0
Rio Blanco County,Colorado,08,103,6712.0
Rio Grande County,Colorado,08,105,11745.0
Routt County,Colorado,08,107,23606.0
Saguache County,Colorado,08,109,6238.0
San Miguel County,Colorado,08,113,7676.0
Sedgwick County,Colorado,08,115,2365.0
Summit County,Colorado,08,117,28940.0
Teller County,Colorado,08,119,23340.0
Washington County,Colorado,08,121,4795.0
Yuma County,Colorado,08,125,10185.0
Adams County,Colorado,08,001,471206.0
Arapahoe County,Colorado,08,005,608310.0
Boulder County,Colorado,08,013,310032.0
Broomfield County,Colorado,08,014,60699.0
Denver County,Colorado,08,031,649654.0
Jefferson County,Colorado,08,059,552344.0
Weld County,Colorado,08,123,270948.0
Fairfield County,Connecticut,09,001,939983.0
Hartford County,Connecticut,09,003,896943.0
Litchfield County,Connecticut,09,005,186304.0
Middlesex County,Connecticut,09,007,165165.0
New Haven County,Connecticut,09,009,862224.0
New London County,Connecticut,09,011,273185.0
Tolland County,Connecticut,09,013,151948.0
Windham County,Connecticut,09,015,117470.0
Kent County,Delaware,10,001,169509.0
New Castle County,Delaware,10,003,549643.0
Sussex County,Delaware,10,005,207302.0
Alachua County,Florida,12,001,254218.0
Baker County,Florida,12,003,27135.0
Bay County,Florida,12,005,175353.0
Bradford County,Florida,12,007,27223.0
Brevard County,Florida,12,009,553591.0
Broward County,Florida,12,011,1843152.0
Calhoun County,Florida,12,013,14615.0
Charlotte County,Florida,12,015,165783.0
Citrus County,Florida,12,017,139654.0
Clay County,Florida,12,019,197417.0
Collier County,Florida,12,021,341091.0
Columbia County,Florida,12,023,67806.0
Miami-Dade County,Florida,12,086,2639042.0
DeSoto County,Florida,12,027,34957.0
Dixie County,Florida,12,029,16091.0
