County,State,State_FIPS,County_FIPS,white_population
Trinity County,California,06,105,11284.0
Tulare County,California,06,107,361911.0
Tuolumne County,California,06,109,47181.0
Ventura County,California,06,111,677010.0
Yolo County,California,06,113,142841.0
Yuba County,California,06,115,54601.0
Alamosa County,Colorado,08,003,14071.0
Archuleta County,Colorado,08,007,10587.0
Baca County,Colorado,08,009,3413.0
Bent County,Colorado,08,011,5219.0
Chaffee County,Colorado,08,015,17626.0
Cheyenne County,Colorado,08,017,2007.0
Clear Creek County,Colorado,08,019,8729.0
Conejos County,Colorado,08,021,7386.0
Costilla County,Colorado,08,023,3328.0
Crowley County,Colorado,08,025,4797.0
Custer County,Colorado,08,027,4199.0
Delta County,Colorado,08,029,28400.0
Dolores County,Colorado,08,033,1662.0
Douglas County,Colorado,08,035,287821.0
Eagle County,Colorado,08,037,47748.0
Elbert County,Colorado,08,039,23097.0
El Paso County,Colorado,08,041,536783.0
Fremont County,Colorado,08,043,42068.0
Garfield County,Colorado,08,045,50863.0
Gilpin County,Colorado,08,047,5376.0
Grand County,Colorado,08,049,13828.0
Gunnison County,Colorado,08,051,15522.0
Huerfano County,Colorado,08,055,6164.0
Jackson County,Colorado,08,057,1279.0
Kiowa County,Colorado,08,061,1264.0
Kit Carson County,Colorado,08,063,7173.0
Lake County,Colorado,08,065,6590.0
La Plata County,Colorado,08,067,48299.0
Larimer County,Colorado,08,069,302008.0
Las Animas County,Colorado,08,071,12043.0
Lincoln County,Colorado,08,073,4854.0
Logan County,Colorado,08,075,20097.0
Mesa County,Colorado,08,077,139913.0
Moffat County,Colorado,08,081,12386.0
Montezuma County,Colorado,08,083,21390.0
Montrose County,Colorado,08,085,38287.0
Morgan County,Colorado,08,087,24601.0
Otero County,Colorado,08,089,16530.0
Ouray County,Colorado,08,091,4563.0
Park County,Colorado,08,093,16051.0
Phillips County,Colorado,08,095,4061.0
Pitkin County,Colorado,08,097,16266.0
Prowers County,Colorado,08,099,11498.0
Pueblo County,Colorado,08,101,126971.0
Rio Blanco County,Colorado,08,103,6365.0
Rio Grande County,Colorado,08,105,10474.0
Routt County,Colorado,08,107,23078.0
Saguache County,Colorado,08,109,5731.0
San Miguel County,Colorado,08,113,7468.0
Sedgwick County,Colorado,08,115,2125.0
Summit County,Colorado,08,117,26775.0
Teller County,Colorado,08,119,22465.0
Washington County,Colorado,08,121,4601.0
Yuma County,Colorado,08,125,9451.0
Adams County,Colorado,08,001,404397.0
Arapahoe County,Colorado,08,005,450692.0
Boulder County,Colorado,08,013,280804.0
Broomfield County,Colorado,08,014,55361.0
Denver County,Colorado,08,031,521481.0
Jefferson County,Colorado,08,059,512329.0
Weld County,Colorado,08,123,253742.0
Fairfield County,Connecticut,09,001,696286.0
Hartford County,Connecticut,09,003,644122.0
Litchfield County,Connecticut,09,005,171607.0
Middlesex County,Connecticut,09,007,145791.0
New Haven County,Connecticut,09,009,641178.0
New London County,Connecticut,09,011,219757.0
Tolland County,Connecticut,09,013,134422.0
Windham County,Connecticut,09,015,103901.0
Kent County,Delaware,10,001,115731.0
New Castle County,Delaware,10,003,359928.0
Sussex County,Delaware,10,005,176511.0
Alachua County,Florida,12,001,180699.0
Baker County,Florida,12,003,22963.0
Bay County,Florida,12,005,147474.0
Bradford County,Florida,12,007,20861.0
Brevard County,Florida,12,009,470794.0
Broward County,Florida,12,011,1165004.0
Calhoun County,Florida,12,013,11609.0
Charlotte County,Florida,12,015,156037.0
Citrus County,Florida,12,017,131599.0
Clay County,Florida,12,019,164223.0
Collier County,Florida,12,021,314272.0
Columbia County,Florida,12,023,52945.0
Miami-Dade County,Florida,12,086,2043272.0
DeSoto County,Florida,12,027,29791.0
Dixie County,Florida,12,029,14224.0
Duval County,Florida,12,031,553571.0
Escambia County,Florida,12,033,211815.0
Flagler County,Florida,12,035,86695.0
Franklin County,Florida,12,037,9578.0
Gadsden County,Florida,12,039,19103.0
Gilchrist County,Florida,12,041,15786.0
Glades County,Florida,12,043,10524.0
Gulf County,Florida,12,045,12517.0
Hamilton County,Florida,12,047,8603.0
Hardee County,Florida,12,049,22175.0
Hendry County,Florida,12,051,30341.0
Hernando County,Florida,12,053,160624.0
Highlands County,Florida,12,055,81422.0
Hillsborough County,Florida,12,057,958208.0
Holmes County,Florida,12,059,17262.0
Indian River County,Florida,12,061,127295.0
Jackson County,Florida,12,063,33644.0
Jefferson County,Florida,12,065,8658.0
Lafayette County,Florida,12,067,6934.0
Lake County,Florida,12,069,270409.0
Lee County,Florida,12,071,593227.0
Leon County,Florida,12,073,177406.0
Levy County,Florida,12,075,34748.0
Liberty County,Florida,12,077,6570.0
Madison County,Florida,12,079,10686.0
Manatee County,Florida,12,081,310738.0
Marion County,Florida,12,083,281763.0
Martin County,Florida,12,085,136544.0
Monroe County,Florida,12,087,68025.0
Nassau County,Florida,12,089,70888.0
Okaloosa County,Florida,12,091,155791.0
Okeechobee County,Florida,12,093,34988.0
Orange County,Florida,12,095,822454.0
Osceola County,Florida,12,097,241940.0
Palm Beach County,Florida,12,099,1058016.0
Pasco County,Florida,12,101,439087.0
Pinellas County,Florida,12,103,777713.0
Polk County,Florida,12,105,510554.0
Putnam County,Florida,12,107,57620.0
Saint Johns County,Florida,12,109,201712.0
Saint Lucie County,Florida,12,111,219683.0
Santa Rosa County,Florida,12,113,143112.0
Sarasota County,Florida,12,115,369537.0
Seminole County,Florida,12,117,351713.0
Sumter County,Florida,12,119,103550.0
Suwannee County,Florida,12,121,36442.0
Taylor County,Florida,12,123,16735.0
Union County,Florida,12,125,11287.0
Volusia County,Florida,12,127,430152.0
