County,State,State_FIPS,County_FIPS,asian_population
La Plata County,Colorado,08,067,46210.0
Larimer County,Colorado,08,069,282786.0
Las Animas County,Colorado,08,071,12504.0
Lincoln County,Colorado,08,073,4594.0
Logan County,Colorado,08,075,20866.0
Mesa County,Colorado,08,077,135965.0
Moffat County,Colorado,08,081,12331.0
Montezuma County,Colorado,08,083,21246.0
Montrose County,Colorado,08,085,37489.0
Morgan County,Colorado,08,087,25350.0
Otero County,Colorado,08,089,16999.0
Ouray County,Colorado,08,091,4421.0
Park County,Colorado,08,093,15508.0
Phillips County,Colorado,08,095,4080.0
Pitkin County,Colorado,08,097,16413.0
Prowers County,Colorado,08,099,11667.0
Pueblo County,Colorado,08,101,126386.0
Rio Blanco County,Colorado,08,103,6405.0
Rio Grande County,Colorado,08,105,9714.0
Routt County,Colorado,08,107,22103.0
Saguache County,Colorado,08,109,5309.0
San Miguel County,Colorado,08,113,7334.0
Sedgwick County,Colorado,08,115,2159.0
Summit County,Colorado,08,117,25418.0
Teller County,Colorado,08,119,22000.0
Washington County,Colorado,08,121,4607.0
Yuma County,Colorado,08,125,9093.0
Adams County,Colorado,08,001,376581.0
Arapahoe County,Colorado,08,005,439517.0
Boulder County,Colorado,08,013,267572.0
Broomfield County,Colorado,08,014,51294.0
Denver County,Colorado,08,031,473269.0
Jefferson County,Colorado,08,059,496471.0
Weld County,Colorado,08,123,229905.0
Fairfield County,Connecticut,09,001,694475.0
Hartford County,Connecticut,09,003,653648.0
Litchfield County,Connecticut,09,005,175327.0
Middlesex County,Connecticut,09,007,147394.0
New Haven County,Connecticut,09,009,649232.0
New London County,Connecticut,09,011,224950.0
Tolland County,Connecticut,09,013,136545.0
Windham County,Connecticut,09,015,107534.0
Kent County,Delaware,10,001,113563.0
New Castle County,Delaware,10,003,360264.0
Sussex County,Delaware,10,005,165527.0
Alachua County,Florida,12,001,175713.0
Baker County,Florida,12,003,22713.0
Bay County,Florida,12,005,142262.0
Bradford County,Florida,12,007,21368.0
Brevard County,Florida,12,009,456683.0
Broward County,Florida,12,011,1146423.0
Calhoun County,Florida,12,013,11947.0
Charlotte County,Florida,12,015,147782.0
Citrus County,Florida,12,017,130161.0
Clay County,Florida,12,019,160247.0
Collier County,Florida,12,021,291481.0
Columbia County,Florida,12,023,52253.0
Miami-Dade County,Florida,12,086,1963920.0
DeSoto County,Florida,12,027,28654.0
Dixie County,Florida,12,029,14081.0
Duval County,Florida,12,031,543264.0
Escambia County,Florida,12,033,210631.0
Flagler County,Florida,12,035,80341.0
Franklin County,Florida,12,037,9472.0
Gadsden County,Florida,12,039,18531.0
Gilchrist County,Florida,12,041,15576.0
Glades County,Florida,12,043,10324.0
Gulf County,Florida,12,045,12215.0
Hamilton County,Florida,12,047,8790.0
Hardee County,Florida,12,049,22983.0
Hendry County,Florida,12,051,27230.0
Hernando County,Florida,12,053,156206.0
Highlands County,Florida,12,055,82654.0
Hillsborough County,Florida,12,057,918084.0
Holmes County,Florida,12,059,17654.0
Indian River County,Florida,12,061,121670.0
Jackson County,Florida,12,063,33718.0
Jefferson County,Florida,12,065,8615.0
Lafayette County,Florida,12,067,6888.0
Lake County,Florida,12,069,254313.0
Lee County,Florida,12,071,545605.0
Leon County,Florida,12,073,175713.0
Levy County,Florida,12,075,35022.0
Liberty County,Florida,12,077,6415.0
Madison County,Florida,12,079,10771.0
Manatee County,Florida,12,081,282584.0
Marion County,Florida,12,083,273311.0
Martin County,Florida,12,085,130129.0
Monroe County,Florida,12,087,67153.0
Nassau County,Florida,12,089,67783.0
Okaloosa County,Florida,12,091,150361.0
Okeechobee County,Florida,12,093,33452.0
Orange County,Florida,12,095,780991.0
Osceola County,Florida,12,097,220205.0
Palm Beach County,Florida,12,099,1025542.0
Pasco County,Florida,12,101,421022.0
Pinellas County,Florida,12,103,767248.0
Polk County,Florida,12,105,486381.0
Putnam County,Florida,12,107,56857.0
Saint Johns County,Florida,12,109,182338.0
Saint Lucie County,Florida,12,111,206581.0
Santa Rosa County,Florida,12,113,137237.0
Sarasota County,Florida,12,115,352049.0
Seminole County,Florida,12,117,345365.0
Sumter County,Florida,12,119,91654.0
Suwannee County,Florida,12,121,35871.0
Taylor County,Florida,12,123,17130.0
Union County,Florida,12,125,11282.0
Volusia County,Florida,12,127,411057.0
Wakulla County,Florida,12,129,25417.0
Walton County,Florida,12,131,50115.0
Washington County,Florida,12,133,19708.0
Appling County,Georgia,13,001,14117.0
Atkinson County,Georgia,13,003,5523.0
Bacon County,Georgia,13,005,8825.0
Baker County,Georgia,13,007,1777.0
Baldwin County,Georgia,13,009,25186.0
Banks County,Georgia,13,011,17130.0
Barrow County,Georgia,13,013,57049.0
Bartow County,Georgia,13,015,84464.0
Ben Hill County,Georgia,13,017,10509.0
Berrien County,Georgia,13,019,16153.0
Bibb County,Georgia,13,021,67556.0
Bleckley County,Georgia,13,023,8960.0
Brantley County,Georgia,13,025,17412.0
Brooks County,Georgia,13,027,9320.0
Bryan County,Georgia,13,029,25308.0
Bulloch County,Georgia,13,031,47288.0
Burke County,Georgia,13,033,11075.0
Butts County,Georgia,13,035,16414.0
Calhoun County,Georgia,13,037,2220.0
Camden County,Georgia,13,039,38403.0
