County,State,State_FIPS,County_FIPS,high_school_and_above_percentage
Placer County,California,06,061,37.5
Plumas County,California,06,063,22.6
Riverside County,California,06,065,21.5
Sacramento County,California,06,067,29.9
San Benito County,California,06,069,19.2
San Bernardino County,California,06,071,19.8
San Diego County,California,06,073,37.4
San Francisco County,California,06,075,55.8
San Joaquin County,California,06,077,18.1
San Luis Obispo County,California,06,079,34.0
San Mateo County,California,06,081,48.5
Santa Barbara County,California,06,083,33.3
Santa Clara County,California,06,085,50.0
Santa Cruz County,California,06,087,39.8
Shasta County,California,06,089,21.4
Sierra County,California,06,091,21.4
Siskiyou County,California,06,093,22.7
Solano County,California,06,095,25.6
Sonoma County,California,06,097,33.8
Stanislaus County,California,06,099,16.7
Sutter County,California,06,101,17.5
Tehama County,California,06,103,14.4
Trinity County,California,06,105,19.5
Tulare County,California,06,107,13.8
Tuolumne County,California,06,109,20.6
Ventura County,California,06,111,32.6
Yolo County,California,06,113,40.6
Yuba County,California,06,115,16.4
Alamosa County,Colorado,08,003,26.2
Archuleta County,Colorado,08,007,37.0
Baca County,Colorado,08,009,21.4
Bent County,Colorado,08,011,10.3
Chaffee County,Colorado,08,015,32.4
Cheyenne County,Colorado,08,017,21.9
Clear Creek County,Colorado,08,019,46.4
Conejos County,Colorado,08,021,19.2
Costilla County,Colorado,08,023,20.9
Crowley County,Colorado,08,025,8.1
Custer County,Colorado,08,027,33.3
Delta County,Colorado,08,029,19.4
Dolores County,Colorado,08,033,19.8
Douglas County,Colorado,08,035,58.0
Eagle County,Colorado,08,037,45.1
Elbert County,Colorado,08,039,35.0
El Paso County,Colorado,08,041,37.3
Fremont County,Colorado,08,043,17.1
Garfield County,Colorado,08,045,30.2
Gilpin County,Colorado,08,047,36.6
Grand County,Colorado,08,049,38.4
Gunnison County,Colorado,08,051,53.7
Huerfano County,Colorado,08,055,23.6
Jackson County,Colorado,08,057,16.5
Kiowa County,Colorado,08,061,21.0
Kit Carson County,Colorado,08,063,15.8
Lake County,Colorado,08,065,31.2
La Plata County,Colorado,08,067,43.1
Larimer County,Colorado,08,069,45.9
Las Animas County,Colorado,08,071,20.2
Lincoln County,Colorado,08,073,13.2
Logan County,Colorado,08,075,19.0
Mesa County,Colorado,08,077,27.2
Moffat County,Colorado,08,081,17.2
Montezuma County,Colorado,08,083,28.0
Montrose County,Colorado,08,085,23.4
Morgan County,Colorado,08,087,17.2
Otero County,Colorado,08,089,17.7
Ouray County,Colorado,08,091,49.4
Park County,Colorado,08,093,28.5
Phillips County,Colorado,08,095,21.6
Pitkin County,Colorado,08,097,61.2
Prowers County,Colorado,08,099,16.0
Pueblo County,Colorado,08,101,21.7
Rio Blanco County,Colorado,08,103,20.9
Rio Grande County,Colorado,08,105,23.7
Routt County,Colorado,08,107,51.6
Saguache County,Colorado,08,109,26.0
San Miguel County,Colorado,08,113,54.1
Sedgwick County,Colorado,08,115,20.8
Summit County,Colorado,08,117,47.8
Teller County,Colorado,08,119,34.1
Washington County,Colorado,08,121,16.6
Yuma County,Colorado,08,125,21.0
Adams County,Colorado,08,001,23.1
Arapahoe County,Colorado,08,005,41.6
Boulder County,Colorado,08,013,60.4
Broomfield County,Colorado,08,014,53.4
Denver County,Colorado,08,031,46.5
Jefferson County,Colorado,08,059,43.1
Weld County,Colorado,08,123,27.0
Fairfield County,Connecticut,09,001,46.5
Hartford County,Connecticut,09,003,37.4
Litchfield County,Connecticut,09,005,35.0
Middlesex County,Connecticut,09,007,40.8
New Haven County,Connecticut,09,009,34.6
New London County,Connecticut,09,011,32.9
Tolland County,Connecticut,09,013,39.7
Windham County,Connecticut,09,015,24.4
Kent County,Delaware,10,001,23.5
New Castle County,Delaware,10,003,35.7
Sussex County,Delaware,10,005,25.1
Alachua County,Florida,12,001,41.4
Baker County,Florida,12,003,13.1
Bay County,Florida,12,005,22.4
Bradford County,Florida,12,007,10.4
Brevard County,Florida,12,009,28.4
Broward County,Florida,12,011,31.5
Calhoun County,Florida,12,013,9.6
Charlotte County,Florida,12,015,22.4
Citrus County,Florida,12,017,17.8
Clay County,Florida,12,019,23.7
Collier County,Florida,12,021,34.9
Columbia County,Florida,12,023,16.4
Miami-Dade County,Florida,12,086,27.8
DeSoto County,Florida,12,027,11.5
Dixie County,Florida,12,029,9.1
Duval County,Florida,12,031,28.7
Escambia County,Florida,12,033,26.0
Flagler County,Florida,12,035,23.6
Franklin County,Florida,12,037,18.4
Gadsden County,Florida,12,039,16.3
Gilchrist County,Florida,12,041,12.4
Glades County,Florida,12,043,10.9
Gulf County,Florida,12,045,18.5
Hamilton County,Florida,12,047,10.2
Hardee County,Florida,12,049,10.5
Hendry County,Florida,12,051,8.4
Hernando County,Florida,12,053,17.1
Highlands County,Florida,12,055,17.1
Hillsborough County,Florida,12,057,32.0
Holmes County,Florida,12,059,11.5
Indian River County,Florida,12,061,27.8
Jackson County,Florida,12,063,14.0
Jefferson County,Florida,12,065,21.2
Lafayette County,Florida,12,067,14.0
Lake County,Florida,12,069,22.4
Lee County,Florida,12,071,27.2
Leon County,Florida,12,073,45.5
Levy County,Florida,12,075,11.9
Liberty County,Florida,12,077,11.1
Madison County,Florida,12,079,12.5
Manatee County,Florida,12,081,29.1
Marion County,Florida,12,083,19.4
Martin County,Florida,12,085,32.3
Monroe County,Florida,12,087,31.8
Nassau County,Florida,12,089,27.2
Okaloosa County,Florida,12,091,29.8
Okeechobee County,Florida,12,093,11.0
Orange County,Florida,12,095,32.7
Osceola County,Florida,12,097,19.0
Palm Beach County,Florida,12,099,34.8
Pasco County,Florida,12,101,22.7
Pinellas County,Florida,12,103,30.1
Polk County,Florida,12,105,19.5
Putnam County,Florida,12,107,12.5
Saint Johns County,Florida,12,109,43.0
Saint Lucie County,Florida,12,111,19.6
Santa Rosa County,Florida,12,113,27.1
Sarasota County,Florida,12,115,33.9
Seminole County,Florida,12,117,37.6
Sumter County,Florida,12,119,30.9
Suwannee County,Florida,12,121,13.7
Taylor County,Florida,12,123,8.6
Union County,Florida,12,125,8.3
Volusia County,Florida,12,127,22.7
Wakulla County,Florida,12,129,17.8
Walton County,Florida,12,131,26.7
Washington County,Florida,12,133,11.3
Appling County,Georgia,13,001,11.5
Atkinson County,Georgia,13,003,8.2
Bacon County,Georgia,13,005,11.8
Baker County,Georgia,13,007,11.0
Baldwin County,Georgia,13,009,19.4
Banks County,Georgia,13,011,11.9
Barrow County,Georgia,13,013,17.3
Bartow County,Georgia,13,015,19.4
Ben Hill County,Georgia,13,017,10.2
Berrien County,Georgia,13,019,11.7
Bibb County,Georgia,13,021,25.4
Bleckley County,Georgia,13,023,17.2
Brantley County,Georgia,13,025,7.8
Brooks County,Georgia,13,027,13.6
Bryan County,Georgia,13,029,32.4
Bulloch County,Georgia,13,031,27.9
Burke County,Georgia,13,033,11.7
Butts County,Georgia,13,035,10.5
Calhoun County,Georgia,13,037,9.4
Camden County,Georgia,13,039,23.6
Candler County,Georgia,13,043,14.4
Carroll County,Georgia,13,045,19.6
Catoosa County,Georgia,13,047,20.3
Charlton County,Georgia,13,049,8.6
Chatham County,Georgia,13,051,33.2
Chattahoochee County,Georgia,13,053,33.0
Chattooga County,Georgia,13,055,10.1
Cherokee County,Georgia,13,057,35.7
Clarke County,Georgia,13,059,41.3
Clay County,Georgia,13,061,8.9
Clayton County,Georgia,13,063,19.1
Clinch County,Georgia,13,065,12.3
Cobb County,Georgia,13,067,45.5
Coffee County,Georgia,13,069,14.1
Colquitt County,Georgia,13,071,12.5
Columbia County,Georgia,13,073,34.4
Cook County,Georgia,13,075,14.8
Coweta County,Georgia,13,077,29.0
Crawford County,Georgia,13,079,13.2
Crisp County,Georgia,13,081,13.6
Dade County,Georgia,13,083,13.9
Dawson County,Georgia,13,085,31.1
Decatur County,Georgia,13,087,14.9
DeKalb County,Georgia,13,089,42.1
Dodge County,Georgia,13,091,14.6
Dooly County,Georgia,13,093,9.9
Dougherty County,Georgia,13,095,20.7
Douglas County,Georgia,13,097,26.7
Early County,Georgia,13,099,17.0
Echols County,Georgia,13,101,6.9
Effingham County,Georgia,13,103,19.2
Elbert County,Georgia,13,105,11.1
Emanuel County,Georgia,13,107,12.5
Evans County,Georgia,13,109,15.5
Fannin County,Georgia,13,111,19.0
Fayette County,Georgia,13,113,46.7
Floyd County,Georgia,13,115,20.5
Forsyth County,Georgia,13,117,50.2
Franklin County,Georgia,13,119,12.8
Fulton County,Georgia,13,121,50.2
Gilmer County,Georgia,13,123,18.6
Glascock County,Georgia,13,125,9.4
Glynn County,Georgia,13,127,29.0
Gordon County,Georgia,13,129,13.7
Grady County,Georgia,13,131,13.7
Greene County,Georgia,13,133,25.6
Gwinnett County,Georgia,13,135,35.3
Habersham County,Georgia,13,137,18.4
Hall County,Georgia,13,139,23.5
Hancock County,Georgia,13,141,8.7
Haralson County,Georgia,13,143,14.1
Harris County,Georgia,13,145,27.4
Hart County,Georgia,13,147,13.8
Heard County,Georgia,13,149,10.8
Henry County,Georgia,13,151,28.0
Houston County,Georgia,13,153,25.4
Irwin County,Georgia,13,155,13.1
Jackson County,Georgia,13,157,19.7
Jasper County,Georgia,13,159,10.5
Jeff Davis County,Georgia,13,161,10.3
Jefferson County,Georgia,13,163,10.6
Jenkins County,Georgia,13,165,8.3
Johnson County,Georgia,13,167,9.6
Jones County,Georgia,13,169,20.7
Lamar County,Georgia,13,171,18.4
Lanier County,Georgia,13,173,15.8
Laurens County,Georgia,13,175,15.4
Lee County,Georgia,13,177,25.7
Liberty County,Georgia,13,179,19.4
Lincoln County,Georgia,13,181,12.1
Long County,Georgia,13,183,15.6
Lowndes County,Georgia,13,185,25.2
Lumpkin County,Georgia,13,187,26.7
McDuffie County,Georgia,13,189,15.3
McIntosh County,Georgia,13,191,14.0
Macon County,Georgia,13,193,8.6
Madison County,Georgia,13,195,16.7
Marion County,Georgia,13,197,12.5
Meriwether County,Georgia,13,199,10.7
Miller County,Georgia,13,201,11.4
Mitchell County,Georgia,13,205,12.3
Monroe County,Georgia,13,207,22.7
Montgomery County,Georgia,13,209,15.5
Morgan County,Georgia,13,211,22.1
Murray County,Georgia,13,213,9.6
Muscogee County,Georgia,13,215,26.0
Newton County,Georgia,13,217,19.9
Oconee County,Georgia,13,219,48.2
Oglethorpe County,Georgia,13,221,15.5
Paulding County,Georgia,13,223,24.4
Peach County,Georgia,13,225,20.3
Pickens County,Georgia,13,227,24.9
Pierce County,Georgia,13,229,12.7
Pike County,Georgia,13,231,16.5
Polk County,Georgia,13,233,12.7
Pulaski County,Georgia,13,235,12.6
Putnam County,Georgia,13,237,21.4
Quitman County,Georgia,13,239,8.3
Rabun County,Georgia,13,241,25.3
Randolph County,Georgia,13,243,12.1
Richmond County,Georgia,13,245,21.0
Rockdale County,Georgia,13,247,25.8
Schley County,Georgia,13,249,13.7
Screven County,Georgia,13,251,14.7
Seminole County,Georgia,13,253,15.1
Spalding County,Georgia,13,255,16.2
Stephens County,Georgia,13,257,19.6
Stewart County,Georgia,13,259,12.4
Sumter County,Georgia,13,261,16.8
Talbot County,Georgia,13,263,12.5
Taliaferro County,Georgia,13,265,6.8
Tattnall County,Georgia,13,267,12.3
Taylor County,Georgia,13,269,11.4
Telfair County,Georgia,13,271,8.1
Terrell County,Georgia,13,273,10.8
Thomas County,Georgia,13,275,22.2
Tift County,Georgia,13,277,16.8
Toombs County,Georgia,13,279,15.9
Towns County,Georgia,13,281,25.6
Treutlen County,Georgia,13,283,15.5
Troup County,Georgia,13,285,18.5
Turner County,Georgia,13,287,13.5
Twiggs County,Georgia,13,289,9.2
Union County,Georgia,13,291,22.0
Upson County,Georgia,13,293,12.9
Walker County,Georgia,13,295,15.5
Walton County,Georgia,13,297,19.0
Ware County,Georgia,13,299,13.5
Warren County,Georgia,13,301,13.7
Washington County,Georgia,13,303,13.1
Wayne County,Georgia,13,305,12.7
Webster County,Georgia,13,307,11.3
Wheeler County,Georgia,13,309,8.1
White County,Georgia,13,311,20.2
Whitfield County,Georgia,13,313,14.6
Wilcox County,Georgia,13,315,10.5
Wilkes County,Georgia,13,317,14.3
Wilkinson County,Georgia,13,319,9.0
Worth County,Georgia,13,321,11.0
Hawaii County,Hawaii,15,001,28.6
Honolulu County,Hawaii,15,003,34.0
Kauai County,Hawaii,15,007,28.2
Kalawao County,Hawaii,15,005,22.8
Maui County,Hawaii,15,009,26.3
Ada County,Idaho,16,001,37.6
Adams County,Idaho,16,003,20.3
Bannock County,Idaho,16,005,28.1
Bear Lake County,Idaho,16,007,20.3
Benewah County,Idaho,16,009,14.1
Bingham County,Idaho,16,011,19.3
Blaine County,Idaho,16,013,40.4
Boise County,Idaho,16,015,29.2
Bonner County,Idaho,16,017,22.4
Bonneville County,Idaho,16,019,29.3
Boundary County,Idaho,16,021,18.2
Butte County,Idaho,16,023,15.5
Camas County,Idaho,16,025,20.6
Canyon County,Idaho,16,027,18.1
Caribou County,Idaho,16,029,20.1
Cassia County,Idaho,16,031,18.1
Clearwater County,Idaho,16,035,17.4
Custer County,Idaho,16,037,22.6
Elmore County,Idaho,16,039,17.6
Franklin County,Idaho,16,041,20.2
Fremont County,Idaho,16,043,21.1
Gem County,Idaho,16,045,16.9
Gooding County,Idaho,16,047,14.7
Idaho County,Idaho,16,049,19.1
Jefferson County,Idaho,16,051,21.2
Jerome County,Idaho,16,053,13.0
Kootenai County,Idaho,16,055,24.5
Latah County,Idaho,16,057,46.4
Lemhi County,Idaho,16,059,22.3
Lewis County,Idaho,16,061,16.3
Lincoln County,Idaho,16,063,9.1
Madison County,Idaho,16,065,37.5
Minidoka County,Idaho,16,067,14.2
Nez Perce County,Idaho,16,069,22.7
Oneida County,Idaho,16,071,15.1
Owyhee County,Idaho,16,073,9.7
Payette County,Idaho,16,075,14.2
Power County,Idaho,16,077,15.8
Shoshone County,Idaho,16,079,12.4
Teton County,Idaho,16,081,42.5
Twin Falls County,Idaho,16,083,19.1
Valley County,Idaho,16,085,30.8
Washington County,Idaho,16,087,16.4
Adams County,Illinois,17,001,23.4
Alexander County,Illinois,17,003,10.7
Bond County,Illinois,17,005,19.3
Boone County,Illinois,17,007,21.7
Brown County,Illinois,17,009,13.2
Bureau County,Illinois,17,011,18.9
Calhoun County,Illinois,17,013,13.7
Carroll County,Illinois,17,015,17.4
Cass County,Illinois,17,017,13.4
Champaign County,Illinois,17,019,43.9
Christian County,Illinois,17,021,16.4
Clark County,Illinois,17,023,17.1
Clay County,Illinois,17,025,14.9
Clinton County,Illinois,17,027,22.1
Coles County,Illinois,17,029,26.0
Cook County,Illinois,17,031,37.2
Crawford County,Illinois,17,033,16.9
Cumberland County,Illinois,17,035,15.0
DeKalb County,Illinois,17,037,30.6
De Witt County,Illinois,17,039,20.3
Douglas County,Illinois,17,041,18.9
DuPage County,Illinois,17,043,48.0
Edgar County,Illinois,17,045,17.6
Edwards County,Illinois,17,047,12.5
Effingham County,Illinois,17,049,22.6
Fayette County,Illinois,17,051,11.9
Ford County,Illinois,17,053,19.2
Franklin County,Illinois,17,055,15.2
Fulton County,Illinois,17,057,17.7
Gallatin County,Illinois,17,059,12.8
Greene County,Illinois,17,061,12.0
Grundy County,Illinois,17,063,22.6
Hamilton County,Illinois,17,065,16.9
Hancock County,Illinois,17,067,19.7
Hardin County,Illinois,17,069,11.1
Henderson County,Illinois,17,071,14.2
Henry County,Illinois,17,073,22.1
Iroquois County,Illinois,17,075,14.3
Jackson County,Illinois,17,077,36.2
Jasper County,Illinois,17,079,17.4
Jefferson County,Illinois,17,081,16.1
Jersey County,Illinois,17,083,19.7
Jo Daviess County,Illinois,17,085,23.5
Johnson County,Illinois,17,087,16.2
Kane County,Illinois,17,089,32.4
Kankakee County,Illinois,17,091,19.8
Kendall County,Illinois,17,093,34.8
Knox County,Illinois,17,095,17.9
Lake County,Illinois,17,097,44.2
LaSalle County,Illinois,17,099,17.8
Lawrence County,Illinois,17,101,11.6
Lee County,Illinois,17,103,17.8
Livingston County,Illinois,17,105,15.1
Logan County,Illinois,17,107,19.8
McDonough County,Illinois,17,109,32.6
McHenry County,Illinois,17,111,33.2
McLean County,Illinois,17,113,44.7
Macon County,Illinois,17,115,22.7
Macoupin County,Illinois,17,117,18.5
Madison County,Illinois,17,119,26.2
Marion County,Illinois,17,121,15.2
Marshall County,Illinois,17,123,17.4
Mason County,Illinois,17,125,15.4
Massac County,Illinois,17,127,12.1
Menard County,Illinois,17,129,24.6
Mercer County,Illinois,17,131,18.7
Monroe County,Illinois,17,133,30.6
Montgomery County,Illinois,17,135,14.4
Morgan County,Illinois,17,137,21.2
Moultrie County,Illinois,17,139,18.1
Ogle County,Illinois,17,141,19.7
Peoria County,Illinois,17,143,30.2
Perry County,Illinois,17,145,12.5
Piatt County,Illinois,17,147,28.5
Pike County,Illinois,17,149,16.1
Pope County,Illinois,17,151,13.1
Pulaski County,Illinois,17,153,11.2
Putnam County,Illinois,17,155,14.9
Randolph County,Illinois,17,157,13.1
Richland County,Illinois,17,159,21.5
Rock Island County,Illinois,17,161,22.7
Saint Clair County,Illinois,17,163,26.6
Saline County,Illinois,17,165,16.4
Sangamon County,Illinois,17,167,34.2
Schuyler County,Illinois,17,169,17.9
Scott County,Illinois,17,171,13.9
Shelby County,Illinois,17,173,16.0
Stark County,Illinois,17,175,18.8
Stephenson County,Illinois,17,177,18.7
Tazewell County,Illinois,17,179,26.0
Union County,Illinois,17,181,22.3
Vermilion County,Illinois,17,183,14.6
Wabash County,Illinois,17,185,18.7
Warren County,Illinois,17,187,24.3
Washington County,Illinois,17,189,20.2
Wayne County,Illinois,17,191,13.2
White County,Illinois,17,193,15.6
Whiteside County,Illinois,17,195,18.1
Will County,Illinois,17,197,33.6
Williamson County,Illinois,17,199,22.5
Winnebago County,Illinois,17,201,22.4
Woodford County,Illinois,17,203,31.1
Adams County,Indiana,18,001,14.9
Allen County,Indiana,18,003,27.5
Bartholomew County,Indiana,18,005,31.2
Benton County,Indiana,18,007,16.8
Blackford County,Indiana,18,009,11.1
Boone County,Indiana,18,011,47.2
Brown County,Indiana,18,013,25.5
Carroll County,Indiana,18,015,16.2
Cass County,Indiana,18,017,13.4
Clark County,Indiana,18,019,20.0
Clay County,Indiana,18,021,16.6
Clinton County,Indiana,18,023,15.7
Crawford County,Indiana,18,025,10.4
Daviess County,Indiana,18,027,14.2
Dearborn County,Indiana,18,029,21.7
Decatur County,Indiana,18,031,19.7
DeKalb County,Indiana,18,033,17.8
Delaware County,Indiana,18,035,23.9
Dubois County,Indiana,18,037,21.4
Elkhart County,Indiana,18,039,18.7
Fayette County,Indiana,18,041,11.1
Floyd County,Indiana,18,043,28.4
Fountain County,Indiana,18,045,14.4
Franklin County,Indiana,18,047,19.7
Fulton County,Indiana,18,049,12.8
Gibson County,Indiana,18,051,16.8
Grant County,Indiana,18,053,17.1
Greene County,Indiana,18,055,14.5
Hamilton County,Indiana,18,057,57.5
Hancock County,Indiana,18,059,30.1
Harrison County,Indiana,18,061,16.6
Hendricks County,Indiana,18,063,35.3
Henry County,Indiana,18,065,16.5
Howard County,Indiana,18,067,20.4
Huntington County,Indiana,18,069,18.1
Jackson County,Indiana,18,071,15.9
Jasper County,Indiana,18,073,14.9
Jay County,Indiana,18,075,10.5
Jefferson County,Indiana,18,077,17.4
Jennings County,Indiana,18,079,10.7
